global_signal	global_signal_derivative1	global_signal_power2	global_signal_derivative1_power2	csf	csf_derivative1	csf_power2	csf_derivative1_power2	white_matter	white_matter_derivative1	white_matter_derivative1_power2	white_matter_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	t_comp_cor_04	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	c_comp_cor_05	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	w_comp_cor_19	w_comp_cor_20	w_comp_cor_21	w_comp_cor_22	w_comp_cor_23	w_comp_cor_24	w_comp_cor_25	w_comp_cor_26	w_comp_cor_27	w_comp_cor_28	w_comp_cor_29	w_comp_cor_30	w_comp_cor_31	w_comp_cor_32	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	a_comp_cor_32	cosine00	cosine01	cosine02	cosine03	cosine04	non_steady_state_outlier00	trans_x	trans_x_derivative1	trans_x_derivative1_power2	trans_x_power2	trans_y	trans_y_derivative1	trans_y_power2	trans_y_derivative1_power2	trans_z	trans_z_derivative1	trans_z_power2	trans_z_derivative1_power2	rot_x	rot_x_derivative1	rot_x_power2	rot_x_derivative1_power2	rot_y	rot_y_derivative1	rot_y_power2	rot_y_derivative1_power2	rot_z	rot_z_derivative1	rot_z_derivative1_power2	rot_z_power2	motion_outlier00	motion_outlier01	motion_outlier02	motion_outlier03	motion_outlier04
5271.979503405435	n/a	27793767.884327017	n/a	11369.554683460909	n/a	129266773.70020787	n/a	5007.755919528279	n/a	n/a	25077619.34957052	5148.14255137724	7970.594759158142	n/a	n/a	n/a	n/a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0707236	n/a	n/a	0.00500182759696	0.0845548	n/a	0.00714951420304	n/a	0.158448	n/a	0.025105768704	n/a	0.00979526	n/a	9.59471184676e-05	n/a	-0.000498171	n/a	2.4817434524100005e-07	n/a	0.0	n/a	n/a	0.0	0.0	0.0	0.0	0.0	0.0
5271.736722405409	-0.242781000026298	27791208.07035772	0.0589426139737693	11392.09508746278	22.54040400187114	129779830.4817936	508.0698125675684	4995.777352475939	-11.978567052340622	143.4860686274203	24957791.355511498	5138.248332124598	7911.750659141981	1.042961	35.044735	0.05072015	0.0382552	-0.1381460333	0.1326021763	0.0555682255	-0.0151706219	0.0138397009	-0.0169750037	0.1631705422	0.0467673149	0.0651592098	-0.0497749373	0.0831933143	0.0735317637	-0.0188270923	-0.0158975187	0.0503623775	-0.1579285315	0.0022386492	-0.0012372272	0.0887764414	-0.0152235021	0.0885710027	-0.0159568621	0.073917673	-0.0406227543	-0.0529036399	0.1435439292	-0.2570584348	-0.0571809654	0.0585283454	0.0006675705	-0.2620396634	-0.097092755	0.0779102982	0.0090030793	-0.1513542817	-0.0331870429	0.2025640535	0.0958165918	0.0783380445	0.0089656611	-0.1081146438	-0.1873024101	0.0123904983	0.1597491702	0.0144565571	-0.1062882174	0.0071870434	-0.1643176683	-0.010551084	0.1121683764	-0.0391236952	0.0735673399	-0.1200230456	0.0597669619	-0.0345343434	0.0778288054	-0.1801614697	0.0803867191	-0.1018093277	-0.0697015994	0.0032245032	0.0983975671	-0.0605454409	-0.255632346	0.180120906	-0.0505334395	-0.0649202832	-0.1202998308	0.0232845874	0.052572752	0.151586741	-0.1650560351	-0.089430916	0.0963617875	0.1244529983	0.1342756064	-0.1292980001	0.1466261977	0.1465634515	0.1464588945	0.1463125564	0.1461244791	0.0	0.0700745	-0.0006490999999999	4.213308099999996e-07	0.0049104355502499	0.0858856	0.0013308	0.00737633628736	1.7710286400000186e-06	0.163579	0.0051309999999999	0.026758089241	2.6327160999999967e-05	0.00913315	-0.00066211	8.341442892249999e-05	4.383896521000006e-07	-0.000505712	-7.540999999999906e-06	2.55744626944e-07	5.686668099999859e-11	0.000202534	0.000202534	4.1020021156000006e-08	4.1020021156000006e-08	0.0	0.0	0.0	0.0	0.0
5288.566233895329	16.82951148992015	27968932.81029782	283.2324569893544	11474.126199909286	82.03111244650609	131655572.05144472	6729.103409211326	4995.228472923598	-0.5488795523406225	0.3012687629776421	24952307.49670662	5134.717237943762	7938.37513890652	1.041579	34.99831	0.03679965	0.0196794	-0.0402927734	0.0748985627	-0.0119028653	0.0974481989	0.1096767366	-0.0587361924	-0.0060949265	-0.093884524	0.0001201692	-0.0425896491	-0.059184815	0.0912712886	-0.0409787385	0.0579570359	0.0712863627	0.0384107876	0.0418750234	-0.1336524971	-0.0877427375	-0.0331471879	0.0262883359	0.0375602805	-0.0113381085	-0.0627241793	-0.0239592393	0.015719423	-0.001603532	-0.0445806071	-0.1451901134	-0.0748891123	-0.0146520741	0.0750844791	0.1018501783	-0.0650049269	0.0260061958	0.1650247135	-0.1938304678	-0.1604818846	-0.0340918452	0.0818725163	-0.0109265976	-0.0142544155	0.0412559284	-0.1146655719	-0.0150866524	-0.1021581517	0.0013328598	-0.0475308781	0.0440787761	-0.0107903831	0.0356370131	-0.132100712	0.106765978	-0.039132277	-0.037704804	0.0328305482	-0.0541667929	0.0092692008	-0.0048060489	0.0658639786	0.0694456831	-0.0674747702	0.0818260238	-0.1019444391	-0.0928678932	-0.0197637354	-0.0118328547	-0.0403989087	-0.115786168	-0.1409403739	-0.091520151	0.1543225986	0.173785815	-0.014816238	-0.0385202322	0.0185834783	0.119292661	0.1464588945	0.1458947161	0.1449560281	0.14364524	0.1419657166	0.0	0.0709166	0.0008420999999999	7.091324099999973e-07	0.00502916415556	0.10309	0.0172043999999999	0.0106275481	0.0002959913793599	0.158462	-0.005117	0.0251102054439999	2.6183689000000103e-05	0.00907068	-6.247000000000023e-05	8.22772356624e-05	3.902500900000029e-09	-0.000634185	-0.000128473	4.02190614225e-07	1.6505311729000012e-08	0.000284314	8.177999999999997e-05	6.687968399999994e-09	8.0834450596e-08	0.0	0.0	0.0	0.0	0.0
5289.391357528671	0.8251236333417182	27977660.933098994	0.6808290102990383	11446.19467163086	-27.931528278426413	131015372.46087068	780.1702719685344	4990.338911745484	-4.889561178113581	23.907808514515477	24903482.454081107	5130.183488015568	7995.28940584382	1.018195	34.212593	0.0475553999999999	0.0277445	-0.0471513533	0.081690756	0.0226201008	0.1174012789	-0.1482656013	-0.0217011235	0.0680849487	-0.0025349958	0.0041956549	-0.0537239783	-0.0555308696	0.0461721056	0.0875372882	-0.0826062484	0.1220459864	0.1872886481	0.1177935547	0.1424429042	-0.0144617041	0.1405524801	-0.0821955724	0.0455829769	-0.0280027406	0.0829632146	-0.0004386934	-0.2362296761	-0.0903272591	0.2065111946	-0.01620833	-0.0672457314	0.1209453196	0.0181815187	0.1429191919	-0.0822460333	-0.1024095596	-0.0084369663	0.1524174694	-0.0034934116	-0.1633721377	0.1340758361	-0.1232659828	-0.0477958301	-0.0208519013	-0.0012486542	-0.0972144882	-0.0128641264	0.0936393385	0.0085645568	0.1236505683	-0.0571873831	0.2005709221	0.0835151521	0.0006622746	0.0218504095	0.2429456696	-0.0760745685	0.1140770947	0.08438474	-0.1115370525	0.0401879221	-0.1734985436	-0.0683201245	0.0977445415	0.0618605978	-0.1307049115	-0.1693644859	-0.0497044339	-0.1246598939	-0.0019863653	0.0186412983	0.1347914132	0.1640769003	-0.0402074157	0.1062463985	0.104076838	0.0729108095	-0.1399559579	0.1461244791	0.1445602966	0.1419657166	0.1383592329	0.1337665517	0.0	0.0729355	0.0020189	4.075957210000016e-06	0.00531958716025	0.11091	0.0078199999999999	0.0123010280999999	6.11523999999999e-05	0.163217	0.004755	0.026639789089	2.261002500000009e-05	0.00863505	-0.0004356299999999	7.45640885025e-05	1.8977349689999947e-07	-0.000573971	6.021399999999995e-05	3.2944270884100005e-07	3.625725795999994e-09	0.0004477	0.000163386	2.6694984996000003e-08	2.0043529000000003e-07	0.0	0.0	0.0	0.0	0.0
5301.985747861695	12.59439033302442	28111052.870528538	158.618667860579	11482.6334994447	36.43882781384127	131850872.08256966	1327.7881724467725	5001.865346883912	11.526435138427589	132.8587070003782	25018656.94835812	5140.057475011489	7972.671057979302	1.077063	36.190605	0.0626754999999999	0.0327199	0.0061901793	0.0348806841	-0.0507635674	0.0577699856	0.1505880621	-0.0308665311	-0.0504995002	-0.0823706318	-0.0469293965	-0.0296802744	0.0094216693	0.0174324683	-0.0509797292	-0.0202457032	-0.0400542772	0.1126918933	0.1159247498	0.0024492613	-0.2147868	0.0514175842	0.1663052425	-0.0220185398	-0.0544013892	-0.1144292218	-0.0970481361	0.2014647628	0.1436608015	0.015615533	0.1166169159	-0.0864524043	-0.0961516452	-0.0586657328	0.0432038514	0.0044608324	0.0358830207	-0.0273343338	0.0156387907	0.1345000481	0.016514751	-0.0219771669	0.0621431965	-0.1315319218	-0.0204103431	0.1602741324	0.0182860145	-0.0401898225	0.0568271229	0.0731343021	0.0058333827	-0.022435586	0.1396765544	-0.057991226	0.1812194002	0.1152082341	-0.1206094226	0.1524007394	-0.0283989404	-0.0555688145	0.1545824661	0.0636043334	0.0370981194	0.165052951	-0.0225790988	-0.0993864349	0.0556891391	-0.1344367959	0.0130791183	0.0927283073	0.0617354243	-0.0147979344	-0.0414585522	-0.1182792269	-0.101201293	-0.0329875654	0.1211474639	0.0709301469	-0.1407648186	0.145623333	0.1425662815	0.1375186448	0.1305509005	0.121760336	0.0	0.0674601	-0.0054754	2.9980005160000056e-05	0.00455086509201	0.133095	0.0221849999999999	0.0177142790249999	0.0004921742249999	0.162343	-0.000874	0.0263552496489999	7.638760000000239e-07	0.00903187	0.0003968199999999	8.157467569689998e-05	1.574661123999993e-07	-0.000693814	-0.0001198429999999	4.813778665959999e-07	1.4362344648999976e-08	0.000613859	0.000166159	2.7608813281000013e-08	3.76822871881e-07	0.0	0.0	0.0	0.0	0.0
5320.348474907319	18.36272704562361	28306107.89444863	337.18974455207695	11498.022684583477	15.389185138776156	132204525.65519622	236.8270192355289	5009.3070464739785	7.4416995900664915	55.37889278879579	25093157.08585385	5144.416995957318	8093.809602908142	1.054799	35.442513	0.05752785	0.0358013	0.0723028933	-0.0142134019	-0.1069114497	0.1556499845	-0.0929151644	-0.0078422549	-0.1278469566	-0.0836136477	0.0423179635	-0.1446385295	-0.0368132919	-0.128097126	0.080107615	-0.1010297148	-0.1250157129	-0.048408539	0.0173735316	-0.0475739767	0.158734683	0.1404100299	-0.039896286	0.1526887633	0.0808734277	-0.0731760121	0.0795950127	-0.0350735487	-0.0226793979	-0.0712946743	0.0030293991	0.0837487232	0.1123457236	0.045027587	-0.1528357903	-0.1392111991	0.1240666796	0.0518743405	-0.0156070567	0.1965889139	-0.0458183642	-0.0489973211	0.0389277192	-0.0550462979	-0.0297709652	-0.2026225326	-0.0218520081	0.1559573792	0.0517459286	0.1236644826	-0.1250928264	0.0550009963	-0.0064399628	-0.048723858	-0.1295224755	0.0014817469	0.1610269675	-0.0527444831	-0.1400673314	-0.0474728855	-0.0465681981	-0.0411512782	0.1033636254	-0.0490391918	-0.0476839092	0.1516934139	-0.0762031922	0.0983997307	0.1620935217	0.0137436025	0.1817864825	-0.1210142831	-0.0709176825	-0.0678614891	-0.0563740079	-0.0327657256	0.0111612417	0.0854666437	0.2075079753	0.1449560281	0.1399217693	0.1316604456	0.1203625908	0.1062887712	0.0	0.0677286	0.0002685	7.209225000000262e-08	0.00458716325796	0.107046	-0.0260489999999999	0.011458846116	0.0006785504009999	0.160683	-0.0016599999999999	0.025819026489	2.755599999999983e-06	0.00948138	0.00044951	8.989656670439998e-05	2.0205924010000017e-07	-0.000749636	-5.582200000000008e-05	5.619541324960001e-07	3.1160956840000087e-09	0.000699534	8.567500000000001e-05	7.340205625000001e-09	4.89347817156e-07	0.0	0.0	0.0	0.0	0.0
5309.757650601631	-10.59082430568742	28193526.308122557	112.16555947393942	11487.70584046607	-10.316844117407529	131967385.47707824	106.43727254288628	5004.616859627496	-4.690186846482902	21.997852654921232	25046189.91166777	5142.353004904355	8165.152217880614	1.056964	35.515274	0.0484878999999999	0.0267919	0.0354779321	-0.0126040114	-0.0985720549	-0.1487332842	-0.0404667826	-0.0116848584	-0.0578087712	-0.0231568328	0.0090217852	0.041619501	0.2028610628	-0.0432468587	0.0658006294	0.1154751563	0.0877487238	-0.0027283678	-0.0340848783	-0.0129089795	-0.0864981748	-0.0208513412	-0.2146455663	-0.1619623557	-0.0090043776	0.1045307918	0.1001044747	0.0808243685	0.0089592194	0.0914421491	-0.0307898897	0.1199965151	0.056408461	-0.0799609845	-0.1247368203	0.0325008124	-0.1612156292	-0.0084358709	0.072744529	-0.1687348147	-0.004406374	0.0083872733	0.23077148	-0.0226887211	-0.1716625226	-0.0431239101	-0.0338173354	0.0648909277	-0.0295179557	-0.0339283179	0.0999061874	-0.0202078341	-0.052656325	-0.0374359611	0.1115453635	0.0241564263	-0.1301251624	-0.213483563	0.1043411167	-0.0271683901	0.0201006474	-0.2070645805	-0.0946536124	-0.0822136032	-0.0475439495	0.0974235759	0.0886521849	0.0691349156	-0.0180548187	-0.1325481199	-0.0579548502	0.0963080896	0.0825755793	-0.010988295	0.0833186798	-0.3142106234	-0.0527937821	0.0922085372	0.025105616	0.1441233256	0.1366388261	0.124451232	0.1079800393	0.0877921846	0.0	0.0635654	-0.0041632	1.733223424000005e-05	0.0040405600771599	0.108756	0.00171	0.011827867536	2.9241000000000107e-06	0.159919	-0.0007639999999999	0.025574086561	5.8369599999998e-07	0.0090863	-0.0003950799999999	8.256084769e-05	1.5608820639999926e-07	-0.0008846239999999	-0.0001349879999998	7.825596213758231e-07	1.8221760143973e-08	0.00100648	0.0003069459999999	9.421584691599993e-08	1.0130019903999998e-06	0.0	0.0	0.0	0.0	0.0
5297.36411533304	-12.393535268591222	28062066.5704182	153.5997164538145	11481.768857020958	-5.936983445111764	131831016.08605637	35.24777242753115	4996.791814883853	-7.825044743643048	61.23132524001569	24967928.441290267	5137.574513334386	8076.731941026538	1.024434	34.422211	0.0556829999999999	0.0272786	-0.003614681	-0.0210426791	-0.0569689505	0.0027830262	-0.0243287998	-0.0283116965	0.0254909041	-0.0211778745	0.0740982749	0.0462062275	-0.142582972	0.0170177495	0.0464316583	-0.0017224856	-0.0902799808	0.1517809574	-0.0185896231	-0.1630406941	-0.0149636489	-0.1435519075	-0.1879223359	-0.0489504806	-0.0247308879	0.0343488327	0.176008858	0.1321998395	0.033916112	-0.0151915114	0.0850506347	0.0326331644	0.1816963549	0.0253117515	-0.008593109	-0.0043302403	0.0697433612	0.0631923848	-0.2405103021	0.0015416056	0.2271175436	-0.0419891117	0.059281673	0.0095037434	0.0549655554	-0.1327861937	-0.0366969703	-0.003426099	-0.0177738753	-0.0576032358	-0.0994528192	-0.1720392973	0.0622178606	-0.1491109167	0.0223367129	-0.079370679	-0.1114984607	-0.1672544522	0.0312979451	-0.040670775	0.0220883529	-0.1514024226	0.0544572743	0.0981689035	0.0325137835	0.195088107	-0.047327482	0.0171870697	0.0106122723	0.1003625507	-0.1538072373	-0.0614873002	-0.2132322237	-0.1562936174	0.1062947061	0.0115754429	-0.080654699	-0.0274611552	0.0796467704	0.1431261759	0.1327324313	0.1159649805	0.0936289832	0.0667969964	0.0	0.0713451	0.0077797	6.052373209000001e-05	0.0050901232940099	0.102466	-0.00629	0.010499281156	3.956410000000005e-05	0.151848	-0.0080709999999999	0.023057815104	6.514104099999992e-05	0.00942207	0.0003357699999999	8.877540308489999e-05	1.1274149289999941e-07	-0.00109406	-0.000209436	1.1969672836e-06	4.3863438096041884e-08	0.00113212	0.00012564	1.57854096e-08	1.2816956944e-06	0.0	0.0	0.0	0.0	0.0
5288.403080361903	-8.961034971136542	27967207.14038127	80.30014775393208	11448.36286649517	-33.405990525787274	131065012.3229455	1115.960203008989	4984.129172298301	-12.66264258555202	160.34251724943556	24841543.60615494	5124.356808292165	8069.48721281844	1.020236	34.281155	0.08383055	0.0354432	-0.0195447558	-0.0187315953	-0.030248328	-0.1070837779	-0.1603975401	0.0058657939	0.0216575621	0.0340552299	-0.0215912527	0.0133665183	0.0724821914	0.1465592858	-0.0904671263	-0.0209754681	0.0188507705	0.0494253349	0.0194841706	0.0611677274	0.2585557526	0.0634803854	-0.0823087021	0.0128564971	0.1144787911	0.1251822488	-0.2419346365	0.0479730153	-0.034178249	-0.0713920484	0.0155524365	0.106920389	-0.1572327732	-0.1712494077	-0.0678485559	0.050641356	-0.0076700266	0.044377203	0.0224092461	0.056498351	0.0209918842	-0.1317047874	-0.1327091664	0.2010346505	-0.1122359291	-0.0204007538	0.0127198528	-0.1651192037	0.0213692459	0.056269401	0.0464373522	-0.0067673576	0.0386241579	0.0607082968	-0.2488463202	-0.0245302502	0.0444393855	-0.0764877118	-0.0708617042	0.119798785	0.1795563329	0.0013493302	-0.0680467142	-0.070468721	-0.16842951	-0.0681765522	0.247388869	0.0667291528	0.0189543106	-0.0514029962	0.1164593511	-0.043640987	0.0266241956	0.035653838	-0.0907075987	0.0576056121	-0.2844629626	-0.0195700784	0.0079046653	0.1419657166	0.1282204088	0.1062887712	0.0775710461	0.0439007383	0.0	0.0589952	-0.0123498999999999	0.0001525200300099	0.0034804336230399	0.0910069	-0.0114591	0.00828225584761	0.00013131097281	0.164371	0.0125229999999999	0.0270178256409999	0.0001568255289999	0.00972971	0.00030764	9.466725668410002e-05	9.464236960000085e-08	-0.000693814	0.000400246	4.813778665959999e-07	1.6019686051600004e-07	0.0008900349999999	-0.000242085	5.860514722504839e-08	7.92162301224822e-07	0.0	0.0	0.0	0.0	0.0
5272.640990753465	-15.762089608438146	27800743.017373685	248.44346882443375	11407.753365011777	-40.609501483393615	130136836.83693752	1649.1316107297482	4999.576057880822	15.446885582521643	238.60627419951507	24995760.758535143	5139.6906556970935	7910.792071669634	1.037323	34.855305	0.0443949	0.0237043	-0.0410335782	-0.0582481772	0.027947827	-0.0031426549	0.1344410375	0.0680139119	0.0579123364	0.0965838794	-0.1033363774	0.0202853544	-0.0493452547	-0.0060366717	-0.0421019461	-0.0411502615	0.0767553322	0.0285723322	-0.1473418048	-0.0696287434	-0.1052077993	-0.2365527347	0.0415890416	0.0066492066	0.0200734673	-0.1684809682	-0.0956761464	-0.1926798157	0.0203941898	0.0514010267	-0.0131164431	-0.0263083358	0.0417505507	0.1205058021	0.1044992439	0.0363866651	-0.1623410629	-0.3448675729	0.0211916642	-0.1372213314	-0.0171226201	0.0006759593	0.0195164273	0.1153914629	0.0071863721	0.0765011652	0.0419004184	-0.0069182164	0.0228326164	-0.0436372163	-0.0088489662	-0.0962165607	-0.1078000511	-0.0359446367	0.1101317613	-0.1746090963	-0.0165549077	0.0678464947	0.0023458861	-0.1243233646	-0.0765339863	0.2411147932	-0.1510303586	-0.0200288351	0.0146728804	-0.0117104066	-0.1135683228	-0.0231397917	-0.1629755719	-0.115509857	0.0842960976	0.3292179477	-0.0147183591	0.0467172836	0.0573088935	-0.0311448151	0.0038492749	-0.1309291078	0.0597408922	0.1406432718	0.123123346	0.0955218954	0.0600989683	0.0197550473	0.0	0.0565746	-0.0024205999999999	5.859304359999976e-06	0.00320068536516	0.0972665	0.0062596	0.00946077202225	3.918259216000005e-05	0.17701	0.012639	0.0313325401	0.000159744321	0.00945623	-0.00027348	8.94202858129e-05	7.47913104000007e-08	-0.000758863	-6.504900000000007e-05	5.758730527690001e-07	4.2313724010000105e-09	0.00101302	0.000122985	1.512531022502457e-08	1.0262095203999997e-06	0.0	0.0	0.0	0.0	0.0
