global_signal	global_signal_derivative1	global_signal_derivative1_power2	global_signal_power2	csf	csf_derivative1	csf_derivative1_power2	csf_power2	white_matter	white_matter_derivative1	white_matter_derivative1_power2	white_matter_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	c_comp_cor_05	c_comp_cor_06	c_comp_cor_07	c_comp_cor_08	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	w_comp_cor_19	w_comp_cor_20	w_comp_cor_21	w_comp_cor_22	w_comp_cor_23	w_comp_cor_24	w_comp_cor_25	w_comp_cor_26	w_comp_cor_27	w_comp_cor_28	w_comp_cor_29	w_comp_cor_30	w_comp_cor_31	w_comp_cor_32	w_comp_cor_33	w_comp_cor_34	w_comp_cor_35	w_comp_cor_36	w_comp_cor_37	w_comp_cor_38	w_comp_cor_39	w_comp_cor_40	w_comp_cor_41	w_comp_cor_42	w_comp_cor_43	w_comp_cor_44	w_comp_cor_45	w_comp_cor_46	w_comp_cor_47	w_comp_cor_48	w_comp_cor_49	w_comp_cor_50	w_comp_cor_51	w_comp_cor_52	w_comp_cor_53	w_comp_cor_54	w_comp_cor_55	w_comp_cor_56	w_comp_cor_57	w_comp_cor_58	w_comp_cor_59	w_comp_cor_60	w_comp_cor_61	w_comp_cor_62	w_comp_cor_63	w_comp_cor_64	w_comp_cor_65	w_comp_cor_66	w_comp_cor_67	w_comp_cor_68	w_comp_cor_69	w_comp_cor_70	w_comp_cor_71	w_comp_cor_72	w_comp_cor_73	w_comp_cor_74	w_comp_cor_75	w_comp_cor_76	w_comp_cor_77	w_comp_cor_78	w_comp_cor_79	w_comp_cor_80	w_comp_cor_81	w_comp_cor_82	w_comp_cor_83	w_comp_cor_84	w_comp_cor_85	w_comp_cor_86	w_comp_cor_87	w_comp_cor_88	w_comp_cor_89	w_comp_cor_90	w_comp_cor_91	w_comp_cor_92	w_comp_cor_93	w_comp_cor_94	w_comp_cor_95	w_comp_cor_96	w_comp_cor_97	w_comp_cor_98	w_comp_cor_99	w_comp_cor_100	w_comp_cor_101	w_comp_cor_102	w_comp_cor_103	w_comp_cor_104	w_comp_cor_105	w_comp_cor_106	w_comp_cor_107	w_comp_cor_108	w_comp_cor_109	w_comp_cor_110	w_comp_cor_111	w_comp_cor_112	w_comp_cor_113	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	a_comp_cor_32	a_comp_cor_33	a_comp_cor_34	a_comp_cor_35	a_comp_cor_36	a_comp_cor_37	a_comp_cor_38	a_comp_cor_39	a_comp_cor_40	a_comp_cor_41	a_comp_cor_42	a_comp_cor_43	a_comp_cor_44	a_comp_cor_45	a_comp_cor_46	a_comp_cor_47	a_comp_cor_48	a_comp_cor_49	a_comp_cor_50	a_comp_cor_51	a_comp_cor_52	a_comp_cor_53	a_comp_cor_54	a_comp_cor_55	a_comp_cor_56	a_comp_cor_57	a_comp_cor_58	a_comp_cor_59	a_comp_cor_60	a_comp_cor_61	a_comp_cor_62	a_comp_cor_63	a_comp_cor_64	a_comp_cor_65	a_comp_cor_66	a_comp_cor_67	a_comp_cor_68	a_comp_cor_69	a_comp_cor_70	a_comp_cor_71	a_comp_cor_72	a_comp_cor_73	a_comp_cor_74	a_comp_cor_75	a_comp_cor_76	a_comp_cor_77	a_comp_cor_78	a_comp_cor_79	a_comp_cor_80	a_comp_cor_81	a_comp_cor_82	a_comp_cor_83	a_comp_cor_84	a_comp_cor_85	a_comp_cor_86	a_comp_cor_87	a_comp_cor_88	a_comp_cor_89	a_comp_cor_90	a_comp_cor_91	a_comp_cor_92	a_comp_cor_93	a_comp_cor_94	a_comp_cor_95	a_comp_cor_96	a_comp_cor_97	a_comp_cor_98	a_comp_cor_99	a_comp_cor_100	a_comp_cor_101	a_comp_cor_102	a_comp_cor_103	a_comp_cor_104	a_comp_cor_105	a_comp_cor_106	a_comp_cor_107	a_comp_cor_108	a_comp_cor_109	a_comp_cor_110	a_comp_cor_111	a_comp_cor_112	a_comp_cor_113	a_comp_cor_114	cosine00	cosine01	cosine02	cosine03	cosine04	non_steady_state_outlier00	non_steady_state_outlier01	trans_x	trans_x_derivative1	trans_x_derivative1_power2	trans_x_power2	trans_y	trans_y_derivative1	trans_y_power2	trans_y_derivative1_power2	trans_z	trans_z_derivative1	trans_z_power2	trans_z_derivative1_power2	rot_x	rot_x_derivative1	rot_x_power2	rot_x_derivative1_power2	rot_y	rot_y_derivative1	rot_y_derivative1_power2	rot_y_power2	rot_z	rot_z_derivative1	rot_z_power2	rot_z_derivative1_power2
5399.033011177488	n/a	n/a	29149557.455784258	12050.53077406035	n/a	n/a	145215291.93657553	5095.109670250776	n/a	n/a	25960142.551882967	5111.211193673375	7140.897579112708	n/a	n/a	n/a	n/a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.00951152	n/a	n/a	9.04690127104e-05	0.00573289	n/a	3.28660277521e-05	n/a	0.0556066	n/a	0.0030920939635599	n/a	0.0002684	n/a	7.203856e-08	n/a	3.84364e-23	n/a	n/a	1.4773568449600002e-45	0.000709026	n/a	5.027178686759999e-07	n/a
5387.99042348271	-11.042587694778376	121.9387429968708	29030440.803541392	11880.207241876768	-170.32353218358185	29010.10561549164	141139324.10994118	5100.912767429296	5.803097178520147	33.6759368633485	26019311.0609232	5117.180475545991	7138.910900001316	1.105458	34.05759	0.09453999	0.0575973	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0109446	0.0014330799999999	2.0537182863999994e-06	0.00011978426916	0.0584457	0.05271281	0.00341589984849	0.0027786403380961	0.0737473	0.0181407	0.00543866425729	0.00032908499649	0.000623436	0.000355036	3.88672446096e-07	1.26050561296e-07	-0.0	-3.84364e-23	1.4773568449600002e-45	0.0	0.000618994	-9.003199999999998e-05	3.83153572036e-07	8.105761023999997e-09
5369.114476020003	-18.87594746270679	356.3013926148669	28827390.256607555	11704.147051129588	-176.06019074717915	30997.19076593311	136987058.19446543	5093.041309562411	-7.871457866885066	61.9598489501468	25939069.7809092	5109.812975090476	7029.564410439192	1.030793	31.757261	0.06409185	0.0489537	-0.038126767	-0.0371775998	0.0509183701	0.1347369445	-0.0339799365	0.0811562617	0.0121692178	-0.2743580633	0.1549675443	0.0732635119	0.0357508043	0.0435401502	-0.0857331446	0.0094905216	-0.0907971807	-0.0210857748	0.0546011963	-0.0176459286	0.0071759371	-0.0084312983	0.0362406968	-0.0289343824	0.0114542897	-0.0971928326	0.0333804216	-0.0101717696	0.050588416	-0.0250193873	0.0088293547	-0.0064510608	0.0153618633	-0.0176388658	0.0540070019	-0.0449518219	0.0220097433	0.0085239202	-0.0395747877	0.0121322353	0.0145608688	-0.037177822	-0.0292562056	0.0515202821	-0.0541154144	-0.0115394391	0.0397204218	-0.0403574517	0.0774398509	-0.0468586259	0.0026666063	-0.0723137159	0.0843446816	-0.0663809685	0.0057060529	-0.0242496182	0.0275564257	-0.022252219	0.068822841	-0.0757374319	0.0059138182	-0.058055586	0.0345942377	-0.0405311909	0.0132458233	-0.0074771922	0.0287288682	-0.0469463026	0.0320548976	-0.1387089532	0.1087255458	-0.0212476647	0.001914688	0.0312702036	-0.0309314243	0.0122479895	0.0008947962	0.039035003	-0.0815908521	0.1164385846	-0.0128797497	-0.0035506879	-0.0072894373	0.0419849517	-0.0308870228	0.0280960705	-0.046730724	-0.007876229	0.0308506205	-0.0755000671	-0.0388564946	0.0160853234	0.0683145157	-0.0546271531	0.0347692201	0.0090818364	0.0157349842	-0.041810181	-0.000786676	-0.0271225482	0.0116282193	0.007898703	0.0100354795	-0.0156894565	-0.017413404	0.063487891	-0.0673573764	-0.0028155172	-0.0691548944	0.0293856517	0.0314235488	-0.0874763395	0.012697289	0.0972410321	-0.0794603792	-0.0508780325	0.0236924684	0.0083897333	0.0641313175	-0.0114211238	-0.0806325335	0.0521703857	0.0555863656	-0.0864754226	-0.0042041198	0.0160984981	0.0318504231	0.0337084275	-0.0450390416	0.0112275436	-0.1019914675	0.0264837193	-0.0706729512	0.0218143455	-0.0037226187	0.0183853882	0.0440396452	-0.0252457751	0.0285441769	-0.0951324945	0.0127578075	-0.037750617	0.0407157946	-5.18807e-05	0.0013745684	-0.0133092214	0.0024814723	-0.0254680318	0.0247689694	-0.0165602636	-0.0588228758	0.0134325029	-0.031240207	0.0236708474	0.0281542522	-0.0383027807	-0.0002953829	0.0697156877	-0.0635630908	0.0228709939	-0.0364188376	0.0613157925	-0.0643585646	0.0049313282	-0.0317764542	0.1042572728	-0.0185456527	0.063610576	-0.012381713	0.0101289796	-0.0398155037	0.001534115	-0.0145032719	0.0827914438	-0.0385527287	0.0619831249	-0.0315438381	0.008397054	-0.0188060304	0.0181700873	-0.0182193228	0.0529579053	-0.0762654291	0.0888801633	-0.0283640948	0.1203782221	-0.0245345136	-0.0194024746	0.0691285967	0.062039971	-0.0466338565	0.1007561483	0.0248726194	-0.0700921618	0.0321884771	-0.0019976037	-0.0067909087	0.0676339329	0.0245925011	-0.0341537611	0.019879606	0.0323333829	0.0201498806	-0.0601479019	0.0287920856	-0.0236926717	0.0558286886	0.0197941601	0.0415944581	-0.0957919296	0.0175147027	0.0120567276	0.0005079962	-0.0053044241	-0.0092638907	-0.0076601346	-0.0329732883	0.0432319541	0.0174862249	-0.0627276773	0.0486937574	-0.0917627781	-0.0085206737	-0.0026498382	-0.0035285987	0.0314254229	-0.0494819186	0.1027041273	0.0387282503	0.0891119509	-0.0413030252	-0.0299557862	0.0660471932	0.0094347191	-0.0584296692	-0.1077279177	0.027186262	0.0669903264	-0.0324755909	-0.0255892619	-0.0035976578	0.0327170183	0.0424479605	-0.0365894893	0.0722623296	0.0722605064	0.0722574676	0.0722532135	0.072247744	0.0	0.0	0.00125805	-0.00968655	9.38292509025e-05	1.5826898025e-06	0.0110366	-0.0474091	0.00012180653956	0.00224762276281	0.073966	0.0002187	0.005470969156	4.782969000000097e-08	0.000487886	-0.00013555	2.38032748996e-07	1.8373802500000004e-08	-0.0	0.0	0.0	0.0	0.000618994	0.0	3.83153572036e-07	0.0
5361.705633083155	-7.408842936848487	54.89095366288971	28747887.295835637	11697.763588044503	-6.383463085085168	40.74860095864505	136837672.9617798	5099.376459421989	6.335149859578451	40.13412374331686	26003640.274907146	5115.415189559566	6989.1660653525705	0.989814	30.49474	0.0268803	0.0174946	-0.0134044135	-0.0353189845	0.0643227388	0.0986604823	-0.0344637964	0.0535482965	0.0300758387	-0.2582507023	0.1766045286	0.0513561733	0.0183330205	0.0446504726	-0.0309115172	0.0237618355	-0.0718342809	-0.0350713233	0.0570589846	0.0176309546	-0.0015030266	-0.0489824485	-0.0096330425	0.1447075637	-0.013261939	-0.1148977188	-0.0245415341	-0.05887879	0.0275936446	0.0309643856	-0.0367715762	-0.0388133798	-0.0277599816	-0.0273567775	0.0023685189	-0.0327991631	-0.1518741016	-0.0278633661	-0.01278534	-0.0456930448	-0.028347227	-0.0714520621	0.0566498316	0.0328042252	0.0018310554	-0.0125811296	0.0637009736	0.0253933144	0.0401098361	0.0173480366	0.0554092085	-0.0306352992	-0.0309977839	-0.0030614586	-0.0181967012	0.0360310626	0.06850145	-0.0235629625	0.0648907006	0.0008084483	0.0884094971	-0.1378770785	0.0171181295	0.0354933249	-0.0955736448	0.001924035	0.0570072155	0.067412965	-0.0362853123	-0.0170155807	0.0763159001	0.0091396554	-0.0817084169	-0.0467728734	-0.0634521756	-0.0757963203	-0.0517496249	-0.010697515	0.0272542032	0.0561060715	-0.0687798584	-0.0009645493	0.0302902957	-0.0539033806	0.0026598749	0.0178172227	0.0444769337	0.063117204	-0.0521769275	-0.0272373658	-0.005905937	0.0142002187	0.037242558	0.0087584918	0.0269844853	-0.0720542306	-0.0293371693	-0.0058967397	0.0146556931	-0.0102175971	-0.0499084976	-0.0412923496	-0.0106369062	-0.1097976961	0.0824128278	-0.0024185992	-0.0455022051	-0.0082171729	-0.03795063	-0.1007963419	0.0313768749	-0.040918595	0.0456638995	0.0572299528	-0.0032541037	0.1332677777	-0.0592043776	0.0038066997	0.0450564517	-0.0007001865	-0.0512554314	-0.0402501657	0.0017816753	-0.0492510386	0.0108959153	-0.0388540617	0.0067878483	-0.0961492176	0.0015110896	0.0207781274	-0.066736121	0.0389447548	-0.0692278251	-0.0052371382	0.0126705949	0.0469620689	-0.0188643662	0.150827686	0.0232855061	-0.0999926019	0.0736845693	-0.0311110371	-0.0517812105	0.0125973821	0.0300838022	-0.0314699078	-0.0130776141	-0.0383414415	-0.0127677371	0.0464819611	0.0891065482	0.1036107554	-0.0292959606	-0.0078552739	-0.004760675	-0.0598966497	0.0872710428	0.037592631	-0.0276219296	0.026634324	-0.0503796241	0.0109637143	0.0218130223	0.0006489769	0.0574802388	0.0255826487	0.0462566767	-0.0008543761	0.0138150495	-0.0327892535	-0.0241733229	0.0057566317	-0.1155544588	-0.0247606572	-0.1025275117	0.125516042	-0.0767855406	-0.0236069719	0.0844887336	0.0616356595	0.0632104302	-0.0040352086	0.0299391995	0.0119934265	0.0241286197	0.0791721483	-0.0433586421	0.0020280733	0.0216211835	-0.1053227882	-0.0643275991	0.0028658727	-0.0191905963	-0.0411622733	0.0633473518	0.0351437907	-0.0518668235	-0.0182356201	0.0190733451	0.0341650141	0.0468092561	0.0503572522	0.0723890955	0.0143554047	-0.0357132619	-0.0287213193	0.0110290472	-0.0082792613	0.0286892873	0.0236679496	-0.0688514338	-0.0238730539	-0.0205815449	0.0658762884	0.0325450836	0.0116490098	-0.0272960619	0.0908567389	0.0776136427	0.0154057525	0.0545356417	-0.0054734469	0.0001015917	0.0823531578	0.060067303	-0.0003816546	-0.0660729644	0.0922642362	0.0547560006	-0.1174697097	-0.0344351981	0.0129217968	0.002307634	0.0447227692	-0.065968115	0.0388496498	0.0013506983	0.0264454258	-0.0770276383	0.0319999164	0.0073518808	0.0006000994	-0.0862857077	0.0189230495	0.0722574676	0.0722410593	0.0722137149	0.0721754384	0.0721262358	0.0	0.0	0.00185605	0.000598	3.576040000000001e-07	3.4449216025e-06	0.010938	-9.860000000000076e-05	0.000119639844	9.721960000000152e-09	0.0733135	-0.0006525	0.00537486928225	4.257562500000004e-07	0.000438172	-4.9713999999999965e-05	1.9199470158400001e-07	2.471481795999996e-09	-0.000182269	-0.000182269	3.3221988361000003e-08	3.3221988361000003e-08	0.000897635	0.000278641	8.057485932250001e-07	7.764080688100004e-08
5349.954975542656	-11.75065754049865	138.0779526340778	28622018.24033362	11655.785974600376	-41.9776134441272	1762.1200304645688	135857346.68569085	5092.038468016536	-7.337991405453067	53.84611786650308	25928855.759760197	5108.156968712735	6991.1363080196525	1.074538	33.104973	0.1043890749999999	0.0590637	0.0078181586	0.0073180366	0.0549076277	0.1173317923	-0.0273411071	-0.0155146599	0.0410337638	-0.1496720884	0.1608696256	-0.0008207797	0.0219643153	0.0111616843	-0.0479204901	0.0359152688	-0.0045473582	0.0461866645	0.0497244695	-0.0078108152	0.0175299893	-0.0622388896	0.0194186908	0.066706751	0.0086270479	0.0570508917	-0.0030882909	-0.0293197266	0.0235228199	-0.0228745122	0.0115982617	0.0485374642	0.0218104182	0.0435939148	-0.038441612	-0.0868373254	-0.0547736636	-0.0086767753	0.0690830897	-0.0252916134	-0.0620046414	0.0272627954	0.0245926275	-0.0254257304	0.0185306287	-0.0426610191	-0.0166678513	-0.0673229624	-0.0390415805	0.0323483695	0.0375960431	-0.1131117986	0.0244531409	0.0526547952	0.0943909111	0.0326453972	-0.020750489	0.062776955	-0.2056229513	0.0371416021	0.015166902	0.0233479279	-0.0116552316	0.0461720102	0.0566981605	-0.0486284182	0.0689832679	0.0773064605	-0.0709330727	0.0015721188	-0.0350780134	-0.088132788	-0.0494282229	-0.0226655757	0.0476607152	0.0306069234	-0.0496157803	0.022259911	-0.0263508829	0.0678441658	-0.0853398988	0.0460812657	0.0042851057	0.0222024241	-0.0563806592	0.0193422615	0.0208413095	0.0054935441	0.1398280585	0.1028629302	0.1269415843	-0.1079126605	0.0424258177	0.0745886248	-0.0281928672	-0.0304140953	-0.0363224289	-0.0469298406	0.0009546702	-0.0397517081	-0.0547102941	-0.0393067953	0.0100425326	-0.0221127133	-0.0325067819	0.0223871212	0.0091988801	0.0562994811	0.0408254868	0.033965633	-0.0535835087	0.0376394096	0.0107946592	0.0735913813	0.040858773	-0.0188227227	0.0504033792	-0.0207409691	0.0281355675	0.0633694428	0.0020040583	0.0526457694	-0.024852473	-0.0291719916	0.0345077228	-0.0280933811	-0.0813643657	-0.0056590574	-0.0248251817	0.0349100634	-0.0022908943	-0.0394763252	-0.0613127099	0.0168068039	0.0007167314	0.0595617328	0.0136473484	0.0600150222	0.0157683144	0.0394801454	-0.0421535293	-0.0321582661	-0.0070834838	-0.0101228256	-0.0250690923	0.020950005	0.0125575144	-0.0010432589	0.0595920614	0.112937244	0.0360181997	0.0386342584	0.0764730116	-0.0242113567	-0.0457653726	0.0131763643	0.0059153473	-0.0259436848	0.0249075483	-0.0501614245	0.0275810608	0.0544507949	0.0173433553	-0.0553650261	0.005323042	0.0975031172	0.0900697398	-0.0422268327	-0.0427008306	-0.0772607663	0.033007243	-0.0415701123	0.1529856232	-0.156150396	0.0198316401	-0.0139503253	0.0045053095	-0.0387365307	-0.0508830578	-0.0284225907	0.1030680076	0.0441317326	0.0633642834	0.0054567014	-0.0362027392	-0.0582156927	-0.0690577232	-0.0581056583	-0.0819629177	0.0359599907	-0.0675880727	0.032126941	0.0192208848	-0.0154944618	0.0753585427	0.0503043138	-0.0357095878	0.0251044042	0.0619147455	-0.0681676119	-0.0608415004	-0.0779964684	-0.0781208341	0.1317704543	-0.0579542044	0.1067248951	0.0097033832	-0.0420831996	0.0646417082	0.0174435762	-0.000850177	0.0313868841	0.0229878968	0.0759708106	0.0029049698	0.0291344867	-0.0085642862	0.0300961475	-0.0429329556	-0.0476671199	0.0157928285	0.0530716876	-0.0375055943	0.0028187515	-0.0761550402	-0.020246727	0.034843233	0.0872800851	-0.0508311256	0.0072985548	0.000705907	0.026420075	0.0493000541	-0.0681436139	0.0160843265	-0.0232792355	-0.0283945832	-0.0324576904	-0.0612849587	-0.0084962164	-0.0553410441	-0.0590893601	0.0161729121	0.0095550013	0.072247744	0.0722021705	0.0721262358	0.072019972	0.0718834238	0.0	0.0	0.00125667	-0.0005993799999999	3.592563843999998e-07	1.5792194889000005e-06	0.0609272	0.0499892	0.00371212369984	0.0024989201166399	0.0924869	0.0191733999999999	0.0085538266716099	0.0003676192675599	0.000109353	-0.000328819	1.1958078609e-08	1.0812193476100005e-07	-9.71871e-05	8.508190000000002e-05	7.238929707610003e-09	9.44533240641e-09	0.000618994	-0.000278641	3.83153572036e-07	7.764080688100004e-08
