global_signal	global_signal_derivative1	global_signal_derivative1_power2	global_signal_power2	csf	csf_derivative1	csf_power2	csf_derivative1_power2	white_matter	white_matter_derivative1	white_matter_power2	white_matter_derivative1_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	c_comp_cor_05	c_comp_cor_06	c_comp_cor_07	c_comp_cor_08	c_comp_cor_09	c_comp_cor_10	c_comp_cor_11	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	w_comp_cor_19	w_comp_cor_20	w_comp_cor_21	w_comp_cor_22	w_comp_cor_23	w_comp_cor_24	w_comp_cor_25	w_comp_cor_26	w_comp_cor_27	w_comp_cor_28	w_comp_cor_29	w_comp_cor_30	w_comp_cor_31	w_comp_cor_32	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	a_comp_cor_32	cosine00	cosine01	cosine02	cosine03	cosine04	non_steady_state_outlier00	trans_x	trans_x_derivative1	trans_x_derivative1_power2	trans_x_power2	trans_y	trans_y_derivative1	trans_y_power2	trans_y_derivative1_power2	trans_z	trans_z_derivative1	trans_z_derivative1_power2	trans_z_power2	rot_x	rot_x_derivative1	rot_x_derivative1_power2	rot_x_power2	rot_y	rot_y_derivative1	rot_y_derivative1_power2	rot_y_power2	rot_z	rot_z_derivative1	rot_z_power2	rot_z_derivative1_power2	motion_outlier00	motion_outlier01	motion_outlier02	motion_outlier03
4996.856896651731	n/a	n/a	24968578.84561597	11335.552915206325	n/a	128494759.8934426	n/a	4411.29545716903	n/a	19459527.61044012	n/a	4529.952197986336	8912.612773749752	n/a	n/a	n/a	n/a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0282151	n/a	n/a	0.00079609186801	-0.0854657	n/a	0.00730438587649	n/a	-0.0405332	n/a	n/a	0.0016429403022399	-0.00127169	n/a	n/a	1.6171954561e-06	0.000391651	n/a	n/a	1.5339050580100002e-07	-0.00139439	n/a	1.9443234721e-06	n/a	0.0	0.0	0.0	0.0
5016.066811114314	19.209914462582677	369.020813659743	25160926.253562525	11413.006677040688	77.45376183436383	130256721.41017534	5999.085222294355	4425.148478694367	13.85302152533768	19581939.058491077	191.90620538146916	4540.86292382272	8933.54154075788	1.236491	33.792904	0.12891255	0.0573562	-0.1212373165	-0.0835850026	-0.2069609957	0.1967962074	-0.1060008376	-0.0240883889	0.0236968565	-0.196566116	0.2473556141	-0.0774663464	0.1426848897	-0.1084525692	0.0728308466	-0.0056900149	-0.2363054152	0.1186800892	-0.0681721419	0.0022072786	-0.1039484516	0.0523274441	-0.0566064484	0.0293560888	-0.1506549753	0.0872783184	-0.0139634942	0.1608937673	-0.0689847785	0.1154705064	-0.2913142581	-0.2118480928	0.0782158569	0.0863128576	-0.10412737	0.0105953265	0.0367258332	-0.1135413769	-0.1146129482	0.0645980244	0.1114342412	-0.1081525018	-0.059932008	-0.0452727822	-0.0034926629	-0.0500745259	0.1374037417	0.1150435448	0.1067590948	0.2065212913	-0.0244082401	0.1513008262	-0.0167295412	0.0121782998	-0.1500922603	0.0610966454	-0.0788722371	0.1133439027	-0.1052916136	0.0887901285	-0.0385306438	0.0075002371	0.0923410497	-0.0754015783	0.3499719905	-0.1995289178	0.0442229776	0.047909316	-0.0616023486	-0.0200292046	0.0766121787	0.1121005811	-0.0815945895	-0.0349486958	-0.0784457929	0.0582932821	0.0173482322	0.0706336838	-0.0210579536	-0.013429156	-0.0528311814	-0.2580250248	0.1466261977	0.1465634515	0.1464588945	0.1463125564	0.1461244791	0.0	0.0101337	-0.0180813999999999	0.0003269370259599	0.00010269187569	-0.0467463	0.0387194	0.00218521656369	0.00149919193636	-0.0239345	0.0165986999999999	0.0002755168416899	0.00057286029025	-0.00064472	0.00062697	3.930913809000001e-07	4.156638784e-07	-0.0	-0.000391651	1.5339050580100002e-07	0.0	-0.00148603	-9.164000000000004e-05	2.2082851609e-06	8.397889600000006e-09	0.0	0.0	0.0	0.0
5012.462383877822	-3.604427236492484	12.991895703168842	25124779.14979013	11438.248440962572	25.24176392188383	130833527.39718272	637.1466458881162	4408.661449799661	-16.487028894706782	19436295.778949644	271.82212177489635	4524.65178384816	9039.573839437277	1.488201	40.672054	0.036467285	0.0188931	0.1385785024	0.0567384386	-0.1830620665	-0.0134823652	0.1285754807	0.0195189316	0.1952519909	-0.126542079	0.0651988708	-0.0891075108	0.1525924034	0.0566901013	-0.0146227293	-0.0633651776	0.0123137306	-0.0066467531	-0.1097485691	0.1885798129	-0.0580168214	-0.0141679727	-0.1021220332	-0.0302433739	-0.1163563517	0.1092480319	-0.1420869688	-0.0723000568	0.0215164119	0.0198325065	0.0148635671	-0.0974905806	0.0919498488	-0.1416483447	0.2008398591	0.0104720345	0.0131660415	-0.1517423484	0.1086104795	-0.0030556808	-0.0560023282	-0.0894307639	0.0308359016	-0.0865988053	0.0710326265	0.1529440844	-0.0853652504	0.0878234558	-0.0181560521	-0.0445234164	0.0226943833	-0.0161059167	-0.1681514935	-0.1224514262	-0.0883783861	0.0973333712	-0.0290775251	0.1399327854	-0.0775908882	0.0011985665	0.138619218	-0.0533806503	0.0034462635	-0.1279440476	-0.0431704059	0.0481264586	0.2473069624	-0.0890288069	-0.1237304728	-0.0120589304	0.1347913214	-0.0089789994	-0.0605481639	0.084416947	-0.0390725363	0.0546286968	-0.0458662849	-0.0452248292	-0.0476338497	0.1090851919	-0.0688755598	0.0156243763	0.1464588945	0.1458947161	0.1449560281	0.14364524	0.1419657166	0.0	0.0165765	0.0064428	4.1509671840000006e-05	0.00027478035225	-0.0406319	0.0061143999999999	0.00165095129761	3.738588735999999e-05	-0.0354889	-0.0115543999999999	0.0001335041593599	0.0012594620232099	-0.000463475	0.000181245	3.2849750025000005e-08	2.1480907562500002e-07	6.58687e-05	6.58687e-05	4.338685639689999e-09	4.338685639689999e-09	-0.00148603	0.0	2.2082851609e-06	0.0	0.0	0.0	0.0	0.0
4999.034351902619	-13.42803197520243	180.31204272705887	24990344.45150244	11408.30809688568	-29.94034407689287	130149493.63346736	896.424203442734	4411.258363387378	2.5969135877176086	19459200.34855509	6.743960182072342	4530.606158604921	8912.761791928277	1.411882	38.5863	0.0332136699999999	0.0246979	-0.1150008315	0.1217263703	-0.1840959581	-0.0294128798	-0.1340392213	0.1266656153	0.0736653982	0.1450041494	-0.0424034657	0.0962498904	-0.0070669907	-0.1038009245	-0.0881366315	0.105773163	0.0418212622	-0.0414509865	-0.0547773664	-0.1198101385	0.1307204474	-0.0056109324	0.1155035179	0.1237701864	-0.0633384336	0.0155945944	-0.006695783	-0.0329003126	-0.1044265648	-0.022365552	0.1319068033	0.1337898817	-0.0682880242	-0.0152165364	0.2474569778	-0.0816387597	-0.1088133867	-0.0948891198	-0.0782029731	0.0951769954	-0.0934023074	0.0919588548	0.0223421121	0.1266899475	-0.2096043283	0.0946731151	-0.0827035854	0.1659629952	-0.2087504657	-0.0555502507	-0.1372927776	0.0205209001	0.0163514951	0.1158596546	0.1321850999	-0.1213286502	-0.0984110152	-0.0697691659	-0.0824015625	0.0746217688	-0.0386350643	0.0503504853	0.0569406869	-0.113472085	-0.18587614	0.260055253	0.0952855106	0.0597861121	0.0968445085	-0.0624009534	-0.0212686907	0.0894435605	-0.0672432718	0.0391659336	0.1244294493	-0.0643333209	0.0962602063	0.1716137733	-0.0647138469	0.244070712	0.0286796609	0.106704781	0.1461244791	0.1445602966	0.1419657166	0.1383592329	0.1337665517	0.0	0.0159177	-0.0006588	4.3401744000000137e-07	0.00025337317329	-0.0406292	2.7000000000013125e-06	0.0016507318926399	7.290000000007087e-12	-0.0303589	0.0051299999999999	2.6316899999999955e-05	0.00092166280921	1.90997e-05	0.0004825746999999	2.3287834108008998e-07	3.6479854008999997e-10	-0.0	-6.58687e-05	4.338685639689999e-09	0.0	-0.00148603	0.0	2.2082851609e-06	0.0	0.0	0.0	0.0	0.0
5003.91729962729	4.882947724670885	23.84317848186857	25039188.34150927	11400.8993269847	-7.408769900979678	129980505.46404018	54.88987144566243	4408.299261247691	-2.9591021396872748	19433102.376716934	8.756285473101808	4526.662823553895	9025.708885438244	1.529589	41.803192	0.009999775	0.0084613599999999	0.0886305055	-0.1596469761	-0.089051282	0.0984601229	0.0970181038	0.0929824388	-0.0862288649	-0.0201358838	0.0539010503	0.1959201364	-0.1718863717	-0.0603342547	-0.0396933701	-0.0026609298	-0.1393551483	0.077815811	-0.0056143684	0.0188423426	0.0449263977	-0.1438803888	-0.182745632	-0.1759712517	0.0031848354	-0.1735177956	-0.0079614569	-0.1417586808	0.0423014263	0.0034375955	-0.0205212375	0.0274256367	0.1748011312	0.0158480634	-0.0628131503	-0.095339113	0.1169916655	0.3701480727	-0.0283775455	0.1140150843	0.0355280389	0.3680093155	-0.0652347523	0.0252015292	0.0570555469	0.0296664103	-0.0598441582	-0.012404549	-0.0790682641	0.123015516	0.1489329972	0.0406872167	-0.1422930518	0.0494856521	-0.0400961779	0.0216065218	0.1737698768	0.0853965894	0.1353060718	-0.0698399673	0.0217774789	-0.0833885304	0.1146617286	-0.0290811805	-0.0202115963	-0.0893121844	0.0560966324	0.0907537874	0.196892455	0.2216668953	-0.3275602249	-0.0823347319	-0.0009839691	-0.0465863848	0.2582118504	-0.2651777763	-0.0549294037	-0.1266693317	0.0284411717	0.0920385598	0.0022620119	0.0188575013	0.145623333	0.1425662815	0.1375186448	0.1305509005	0.121760336	0.0	0.0159177	0.0	0.0	0.00025337317329	-0.0406313	-2.100000000004876e-06	0.00165090253969	4.4100000000204776e-12	-0.0379347	-0.0075758	5.739274564000001e-05	0.00143904146409	6.75372e-05	4.8437500000000005e-05	2.3461914062500007e-09	4.56127338384e-09	-0.0	0.0	0.0	0.0	-0.00148603	0.0	2.2082851609e-06	0.0	1.0	0.0	0.0	0.0
4992.100163933763	-11.817135693527234	139.64469599923538	24921064.046747506	11365.773564265324	-35.125762719375416	129180808.71415249	1233.8192066178638	4406.946850655759	-1.352410591932312	19421180.54450471	1.8290144091707063	4524.484101355296	8981.45638241479	1.537675	42.024166	0.0219553399999999	0.0129167	-0.022084335	0.1671545968	-0.0221352012	-0.1810023102	-0.0706980733	-0.0049354752	-0.0838192902	-0.0820923496	-0.0299296672	-0.0754315654	-0.0003040405	-0.0407460412	0.1278115761	-0.0119842819	0.2080779202	0.0874355521	0.0472059567	-0.03015201	-0.055277841	-0.0316911099	-0.0930874022	-0.0058030249	-0.0819341515	0.0969695674	0.103946495	0.0198182021	0.0131237997	-0.0163426297	0.0964972948	0.1304163383	-0.114127952	0.0611479022	-0.2536700618	0.0390494785	0.128281368	-0.0105490403	-0.0813768852	-0.1181294755	-0.119633407	0.0187587677	-0.1060668275	0.0662954179	0.2671838553	-0.0192351667	-0.0098677908	0.0168373271	0.0120969817	-0.1635948977	0.0716501895	0.0449424172	0.0484962527	0.0118086626	-0.0398157807	0.0960733898	0.0268673354	0.0261078548	-0.1520302731	-0.0620472099	-0.0404784557	0.0594856665	-0.0145229095	0.1855880715	-0.0814387852	-0.0344165224	-0.2641414054	-0.0291750393	0.03164086	0.1049759781	-0.0043262209	0.0920678267	0.1274277354	0.0214248066	-0.0307763143	-0.0430703999	0.1458952759	-0.2440761609	0.0332354509	0.0396151888	-0.0006021602	-0.083679541	0.1449560281	0.1399217693	0.1316604456	0.1203625908	0.1062887712	0.0	0.0159086	-9.100000000001468e-06	8.281000000002671e-11	0.0002530835539599	-0.049628	-0.0089966999999999	0.002462938384	8.094061088999993e-05	-0.039047	-0.0011122999999999	1.2372112899999924e-06	0.0015246682089999	0.000161965	9.44278e-05	8.91660941284e-09	2.6232661225e-08	0.000142317	0.000142317	2.0254128489000004e-08	2.0254128489000004e-08	-0.00148603	0.0	2.2082851609e-06	0.0	0.0	1.0	0.0	0.0
4993.064374819673	0.9642108859097788	0.9297026325069206	24930691.851093367	11386.257470497718	20.483906232393565	129646859.18446508	419.590414537492	4402.297229457742	-4.649621198016575	19380220.89649131	21.61897728504509	4520.59255835051	8975.64964358202	1.379412	37.698906	0.06200505	0.0284314	-0.0244572269	-0.1176907771	-0.0216914117	0.1173890068	-4.57187e-05	-0.017317459	-0.0495615527	0.0747739482	-0.1516250941	-0.0913953048	0.0523574738	0.0553108277	-0.023130896	-0.0857391262	-0.0565179711	-0.0435731587	0.1585802123	0.0358936555	0.0920557831	0.1274117539	0.3063420304	-0.0095593374	0.1389198786	-0.0184422173	-0.0365354335	-0.1790060371	-0.0896276739	-0.0278475463	-0.1287067896	-0.0020015574	0.0851084854	0.1096715307	0.0091852449	0.0468114618	-0.0408647157	-0.058674315	0.102463802	0.0778065111	-0.1210280027	-0.0196449612	-0.0471995657	-0.087347031	-0.0458761444	-0.042021447	-0.001555406	-0.1096400124	-0.0271116447	0.0822492873	0.0265373964	-0.0507056067	0.1622849838	-0.1025214033	0.1715084468	-0.1868196852	-0.0477579258	-0.0845456518	0.1866869074	-0.001376391	0.1537857637	0.1541958458	-0.0074776703	0.0250632302	0.05853232	-0.0753981294	0.0729706033	0.1414348865	-0.0515887585	-0.0847549829	0.1101032309	-0.0364543084	-0.0344464241	0.1767357823	-0.0327015611	-0.0838393384	-0.006817303	0.0240634864	0.0576561465	-0.0889837708	0.0251376735	0.1133194652	0.1441233256	0.1366388261	0.124451232	0.1079800393	0.0877921846	0.0	0.0159021	-6.499999999999562e-06	4.2249999999994296e-11	0.00025287678441	-0.0429711	0.0066569	0.00184651543521	4.431431761e-05	-0.018718	0.020329	0.000413268241	0.0003503635239999	0.000553733	0.000391768	1.5348216582400004e-07	3.0662023528900005e-07	0.000361862	0.000219545	4.8200007025e-08	1.30944107044e-07	-0.00157497	-8.894000000000003e-05	2.4805305009e-06	7.910323600000005e-09	0.0	0.0	0.0	0.0
4989.207969345767	-3.856405473905397	14.871863179167512	24892196.161383312	11359.672894844642	-26.58457565307617	129042168.27786805	706.7396626541304	4406.717377552654	4.420148094912292	19419158.045624543	19.537709180956767	4522.166723047236	8938.597531680305	1.266774	34.620529	0.0481927499999999	0.0261701	-0.0351208989	0.1162184587	-0.0247537928	-0.1460781297	0.0028561901	0.0273170021	-0.0134686842	0.1807921837	-0.060317904	0.0051500181	-0.005604609	0.0608487956	0.0999990166	-0.1837695688	0.0827711289	-0.1771325522	-0.0552817993	0.0661555765	0.018864184	-0.077658425	0.0511542512	0.0046685493	0.03441073	0.0221406837	0.0524464091	-0.0484144255	-0.0101499306	0.0791519042	0.0100116296	0.0096684279	0.0971770052	-0.0090768976	-0.2660911986	-0.0748721493	-0.0648001415	-0.1387730046	-0.0394688606	-0.0435603158	0.0370832666	-0.1462714402	-0.0776051485	0.0506610814	-0.1106099469	-0.1779586822	-0.2047904611	0.0011858911	0.1002690042	-0.106378337	-0.0590353777	-0.1847225184	-0.0722239811	-0.0731002778	-0.0246037139	-0.0926709175	-0.0174162171	-0.0325208147	0.0029987012	-0.1115180713	0.0422233262	0.028573589	0.0738999391	0.14077476	0.0443013859	-0.1465112108	-0.0870064605	-0.0769459187	0.1566387161	-0.0790742727	0.1346350744	0.1099650122	-0.059126267	-0.0665132451	-0.1011617392	0.0655353375	0.1164966096	0.1355061794	0.1177102116	-0.1065037439	-0.2205403295	0.112727027	0.1431261759	0.1327324313	0.1159649805	0.0936289832	0.0667969964	0.0	0.0158804	-2.1699999999999497e-05	4.708899999999782e-10	0.00025218710416	-0.0424734	0.0004976999999999	0.00180398970756	2.477052899999968e-07	-0.0257072	-0.0069892	4.884891664000001e-05	0.00066086013184	0.00035071	-0.000203023	4.1218338529000015e-08	1.229975041e-07	0.000572602	0.0002107399999999	4.4411347599999985e-08	3.27873050404e-07	-0.00117505	0.00039992	1.3807425025e-06	1.599360064e-07	0.0	0.0	0.0	0.0
4990.865151942977	1.657182597209612	2.7462541604943955	24908734.964878798	11370.738619364223	11.065724519581636	129293696.749901	122.45025914327024	4404.037037924883	-2.6803396277709908	19395542.23141418	7.184220520199533	4521.429203497968	9037.466074290878	1.39311	38.073246	0.04413825	0.0253477	0.1293322003	-0.0042244766	0.0416106647	-0.0130325579	0.1024781884	-0.1121967708	-0.1264410812	0.0065681567	0.0457423427	0.150678914	-0.1891521139	-0.0682121899	-0.102627351	0.1418328985	0.129649445	0.0258910184	-0.1305389096	-0.0202701494	-0.1576787575	-0.0996830314	-0.0038822152	0.0141020529	0.0932424299	-0.096654854	-0.0172170732	-0.0018057428	0.0787839132	-0.1108449827	0.0292109838	0.0316157642	-0.1473357977	-0.0734797227	-0.0032323028	0.0432633484	-0.0465374182	-0.0248258442	-0.0739845282	0.0434549549	0.0300915817	-0.0330747351	-0.0046250537	-0.1063233714	-0.026767761	0.1134592291	0.2745445003	-0.0134920515	0.1999086393	-0.1210369227	-0.0439240906	0.0533852717	-0.0831113117	0.0172216592	-0.1412113976	0.0116682501	0.0975021345	-0.0506630711	0.1088188838	0.0052834149	-0.0164137206	0.0076813957	-0.1623563863	0.0325905794	-0.0335032295	0.1414780902	-0.0799641272	-0.0788044749	0.0011120838	-0.0544865965	0.0227071848	0.0539935186	0.0234491788	0.0643869737	-0.0539114078	0.0070134512	-0.1106748863	0.0142707818	-0.2256408863	-0.2518565137	0.1005957414	-0.2105875865	0.1419657166	0.1282204088	0.1062887712	0.0775710461	0.0439007383	0.0	0.0158906	1.0200000000001874e-05	1.0404000000003824e-10	0.00025251116836	-0.0556842	-0.0132108	0.00310073012964	0.00017452523664	-0.027354	-0.0016468	2.711950240000001e-06	0.000748241316	0.000714367	0.000363657	1.3224641364900005e-07	5.10320210689e-07	0.00045083	-0.0001217719999999	1.4828419983999993e-08	2.032476889e-07	-0.00127503	-9.997999999999996e-05	1.6257015008999995e-06	9.996000399999991e-09	0.0	0.0	0.0	0.0
4976.598111075328	-14.267040867648577	203.5484551191546	24766528.75915853	11353.783138275146	-16.955481089076784	128908391.55098104	287.4883389620404	4394.472058582579	-9.564979342304468	19311384.67366301	91.48882981871122	4512.93325006126	8948.70319170727	1.450312	39.636562	0.0279741999999999	0.0160722	-0.0863397974	-0.1166261565	0.1463572818	0.0921885024	-0.065201281	-0.109520679	-0.0537453709	-0.021044445	-0.108556436	0.0376312844	0.0150449614	0.2444557147	0.0346053674	-0.081329981	-0.1132241271	0.0502491128	0.0988086858	0.0433203869	-0.0035651396	0.0221729046	-0.079277815	0.1006217342	0.0410151766	0.008196265	0.1823744837	0.1482924105	0.1098126575	0.0241818039	-0.1103101234	-0.1219146409	-0.1738120733	-0.0880459481	0.0913454454	0.1351978566	-0.1035350457	0.0916729021	0.0693095175	-0.1157693977	-0.0701129168	-0.0072430836	0.1763262927	0.1604304016	0.1208755397	-0.066892892	-0.037721392	-0.1857567588	-0.2125198569	0.1462801474	0.0424920515	0.030237563	0.0869113743	-0.0351850332	-0.027974287	0.0744071014	-0.0877741049	-0.0573270141	-0.0730646615	-0.1187943838	-0.2153262283	-0.0878173696	-0.0835617554	-0.0270025957	0.1461704194	0.0574096798	-0.0406576221	-0.0890794275	-0.1252325467	-0.140450285	-0.096173666	-0.1733080406	0.1957974415	-0.0008055636	0.0583541004	0.1607219189	0.0160243652	-0.0762943395	0.144199255	0.0383821009	0.1900736696	0.2071278626	0.1406432718	0.123123346	0.0955218954	0.0600989683	0.0197550473	0.0	0.0158985	7.899999999998186e-06	6.240999999997134e-11	0.00025276230225	-0.0559476	-0.0002633999999999	0.00313013394576	6.937955999999842e-08	-0.0187218	0.0086322	7.451487684e-05	0.00035050579524	0.000558122	-0.000156245	2.4412500025000023e-08	3.11500166884e-07	0.000398541	-5.2289000000000014e-05	2.7341395210000016e-09	1.58834928681e-07	-0.00110215	0.0001728799999999	1.2147346225000002e-06	2.988749439999994e-08	0.0	0.0	0.0	0.0
