Trialn,TrialType,Partner,Feedback,ITI,ISI
1,3,1,3,1,2.550000e+00
2,4,2,1,2,2.550000e+00
3,1,1,1,1,2.550000e+00
4,6,2,3,1,2.550000e+00
5,1,1,1,3,2.550000e+00
6,3,1,3,1,1.700000e+00
7,4,2,1,1,8.500000e-01
8,1,1,1,4,2.550000e+00
9,1,1,1,4,2.550000e+00
10,4,2,1,4,8.500000e-01
11,2,1,2,2,8.500000e-01
12,6,2,3,3,2.550000e+00
13,3,1,3,3,2.550000e+00
14,5,2,2,4,1.700000e+00
15,5,2,2,4,8.500000e-01
16,2,1,2,3,8.500000e-01
17,6,2,3,1,8.500000e-01
18,4,2,1,2,8.500000e-01
19,2,1,2,4,8.500000e-01
20,4,2,1,1,8.500000e-01
21,1,1,1,4,2.550000e+00
22,2,1,2,4,2.550000e+00
23,4,2,1,2,8.500000e-01
24,3,1,3,2,1.700000e+00
25,4,2,1,1,8.500000e-01
26,3,1,3,4,1.700000e+00
27,5,2,2,3,2.550000e+00
28,1,1,1,2,1.700000e+00
29,3,1,3,1,8.500000e-01
30,1,1,1,4,2.550000e+00
31,1,1,1,2,1.700000e+00
32,4,2,1,1,1.700000e+00
33,4,2,1,4,8.500000e-01
34,2,1,2,2,8.500000e-01
35,1,1,1,4,1.700000e+00
36,3,1,3,3,2.550000e+00
37,6,2,3,3,1.700000e+00
38,5,2,2,3,1.700000e+00
39,6,2,3,3,2.550000e+00
40,6,2,3,2,2.550000e+00
41,5,2,2,2,1.700000e+00
42,3,1,3,1,8.500000e-01
43,6,2,3,4,1.700000e+00
44,3,1,3,1,8.500000e-01
45,6,2,3,3,1.700000e+00
46,3,1,3,3,1.700000e+00
47,1,1,1,2,2.550000e+00
48,6,2,3,2,1.700000e+00
49,6,2,3,3,2.550000e+00
50,4,2,1,3,8.500000e-01
51,4,2,1,2,8.500000e-01
52,3,1,3,2,1.700000e+00
53,6,2,3,1,1.700000e+00
54,1,1,1,1,1.700000e+00
