sub	MB	ME	stat	contrast	denoise	mask_name	mean_act	median_act
10154	6	4	varcope	13	tedana	VS	65879.8828125	64771.29296875
10154	6	4	varcope	13	tedana	RVS	79403.578125	58071.3359375
10154	6	4	varcope	13	tedana	LVS	81971.859375	76431.484375
10154	6	4	varcope	13	tedana	vmPFC	30886.642578125	32132.732421875
10154	6	4	varcope	13	tedana	FFA	39737.03515625	25795.3984375
10154	6	4	varcope	13	tedana	sCerb	84554.3046875	74483.0859375
10154	6	4	varcope	13	tedana	iCerb	37226.2421875	36589.31640625
10154	6	4	varcope	13	tedana	Motor	32879.66796875	25810.982421875
10154	6	4	cope	12	tedana	VS	-25.41756820678711	-18.67156410217285
10154	6	4	cope	12	tedana	RVS	8.6392240524292	-0.6136271953582764
10154	6	4	cope	12	tedana	LVS	-296.65728759765625	-253.31842041015625
10154	6	4	cope	12	tedana	vmPFC	71.11583709716797	-64.37469482421875
10154	6	4	cope	12	tedana	FFA	-220.0560302734375	-148.08827209472656
10154	6	4	cope	12	tedana	sCerb	376.5726623535156	393.9511413574219
10154	6	4	cope	12	tedana	iCerb	190.02667236328125	167.46507263183594
10154	6	4	cope	12	tedana	Motor	528.0144653320312	462.1798095703125
10154	6	4	varcope	11	tedana	VS	677148.875	664918.0
10154	6	4	varcope	11	tedana	RVS	821407.375	594997.9375
10154	6	4	varcope	11	tedana	LVS	847466.3125	788145.75
10154	6	4	varcope	11	tedana	vmPFC	321027.46875	333858.8125
10154	6	4	varcope	11	tedana	FFA	413805.6875	268805.46875
10154	6	4	varcope	11	tedana	sCerb	874805.0	770539.0625
10154	6	4	varcope	11	tedana	iCerb	386592.40625	379347.0625
10154	6	4	varcope	11	tedana	Motor	341950.40625	268848.6875
10154	6	4	zstat	11	tedana	VS	-0.15447717905044556	-0.1979764699935913
10154	6	4	zstat	11	tedana	RVS	0.008160206489264965	0.10626628249883652
10154	6	4	zstat	11	tedana	LVS	-0.07605826109647751	-0.08143829554319382
10154	6	4	zstat	11	tedana	vmPFC	-0.4518423080444336	-0.41353747248649597
10154	6	4	zstat	11	tedana	FFA	0.9632502794265747	0.9376232624053955
10154	6	4	zstat	11	tedana	sCerb	-0.28323790431022644	-0.292453795671463
10154	6	4	zstat	11	tedana	iCerb	-0.048502709716558456	-0.15563727915287018
10154	6	4	zstat	11	tedana	Motor	-0.5327501893043518	-0.5743162631988525
10154	6	4	cope	11	tedana	VS	-133.0414276123047	-163.40097045898438
10154	6	4	cope	11	tedana	RVS	3.247244358062744	72.51309967041016
10154	6	4	cope	11	tedana	LVS	-66.15227508544922	-74.15376281738281
10154	6	4	cope	11	tedana	vmPFC	-335.3659362792969	-217.74270629882812
10154	6	4	cope	11	tedana	FFA	561.2875366210938	533.456298828125
10154	6	4	cope	11	tedana	sCerb	-251.41436767578125	-273.3692932128906
10154	6	4	cope	11	tedana	iCerb	-28.942455291748047	-105.18743896484375
10154	6	4	cope	11	tedana	Motor	-309.857421875	-284.4315185546875
10154	6	4	varcope	12	tedana	VS	655884.125	643572.75
10154	6	4	varcope	12	tedana	RVS	799236.1875	576134.625
10154	6	4	varcope	12	tedana	LVS	823658.0	765761.0
10154	6	4	varcope	12	tedana	vmPFC	315751.4375	328344.625
10154	6	4	varcope	12	tedana	FFA	407023.5	262533.9375
10154	6	4	varcope	12	tedana	sCerb	852035.9375	750229.75
10154	6	4	varcope	12	tedana	iCerb	376907.59375	369574.4375
10154	6	4	varcope	12	tedana	Motor	335890.34375	263727.28125
10154	6	4	zstat	12	tedana	VS	-0.050334632396698	-0.022649498656392097
10154	6	4	zstat	12	tedana	RVS	-0.0011782535584643483	-0.0007479822379536927
10154	6	4	zstat	12	tedana	LVS	-0.34216275811195374	-0.2912070155143738
10154	6	4	zstat	12	tedana	vmPFC	0.06513549387454987	-0.1786729395389557
10154	6	4	zstat	12	tedana	FFA	-0.3410117030143738	-0.2468559741973877
10154	6	4	zstat	12	tedana	sCerb	0.4406096637248993	0.44030728936195374
10154	6	4	zstat	12	tedana	iCerb	0.30790483951568604	0.27972009778022766
10154	6	4	zstat	12	tedana	Motor	0.8698716163635254	0.909206748008728
10154	6	4	zstat	13	tedana	VS	0.45942240953445435	0.5513825416564941
10154	6	4	zstat	13	tedana	RVS	0.4979685842990875	0.5186802744865417
10154	6	4	zstat	13	tedana	LVS	1.049580693244934	1.0810017585754395
10154	6	4	zstat	13	tedana	vmPFC	0.5563888549804688	0.6056409478187561
10154	6	4	zstat	13	tedana	FFA	0.4281213581562042	0.657232403755188
10154	6	4	zstat	13	tedana	sCerb	0.23725607991218567	0.20282064378261566
10154	6	4	zstat	13	tedana	iCerb	0.6791973114013672	0.6397830247879028
10154	6	4	zstat	13	tedana	Motor	0.9031888842582703	0.9649172425270081
