sub	MB	ME	Striatum	MPFC
10154	6	4	26.651233673095703	41.79709243774414
10154	1	4	38.172855377197266	40.9074821472168
10154	3	4	39.1024284362793	45.97206497192383
10154	1	1	24.647867700002248	37.66770302730446
10154	6	1	22.764819304130565	27.901065770790204
10154	3	1	24.915429394435147	33.44796731623082
10142	1	1	32.03133647733993	25.720086143278838
10142	1	4	47.41188430786133	48.75788497924805
10142	3	1	34.07878597335088	30.067997443900218
10142	6	4	29.58418846130371	35.97019958496094
10142	3	4	40.70087814331055	43.92543411254883
10142	6	1	28.888487734733424	34.01947271862734
10137	3	1	30.005532466226928	36.1398661255752
10137	1	1	30.37053779704376	41.41525331339326
10137	6	1	28.146387689722964	38.73827235150968
10137	3	4	44.49245071411133	48.36469650268555
10137	1	4	53.05036926269531	58.645057678222656
10137	6	4	32.072513580322266	43.3997688293457
10108	3	4	49.213016510009766	55.00619888305664
10108	3	1	21.358682952674563	33.220250143476456
10108	1	4	55.79632568359375	51.96311950683594
10108	6	1	29.903999815816068	45.58269568097819
10108	1	1	24.75226655962306	38.326724402887294
10108	6	4	32.72635269165039	40.20030975341797
10188	3	1	38.14191083468737	38.69969641160848
10188	6	4	28.65654945373535	29.730276107788086
10188	1	4	52.12923812866211	40.921226501464844
10188	6	1	32.116559003941234	33.71361700237377
10188	3	4	41.04793167114258	37.59653854370117
10188	1	1	40.77652432013445	39.282252644695646
10186	1	1	13.329394575410907	35.162198773702535
10186	6	4	26.825895309448242	36.88492202758789
10186	3	4	32.456947326660156	35.40443801879883
10186	3	1	15.698803561707424	35.07740896119156
10186	1	4	53.51632308959961	59.28933334350586
10186	6	1	12.667553721464904	42.47212305745658
10035	3	1	21.37688293615641	37.02099010102924
10035	1	4	57.30579376220703	48.36577224731445
10035	6	1	19.80190918527466	30.570023697110333
10035	6	4	30.97882080078125	40.8726806640625
10035	1	1	20.804364692743032	38.54730604746701
10035	3	4	42.32453918457031	45.8509407043457
10150	3	1	21.612448194160628	36.414825938355506
10150	6	1	17.905912854312852	28.537687622436504
10150	6	4	25.334442138671875	38.75299072265625
10150	1	1	18.50255952260074	39.821232833882675
10150	1	4	40.81806182861328	38.870994567871094
10150	3	4	32.03570556640625	38.279029846191406
10074	1	1	33.411358601549296	31.402900797784824
10074	1	4	44.84475326538086	47.567710876464844
10074	3	1	33.007044847004735	31.242745334206234
10074	6	4	28.199535369873047	35.59861373901367
10074	6	1	29.41466573474028	38.1088323344837
10074	3	4	35.0572509765625	39.84502410888672
10043	3	1	35.32184288306306	39.789876011671225
10043	6	4	33.51671600341797	41.106563568115234
10043	6	1	34.480741158327845	39.93309829980156
10043	3	4	44.194862365722656	42.99350357055664
10043	1	4	50.34527587890625	58.16119384765625
10043	1	1	41.41141611025194	48.230186472465796
10059	1	1	41.46533671348559	46.93378804554145
10059	3	4	49.97935104370117	49.946353912353516
10059	1	4	58.730594635009766	56.04353332519531
10059	6	4	31.864286422729492	50.65171432495117
10059	6	1	37.17181207611788	38.61710575712716
10059	3	1	38.93473524177379	39.024641164497005
10136	6	4	25.380958557128906	37.558841705322266
10136	3	1	16.62053601868593	35.715328390057465
10136	3	4	32.75730514526367	37.010189056396484
10136	1	4	35.87983322143555	34.98918914794922
10136	6	1	17.603757461335647	29.72787388629843
10136	1	1	16.002577136925133	39.29804795020259
10017	3	4	43.89551544189453	46.21541976928711
10017	1	4	57.13142395019531	57.37148666381836
10017	1	1	26.127536328679557	36.084457820913784
10017	3	1	29.184472695184745	37.798492154005466
10017	6	4	32.668701171875	36.29594039916992
10017	6	1	23.23624244520532	31.120523162535896
10080	6	4	18.377851486206055	18.715011596679688
10080	1	1	18.210981101497183	16.742803364940503
10080	3	4	25.782272338867188	26.305770874023438
10080	3	1	15.650034804797842	21.491835215216053
10080	1	4	34.30390548706055	31.70575523376465
10080	6	1	17.667587125580585	19.983111155699287
10221	1	1	27.501258982569734	30.64188779343139
10221	6	1	22.7040750619088	28.456029521353784
10221	1	4	45.374202728271484	29.539920806884766
10221	3	4	39.89008712768555	30.069049835205078
10221	3	1	28.58109340661228	33.97092219284112
10221	6	4	27.638242721557617	26.012012481689453
10054	6	4	32.573394775390625	38.040199279785156
10054	3	1	39.841705990266604	37.41479424928407
10054	1	4	49.912200927734375	46.92076873779297
10054	6	1	31.113933947766846	30.456254332583388
10054	3	4	46.719364166259766	41.5089111328125
10054	1	1	44.178165435791016	43.62962341308594
10125	3	1	21.853863469933195	36.60353580783653
10125	6	1	22.997082047154624	40.220266082770905
10125	3	4	42.54557800292969	38.35589599609375
10125	1	4	50.16731262207031	48.63311767578125
10125	1	1	24.000906645266443	30.101772593807333
10125	6	4	29.122770309448242	29.509973526000977
10024	1	1	18.61201695500156	31.10338604293521
10024	3	4	43.24127197265625	47.09444046020508
10024	6	4	29.422409057617188	45.33631134033203
10024	3	1	28.29892388126484	38.45198330480312
10024	6	1	26.184353949907912	38.53002588257525
10024	1	4	58.332950592041016	51.592498779296875
