global_signal	global_signal_derivative1	global_signal_power2	global_signal_derivative1_power2	csf	csf_derivative1	csf_power2	csf_derivative1_power2	white_matter	white_matter_derivative1	white_matter_derivative1_power2	white_matter_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	t_comp_cor_04	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	c_comp_cor_05	c_comp_cor_06	c_comp_cor_07	c_comp_cor_08	c_comp_cor_09	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	w_comp_cor_19	w_comp_cor_20	w_comp_cor_21	w_comp_cor_22	w_comp_cor_23	w_comp_cor_24	w_comp_cor_25	w_comp_cor_26	w_comp_cor_27	w_comp_cor_28	w_comp_cor_29	w_comp_cor_30	w_comp_cor_31	w_comp_cor_32	w_comp_cor_33	w_comp_cor_34	w_comp_cor_35	w_comp_cor_36	w_comp_cor_37	w_comp_cor_38	w_comp_cor_39	w_comp_cor_40	w_comp_cor_41	w_comp_cor_42	w_comp_cor_43	w_comp_cor_44	w_comp_cor_45	w_comp_cor_46	w_comp_cor_47	w_comp_cor_48	w_comp_cor_49	w_comp_cor_50	w_comp_cor_51	w_comp_cor_52	w_comp_cor_53	w_comp_cor_54	w_comp_cor_55	w_comp_cor_56	w_comp_cor_57	w_comp_cor_58	w_comp_cor_59	w_comp_cor_60	w_comp_cor_61	w_comp_cor_62	w_comp_cor_63	w_comp_cor_64	w_comp_cor_65	w_comp_cor_66	w_comp_cor_67	w_comp_cor_68	w_comp_cor_69	w_comp_cor_70	w_comp_cor_71	w_comp_cor_72	w_comp_cor_73	w_comp_cor_74	w_comp_cor_75	w_comp_cor_76	w_comp_cor_77	w_comp_cor_78	w_comp_cor_79	w_comp_cor_80	w_comp_cor_81	w_comp_cor_82	w_comp_cor_83	w_comp_cor_84	w_comp_cor_85	w_comp_cor_86	w_comp_cor_87	w_comp_cor_88	w_comp_cor_89	w_comp_cor_90	w_comp_cor_91	w_comp_cor_92	w_comp_cor_93	w_comp_cor_94	w_comp_cor_95	w_comp_cor_96	w_comp_cor_97	w_comp_cor_98	w_comp_cor_99	w_comp_cor_100	w_comp_cor_101	w_comp_cor_102	w_comp_cor_103	w_comp_cor_104	w_comp_cor_105	w_comp_cor_106	w_comp_cor_107	w_comp_cor_108	w_comp_cor_109	w_comp_cor_110	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	a_comp_cor_32	a_comp_cor_33	a_comp_cor_34	a_comp_cor_35	a_comp_cor_36	a_comp_cor_37	a_comp_cor_38	a_comp_cor_39	a_comp_cor_40	a_comp_cor_41	a_comp_cor_42	a_comp_cor_43	a_comp_cor_44	a_comp_cor_45	a_comp_cor_46	a_comp_cor_47	a_comp_cor_48	a_comp_cor_49	a_comp_cor_50	a_comp_cor_51	a_comp_cor_52	a_comp_cor_53	a_comp_cor_54	a_comp_cor_55	a_comp_cor_56	a_comp_cor_57	a_comp_cor_58	a_comp_cor_59	a_comp_cor_60	a_comp_cor_61	a_comp_cor_62	a_comp_cor_63	a_comp_cor_64	a_comp_cor_65	a_comp_cor_66	a_comp_cor_67	a_comp_cor_68	a_comp_cor_69	a_comp_cor_70	a_comp_cor_71	a_comp_cor_72	a_comp_cor_73	a_comp_cor_74	a_comp_cor_75	a_comp_cor_76	a_comp_cor_77	a_comp_cor_78	a_comp_cor_79	a_comp_cor_80	a_comp_cor_81	a_comp_cor_82	a_comp_cor_83	a_comp_cor_84	a_comp_cor_85	a_comp_cor_86	a_comp_cor_87	a_comp_cor_88	a_comp_cor_89	a_comp_cor_90	a_comp_cor_91	a_comp_cor_92	a_comp_cor_93	a_comp_cor_94	a_comp_cor_95	a_comp_cor_96	a_comp_cor_97	a_comp_cor_98	a_comp_cor_99	a_comp_cor_100	a_comp_cor_101	a_comp_cor_102	a_comp_cor_103	a_comp_cor_104	a_comp_cor_105	a_comp_cor_106	a_comp_cor_107	cosine00	cosine01	cosine02	cosine03	cosine04	non_steady_state_outlier00	trans_x	trans_x_derivative1	trans_x_power2	trans_x_derivative1_power2	trans_y	trans_y_derivative1	trans_y_derivative1_power2	trans_y_power2	trans_z	trans_z_derivative1	trans_z_derivative1_power2	trans_z_power2	rot_x	rot_x_derivative1	rot_x_derivative1_power2	rot_x_power2	rot_y	rot_y_derivative1	rot_y_power2	rot_y_derivative1_power2	rot_z	rot_z_derivative1	rot_z_derivative1_power2	rot_z_power2	motion_outlier00	motion_outlier01	motion_outlier02	motion_outlier03
6277.832442874633	n/a	39411180.18080928	n/a	14975.110444565733	n/a	224253932.8269417	n/a	5940.188462884397	n/a	n/a	35285838.9745849	6317.903067330929	9130.2652380753	n/a	n/a	n/a	n/a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	-0.0187987	n/a	0.00035339112169	n/a	0.113805	n/a	n/a	0.012951578025	0.200519	n/a	n/a	0.040207869361	-0.000240708	n/a	n/a	5.7940341264000014e-08	-0.000640014	n/a	4.0961792019600005e-07	n/a	0.0	n/a	n/a	0.0	0.0	0.0	0.0	0.0
6247.723290172698	-30.109152701934363	39034046.310566366	906.5610764284014	14668.372595751714	-306.73784881401843	215161154.6077999	94088.10789505162	5927.947928258254	-12.240534626143017	149.83068793380616	35140566.64014133	6304.524986968753	8967.479695010063	1.271354	41.455521	0.11309391	0.0570626	-0.0213057811	-0.0811576368	-0.0491789019	0.0034111819	0.0643025539	-0.1150796787	-0.0563020686	-0.0419410485	0.1755825982	0.1538406907	0.0062402469	-0.172828146	0.2260126343	-0.1211319635	0.1685597649	-0.038757533	-0.0028837132	0.0241336915	-0.06678909	0.004238171	-0.0199456068	0.0606379285	-0.083660793	0.0618872629	-0.0315189064	0.0208071757	-0.0674068179	0.0499411937	-0.0045938887	0.0590768521	-0.0103058188	0.0913329841	-0.043775601	0.0783140792	-0.0034181052	0.0048479998	-0.0434862482	0.0359932018	-0.0156337492	0.0061778805	0.0167499968	-0.0144646889	-0.0163610121	0.0275022096	-0.0726104622	-0.0100956181	0.1316987666	-0.045454993	0.0540491295	-0.004915214	0.0823490383	-0.0334144677	0.0076045063	-0.0265583629	0.0315780157	-0.0327844942	0.0523101239	-0.0373906053	0.0001712502	-0.0054354084	0.0499486432	-0.07966239	0.0008799654	-0.0366144451	0.0965483914	-0.0111575121	0.0429336381	-0.0306333956	0.0121525009	-0.0292043218	0.0422317362	-0.0291134317	0.0296669119	-0.0177982739	-0.0076246435	0.0895671172	-0.0519566761	0.0125401881	0.0807066946	-0.0448881129	0.0344608468	-0.0303556093	0.0120574335	0.006441716	0.0256538885	-0.0447210828	0.096573924	0.0057782054	-0.0604913297	-0.0074778191	0.0322324911	0.0165499266	0.0159279255	-0.0666182451	0.0282730053	0.1160782296	-0.0598489598	-0.0187273792	0.0399836091	-0.0606899315	-0.0282427264	0.0815609098	0.0211943084	-0.0962007304	-0.0246888796	0.0536780698	0.0067717313	-0.0895316402	-0.0082643321	0.0920447208	-0.0768061616	-0.0880353864	-0.0122474976	0.0608854051	-0.0101782281	-0.023637344	0.0866053184	0.0417917567	0.0050754859	0.0292301883	-0.043190906	-0.0124364986	0.0476062583	0.0143218727	-0.0892007873	-0.0567130036	-0.0408398235	0.0531070384	0.003152598	-0.0107423401	0.0449727309	-0.0499693155	0.0645047389	-0.0069406817	0.0462445897	-0.0579423896	0.051802253	0.1271775291	-0.1364628955	0.0161709705	-0.0165285467	0.006057024	-0.0486650802	0.0774184941	-0.0434907448	0.1026949131	-0.0685959348	0.0447976858	-0.0121206116	0.0409274854	-0.0532410992	0.0193574411	-0.0177559992	-0.0538465759	0.0207111556	-0.022485116	-0.0059307266	-0.0948372208	0.0089436713	0.1059883623	0.0520679223	-0.0787293661	0.0981351717	-0.0071627394	0.0157532536	-0.0283789146	0.0079638287	-0.0927959758	0.0436306881	-0.0143913777	0.0551922303	-0.0303568126	0.0207144607	-0.0114195293	0.0577308035	-0.0093125361	0.1299530262	-0.0467698345	0.0498910245	-0.0118437176	0.0800907702	-0.0757636501	0.0030072762	-0.0484996993	0.0575412252	-0.0247471756	-0.0102274436	0.0699328773	0.021512202	-0.0500769693	0.0051149163	0.0539129302	-0.055470276	-0.0006785731	0.0164933307	-0.0545933032	0.0454865048	-0.0593462931	-0.0580292705	-0.0362263129	0.0412157925	-0.0292162606	-0.0226920922	0.0867945034	0.1166221918	-0.0158190072	-0.121362286	0.0668939273	-0.0454236198	0.0502837213	0.0423251768	-0.0113415028	-0.0489902564	0.1555842471	0.0219789986	-0.0389005316	-0.0406875716	0.1087416435	0.0549426315	0.024147068	-0.1164148756	0.0634602909	0.0273754512	0.0160118075	-0.1072188102	0.0040355656	0.0199169971	0.0007143363	-0.0195020234	-0.0083572132	-0.0031955596	-0.0570728443	0.0375742696	-0.0338009734	0.0721681798	0.0721663684	0.0721633495	0.072159123	0.0721536891	0.0	-0.0194362	-0.0006374999999999	0.00037776587044	4.064062499999989e-07	0.162487	0.0486819999999999	0.0023699371239999	0.0264020251689999	0.182229	-0.01829	0.0003345241	0.033207408441	-0.0007226999999999	-0.0004819919999998	2.3231628806390362e-07	5.222952899998554e-07	-0.00100402	-0.000364006	1.0080561604e-06	1.3250036803600005e-07	6.36902e-05	6.36902e-05	4.056441576039999e-09	4.056441576039999e-09	0.0	0.0	0.0	0.0
6230.359174255678	-17.36411591702017	38817375.4402319	301.5125215797133	14545.246955933864	-123.12563981785024	211564209.00910336	15159.92318055499	5928.317577179255	0.3696489210005893	0.1366403247968999	35144949.29589251	6302.159571266404	8855.902784011554	1.200419	39.14254	0.133299365	0.0838966	0.0137676154	-0.0726352028	0.0425399296	0.0709310213	0.0941708043	-0.098340933	-0.0516059643	0.0497948666	0.0940107427	0.171538075	-0.0338085167	-0.183374899	0.167905411	-0.1040384636	0.0863755848	-0.035539848	-0.041597762	0.0029436715	0.0450156477	-0.0411510412	-0.0712906644	0.0476779676	-0.0944412777	0.0602050251	-0.0245857656	-0.0917629237	0.0192217824	0.0709606588	0.0634304664	-0.0473011949	0.0507466518	0.0134496339	-0.0961203868	-0.0264292894	0.0477790698	0.1037395589	0.0007709081	-0.0097387103	-0.0820706443	0.0919337279	-0.0019125285	-0.1154235872	-0.0208488213	-0.045462614	-0.0166964418	0.0893269368	0.0134087293	-0.0047858659	0.0342089859	-0.0203167643	-0.0062971811	-0.05478313	-0.0221847429	0.0956709106	-0.0631067979	-0.0418206613	0.023490543	0.0308406277	0.0458170837	-0.0520154021	0.0334615797	0.0502824396	-0.0820733178	0.1282779924	-0.0043964845	0.033454705	0.0324094486	-0.0558091608	-0.0255209132	-0.0086542668	0.0890995658	-0.0247270567	0.0224522671	-0.0627719122	0.0250108203	-0.0526987573	-0.0330124625	-0.010151337	-0.0330808377	0.0028242092	-0.0369906224	-0.0794165651	0.058302494	0.0042382713	-0.0619517032	-0.0087279628	0.0538102504	-0.0091936217	-0.0270606792	0.0111530643	0.0523371137	0.0288478023	0.1088761602	-0.0297815734	-0.0531681091	-0.0380718655	-0.0559266493	-0.0085657537	-0.0487225294	-0.0772390967	0.0320406689	0.0146380465	-0.0280616459	0.06029583	0.0173165025	0.0454179228	-0.0492197124	0.0143144538	-0.0112266086	-0.0864051392	0.0809479988	0.0024883224	0.018774703	-0.0449152186	-0.0256326761	-0.0359362727	-0.0521882807	-0.016996417	-0.0228422978	-0.0280478509	-0.0167426941	-0.0783594967	-0.0314006159	0.0769351457	0.0086952095	-0.105137934	-0.028756497	0.0682583714	-0.0222430819	-0.016042968	-0.0587232013	-0.0884664298	0.1732464294	-0.010837875	0.0440779491	-0.040223349	-0.0072774948	0.1358485078	-0.048494265	0.0234363758	0.0985435072	0.0890947681	-0.0042039166	0.0079920021	-0.1042438153	-0.0152069435	-0.14872731	-0.0460255101	-0.018208751	0.0953140176	-0.0587398638	0.0330377671	0.0494644638	-0.0354366035	0.0402954799	0.0302353482	-0.1138289754	0.0252395504	0.0058471567	0.0886597393	0.0138237899	-0.0267463842	-0.0054278901	-0.0042914479	-0.0287745809	0.0447285133	-0.1301515146	-0.0516789834	-0.0084446826	0.0125879936	0.0124138517	0.1088465781	-0.0629665326	0.0538877851	-0.021217522	0.0038521055	0.078343615	-0.0537328839	-0.0895366914	0.0136645573	0.0313600209	0.0286614703	-0.0172907685	0.0014761394	0.0514935488	-0.0357584032	0.0231640271	0.0040473336	-0.0031759702	0.0925788182	0.0408248691	0.0606551153	0.0733401643	-0.0363776172	-0.05204819	-0.0244047304	0.0508727858	-0.0265238529	-0.0697156586	0.0516750605	0.0176057385	-0.0237179041	0.045679676	-0.0656550099	0.1154174504	0.0584754291	-0.0288803659	0.0375208576	0.0111738247	0.0637713028	-0.0185909281	0.0321826617	0.0642636354	-0.0334740872	-0.0304231287	0.0027577188	-0.1066222534	-0.0427579174	0.0147899086	0.0522369926	0.0534753605	0.0169971415	-0.0027555624	0.0272108524	-0.0961271705	-0.0228159348	0.0182969089	0.0618564887	0.0087305973	0.0773371292	-0.0117103702	0.0331683108	-0.0189038069	-0.0326465671	0.0721633495	0.0721470478	0.072119881	0.0720818532	0.0720329701	0.0	-0.0193271	0.0001091	0.00037353679441	1.1902810000000188e-08	0.0828097	-0.0796772999999999	0.0063484721352899	0.00685744641409	0.19156	0.009331	8.706756100000011e-05	0.0366952336	-4.81655e-05	0.0006745344999999	4.5499679169011516e-07	2.31991539025e-09	-0.000915008	8.901199999999997e-05	8.37239640064e-07	7.923136143999995e-09	0.000183783	0.0001200928	1.442228061184e-08	3.3776191089e-08	0.0	0.0	0.0	0.0
6217.181661337957	-13.177512917721288	38653347.810077	173.6468466967114	14405.97191640003	-139.27503953383348	207532026.8561064	19397.53663715088	5924.421236238076	-3.896340941179005	15.181472729907696	35098766.984388694	6283.955062388242	8757.972931443139	1.160227	37.83197	0.06239133	0.0413898	0.0230580761	-0.0818590936	0.0304186865	-0.0680820644	0.0883110108	-0.0885729914	-0.0353526827	-0.0797623382	0.0554234045	0.1173542799	-0.0340641787	-0.1259032707	0.0371495538	0.0178185928	0.0489863036	-0.0432152456	-0.0479554338	0.0434750676	0.0961517659	0.0595121811	-0.0399278905	0.024116398	-0.0546853281	0.0668150731	0.0099248903	-0.0593931572	0.0567664063	0.0169814014	0.0314952207	0.0722869924	-0.095455844	0.0319201511	-0.041200635	0.0268564671	-0.0219602022	0.1226537144	-0.0254567407	-0.0571921841	0.1105149196	0.0970000022	-0.0748672396	0.0297134132	0.0171958306	-0.0267661473	-0.0489820052	-0.0219233236	-0.0436571056	0.0192212653	-0.0323119815	0.0257099975	0.093642809	0.0011095806	0.0071650817	0.0041290782	0.0695249123	-0.0491395618	0.0332200898	-0.0178408088	0.0598650771	-0.053883863	-0.0232805077	0.0264113817	-0.0702915447	0.0842651556	-0.0447077935	-0.0226569491	0.0596350672	0.069339072	0.0769773104	0.0201900825	0.0524178439	0.0041212317	-0.0625276396	0.1187855261	0.0062389399	0.0292955466	0.0445999687	0.0405203801	0.0282985081	-0.002457304	0.0381877049	-0.0426617765	-0.0654985322	0.0174536184	0.0443958615	0.0775675231	-0.0163966008	-0.0244065371	0.0621462885	0.0672259032	0.0174913109	-0.0344903902	0.0604809064	0.0781203129	0.0293602254	-0.0029506027	0.0275978713	-0.0251652982	-0.0009047861	-0.0263965419	0.0287259362	-0.0533192851	-0.0185508929	-0.0641667458	-0.0570479758	0.0201604408	-0.040207845	-0.0108962526	0.0323754926	0.0056851663	0.05134381	-0.0584533762	0.0084380073	-0.04086361	-0.0403016375	-0.0028384795	0.0724927461	0.0017459118	-0.0363167953	-0.0477067752	-0.0407395956	0.1534148952	-0.0390180898	-0.0684032849	0.0957551932	-0.0344765376	0.0005349798	0.0720759736	-0.0391333164	0.0593272818	-0.018239261	-0.1286920428	0.051937377	-0.0225039476	-0.0135253697	-0.0055002942	0.0130964789	0.0662295113	-0.0414718041	0.0722297523	0.0221399835	-0.0651427116	-0.1085662608	-0.0653656158	-0.1033527285	0.0762851764	-0.0009332553	-0.107157335	-0.0958764181	0.0828550558	0.0071788779	-0.0278693192	0.0076384992	0.0553253388	-0.0204476122	-0.042514384	0.077825998	-0.0384174701	0.0234254632	-0.0492638997	-0.0020323724	-0.0656798465	-0.0041663239	-0.0260050769	0.0067020113	-0.0638136434	-0.0311315156	-0.100667773	-0.0028990148	-0.0125499637	0.0317499112	0.0382080769	-0.0500731071	0.0898509796	-0.0197836908	-0.0285662211	0.0056347458	0.0098990072	0.0137494005	0.058558899	-0.1052528236	0.0392444292	0.0377940275	0.1263108424	0.0065015631	-0.0118867077	0.0851682722	0.0157125721	-0.0524325177	-0.0743202465	0.0356838116	0.0105124957	-0.0319236646	-0.0312493972	0.0242082075	0.0028965537	-0.0372850263	0.0046195198	0.0848215354	0.0423064974	-0.0034841928	0.0466227946	-0.0583955907	-0.0434914339	0.0114886818	0.012763512	0.0219575912	0.0306575711	0.0163198479	-0.0276612429	-0.0183436736	0.0181920825	-0.0198617991	0.0225857047	0.0839523434	0.0514734876	-0.0917139503	0.0197107274	-9.98703e-05	0.0119521634	0.0494686704	-0.0689099728	-0.0414858981	0.040985656	-0.0239511453	0.0434255944	0.0285338734	0.0641582329	0.0438895305	-0.0592446597	0.0624885232	0.0358264782	0.0892861564	0.1029289402	0.0721536891	0.0721084116	0.0720329701	0.0719273963	0.0717917343	0.0	-0.0231539	-0.0038268	0.00053610308521	1.4644398240000014e-05	0.119224	0.0364143	0.0013260012444899	0.0142143621759999	0.210646	0.0190859999999999	0.0003642753959999	0.044371737316	-8.91111e-05	-4.09456e-05	1.67654215936e-09	7.94078814321e-09	-0.000898378	1.663000000000001e-05	8.07083030884e-07	2.765569000000003e-10	0.000187492	3.709000000000015e-06	1.375668100000011e-11	3.5153250064000014e-08	0.0	0.0	0.0	0.0
6222.046071775785	4.864410437828155	38713857.31930048	23.662488907651507	14349.51292330544	-56.45899309459128	205908521.13610983	3187.6179012551056	5915.633463847911	-8.787772390164719	77.22494358134134	34994719.27859724	6280.393048656155	8771.385789209078	1.191173	38.841026	0.142067245	0.064635	0.0002026857	-0.0672012977	-0.0510616741	0.0374703755	0.070732264	-0.0622651097	-0.0244627124	0.0176869402	0.0879813977	0.0193979299	-0.01115795	-0.0499461717	0.0568947075	-0.1090260653	0.113725003	-0.0108030336	-0.0739009738	0.0648698982	-0.0377677774	-0.0047497069	-0.0515150101	0.0741632948	-0.0041176484	0.0492482216	0.0074690392	-0.034109464	-0.0903180397	0.0390048009	0.046922166	0.0658943501	-0.0327554317	-0.0872282435	-0.0071366733	0.0129492767	0.0169957523	0.0126106599	-0.041752107	0.0208620511	-0.0266457489	-0.0575471539	0.0126443831	0.0554635375	-0.0406247708	-0.0565963183	-0.0335544289	-0.0025539476	0.0686843273	-0.0385345007	-0.0370766166	-0.0765881623	0.0448526872	0.003991231	-0.0916193442	-0.0103254967	-0.0120042301	0.0021555175	0.0568902433	0.0267163013	-0.0430418803	-0.0395474986	-0.02512041	0.0318495075	0.1039388631	-0.0385221834	-0.053729223	0.0474472218	0.0786718093	-0.0194211118	0.0588995321	-0.0453343264	-0.0519719562	0.0078028205	-0.0770553354	0.0504067009	0.1015614893	-0.0576690162	-0.0584000946	0.0062855358	0.0184435094	0.0206573917	-0.0361243948	0.0521854861	-0.0516892677	0.018770311	-0.048695144	-0.0040048675	0.0001177552	-0.06776053	-0.0330492498	0.0004958906	-0.0339233791	-0.0043723975	-0.1610961996	0.0014622185	0.0068297506	-0.11178609	-0.0673321794	-0.0545019839	-0.0069134714	0.0328174649	-0.0173311097	-0.0074809371	0.0605632247	0.0090631462	0.0087928526	0.0355771938	0.0314124815	0.0447648029	-0.061671438	-0.0500490271	0.0280166463	0.0767578295	-0.0278799579	0.0836859582	0.0169707081	0.0060863426	-0.0334282955	-0.1068793766	-0.0279673462	-0.02854808	0.0490281142	-0.0889137027	0.0319260168	0.0336521397	0.0352271111	-0.0137077416	-0.0153613347	0.0354705	-0.0763135882	-0.0487884789	0.0446731485	-0.0669393387	0.0564728013	-0.01594575	0.0218308621	0.0153362309	0.0240114947	0.046500042	-0.1143349012	-0.0073961725	0.0396606602	-0.0673588942	0.0307681022	-0.046925673	0.0409070608	0.0111629768	-0.0565330096	0.0622566238	-0.0313443848	-0.0229600744	0.0242629487	0.031180033	-0.0350374566	0.0671644977	0.023960572	0.0138076237	-0.0013289	-0.0567766234	-0.0581628241	0.0418399277	-0.0189338065	-0.0539380685	0.0844602109	-0.0211288752	0.05450242	-0.0041371506	-0.0350442577	-0.0160463534	0.0346932415	-0.0227701941	-0.0403787479	-0.0547737778	0.0168111465	-0.0041402797	-0.09314751	-0.0693231212	-0.0140631257	-0.0399739521	0.050233932	-0.0106343563	0.0532218271	0.0652488065	0.0247422074	-0.041998799	0.0336950617	0.0252503086	-0.0510024823	-0.0184332857	-0.041675364	-0.0098341097	0.1611606182	-0.113403657	0.0300248949	-0.0082794339	-0.0342673501	-0.0529490938	0.0193026904	0.0045180219	-0.0410753709	0.0287289957	-0.0122412554	0.0146011982	-0.0216407501	0.0612248852	-0.0403513542	0.0477765101	-0.0786927343	-0.1466610813	0.020423317	-0.0298753653	-0.0058154354	0.0331622534	-0.0593932526	-0.0166781431	-0.0237949842	-0.0494786329	0.0297430658	-0.0172656435	-0.1007441814	0.0132075129	0.012359393	-0.0634878834	-0.0339950529	-0.0297146252	0.0075370471	-0.0958213213	0.0045337682	-0.0142380102	0.0441947264	0.0307208758	-0.1125294241	0.0110690952	-0.1332550334	0.0004067622	0.0721391992	0.0720504702	0.0719026694	0.0716959178	0.0714303851	0.0	-0.029987	-0.0068330999999999	0.000899220169	4.669125560999997e-05	0.156729	0.037505	0.001406625025	0.024563979441	0.160816	-0.04983	0.0024830289	0.0258617858559999	-0.000694665	-0.0006055539	3.6669552580521e-07	4.825594622250001e-07	-0.00115931	-0.0002609319999999	1.3439996761e-06	6.808550862399998e-08	0.000278989	9.149699999999998e-05	8.371701008999996e-09	7.783486212099999e-08	0.0	0.0	0.0	0.0
