global_signal	global_signal_derivative1	global_signal_power2	global_signal_derivative1_power2	csf	csf_derivative1	csf_power2	csf_derivative1_power2	white_matter	white_matter_derivative1	white_matter_derivative1_power2	white_matter_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	w_comp_cor_19	w_comp_cor_20	w_comp_cor_21	w_comp_cor_22	w_comp_cor_23	w_comp_cor_24	w_comp_cor_25	w_comp_cor_26	w_comp_cor_27	w_comp_cor_28	w_comp_cor_29	w_comp_cor_30	w_comp_cor_31	w_comp_cor_32	w_comp_cor_33	w_comp_cor_34	w_comp_cor_35	w_comp_cor_36	w_comp_cor_37	w_comp_cor_38	w_comp_cor_39	w_comp_cor_40	w_comp_cor_41	w_comp_cor_42	w_comp_cor_43	w_comp_cor_44	w_comp_cor_45	w_comp_cor_46	w_comp_cor_47	w_comp_cor_48	w_comp_cor_49	w_comp_cor_50	w_comp_cor_51	w_comp_cor_52	w_comp_cor_53	w_comp_cor_54	w_comp_cor_55	w_comp_cor_56	w_comp_cor_57	w_comp_cor_58	w_comp_cor_59	w_comp_cor_60	w_comp_cor_61	w_comp_cor_62	w_comp_cor_63	w_comp_cor_64	w_comp_cor_65	w_comp_cor_66	w_comp_cor_67	w_comp_cor_68	w_comp_cor_69	w_comp_cor_70	w_comp_cor_71	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	a_comp_cor_32	a_comp_cor_33	a_comp_cor_34	a_comp_cor_35	a_comp_cor_36	a_comp_cor_37	a_comp_cor_38	a_comp_cor_39	a_comp_cor_40	a_comp_cor_41	a_comp_cor_42	a_comp_cor_43	a_comp_cor_44	a_comp_cor_45	a_comp_cor_46	a_comp_cor_47	a_comp_cor_48	a_comp_cor_49	a_comp_cor_50	a_comp_cor_51	a_comp_cor_52	a_comp_cor_53	a_comp_cor_54	a_comp_cor_55	a_comp_cor_56	a_comp_cor_57	a_comp_cor_58	a_comp_cor_59	a_comp_cor_60	a_comp_cor_61	a_comp_cor_62	a_comp_cor_63	a_comp_cor_64	a_comp_cor_65	a_comp_cor_66	a_comp_cor_67	cosine00	cosine01	cosine02	cosine03	cosine04	trans_x	trans_x_derivative1	trans_x_power2	trans_x_derivative1_power2	trans_y	trans_y_derivative1	trans_y_derivative1_power2	trans_y_power2	trans_z	trans_z_derivative1	trans_z_derivative1_power2	trans_z_power2	rot_x	rot_x_derivative1	rot_x_derivative1_power2	rot_x_power2	rot_y	rot_y_derivative1	rot_y_power2	rot_y_derivative1_power2	rot_z	rot_z_derivative1	rot_z_derivative1_power2	rot_z_power2	motion_outlier00	motion_outlier01	motion_outlier02	motion_outlier03	motion_outlier04	motion_outlier05	motion_outlier06	motion_outlier07	motion_outlier08	motion_outlier09	motion_outlier10	motion_outlier11	motion_outlier12	motion_outlier13	motion_outlier14	motion_outlier15	motion_outlier16	motion_outlier17	motion_outlier18	motion_outlier19	motion_outlier20	motion_outlier21	motion_outlier22	motion_outlier23	motion_outlier24	motion_outlier25	motion_outlier26	motion_outlier27
5391.365175460198	n/a	29066818.45516497	n/a	14137.446249446626	n/a	199867386.4559925	n/a	5074.069130141314	n/a	n/a	25746177.53745304	5514.412328042413	9978.148273326216	n/a	n/a	n/a	n/a	-0.0192204064	-0.0258135702	-0.0190450138	-0.0201632692	-0.0737766567	-0.0093066663	-0.0259808379	0.083491197	-0.0103366415	0.0030604568	-0.0593009524	0.0526622029	-0.0369308958	0.0245969942	-0.0749954741	0.0162843814	-0.1070888399	0.039595478	-0.0364131247	0.1476174646	-0.0521361601	0.0682673846	-0.0385256646	0.0253202144	-0.0495191781	-0.0168393966	0.0538389193	0.1051940768	0.0018588855	-0.0643086835	0.0935766098	-0.0599403135	0.0057052955	-0.0973617864	0.1107363357	-0.033341308	0.0079200299	-0.0145489009	0.0097554795	-0.1221572628	0.06393153	-0.100944565	0.1029754629	-0.021344081	0.0009704912	-0.0626671896	-0.1530970297	0.0337620064	-0.0220929434	0.0009227509	0.0458585523	-0.0763601954	0.0444471397	-0.0151988789	-0.0443433238	0.1051768101	-0.0589247294	-0.0364808332	0.0467645579	-0.0432532897	-0.0598196719	0.1080653764	-0.1306250374	-0.0014429887	0.144248817	0.0076793646	-0.0860889096	0.0369277469	0.0008824415	0.0104470003	0.1012671935	-0.0807688229	0.0652050833	0.0009609918	-0.0736524074	-0.0226408152	-0.0358514288	-0.005165512	-0.0239388266	0.0596459898	-0.0858097498	0.0280014137	-0.0307872275	0.0915917857	-0.0930777818	0.0579182418	-0.0869147217	-0.0698633323	0.0259203989	-0.1392855599	0.133396669	-0.0239901114	0.0828848809	-0.0350037014	0.0259841124	-0.1573943167	0.0043493915	-0.0119882627	-0.0085949646	0.0825317758	0.0431877003	-0.0813733326	0.0036156586	-0.1199295232	0.0486620855	-0.037334222	0.0823917785	-0.1416336792	0.0062905167	-0.0045358435	0.0193136136	-0.0542739987	0.0859470632	-0.0695717637	0.0286881515	-0.114381217	0.0511414408	-0.0269515912	0.0103063687	-0.0257536799	0.0837640675	0.0851575258	-0.0332997715	0.0325124587	-0.0893093617	0.0951479881	0.0363630618	-0.0241460569	0.0074007785	0.0978837219	-0.0129993225	-0.0604166582	0.1491558168	-0.1085801918	0.0927736546	0.0220218205	0.0043948541	-0.1199363511	-0.0140157351	-0.0392416678	0.1132003177	-0.0738555381	-0.0287896714	0.0448959672	0.0733053852	0.0854343618	0.0854301501	0.0854231306	0.0854133037	0.0854006697	-0.00192162	n/a	3.6926234244e-06	n/a	-0.0490806	n/a	n/a	0.00240890529636	0.429202	n/a	n/a	0.1842143568039999	-1.54342e-05	n/a	n/a	2.3821452963999995e-10	0.00119528	n/a	1.4286942783999998e-06	n/a	0.000400779	n/a	n/a	1.60623806841e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
5376.571703344383	-14.793472115814438	28907523.281203523	218.8468172413793	13971.529007640936	-165.91724180568963	195203622.81135213	27528.53112840768	5084.186681841682	10.117551700367583	102.364852409611	25848954.21581633	5514.713419797458	9888.858468027249	1.070787	37.663731	0.28775992	0.164508	-0.034493886	-0.0098599289	-0.030113946	-0.011134455	-0.0350613296	-0.0327508047	-0.0673310141	0.0957070969	0.0063620321	-0.0840051839	-0.0058779401	-0.0525179043	-0.0197726338	0.0474545254	-0.0529036669	-0.0036872833	-0.0580430737	0.0629597999	-0.0080345113	0.0586903666	-0.0511401241	-0.0283218167	-0.0223064263	0.0205576097	-0.0057601811	-0.0669243868	0.0218414365	0.1260925154	-0.1020736196	-0.0536690021	-0.036776569	-0.0604175814	0.0801172312	0.1030546181	-0.0444896969	-0.0459326839	0.0390209455	-0.0151786667	-0.0408954277	-0.0116527254	0.0338347459	-0.0234192031	-0.0570750119	0.0114192321	-0.1976354156	-0.0519762062	0.0833921644	0.0571062814	0.0380596376	-0.0242838136	0.04505248	-0.0245605608	-0.0282948241	0.0198876262	0.0116281957	0.004120613	-0.0547210333	-0.0789686603	-0.0022046588	0.0052859586	0.0734935946	0.1030853801	0.0198852162	-0.0840360662	-0.1018798131	-0.026694149	0.0668471524	0.0878174905	-0.0396354352	-0.0320819226	0.0344708134	-0.0181493459	0.0954532628	0.0133710362	0.0447375162	0.0020927939	0.0014402467	-0.0270516764	-0.0522081445	0.0663813487	-0.0851458475	-0.0766960478	0.0103097054	-0.0016579512	-0.0649308871	0.0310244865	-0.0499953653	-0.0820437176	-0.0119110945	-0.0797882235	0.0438255209	-0.0248073433	-0.0369001498	-0.0043339416	0.0934534651	-0.0768747681	-0.0093061126	-0.067977773	-0.031024511	0.0776784357	0.0255160016	-0.0402299505	0.0550734935	0.02431818	-0.0330673025	0.121575816	-0.0779319657	0.0206789055	-0.0240570098	0.0319980205	-0.0120309931	-0.091147559	0.0358763011	0.0550244416	0.1279091764	-0.0128155724	-0.0830668795	0.0434673295	-0.1456207991	-0.0977742296	0.05449895	0.0031856273	0.0377695735	0.0243975245	0.0373610613	-0.0565485664	-0.0141549853	0.0138723368	0.0203330573	-0.0351562054	0.0413972197	-0.0374951882	0.0675106915	-0.0048157971	0.0225553782	0.0166245382	-0.124635657	0.1020427811	0.0888708938	0.0296803114	0.0153566959	-0.0397921833	0.0293293974	-1.8999e-05	-0.0196979331	0.0854231306	0.0853852289	0.0853220719	0.0852336782	0.085120074	-0.012116	-0.01019438	0.000146797456	0.0001039253835844	-0.0789192999999999	-0.0298386999999999	0.0008903480176899	0.0062282559124899	0.524846	0.095644	0.009147774736	0.275463323716	-0.00181818	-0.0018027458	3.24989241941764e-06	3.3057785124e-06	0.00109943	-9.584999999999996e-05	1.2087463249e-06	9.187222499999996e-09	0.00154384	0.001143061	1.3065884497210002e-06	2.3834419456000004e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
5355.638964232416	-20.93273911196775	28682868.715204462	438.17956672970433	13924.895987900636	-46.63301974030037	193902728.27385125	2174.638530099244	5077.283282542509	-6.903399299172634	47.65692188381721	25778805.53118564	5510.643145641346	9874.07998580979	1.12039	39.40847	0.13027415	0.067231	-0.0445735734	0.0009005604	-0.0446867154	0.0008185794	-0.0263177065	-0.0478721492	-0.0546805413	0.0987027113	-0.0273878126	-0.0800836383	-0.0006460352	-0.1077489872	-0.0904695663	0.0375727797	-0.0333538583	0.0556961493	-0.0456259778	0.0399998255	-0.0559959478	-0.0048439418	0.0203527156	-0.1475931656	-0.0995918881	0.104391477	-0.0055441314	-0.0904570626	-0.0930607822	0.0099543974	-0.0758598693	0.0085688108	-0.0380536651	0.1176677703	0.0625540498	0.0905987314	-0.0231772832	0.0196732531	-0.059998967	0.0443757822	0.0219615474	0.0067372339	-0.0771768469	0.0330617694	-0.0099948372	0.072055619	0.0417874117	0.1029720922	0.0220389465	-0.0298688769	0.0827772894	-0.0786175478	-0.0316184689	0.0967464755	0.0147477339	0.0330423362	0.0867363525	-0.0665947616	0.1412866643	-0.0586671401	-0.0169870518	-0.0726855876	-0.0222855124	-0.0077961811	-0.0862144829	0.0225631195	-0.0311535176	-0.0365084523	0.039346023	-0.026995253	-0.0525457395	0.1056436543	-0.0684441715	0.095025118	-0.1631403547	0.0762047654	0.0037856195	-0.0187596607	0.0151495229	-0.0455867437	-0.0423829973	0.0907888075	-0.0724729344	-0.0756736591	0.0153612903	-0.0332145954	-0.0994780702	-0.0157882683	-0.0553659164	0.000888955	0.0599548872	-0.0196847513	-0.0075835746	-0.1037074611	-0.0547824717	-0.0672896497	0.0899129436	-0.0511194452	-0.1399226971	-0.1474834475	-0.040929087	-0.0873350457	-0.0362930523	0.0377223446	-0.010672226	0.0937402026	-0.0984973722	0.128270488	-0.0407008177	0.0429557401	0.0246311046	-0.0532950017	0.0326888212	0.0642036712	-0.068236863	-0.0243761924	0.0031890639	0.0359653921	0.000315689	-0.0442467526	-0.0231037222	0.0843198668	-0.0083128795	-0.0740101565	-0.0184606958	0.0357727053	0.0848991528	-0.0085362993	-0.0650042732	0.1562749677	-0.094363607	-0.0149413462	-0.1037492001	-0.0222012517	-0.0134051833	0.0594866107	-0.0008904576	0.0182885994	0.0763545153	-0.021588856	0.0384738243	-0.0181309693	-0.1110055481	0.131974215	-0.1134831584	-0.0001736252	0.0074075008	0.0854006697	0.0852954103	0.085120074	0.084874805	0.0845598046	-0.0175407	-0.0054246999999999	0.00030767615649	2.9427370089999992e-05	-0.0440588	0.0348604999999999	0.0012152544602499	0.00194117785744	0.56971	0.044864	0.002012778496	0.3245694841000001	-0.00161494	0.0002032399999999	4.130649759999997e-08	2.6080312036e-06	0.000400211	-0.000699219	1.60168844521e-07	4.889072099610001e-07	0.00154388	3.9999999999979295e-08	1.599999999998343e-15	2.3835654544e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
5368.504714216533	12.865749984117429	28820842.866565134	165.5275226538176	13927.403459031702	2.507471131066268	193972567.1106482	6.287411473130748	5086.743100298713	9.459817756203847	89.48815198058959	25874955.368436564	5513.20353820231	9834.658019089684	1.226537	43.142071	0.4655868000000001	0.271027	-0.0218129928	-0.0151199873	-0.0132282653	-0.0055498078	-0.0246552501	-0.0075176347	-0.0459645405	0.114505632	0.0247504296	-0.0057478114	0.0343931142	0.0038636081	-0.0769101942	0.0528626352	0.0531629288	0.0610260221	-0.0334151318	-0.0633063695	0.1293976666	0.1318721296	0.0209364036	-0.0463960897	-0.0577423139	-0.0668452066	0.0635949966	0.0627676844	-0.0267200356	-0.0017910548	0.1277850858	0.043047585	0.060639017	-0.0294871805	0.0004556868	-0.0460713906	0.0226212685	0.0192972388	0.0502338191	0.0165340527	0.114055692	-0.1127906612	0.0463556845	-0.1176655065	-0.0075439209	-0.0941990751	-0.1666553075	0.0281796932	-0.0299154167	0.2058709031	-0.0699216252	-0.0774558518	0.0201525103	-0.0576284278	0.2118511448	-0.0216555442	-0.0024546575	0.0066962491	0.0620925273	-0.0101118439	0.0449068729	-0.0908488134	-0.0395932523	-0.1218946159	0.0454675749	0.0127111441	0.0179516758	0.0177894451	0.1058064622	-0.1403796794	0.059060262	0.0483765749	-0.1718575533	-0.0048422159	-0.1658050298	0.0060780799	0.0930528052	0.0178305055	0.006443505	-0.0056845985	-0.0321319323	0.0302742381	-0.1236044754	0.0107728047	-0.0017750437	0.1033132902	-0.1280080763	-0.0783905499	-0.0472346815	-0.1064164987	-0.055375119	-0.0632251122	-0.0617480863	0.0827658326	0.1580743055	-0.0379604482	-0.0570794396	0.0414620107	-0.0455799965	0.0490638237	0.0679463717	-0.0743219571	-0.0388128953	-0.0461397512	0.0106353642	-0.0845897443	0.0598982097	-0.0222909965	0.0684171037	-0.0097823043	-0.0320741212	-0.0041383065	-0.0075334402	-0.0770287645	0.0438621884	-0.1448934927	0.1991288897	-0.1075248673	0.0242191479	-0.0165102964	-0.018556827	0.0652730466	-0.0065484115	-0.0483107219	0.165191385	-0.0529730151	0.0168853199	0.0626783104	0.0791422202	0.1025761248	0.1204737588	0.0381597189	-0.0535137872	0.0010668092	-0.0633966277	0.1301330363	-0.0314941856	-0.0208415555	0.0555932567	-0.0674895777	0.014279904	-0.0146206032	-0.173952903	0.1498194224	0.0131580063	0.0628271169	-0.068620734	0.085366982	0.0851607413	0.0848173759	0.0843374387	0.0837217023	-0.0412284	-0.0236877	0.00169978096656	0.00056110713129	-0.103481	-0.0594222	0.00353099785284	0.010708317361	0.385538	-0.184172	0.033919325584	0.1486395494439999	0.00119332	0.00280826	7.8863242276e-06	1.4240126224000002e-06	-0.000725787	-0.001125998	5.26766769369e-07	1.267871496004e-06	0.00151204	-3.183999999999999e-05	1.0137855999999995e-09	2.2862649616000003e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
5383.2231431890905	14.718428972557376	28979091.40936663	216.6321514202164	13921.090528229535	-6.312930802167102	193796761.49516207	39.853095312950174	5104.516897116268	17.773796817555194	315.90785331173515	26056092.752945498	5538.483940078425	9770.862424051958	1.295051	45.551952	0.41595972	0.199514	-0.0120292128	-0.015647529	-0.0230345776	-0.000313942	-0.0235733066	0.0047003566	-0.0832492315	0.1211337611	-0.0202149794	0.0016154229	0.0586773879	-0.0614425486	0.0541226371	0.0216354214	0.0083148826	0.0850135464	0.0230710479	0.1496844516	-0.0154651209	-0.0083842297	-0.0197248513	-0.0747376204	0.0163952084	0.2157312183	-0.0596901779	-0.0358889885	0.0738967444	0.0137774817	0.0362848593	0.0203882407	-0.078970126	0.0670558848	0.0746978073	0.0322813621	0.0200410345	-0.0450895171	-0.0563832971	-0.0424684265	0.0286270204	0.0520809839	-0.1485188484	0.05541274	0.1058678126	-0.0508359832	0.012230672	-0.0298381973	0.0037065346	0.0125192366	0.0265107421	0.1127651796	-0.016079365	-0.0509787531	0.0790011625	0.0725897342	-0.0512421642	-0.0926098231	-0.1294875338	-0.0134129911	-0.0817300474	-0.0772661834	-0.0359918099	0.0896598904	0.022706752	0.0764937652	-0.0100837661	0.0585653843	0.0421030859	0.0977198734	-0.0613589952	0.0477205677	-0.0132039279	0.0927997028	0.0923823219	0.0290474572	-0.0278276071	-0.0968274615	-0.0107767477	-0.0030061332	-0.0651150232	0.1027788424	-0.1021812306	-0.0190350944	0.0386551367	-0.0921388274	0.0474612424	-0.0835449239	-0.0916272204	-0.0169985553	0.0846189096	-0.0291277789	0.1227298127	0.0518097183	-0.0791463827	-0.0266915622	-0.054017059	0.0233454098	-0.076743095	-0.1472850986	-0.1162923144	0.0505606255	-0.0484753681	0.0017100999	0.0089572842	0.0920788392	-0.0068003686	0.0823756602	0.02270427	0.0136852782	-0.0743171939	-0.025335077	0.0097318444	0.0178771923	-0.1109261561	-0.016815973	0.0373678727	0.0052026944	0.1464050069	0.0014928056	0.0265239921	0.0058699195	-0.0042510432	-0.009963261	-0.1049873467	-0.0260214225	-0.1160335439	-0.0036449097	-0.007912373	0.0469291247	-0.0044483536	0.0133101356	0.1892081403	0.0188969227	0.0196193454	-0.0528823175	0.1406634714	0.0446945993	0.0304864591	0.0234259551	-0.0287927172	0.0891345507	-0.0262614155	0.0836256674	0.0035705878	-0.0609503293	0.0111696395	0.0853220719	0.0849812929	0.0844143358	0.0836227095	0.0826085209	-0.00801478	0.03321362	6.423669844840001e-05	0.0011031445535044	-0.192804	-0.089323	0.007978598329	0.037173382416	0.493607	0.108069	0.011678908761	0.243647870449	-0.00038614	-0.00157946	2.4946938916e-06	1.491040996e-07	0.000904775	0.001630562	8.186178006250001e-07	2.658732435844e-06	0.0020091	0.00049706	2.4706864360000013e-07	4.036482810000001e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
5371.680080173429	-11.543063015661572	28854946.883732017	133.24230378353406	13806.725161083674	-114.36536714586146	190625659.673701	13079.437202407687	5073.621229750689	-30.89566736557936	954.5422619645252	25741632.382976893	5499.881959951821	9688.259989904094	1.328194	46.717751	0.52961272	0.365035	0.0296566684	-0.017259294	0.0259803956	-0.0262701175	0.0324223527	0.0350311271	-0.0078195727	0.0402307448	-0.0683099213	-0.0522124988	0.0766854843	-0.0524422086	0.0684140892	-0.0749330558	0.050664997	0.1489375224	-0.0292246285	0.060322815	0.0044746805	-0.0460898114	0.0570908348	-0.0016990494	0.0074922568	-0.0392273589	-0.0665143527	0.0077341567	0.0165645351	-0.0399803947	-0.0158980442	0.1370711067	-0.003071859	0.021877295	-0.0349301215	-0.0448525305	-0.105136528	0.0038071087	-0.063117508	-0.0342864858	-0.0230842074	-0.0178966221	-0.0033099105	-0.0637067167	0.1140461049	-0.0338724161	0.0743926592	0.1216456475	0.0292391252	-0.0823175916	0.1580305874	0.0223501114	-0.1107078886	0.0711277335	0.0793178056	-0.1129618992	-0.0951555342	-0.0744033864	0.0699483342	-0.0196314971	-0.0244852642	0.0500682276	0.0026476455	0.0367194837	-0.0125787666	-0.1322535913	0.0683060581	0.0951029476	-0.101652488	-0.0938220917	-0.1455116	-0.0730845859	0.1639254468	0.0096356818	0.0077019088	-0.0189749724	-0.011493909	0.1235120998	0.0934411514	0.033468459	0.0043669666	0.0692619	-0.0055756769	-0.054347697	0.0757526885	-0.0206722767	0.092136422	-0.1370406951	0.0309399028	-0.004784502	0.0846531026	-0.0696692753	-0.0372618082	-0.0228586468	-0.0937918208	-0.0637857522	-0.0501786753	0.0349554565	0.0094254557	0.0834434021	-0.0732945848	-0.0275120638	0.015150319	0.0274346806	-0.0060468919	-0.0071758766	-0.0508013609	-0.0758718888	0.0397470435	0.1616154605	0.0051596703	0.0045609355	0.0065758502	-0.0171562994	-0.0664377564	0.006450824	-0.0933407539	-0.1499377319	0.0839596895	-0.0475825388	0.0117864233	0.0908575623	0.0077613487	-0.1306310142	-0.1535665582	-0.0084206888	0.0919414286	-0.042901112	0.1356062259	0.0427615029	-0.0842123637	-0.0152512724	-0.0245672227	0.001678846	0.0110273214	-0.0576615869	-0.0874069652	0.0517515249	-0.0984163619	-0.1015538446	-0.1704981427	0.008966098	-0.0154952877	-0.1646683429	0.0076801185	0.0337654301	0.0624752346	0.0852659454	0.0847571594	0.0839114303	0.0827321204	0.0812239177	-0.011467	-0.0034522199999999	0.000131492089	1.1917822928399992e-05	-0.145649	0.047155	0.002223594025	0.021213631201	0.154811	-0.338796	0.1147827296159999	0.023966445721	0.000671758	0.0010578979999999	1.1191481784039996e-06	4.512588105639999e-07	-0.000452657	-0.001357432	2.0489835964900002e-07	1.842621634624e-06	0.00162024	-0.00038886	1.5121209960000016e-07	2.6251776576e-06	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
5351.103348340498	-20.576731832930815	28634307.04462089	423.4018929243485	13831.09241592278	24.367254839105957	191299117.41779664	593.7631083939325	5054.967709817325	-18.653519933363896	347.9538059044042	25552698.547295813	5487.053538121868	9768.12840041324	1.682651	59.185352	0.35484973	0.19431	0.1125831007	0.0045534333	0.1051797845	-0.0120627892	0.0611283241	0.0891015913	0.0353123012	-0.0523397357	-0.1378532317	-0.0025692352	0.0682321503	-0.0549777763	0.0329456263	-0.0608167853	0.0554627288	-0.0176956005	0.0770379352	0.0977630563	-0.0065714924	-0.0453076141	-0.022979783	0.1122753393	-0.1311910632	-0.1404757613	0.1433628845	-0.0347800415	-0.0182922922	0.0388802145	0.1252630563	0.0752352123	-0.048937708	-0.0427887879	-0.0447531144	-0.0017172489	-0.0097549859	0.0009908992	0.0752953692	-0.0387386529	0.0621876407	-0.0027776796	0.0646819849	-0.0187879115	-0.1008820239	0.0313998031	0.0323789428	-0.0227108316	0.0456101853	0.0278699785	0.0629008066	-0.1035303577	0.0269213228	-0.0139517021	-0.1215904344	-0.0220067484	0.0018068046	-0.1544434155	0.0027816462	0.187172688	0.1370291221	0.0452667749	0.0394706102	-0.0133742458	0.0419877401	0.1118681873	-0.0264104747	-0.0015507042	0.1096001418	0.08112296	0.0921384956	-0.0856419514	0.0814489785	-0.0839901662	-0.0474989648	0.0054281602	-0.1073949394	0.0348985626	-0.0063902399	0.095724763	0.0332690026	0.0699544998	0.1045930427	0.0070498558	0.0928416318	0.0063303145	0.0018679138	-0.1300026548	0.0724038938	-0.0740356448	-0.0678830729	0.0146998342	0.0740222593	0.0195259809	-0.0583277436	0.0836366392	0.0718426811	0.0356215012	0.0714237039	0.0927536096	0.1126005255	-0.0736100285	-0.1974318893	-0.0210177108	0.057182059	0.0178168562	0.0096414214	-0.0755093551	0.0097494452	0.0324251427	-0.017021893	0.0768402581	-0.0894754748	-0.0689893112	0.0128604568	-0.0315411858	-0.1050857089	0.0439340523	-0.1467256163	-0.0436619154	0.0116623452	-0.0739713505	0.0325755487	0.0833685614	0.0092123062	0.0300959301	0.097925111	-0.0642491238	0.0265085193	0.0923413681	0.1153779639	-0.087186931	-0.0173298834	0.0809928056	-0.1596490696	0.0071241485	0.1335771216	-0.0874828287	-0.0284141315	-0.0260010059	0.1419783469	-0.0715711952	0.0985773295	-0.0843867067	0.1131116571	-0.0183344271	-0.0057984049	0.0851986098	0.0844884586	0.0833092546	0.0816675444	0.0795724422	0.00237285	0.01383985	5.6304171225000006e-06	0.0001915414480225	-0.0329933	0.1126557	0.01269130674249	0.00108855784489	0.00663577	-0.14817523	0.0219558987855529	4.40334434929e-05	0.00044002	-0.0002317379999999	5.370250064399998e-08	1.936176004e-07	-0.000404102	4.855500000000004e-05	1.6329842640399998e-07	2.357588025000004e-09	0.000296954	-0.001323286	1.7510858377959997e-06	8.8181678116e-08	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
