global_signal	global_signal_derivative1	global_signal_power2	global_signal_derivative1_power2	csf	csf_derivative1	csf_power2	csf_derivative1_power2	white_matter	white_matter_derivative1	white_matter_derivative1_power2	white_matter_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	w_comp_cor_19	w_comp_cor_20	w_comp_cor_21	w_comp_cor_22	w_comp_cor_23	w_comp_cor_24	w_comp_cor_25	w_comp_cor_26	w_comp_cor_27	w_comp_cor_28	w_comp_cor_29	w_comp_cor_30	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	cosine00	cosine01	cosine02	cosine03	cosine04	non_steady_state_outlier00	trans_x	trans_x_derivative1	trans_x_power2	trans_x_derivative1_power2	trans_y	trans_y_derivative1	trans_y_power2	trans_y_derivative1_power2	trans_z	trans_z_derivative1	trans_z_derivative1_power2	trans_z_power2	rot_x	rot_x_derivative1	rot_x_power2	rot_x_derivative1_power2	rot_y	rot_y_derivative1	rot_y_power2	rot_y_derivative1_power2	rot_z	rot_z_derivative1	rot_z_power2	rot_z_derivative1_power2	motion_outlier00	motion_outlier01	motion_outlier02	motion_outlier03	motion_outlier04	motion_outlier05	motion_outlier06	motion_outlier07
5325.156727255878	n/a	28357294.16983853	n/a	13221.15312913234	n/a	174798890.0639659	n/a	4778.980767756379	n/a	n/a	22838657.178585347	5029.020687963755	10567.2253630506	n/a	n/a	n/a	n/a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.00911669	n/a	8.31140365561e-05	n/a	1.84616	n/a	3.4083067456	n/a	-0.00738884	n/a	n/a	5.45949565456e-05	0.00373225	n/a	1.39296900625e-05	n/a	-0.00092971	n/a	8.643606841000001e-07	n/a	0.0	n/a	0.0	n/a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
5444.48369729725	119.32697004137208	29642402.73013553	14238.92577925451	13532.532270557684	311.3791414253428	183129429.6536851	96956.96971478364	4842.248084969563	63.26731721318447	4002.753427353708	23447366.5163914	5109.146339451341	10802.369338099836	1.882847	70.154671	2.02112966	1.87827	-0.082144119	-0.0374168429	-0.0752770125	-0.1049374214	-0.0094258083	-0.0405867918	0.1646675403	-0.1715411952	0.1263875186	-0.0472239352	0.2187488722	0.0046119766	-0.0708539899	0.0893459089	-0.0754524483	0.0665918622	-0.1109811697	0.1926619011	-0.0543900008	0.0572780533	-0.0212894331	-0.11261763	0.0938156825	-0.1488651449	0.1168814763	-0.0445512539	-0.0428258051	0.0881949702	0.0333043319	0.1055353724	-0.0949408973	-0.0740520772	0.084490818	0.0569240138	-0.0461472074	-0.0114284785	-0.0521339911	0.0204046343	0.0333097363	-0.1025205735	0.023218654	-0.1083115071	-0.0001335607	0.1927976284	-0.037832545	0.1958743843	-0.0811687641	0.0375127135	-0.1378852061	0.0856760482	-0.0147878595	0.0479348991	-0.1139033875	0.134240141	0.083800197	-0.1529977371	0.0900547875	-0.0047199236	-0.0393165516	-0.0129484286	0.1005496203	0.0025621191	0.0050169946	-0.1407299575	0.109162256	0.0314967913	0.0495932574	-0.0116997605	-0.0527745485	0.1498829904	0.1498129555	0.1496962549	0.1495329249	0.1493230164	0.0	-0.00929953	-0.01841622	8.64812582209e-05	0.0003391571590884	-0.022974	-1.869134	0.000527804676	3.493661909956	0.0398146	0.04720344	0.0022281647478336	0.0015852023731599	0.00218416	-0.0015480899999999	4.770554905600001e-06	2.3965826480999992e-06	-0.00110914	-0.0001794299999999	1.2301915396e-06	3.2195124899999987e-08	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
5441.904907245426	-2.578790051823489	29614329.019501854	6.650158131383794	13541.377436953297	8.845166395612978	183368902.89002785	78.23696856608107	4825.274971345222	-16.97311362434084	288.08658610478466	23283278.549090635	5083.180534523045	10791.348468511958	1.179717	43.956135	0.1201033199999999	0.0661064	0.0271209485	0.0294132273	0.1341354204	0.1752459022	-0.0251135516	-0.0711722725	0.0467140851	-0.1122494451	-0.0766420847	-0.1567313583	0.182235063	0.0340397042	0.1616221716	0.0811612445	0.1668518239	0.1061000238	-0.0072602254	-0.0625690527	0.1472458762	-0.0499150115	0.0738166567	-0.0866811473	-0.0623568813	0.0709067063	-0.0425255792	0.0258177833	-0.1398365329	-0.0148899101	0.1197217537	0.0383562062	0.1341275712	0.1587266828	0.0112476658	0.1138952485	0.0738282652	-0.0083496167	0.0059659705	-0.0313338576	-0.0379150934	0.0929313153	-0.1626435861	-0.0969704166	-0.0470969907	0.1515524769	0.1106079724	-0.0745794807	-0.1532059907	-0.1093776133	-0.060511659	-0.0511985748	0.1507412584	0.0562810448	0.1085359866	-0.0080311412	-0.1013845721	-0.0314795143	-0.1090908741	-0.0174686609	-0.0998377343	-0.1535771686	-0.0226410266	0.0769359357	-0.15245631	0.0268589339	-0.0144864028	0.0178745862	-0.0652246275	0.0081987692	0.0068192096	0.1496962549	0.1490665949	0.1480191227	0.1465567742	0.1446836482	0.0	-0.00579141	0.00350812	3.35404297881e-05	1.23069059344e-05	-0.0251452	-0.0021711999999999	0.00063228108304	4.714109439999992e-06	-0.0171083	-0.0569229	0.00324021654441	0.00029269392889	0.00183146	-0.0003527	3.3542457316e-06	1.2439729000000004e-07	-0.000715303	0.0003938369999999	5.11658381809e-07	1.5510758256899997e-07	0.000403485	0.000403485	1.6280014522499998e-07	1.6280014522499998e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
5417.940516570029	-23.964390675397222	29354079.441091117	574.2920204430656	13465.563297019396	-75.81413993390015	181321394.90603587	5747.7838139169935	4826.638996517342	1.3640251721199093	1.860564670176748	23296444.00270193	5084.628022215682	10726.374246740234	1.137818	42.394993	0.10236706	0.0578085	-0.0534322251	0.0208122619	0.0916562513	-0.0051931594	-0.0357283263	0.0590580467	-0.1692247295	-0.0592345984	-0.058193421	-0.1644475336	0.1094372606	0.0037231363	-0.0817912497	0.0301240727	0.1891493183	0.1090441498	-0.2041132954	-0.0306239533	-0.0528775969	-0.1369502569	-0.0376612612	0.0658465319	0.0278843593	0.0253172166	0.0496953624	0.0804477071	0.0989604715	0.0156892192	-0.1984180004	-0.0672779426	0.078838027	0.1828577514	-0.1176294105	-0.1055798982	0.1022086172	0.1033588145	0.0497748357	-0.0673418632	0.0464013897	0.0710697307	-0.0844465477	-0.084919683	-0.0929445259	0.1227522402	-0.0730753526	-0.0308175216	-0.2621818726	0.1186640386	-0.0883212533	-0.0892054561	-0.0068139161	0.0859476386	0.0680356399	0.0261226486	-0.0805722028	0.0395347795	0.0246236017	-0.0216960571	0.0385783992	0.2285513198	-0.0893901052	-0.0124682011	-0.1090175574	0.1211950727	-0.1282598148	-0.1894516477	-0.0076727177	0.0784929079	0.1338257056	0.1493230164	0.147577592	0.1446836482	0.1406637072	0.1355490539	0.0	0.0163175	0.02210891	0.0002662608062499	0.000488803901388	-0.04423	-0.0190848	0.0019562929	0.0003642295910399	0.0325383	0.0496466	0.00246478489156	0.00105874096689	0.00179094	-4.052000000000005e-05	3.2074660836e-06	1.6418704000000043e-09	-0.000588646	0.000126657	3.46504113316e-07	1.604199564900002e-08	0.000340127	-6.335799999999996e-05	1.1568637612900003e-07	4.014236163999995e-09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
5433.116675432485	15.17615886245585	29518756.808862537	230.31579781849723	13573.289449847623	107.726152828227	184234186.4893448	11604.924003170518	4838.600152761593	11.96115624425056	143.06925869937416	23412051.438304503	5109.432953187428	10778.783016369434	1.355156	50.492966	0.0738470099999999	0.0344532	0.1214685723	0.0490505528	-0.180395931	-0.0869528906	-0.0431107961	-0.1700395824	0.0556095045	-0.1161078266	0.1663916592	-0.1599603	0.0144396023	0.0533947589	-0.0671067442	-0.0110707884	-0.1197457925	-0.0586253362	0.076312996	0.0995503766	0.1129933321	0.0046008768	0.0019957748	0.1103163656	0.0710043333	-0.0533015471	0.0421398743	-0.0519960556	0.1339312041	0.0996690816	-0.0142977038	0.0993572582	-0.1994247446	-0.1722576171	-0.1779027265	-0.1382245333	-0.0910171208	-0.0342837881	0.0985094223	-0.0138559641	-0.0593744048	-0.0858507858	0.0402809382	-0.218493436	-0.0558247854	0.0021065381	-0.0319650076	0.0715765132	0.0567445712	0.0900659476	0.1502183026	0.1386291171	0.0596665611	-0.0837668068	0.044717898	0.0098759735	0.1189542963	0.0510139686	0.0834161529	-0.0046626773	0.1520788095	0.045562003	0.1955139876	0.0091011616	0.2363625889	-0.0965086419	-0.0679364937	-0.0314188508	0.1147829207	-0.0930057648	0.0756895268	0.1487637401	0.145353365	0.1397272007	0.1319710133	0.1222030394	0.0	-0.00286491	-0.0191824099999999	8.2077093081e-06	0.000367964853408	-0.0327782	0.0114517999999999	0.00107441039524	0.0001311437232399	0.0301744	-0.0023638999999999	5.588023209999994e-06	0.00091049441536	0.00139422	-0.0003967199999999	1.9438494084000003e-06	1.5738675839999998e-07	-0.000668777	-8.0131e-05	4.472626757289999e-07	6.420977160999999e-09	1.05879e-22	-0.000340127	1.1210362640999999e-44	1.1568637612900003e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
5413.045550723836	-20.071124708649226	29301062.13421112	402.8500470701493	13426.184160047003	-147.10528980062008	180262421.09949705	21639.96628732442	4811.820580599469	-26.77957216212326	717.145485186367	23153617.299880616	5082.014437740796	10811.254034234393	1.579995	58.870449	0.093672969	0.0513993	-0.1315929311	-0.092818937	0.0815844593	0.051399723	0.1047229255	0.1514965475	0.0457887235	0.1145856164	0.013985941	0.2261274561	-0.1532752262	0.0011486417	0.2015361811	-0.0944412955	-0.0632105913	-0.0722436944	0.0149733708	-0.1737074113	-0.0158811024	0.1292060704	-0.1950984095	0.0448159413	-0.0112972792	0.1877084249	-0.1616740274	-0.045373688	0.0044533806	-0.0844666753	-0.0250651122	-0.0170178267	0.0643337276	-0.04351291	-0.0332181316	0.0846448212	0.0183665674	0.1186327374	0.0135890993	0.1210124377	0.0292214833	-0.0133565163	0.0904133718	0.2473846429	0.0011330808	-0.102125809	0.1962761076	-0.1045579223	0.1761767299	0.0384816007	0.1000846851	-0.063278104	0.0119819362	-0.0922426354	-0.19129956	-0.0846583186	-0.1028813148	0.2108482056	-0.105735379	0.0184834368	-0.0229116827	-0.0468883404	-0.1300550161	0.0108983986	-0.0044366385	-0.0381400034	-0.0365061633	0.1226938055	-0.050184857	0.1170016983	0.0764819806	0.1480191227	0.1424049948	0.1332053099	0.1206517031	0.1050602566	0.0	-0.010899	-0.00803409	0.000118788201	6.454660212810001e-05	-0.0232382	0.00954	0.00054001393924	9.10116e-05	-0.000644079	-0.030818479	0.0009497786478734	4.14837758241e-07	0.00058829	-0.00080593	3.460851241e-07	6.495231649000001e-07	-0.000569099	9.967799999999996e-05	3.23873671801e-07	9.935703683999993e-09	0.0	-1.05879e-22	0.0	1.1210362640999999e-44	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
5397.902674859533	-15.142875864302368	29137353.287255704	229.3066894416712	13440.947439527696	14.76327948069229	180659068.0721461	217.95442102503003	4811.822620934663	0.0020403351936693	4.162967702525568e-06	23153636.93533853	5073.036483973673	10643.642830027857	1.384524	51.587223	0.031772629	0.0190006	0.1132329805	0.0409626757	-0.0771977633	-0.0594244478	-0.0452627012	-0.102507045	-0.1156778597	0.0466232556	-0.1225814075	0.1163765457	0.0260272278	0.0832529648	-0.1954100516	0.0564439196	-0.2338097421	-0.1197069662	0.0985566289	-0.0510932407	0.1094407177	0.0113416595	0.0365607541	0.0104908553	-0.1259128075	0.1686815325	-0.0670574588	-0.0411009248	-0.0032749629	-0.1465994463	-0.0059488336	-0.0095886248	0.1406945619	-0.1795764388	0.0280402397	0.0105251698	0.0460027566	0.0020705857	-0.0911099512	-0.0117200874	0.0510292739	0.0177020269	-0.0382466803	0.0346047303	0.2521383052	-0.0331471938	-0.1545091214	0.193390192	0.184235729	-0.0396138041	0.0194161728	0.0040037161	0.0205491867	-0.0441490993	0.0457965836	-0.1948473366	-0.132226093	0.1328583275	-0.0595304401	0.1107182927	-0.0048000291	-0.0555539071	-0.1176526981	0.0184447189	0.0790514858	-0.126786436	0.0103512897	-0.0431770462	-0.094583195	0.0502369559	-0.0759377452	0.1470900919	0.1387471701	0.1251910444	0.1069310647	0.0846533205	0.0	-0.0103105	0.0005885	0.00010630641025	3.4633225000000054e-07	-0.0304257	-0.0071874999999999	0.00092572322049	5.166015624999999e-05	0.0152827	0.015926779	0.0002536622893148	0.00023356091929	0.00058447	-3.819999999999974e-06	3.416051809e-07	1.4592399999999797e-11	-0.000411522	0.000157577	1.6935035648399998e-07	2.4830510929e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
5416.731287341481	18.828612481947857	29340977.8392641	354.51664799536263	13435.819898078416	-5.127541449279306	180521256.3335999	26.291681314077326	4817.48417781871	5.661556884047059	32.05322635130064	23208153.803533614	5088.272039098173	10704.455390277548	1.323772	49.323612	0.051663855	0.0316875	-0.0562668376	-0.0966431328	-0.0058607628	0.0145435733	0.1198764855	0.0998201834	0.1394287624	0.0063342614	-0.0040910243	0.1025793033	-0.2014476724	-0.0600948869	0.0301490554	-0.1446625845	0.0882856775	0.1665552181	0.0073609278	0.0682654454	0.2389174353	-0.0666697288	0.012946843	-0.0658174592	-0.0540974531	-0.0249689773	-0.0635408746	-0.2495458304	0.0431696069	0.053799061	-0.0570442703	-0.2274687175	0.0086696804	-0.0889959355	-0.076306086	-0.1224664586	-0.0080722174	-0.1789184536	-0.0657736539	0.1504098672	0.0393137654	-0.0183494705	0.1723279119	0.1407275544	-0.0295910436	-0.0880285917	-0.026359554	-0.1142183686	-0.0716007523	-0.2005067134	0.0190273695	0.031942068	0.1615731463	0.0739524062	0.0315817388	0.0350043508	0.0069741764	0.1892071527	0.2713550425	-0.0644534454	0.1120588824	-0.1113401791	-0.1041768231	-0.0363633023	0.158020515	0.0811661356	-0.0331364066	-0.0335158508	-0.0123357442	-0.072178573	-0.1332784627	0.1459778051	0.134398114	0.1157741925	0.0910821795	0.0616162613	0.0	-0.000292175	0.010018325	8.5366230625e-08	0.0001003668358056	-0.0259918	0.0044339	0.00067557366724	1.965946921000001e-05	0.0201821	0.0048994	2.400412036000001e-05	0.00040731716041	6.8706e-06	-0.0005775994	4.720514436e-11	3.336210668803601e-07	-0.000429117	-1.7595000000000024e-05	1.8414139968900002e-07	3.0958402500000085e-10	-5.10502e-05	-5.10502e-05	2.6061229200400003e-09	2.6061229200400003e-09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
5405.5552759491065	-11.176011392374676	29220027.84134122	124.90323064248854	13442.875122782783	7.055224704366992	180710891.56673223	49.77619562911031	4819.073590788687	1.5894129699772748	2.5262335891319814	23223470.27343697	5084.353990751641	10701.21058099185	1.177118	43.859272	0.0498716049999999	0.028925	0.1186368697	0.0217297814	0.0641587326	0.0790351283	-0.0477599223	-0.0795775539	-0.1291619484	0.0558127583	-0.0373874142	-0.1467701501	-0.1782007349	-0.0728467707	-0.2404963262	-0.081523584	0.0463041052	-0.1185389074	0.0375208915	-0.0526673874	-0.0361003102	0.0174051241	0.250919446	-0.0694800779	0.1283442797	-0.1552816669	0.0917849084	0.000272945	-0.1839567663	0.0084486111	0.1339500834	-0.01084187	0.0225463399	0.2231804556	0.0382030689	-0.0387303131	0.0878606953	0.0460522679	-0.1394783061	0.0003350014	-0.0312060988	0.0932880908	0.0489505314	-0.1356148104	-0.0408470668	-0.1792757645	-0.2539304873	-0.0921520437	0.0745566033	0.0229515653	0.002964836	-0.0588215211	-0.0245888624	-0.1005831733	0.1177407741	0.1421718534	0.0334355143	-0.2338805946	0.0983441931	0.0438027479	-0.1610520724	-0.0323112409	0.0835025675	0.0323436739	-0.0599525692	0.236637776	0.0349537327	0.0217256176	-0.064363728	0.1066917324	-0.0741260318	0.1446836482	0.1293794932	0.1050602566	0.0734204876	0.0366648252	0.0	-0.00033334	-4.116500000000002e-05	1.111155556e-07	1.6945572250000012e-09	-0.0266461	-0.0006543	0.0007100146452099	4.2810849e-07	0.00395534	-0.01622676	0.0002633077400976	1.5644714515599998e-05	0.00040722	0.0004003494	1.6582812840000004e-07	1.6027964208036e-07	-0.000221529	0.000207588	4.9075097841000004e-08	4.3092777744e-08	0.0	5.10502e-05	0.0	2.6061229200400003e-09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
5373.632632429856	-31.92264351925041	28875927.668315027	1019.0551692571404	13386.016444877892	-56.85867790489101	179185436.26254135	3232.909253092141	4811.911062613086	-7.162528175601437	51.30180986628446	23154488.0744982	5083.800318832049	10673.637988613917	1.269655	47.307201	0.094962187	0.0551398	-0.122449691	0.0385828735	-0.0826186413	-0.1075712816	-0.0203288042	0.1714382225	-0.0044524369	0.1848778168	0.0276092123	0.1832571573	-0.0364599857	-0.1552562416	0.0258043185	0.074104516	-0.0281318727	-0.0575679874	0.0199623133	0.011746219	-0.0904154465	-0.1546166277	-0.1948669404	-0.0856662456	-0.0218655418	-0.0256546229	0.0620510138	0.233861033	0.0549214813	0.1549304576	0.1277792547	0.078769127	-0.2009606423	0.0140489948	0.1743448021	-0.0221695103	-0.0205946796	-0.0970972571	-0.0637959113	-0.0336527586	0.0431538495	-0.12649804	-0.0240755159	0.193834212	-0.067106556	-0.1189705783	-0.0054091322	0.0635496198	0.0610119827	0.0624411637	0.0263714752	0.01447117	-0.0370905462	0.2386064902	-0.0310467824	0.0362033399	0.0576614881	-0.1291053537	-0.2104388216	-0.168838959	0.0637661358	0.0040617999	0.2037549594	-0.0113732821	-0.0883672441	-0.0420868901	0.1613377441	-0.0234019346	0.088291395	-0.0203597964	-0.0821284699	0.1432092335	0.1237163103	0.093169271	0.0542975092	0.010574237	0.0	-0.000280053	5.328700000000001e-05	7.8429682809e-08	2.839504369000001e-09	-0.0175101	0.0091359999999999	0.00030660360201	8.346649599999997e-05	0.0522375	0.04828216	0.0023311669742655	0.00272875640625	0.000734812	0.000327592	5.399486753440001e-07	1.0731651846400004e-07	-0.000579699	-0.00035817	3.360509306010001e-07	1.282857489e-07	-6.40528e-05	-6.40528e-05	4.10276118784e-09	4.10276118784e-09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
