global_signal	global_signal_derivative1	global_signal_power2	global_signal_derivative1_power2	csf	csf_derivative1	csf_power2	csf_derivative1_power2	white_matter	white_matter_derivative1	white_matter_derivative1_power2	white_matter_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	c_comp_cor_05	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	w_comp_cor_19	w_comp_cor_20	w_comp_cor_21	w_comp_cor_22	w_comp_cor_23	w_comp_cor_24	w_comp_cor_25	w_comp_cor_26	w_comp_cor_27	w_comp_cor_28	w_comp_cor_29	w_comp_cor_30	w_comp_cor_31	w_comp_cor_32	w_comp_cor_33	w_comp_cor_34	w_comp_cor_35	w_comp_cor_36	w_comp_cor_37	w_comp_cor_38	w_comp_cor_39	w_comp_cor_40	w_comp_cor_41	w_comp_cor_42	w_comp_cor_43	w_comp_cor_44	w_comp_cor_45	w_comp_cor_46	w_comp_cor_47	w_comp_cor_48	w_comp_cor_49	w_comp_cor_50	w_comp_cor_51	w_comp_cor_52	w_comp_cor_53	w_comp_cor_54	w_comp_cor_55	w_comp_cor_56	w_comp_cor_57	w_comp_cor_58	w_comp_cor_59	w_comp_cor_60	w_comp_cor_61	w_comp_cor_62	w_comp_cor_63	w_comp_cor_64	w_comp_cor_65	w_comp_cor_66	w_comp_cor_67	w_comp_cor_68	w_comp_cor_69	w_comp_cor_70	w_comp_cor_71	w_comp_cor_72	w_comp_cor_73	w_comp_cor_74	w_comp_cor_75	w_comp_cor_76	w_comp_cor_77	w_comp_cor_78	w_comp_cor_79	w_comp_cor_80	w_comp_cor_81	w_comp_cor_82	w_comp_cor_83	w_comp_cor_84	w_comp_cor_85	w_comp_cor_86	w_comp_cor_87	w_comp_cor_88	w_comp_cor_89	w_comp_cor_90	w_comp_cor_91	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	a_comp_cor_32	a_comp_cor_33	a_comp_cor_34	a_comp_cor_35	a_comp_cor_36	a_comp_cor_37	a_comp_cor_38	a_comp_cor_39	a_comp_cor_40	a_comp_cor_41	a_comp_cor_42	a_comp_cor_43	a_comp_cor_44	a_comp_cor_45	a_comp_cor_46	a_comp_cor_47	a_comp_cor_48	a_comp_cor_49	a_comp_cor_50	a_comp_cor_51	a_comp_cor_52	a_comp_cor_53	a_comp_cor_54	a_comp_cor_55	a_comp_cor_56	a_comp_cor_57	a_comp_cor_58	a_comp_cor_59	a_comp_cor_60	a_comp_cor_61	a_comp_cor_62	a_comp_cor_63	a_comp_cor_64	a_comp_cor_65	a_comp_cor_66	a_comp_cor_67	a_comp_cor_68	a_comp_cor_69	a_comp_cor_70	a_comp_cor_71	a_comp_cor_72	a_comp_cor_73	a_comp_cor_74	a_comp_cor_75	a_comp_cor_76	a_comp_cor_77	a_comp_cor_78	a_comp_cor_79	a_comp_cor_80	a_comp_cor_81	a_comp_cor_82	a_comp_cor_83	a_comp_cor_84	a_comp_cor_85	a_comp_cor_86	a_comp_cor_87	a_comp_cor_88	a_comp_cor_89	a_comp_cor_90	cosine00	cosine01	cosine02	cosine03	trans_x	trans_x_derivative1	trans_x_power2	trans_x_derivative1_power2	trans_y	trans_y_derivative1	trans_y_power2	trans_y_derivative1_power2	trans_z	trans_z_derivative1	trans_z_derivative1_power2	trans_z_power2	rot_x	rot_x_derivative1	rot_x_power2	rot_x_derivative1_power2	rot_y	rot_y_derivative1	rot_y_power2	rot_y_derivative1_power2	rot_z	rot_z_derivative1	rot_z_power2	rot_z_derivative1_power2	motion_outlier00	motion_outlier01	motion_outlier02	motion_outlier03	motion_outlier04	motion_outlier05	motion_outlier06	motion_outlier07	motion_outlier08	motion_outlier09	motion_outlier10
4958.176787497853	n/a	24583517.05608253	n/a	11339.616237900822	n/a	128586896.422864	n/a	4505.05557097637	n/a	n/a	20295525.69758523	4656.261501911607	8913.161487917507	n/a	n/a	n/a	n/a	-0.0390799204	-0.0344907137	-0.0596728039	-0.0457972882	0.1813375961	-0.0707995086	0.0470507192	0.0343830896	0.3204743673	-0.0200319501	-0.0383601542	0.0135742519	-0.0100368087	-0.0744582572	0.0634394402	-0.0028568627	0.1110439798	-0.0218887708	0.0067008613	-0.0051576182	0.1199216532	-0.0780757346	0.069486368	-0.0122368912	0.0539684269	-0.0316092179	0.0195182451	-0.017639806	0.0489437281	-0.038633458	0.0264653902	-0.0190727288	0.0370462482	-0.058851903	-0.0433048216	0.0338555214	0.0325074147	-0.0308576478	0.0385242126	0.007229191	-0.109239189	-0.0313612433	-0.0261141919	0.0218455661	-0.0746503318	0.0463778183	-0.0329786118	0.0758108769	-0.059671946	0.0475131942	-0.0415857202	0.044590445	-0.0270519482	0.0531363811	-0.0380708805	0.0159274284	-0.0225165116	0.0002858701	-0.0582362333	0.0516765601	-0.03622808	0.0686783986	-0.0078551998	0.0143196055	-0.0007721955	0.0083151206	0.0081444829	-0.0127252071	0.0383455213	-0.0039408139	0.0272919953	-0.0187258256	0.0212150647	0.0082163332	-0.0073380894	-0.0685587435	0.0131486098	-0.0217359448	0.0005432057	0.0329292856	-0.0873704684	0.0503471881	-0.0735889633	0.0442463951	0.0304145635	-0.0216790483	-0.0582763212	0.0696586932	0.0299983178	-0.0070252182	-0.1082874911	0.0074183637	0.0489354593	-0.0575674587	-0.0210895644	0.0256385454	-0.0347758885	-0.0063433991	0.0892014885	0.0047100538	-0.0502318536	-0.0287847311	-0.0086296441	0.0061441286	-0.0850484799	0.0277418934	-0.0099366562	0.0502108155	-0.044492054	0.0888241537	-0.0210026704	0.0661866304	-0.0040428664	0.0905982044	-0.1380117569	0.0109856438	-0.0429710999	0.009025571	-0.0428538724	0.0508275677	-0.0175742679	0.0152195962	-0.0593992038	0.0334669434	-0.0156074523	0.0246290808	0.0666613538	-0.0213389934	0.0866968021	-0.0275195007	-0.0267475293	-0.040710954	0.0548574885	-0.0016345146	-0.0527973977	-0.0192671415	-0.0353387545	0.1487469208	-0.0361791794	0.0583137461	-0.0133265314	0.0149064634	-0.0341158993	0.0240977389	-0.0240005707	0.0191633523	-0.0132881469	0.0069698667	-0.1046482471	0.0009313333	-0.021231047	0.0569459346	-0.0296558408	0.0078619663	-0.0302778456	0.0279815397	-0.0945949028	0.0074672254	-0.0368797358	0.0354704527	-0.0047476483	0.0118607572	0.0227499396	-0.0048249802	0.0233006183	0.0126641849	-0.0136531197	0.0452206415	-0.0307030723	-0.0234440955	0.009353392	-0.0556799617	0.0276042205	0.0066857563	0.0389673319	-0.0302606802	0.0774270507	0.0284667212	-0.0796054931	0.0183885286	0.0584587534	-0.1039912123	0.0941428804	0.0063312907	0.0799272895	-0.0395643322	-0.0614029022	0.0601454981	-0.0562499069	-0.0156218099	0.0126133252	0.0236171235	0.0735207997	0.073518812	0.0735154993	0.0735108616	0.0137669	n/a	0.00018952753561	n/a	0.137454	n/a	0.0188936021159999	n/a	0.0540479	n/a	n/a	0.00292117549441	-0.00140448	n/a	1.9725640704e-06	n/a	-0.000447757	n/a	2.00486331049e-07	n/a	-0.000962998	n/a	9.27365148004e-07	n/a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4956.31600740961	-1.860780088242791	24565068.365304746	3.462502536800849	11267.09513088977	-72.52110701105266	126947432.68851994	5259.310962108551	4494.771419431188	-10.284151545181883	105.76377300426697	20202970.11293546	4641.060168253956	8855.513916869928	1.285631	46.302063	0.1503107	0.0953239	0.0089791877	0.0638541161	-0.0737437917	-0.0261397414	0.1768295455	0.0596770817	0.003029674	0.0031100249	0.2807345434	-0.0167665265	-0.0220074719	-0.0618532909	0.0439188469	0.0552374792	0.0199831872	0.0115824008	-0.003679868	0.0946179513	-0.138652232	0.1589543135	0.0070860957	-0.0669611847	-0.0638305143	0.0088069865	0.0325183681	0.0361620883	-0.0374517134	0.0082135335	-0.0095488354	0.0649913659	-0.0096548267	0.0190227919	-0.0862109827	-0.0458746217	0.014504718	0.0263492514	0.0184149195	-0.0469798996	-0.0306672707	-0.0435712764	0.0007773787	-0.0205591422	0.0375686358	-0.1121605764	-0.0115402622	-0.0412573868	-0.003393175	-0.0404751447	-0.0411369411	0.06999029	-0.0239636202	0.000217741	0.0023105965	0.0641745031	0.0535665534	-0.0203445122	-0.0902136561	-0.038288297	-0.0753685261	-0.0256135907	0.0068604107	-0.0539562123	-0.0542498726	-0.0593904075	-0.0326068127	0.024706691	-0.0392607961	-0.0295487012	-0.0353044174	-0.031103222	0.1145524476	-0.0294613837	0.0451933728	-0.0244200298	-0.0463754729	0.0395293498	-0.064011476	-0.0574618533	-0.0045254641	0.029769501	-0.0190706394	-0.0594293231	0.0321884548	-0.0299481828	-0.0687241645	-0.0225279757	0.0354754891	0.1498870096	-0.0407344167	-0.0427213399	-0.0229281925	0.1485672379	0.0070119693	-0.0390678956	0.0627291253	-0.0030324862	-0.0965961121	-0.0189905366	-0.0067776582	-0.0316348269	-0.0818694046	-0.0199892033	0.0537189012	-0.0285897395	0.0315729418	0.0200554853	-0.0050039631	0.0172157628	0.0144037925	0.0520484965	-0.1043619976	-0.077610289	0.1479041189	-0.0741404354	-0.0925884506	-0.046700747	0.0388410555	-0.0503100193	0.0393493329	0.0038796036	0.0065927537	-0.0567428029	0.066717176	-0.1341391932	-0.002727334	-0.0113743825	-0.0798306241	-0.0380713574	0.0739757474	-0.0076065343	-0.0243406443	0.0145804821	-0.0108921919	-0.0437640031	0.0516528917	0.0151669338	0.009472837	-0.0213761506	0.0297424318	0.0653808049	-0.0694878828	-0.0570911425	-0.0053232792	-0.0467693498	0.0102736597	0.0053393225	-0.0152300531	0.0258638672	-0.0431208018	0.0641640793	-0.0517392491	0.0654735596	0.034390281	-0.0799976331	0.019618217	-0.0158235013	0.0388794171	-0.0481047774	-0.0488632557	0.039836267	0.1048758073	0.0819521299	0.1144952146	0.0774680683	0.0538263122	-0.0559795092	0.0636888617	0.0556726618	0.023735146	-0.0124861525	0.0109046737	-0.0388171635	-0.0193314038	-0.0217163916	-0.0139399052	-0.0613854071	-0.0609030987	0.0037346193	-0.0460273152	0.0133931795	0.0821135493	-0.0893045069	0.0003420377	-0.1442062126	0.0024368068	0.0968502355	-0.0320972744	0.0834801524	-0.0543661096	-0.0152404207	0.0608436943	-0.0548168282	0.0735154993	0.0734976116	0.073467802	0.0734260752	0.0166751	0.0029082	0.00027805896001	8.457627240000008e-06	0.127017	-0.010437	0.0161333182889999	0.000108930969	0.131104	0.0770560999999999	0.0059376425472099	0.0171882588159999	-0.00243661	-0.00103213	5.937068292100001e-06	1.0652923369e-06	-0.000339785	0.000107972	1.15453846225e-07	1.1657952784000005e-08	-0.000904912	5.8085999999999945e-05	8.188657277440001e-07	3.373983395999993e-09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4951.452986390559	-4.863021019051303	24516886.676435985	23.64897343173477	11133.073243964627	-134.0218869251421	123945319.85548107	17961.866174975574	4515.061996084129	20.290576652940217	411.7075009088426	20385784.828483198	4665.007019155788	8776.074027671042	1.314132	47.328541	0.17102515	0.120706	0.0509856903	0.0334661464	0.0512787803	0.027686443	0.1177793385	0.0138019416	-0.0947464716	0.0506761122	0.2398045622	0.0279490091	0.0402624996	0.0471371715	0.0535535701	0.0171614114	-0.0297597078	-0.0220600408	-0.0359282334	0.0325455798	-0.0123127268	-0.0429676139	-0.0409369408	0.0730302159	0.0247282248	0.0060350365	-0.0628102205	0.1495598968	-0.0091427453	0.0370122904	-0.0043591747	-0.0550436912	0.0145914211	0.0543437007	-0.0494359926	-0.0072735081	-0.0179988465	0.060131638	0.017216055	0.0058054352	-0.0337914808	-0.0190584176	0.0274007282	-0.0644779907	0.0187042633	0.1019218117	0.0977308509	-0.0411388647	-0.0291470985	-0.0458811074	0.0941686982	-0.0956756189	0.012235685	-0.0085171687	0.0536298386	0.0469662521	0.0315672937	-0.0945268311	-0.0203637675	-0.0117208422	0.0144795931	-0.0024646535	-0.0615373721	-0.0067186957	-0.0406571895	-0.0033568615	-0.0420777781	0.0730158539	0.0003830941	0.0636102737	0.0102025812	-0.0053659474	-0.0154351826	-0.0003433879	-0.0114927464	0.0037552438	-0.0267968431	0.0201581081	-0.0637276728	0.0229362233	0.0361084808	0.0344081252	0.044172119	-0.0455624554	0.0767577516	-0.1102159909	-0.0978495915	0.0294108095	-0.1166435043	0.0142890704	0.0809196911	-0.0269184383	0.0559749087	-0.0420005472	0.0956688996	0.0604083808	0.03353642	-0.0539686351	-0.017158276	0.0198319951	0.0216514734	0.0082291771	-0.0717072743	0.0192091511	-0.0268625109	0.047657816	0.06703319	0.0488581354	0.0257436232	0.0018099323	0.0147572659	0.0247582201	-0.0195546255	-0.0435369247	-0.0695075518	0.0068136819	0.0406288207	0.0613349498	0.0373610137	0.0040932839	0.0142024759	-0.1536007677	0.0275532366	0.0694039797	0.0330727164	-0.0261676087	-0.0435068267	0.0350904647	-0.0341102313	-0.0497445309	0.0713299858	-0.0385752497	-0.0220201951	0.0404537935	-0.0326446034	0.0622897245	0.069818524	-0.0431412534	-0.0307344608	-0.075131306	0.0308244269	-0.0741454507	0.075594827	0.0433188935	0.0363176356	-0.0480492394	-0.0282634276	-0.0889690983	-0.081146776	-0.0188084112	0.0296694713	-0.0220359943	-0.0349692544	-0.0239293929	0.0412941107	0.0051294587	-0.0434535465	0.0340169097	0.0295287483	-0.0070292854	-0.0724897574	-0.0465523325	0.0037246879	0.0014446386	0.0912753299	-0.0143102583	0.0277487181	-0.0732903897	-0.0229478509	-0.0204462109	0.0020742796	0.06441054	0.0103236748	-0.0263561939	-0.0524806576	-0.0497866022	0.003533578	0.035076537	-0.1324534624	0.0331681244	-0.1112199989	0.0118946803	0.0828729284	0.132477283	0.0054240125	-0.0098208504	-0.0165740913	-0.0384345571	0.0138962725	0.0562180855	0.0043717462	0.0127044839	0.0556079895	-0.0096194176	0.073504899	0.0734552169	0.0733724382	0.0732566003	0.0201093	0.0034341999999999	0.00040438394649	1.1793729639999988e-05	0.138964	0.011947	0.019310993296	0.000142730809	0.24832	0.117216	0.013739590656	0.0616628224	-0.00267682	-0.0002402099999999	7.165365312399999e-06	5.770084409999992e-08	-0.000551436	-0.0002116509999999	3.04081662096e-07	4.479614580099999e-08	-0.00122161	-0.0003166979999999	1.4923309920999995e-06	1.0029762320399994e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4929.636013897211	-21.81697249334775	24301311.229512382	475.9802887754923	11046.512654561117	-86.56058940351068	122025441.82737888	7492.735637883165	4500.701911753386	-14.360084330742213	206.212021986028	20256317.698460583	4647.922713020593	8665.300731249583	1.217619	43.852589	0.2203809	0.15752	-0.002763269	0.0640819781	0.0430567368	-0.0230458838	0.0824708889	-0.0051636679	-0.0630378119	-0.014170513	0.1450074501	-0.0123700087	-0.0484089466	0.0328133753	-0.0085896114	0.1061418674	0.0071484338	0.0530260686	0.0017517226	-0.0663254515	-0.0382820528	-0.0250851493	0.0972680647	-0.0017636673	-0.0331486413	0.0128532468	0.0112481478	0.0706074536	-0.0232489251	0.0163555132	-0.0566274528	-0.018317944	-0.0082303409	0.0053349684	-0.0555588334	-0.0318362461	0.0259785264	0.0252370251	-0.0635681441	0.110790676	-0.0293485583	0.003371557	0.0667042901	-0.0530037781	0.0903713229	0.0138057109	0.0902091769	-0.0379063169	-0.0299367689	0.0075637088	0.0006631787	0.0089250969	0.0512678071	-0.0125644514	0.0179352771	0.0679726026	-0.0040626059	-0.0344584523	-0.0416334597	0.0397095752	-0.0636781973	0.0407150823	-0.1148781437	0.0050126878	-0.0984974957	0.0284579976	0.0327198807	-0.0078479955	0.0132614068	-0.0143236952	0.0169898719	0.0014284978	-0.1399323474	-0.0513171478	-0.0630853381	0.1017496809	0.0008881145	0.0555336409	0.0283360656	-0.0153127966	-0.0382156742	0.1246189629	0.0985462252	0.0911310612	-0.0139031279	0.0603928815	-0.0170189701	-0.0760268243	-0.0331489459	-9.34482e-05	0.0209140027	-0.0152354074	0.047691168	-0.0478753434	0.0585035874	-0.0299058687	-0.0674005032	-0.0434934864	0.0342379665	-0.0706001541	0.0067693999	0.127444876	-0.0013219959	-0.0251958156	-0.0333673595	-0.054686534	0.0543343501	-0.0281579023	-0.0509033281	-0.0087213533	-0.0257441807	-0.0279431547	-0.0634932621	0.0133757434	-0.0118705336	0.0877555387	-0.0636394788	-0.0433727372	0.0370993691	-0.0090027763	0.0427588291	-0.0687801508	0.0582423234	0.013892613	0.0010226048	-0.0027515736	0.02900307	-0.0543310056	-0.0136324758	-0.0880315947	-0.0155424053	-0.0204468599	0.0078480161	0.0352782462	-0.0207182709	0.0486103984	0.1299997497	-0.0034573325	-0.0498559558	-0.0790546026	0.0304796605	0.0298492637	-0.0119990167	-0.000286206	0.0430828517	-0.0344119735	-0.1254425571	-0.0497812629	-0.0424706126	-0.1000756737	-0.0386712012	0.017317866	-0.0499754972	-0.0303468075	0.0209013257	-0.0098351562	-0.0173262467	0.0381611841	-0.1082087784	-0.035413906	0.0298328239	-0.0061316022	-0.0285699202	-0.0155048301	-0.0039353942	0.0087811024	0.09814424	-0.0092544974	-0.018586856	-0.0151367954	-0.0876990104	-0.0981816672	0.0223007293	-0.0310098338	0.040275691	0.1730053806	0.0094859175	0.0808608736	-0.0475552556	-0.0563595476	-0.0925588149	0.0436824844	-0.0265924038	0.043393051	-0.0216822848	0.0291243519	-0.0069897222	-0.0928362129	-0.0557178949	-0.0227470284	0.0233447294	-0.0154135519	0.0077059692	0.0163908418	0.0734889995	0.0733916401	0.0732294699	0.0730026322	0.0173129	-0.0027964	0.0002997365064099	7.819852960000005e-06	0.11484	-0.024124	0.0131882255999999	0.000581967376	0.0953245	-0.1529955	0.02340762302025	0.00908676030025	-0.00230166	0.0003751599999999	5.2976387556e-06	1.4074502559999988e-07	-0.000434931	0.0001165049999999	1.89164974761e-07	1.3573415024999996e-08	-0.000903975	0.0003176349999999	8.17170800625e-07	1.0089199322499994e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4933.935777735983	4.299763838771469	24343722.25882318	18.48796906920676	11015.409856895843	-31.1027976652731	121339254.31539813	967.384022606918	4496.471059834898	-4.230851918488042	17.90010795617395	20218251.991932776	4650.046588213739	8731.184586117093	1.285525	46.298244	0.0710154	0.0335506	-0.0350948512	-0.0092506824	0.0084690534	-0.0261617713	0.0620397645	-0.0416419601	-0.0292480902	-0.0339787295	0.1126606816	-0.0240770259	-0.0364267343	-0.0306640963	-0.0112768458	0.0310536749	-0.0144795408	-0.0283854082	0.0458540581	-0.1344728448	0.0608320509	0.0406890206	0.0122448257	0.0360284866	0.0577308102	-0.0443894689	0.0205782578	0.0748215461	-0.0131427212	0.011071929	0.0280913012	0.0474763778	0.0219217873	0.0126176128	0.1173989043	0.0246051424	0.0100083681	-0.069234826	-0.1236063308	-0.0256218167	-0.104696087	-0.0309257904	0.0463331912	0.0063284937	0.0055480296	0.0052761941	0.0411130687	-0.101242962	0.0438826522	0.0111202759	0.0591555037	0.0068461282	-0.0421410509	0.009098862	-0.0400386508	0.0833364614	-0.0007103728	-0.00931718	0.0057456421	-0.0712038271	-0.0295178892	-0.0527782721	0.0090153938	0.1114009484	0.0191087544	0.0173614783	-0.026287079	-0.0316632276	-0.0484656963	0.0730570948	-0.0422638562	-0.0164196947	0.0070915268	-0.0160883122	0.0672495974	-0.0153443669	0.0198534807	0.0270947802	-0.0347849364	-0.0051761068	0.0475392628	0.009232606	0.024547073	-0.0646692661	0.065604905	0.0267595406	0.0501793595	-0.0193467671	0.1229076285	-0.0271412087	-0.1348204108	0.0582645428	-0.0407998123	-0.0691958857	-0.09523027	-0.0367337425	-0.0939900025	-0.0147071139	-0.0167968187	0.0771997259	0.0035747752	0.0785092624	-0.0237386328	-0.0323571553	-0.0219981673	-0.0524553023	0.0117000281	-0.0321752791	0.0270506454	0.0967939647	-0.0343184958	-0.0833166358	-0.0372144122	0.009616097	0.0213885684	0.0922197076	0.0155547706	0.1019572609	-0.0551870629	-0.000732032	-0.0340717856	-0.0536609691	0.0025941956	-0.043058509	-0.0018220328	0.0024189301	-0.021846907	0.0044990647	0.128623457	0.0246180534	-0.044452897	0.0693799754	-0.0813897075	0.0310968659	-0.0646184473	0.0295177899	0.1003677976	0.0231578037	0.0188513335	-0.0830790748	-0.0111947197	-0.0019493296	0.0214232397	-0.026011188	-0.082649086	-0.0211090282	-0.007892741	0.0095355227	-0.0919322511	0.0533948012	-0.0350056583	0.0470900869	0.0504977414	0.0203654321	0.0305550691	-0.065052219	-0.0533725045	0.0982822915	0.0390993199	0.0682972867	0.0184431805	-0.0254957062	0.0058921435	0.0352100043	-0.017784859	-0.0082953081	0.054146414	0.0088893207	0.0522243403	0.0244624419	0.0520754037	-0.0041964285	-0.0252971443	-0.0263090855	0.0206532167	-0.0538198503	-0.1149293396	0.0337262249	0.0349657848	0.0194151192	0.0676176164	-0.0687374698	-0.0191792867	-0.1349071016	-0.1073322147	0.0172902419	-0.0470233296	-0.0663920808	-0.0529947739	-0.0028089557	-0.0054830064	-0.0824731539	-0.0712799164	-0.0420981059	0.073467802	0.0733068996	0.0730389899	0.072664464	0.0121645	-0.0051483999999999	0.00014797506025	2.650602255999999e-05	0.124864	0.010024	0.015591018496	0.000100480576	0.0841018	-0.0112227	0.00012594899529	0.00707311276324	-0.00185082	0.00045084	3.4255346724e-06	2.032567056000001e-07	-0.00012819	0.000306741	1.64326761e-08	9.409004108100001e-08	-0.0010388	-0.000134825	1.0791054400000002e-06	1.8177780625000024e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4911.087981682542	-22.847796053441016	24118785.1638267	522.0217844996348	11039.06900045862	23.65914356277608	121861044.39688648	559.7550741240489	4490.102143386314	-6.368916448584059	40.56309672904459	20161017.258042373	4642.477787490252	8734.304090152818	1.206903	43.466675	0.08245545	0.045412	-0.0340252943	-0.0382697166	-0.0537973601	-0.0346637266	0.0671327684	-0.0550139243	0.0468012209	0.0178368598	0.1521608808	-0.0205555668	-0.0010956773	-0.0588867294	-0.0319733141	-0.0573417694	0.0744092584	-0.013163844	0.0376330555	-0.0789998188	-0.0291008938	-0.0639398444	-0.0203635661	-0.0799407527	0.0227258135	-0.0255661934	-0.0903865293	0.1109972305	-0.0182454837	0.0733980501	-0.0705078024	0.0023056225	-0.0628399075	0.0198330376	0.0857115001	0.0284253505	0.1202294807	0.0131967816	-0.0332095125	0.0229576623	0.0738163454	0.0101499208	-0.0302007955	-0.0411145688	-0.0310890821	0.0863093808	-0.0259107205	-0.0308069601	0.0758602971	0.0090174151	-0.0196069004	-0.0339311842	-0.0415922979	-0.0010200021	-0.0772368947	-0.0784745754	0.0961887893	-0.1065902448	0.0763078891	0.0343338188	-0.0392327578	-0.0325983762	-0.0464820202	0.1017355395	-0.011386963	-0.0424554837	0.0590363237	0.0038243582	0.0351307784	-0.0209892379	-0.0124566132	-0.021974804	-0.0052135414	-0.1239296863	-0.0718688344	-0.0248370463	-0.0423907224	0.0654270948	-0.0309367066	0.0065194927	0.0230382778	0.0099137776	-0.0483339132	-0.0057616108	0.0201981262	-0.0077116552	-0.0546904056	-0.0068019192	-0.0048181367	-0.0457376476	-0.1311034928	-0.1260310342	-0.0382145196	0.0595274992	0.0415842867	0.0134621688	0.0765360075	0.0382087551	-0.0507922064	0.0445714897	0.0110828539	0.0086485467	0.1287944288	-0.0221087449	0.0158848327	0.0273059512	-0.0876757909	-0.02756431	0.030709311	0.1053831833	-0.037452741	-0.0062709214	-0.0246857168	0.0484364546	-0.1045009728	-0.062532131	-0.1038801651	0.0126246235	-0.0546580626	0.0365069306	-0.0269393347	-0.1897194737	0.0777609099	-0.0113984784	0.0143553435	-0.0520990035	0.0008541298	-0.0485800851	0.0909429465	-0.0153213031	-0.0703200491	-0.0547687845	0.0032790561	-0.0392369091	0.0353684062	0.1103232662	0.0298979049	0.0017574838	-0.0246191779	0.0199274888	-0.0690370328	-0.0225419143	0.0138222454	-0.0085138646	-0.0124540612	-0.0208370292	-0.0503582239	-0.0185357729	0.0607438337	0.062626599	0.0800046368	-0.0945901905	0.0530684038	0.0844128025	0.0413177895	-0.0252545653	0.0020696313	0.0700924841	-0.021889835	0.0661633056	-0.0348291236	0.0325947786	0.0682873515	0.0390917843	0.0218055797	-0.0024517035	0.1118816586	-0.0853183431	-0.0896291372	0.0308801551	-0.0253558876	-0.0106176545	0.0583864023	0.0209700179	-0.0542412186	-0.0186337946	0.0102998972	-0.0455275098	-0.0190014763	0.018398869	0.0238975758	0.0759412715	-0.0377502874	-0.0731869366	-0.0733555236	-0.0253552894	-0.0092795747	-0.0029806253	0.0718007769	-0.0798253247	-0.0270873977	0.0508299017	-0.0579283292	-0.0190070755	0.0734413079	0.0732010197	0.0728011217	0.0722424856	0.0153087	0.0031441999999999	0.0002343562956899	9.885993639999998e-06	0.128897	0.004033	0.016614436609	1.6265089000000072e-05	0.115423	0.0313211999999999	0.0009810175694399	0.0133224689289999	-0.00243576	-0.0005849399999999	5.9329267776e-06	3.421548036e-07	-0.000262214	-0.0001340239999999	6.875618179599998e-08	1.7962432575999994e-08	-0.000878623	0.000160177	7.71978376129e-07	2.565667132900002e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
