TrialNumber,Trialn,TrialType,Partner,Feedback,ITI,ISI,ran,order,studyStart,InitFixOnset,InitFixOffset,decision_onset,resp,resp_onset,rt,ISI_onset,isi_for_trial,ISI_offset,outcome_val,outcome_onset,outcome_offset,trialDuration,ITIonset,ITIoffset,final_fix_offset
1,1,1,1,1,4,2.550000e+00,1.0,0.0,2.4000183e-06,59.84716,63.847393,63.852425,7.0,65.410286,1.5578614,65.51067,3.3921385,68.90414,8.0,68.90428,69.91145,6.059029,69.91164,73.913345,--
2,2,4,2,1,1,1.700000e+00,1.0,1.0,--,--,--,74.08449,7.0,75.32693,1.2424392,75.427246,2.8575609,78.28563,7.0,78.28574,79.29151,5.2070236,79.29166,80.29324,--
3,3,4,2,1,1,8.500000e-01,1.0,2.0,--,--,--,80.45987,2.0,82.11104,1.6511699,82.211365,1.5988301,83.81232,4.0,83.81243,84.81641,4.3565383,84.81655,85.81815,--
4,4,3,1,3,1,1.700000e+00,1.0,3.0,--,--,--,85.821815,2.0,87.161865,1.3400549,87.26219,2.7599452,90.02326,7.0,90.023384,91.029465,5.207653,91.02961,92.03139,--
5,5,3,1,3,3,1.700000e+00,1.0,4.0,--,--,--,92.03313,2.0,93.37782,1.344692,93.47816,2.755308,96.23562,8.0,96.235725,97.23935,5.206217,97.239494,100.241066,--
6,6,3,1,3,3,8.500000e-01,1.0,5.0,--,--,--,100.24264,2.0,101.6945,1.4518669,101.794846,1.7981331,103.59564,8.0,103.59576,104.599335,4.356696,104.59948,107.6012,--
7,7,6,2,3,1,1.700000e+00,1.0,6.0,--,--,--,107.769424,7.0,109.72769,1.9582675,109.82802,2.1417325,111.971924,3.0,111.97204,112.976364,5.2069445,112.97651,113.97796,--
8,8,5,2,2,4,1.700000e+00,1.0,7.0,--,--,--,114.144905,2.0,116.1113,1.9663943,116.21164,2.1336057,118.346886,5.0,118.347,119.3525,5.2076006,119.352646,123.3541,--
9,9,2,1,2,3,2.550000e+00,1.0,8.0,--,--,--,123.35682,7.0,125.42758,2.0707626,125.52793,2.8792374,128.40944,5.0,128.40958,129.41464,6.057821,129.4148,132.4162,--
10,10,3,1,3,3,2.550000e+00,1.0,9.0,--,--,--,132.41788,7.0,133.56099,1.1431094,133.66132,3.8068905,137.47066,3.0,137.47076,138.47536,6.05748,138.47551,141.47676,--
11,11,4,2,1,2,2.550000e+00,1.0,10.0,--,--,--,141.64447,2.0,143.29404,1.6495744,143.39436,3.3004255,146.6959,1.0,146.69603,147.70227,6.0578113,147.70242,149.7042,--
12,12,4,2,1,3,2.550000e+00,1.0,11.0,--,--,--,149.87163,7.0,151.2116,1.3399645,151.31194,3.6100354,154.92398,8.0,154.9241,155.92833,6.056703,155.92848,158.92987,--
13,13,2,1,2,4,1.700000e+00,1.0,12.0,--,--,--,158.93262,2.0,160.1766,1.2439935,160.27693,2.8560064,163.13527,5.0,163.13539,164.14032,5.2077036,164.14046,168.14188,--
14,14,1,1,1,1,1.700000e+00,1.0,13.0,--,--,--,168.14345,2.0,169.39328,1.2498364,169.49362,2.8501635,172.34634,3.0,172.34645,173.35114,5.2076817,173.35127,174.35359,--
15,15,6,2,3,3,2.550000e+00,1.0,14.0,--,--,--,174.52208,7.0,175.66098,1.138902,175.76135,3.811098,179.57431,1.0,179.57442,180.5791,6.057024,180.57924,183.58159,--
16,16,6,2,3,2,1.700000e+00,1.0,15.0,--,--,--,183.74843,2.0,184.89407,1.145657,184.9944,2.954343,187.95125,7.0,187.95135,188.95642,5.2079983,188.95657,190.95828,--
