global_signal	global_signal_derivative1	global_signal_power2	global_signal_derivative1_power2	csf	csf_derivative1	csf_power2	csf_derivative1_power2	white_matter	white_matter_derivative1	white_matter_power2	white_matter_derivative1_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	c_comp_cor_05	c_comp_cor_06	c_comp_cor_07	c_comp_cor_08	c_comp_cor_09	c_comp_cor_10	c_comp_cor_11	c_comp_cor_12	c_comp_cor_13	c_comp_cor_14	c_comp_cor_15	c_comp_cor_16	c_comp_cor_17	c_comp_cor_18	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	w_comp_cor_19	w_comp_cor_20	w_comp_cor_21	w_comp_cor_22	w_comp_cor_23	w_comp_cor_24	w_comp_cor_25	w_comp_cor_26	w_comp_cor_27	w_comp_cor_28	w_comp_cor_29	w_comp_cor_30	w_comp_cor_31	w_comp_cor_32	w_comp_cor_33	w_comp_cor_34	w_comp_cor_35	w_comp_cor_36	w_comp_cor_37	w_comp_cor_38	w_comp_cor_39	w_comp_cor_40	w_comp_cor_41	w_comp_cor_42	w_comp_cor_43	w_comp_cor_44	w_comp_cor_45	w_comp_cor_46	w_comp_cor_47	w_comp_cor_48	w_comp_cor_49	w_comp_cor_50	w_comp_cor_51	w_comp_cor_52	w_comp_cor_53	w_comp_cor_54	w_comp_cor_55	w_comp_cor_56	w_comp_cor_57	w_comp_cor_58	w_comp_cor_59	w_comp_cor_60	w_comp_cor_61	w_comp_cor_62	w_comp_cor_63	w_comp_cor_64	w_comp_cor_65	w_comp_cor_66	w_comp_cor_67	w_comp_cor_68	w_comp_cor_69	w_comp_cor_70	w_comp_cor_71	w_comp_cor_72	w_comp_cor_73	w_comp_cor_74	w_comp_cor_75	w_comp_cor_76	w_comp_cor_77	w_comp_cor_78	w_comp_cor_79	w_comp_cor_80	w_comp_cor_81	w_comp_cor_82	w_comp_cor_83	w_comp_cor_84	w_comp_cor_85	w_comp_cor_86	w_comp_cor_87	w_comp_cor_88	w_comp_cor_89	w_comp_cor_90	w_comp_cor_91	w_comp_cor_92	w_comp_cor_93	w_comp_cor_94	w_comp_cor_95	w_comp_cor_96	w_comp_cor_97	w_comp_cor_98	w_comp_cor_99	w_comp_cor_100	w_comp_cor_101	w_comp_cor_102	w_comp_cor_103	w_comp_cor_104	w_comp_cor_105	w_comp_cor_106	w_comp_cor_107	w_comp_cor_108	w_comp_cor_109	w_comp_cor_110	w_comp_cor_111	w_comp_cor_112	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	a_comp_cor_32	a_comp_cor_33	a_comp_cor_34	a_comp_cor_35	a_comp_cor_36	a_comp_cor_37	a_comp_cor_38	a_comp_cor_39	a_comp_cor_40	a_comp_cor_41	a_comp_cor_42	a_comp_cor_43	a_comp_cor_44	a_comp_cor_45	a_comp_cor_46	a_comp_cor_47	a_comp_cor_48	a_comp_cor_49	a_comp_cor_50	a_comp_cor_51	a_comp_cor_52	a_comp_cor_53	a_comp_cor_54	a_comp_cor_55	a_comp_cor_56	a_comp_cor_57	a_comp_cor_58	a_comp_cor_59	a_comp_cor_60	a_comp_cor_61	a_comp_cor_62	a_comp_cor_63	a_comp_cor_64	a_comp_cor_65	a_comp_cor_66	a_comp_cor_67	a_comp_cor_68	a_comp_cor_69	a_comp_cor_70	a_comp_cor_71	a_comp_cor_72	a_comp_cor_73	a_comp_cor_74	a_comp_cor_75	a_comp_cor_76	a_comp_cor_77	a_comp_cor_78	a_comp_cor_79	a_comp_cor_80	a_comp_cor_81	a_comp_cor_82	a_comp_cor_83	a_comp_cor_84	a_comp_cor_85	a_comp_cor_86	a_comp_cor_87	a_comp_cor_88	a_comp_cor_89	a_comp_cor_90	a_comp_cor_91	a_comp_cor_92	a_comp_cor_93	a_comp_cor_94	a_comp_cor_95	a_comp_cor_96	a_comp_cor_97	a_comp_cor_98	a_comp_cor_99	a_comp_cor_100	a_comp_cor_101	a_comp_cor_102	a_comp_cor_103	a_comp_cor_104	a_comp_cor_105	a_comp_cor_106	a_comp_cor_107	a_comp_cor_108	a_comp_cor_109	a_comp_cor_110	a_comp_cor_111	a_comp_cor_112	cosine00	cosine01	cosine02	cosine03	cosine04	non_steady_state_outlier00	non_steady_state_outlier01	non_steady_state_outlier02	trans_x	trans_x_derivative1	trans_x_power2	trans_x_derivative1_power2	trans_y	trans_y_derivative1	trans_y_derivative1_power2	trans_y_power2	trans_z	trans_z_derivative1	trans_z_power2	trans_z_derivative1_power2	rot_x	rot_x_derivative1	rot_x_derivative1_power2	rot_x_power2	rot_y	rot_y_derivative1	rot_y_derivative1_power2	rot_y_power2	rot_z	rot_z_derivative1	rot_z_power2	rot_z_derivative1_power2	motion_outlier00
5176.968821534487	n/a	26801006.179140173	n/a	10944.830023181032	n/a	119789304.2363249	n/a	4811.606415321141	n/a	23151556.29595956	n/a	4847.75315381518	8290.896375317117	n/a	n/a	n/a	n/a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0223904	n/a	0.00050133001216	n/a	0.0302971	n/a	n/a	0.00091791426841	0.0	n/a	0.0	n/a	0.0	n/a	n/a	0.0	-0.0	n/a	n/a	0.0	0.0	n/a	0.0	n/a	0.0
5167.256037842288	-9.712783692199082	26700534.96061758	94.33816705144844	10810.160899780014	-134.6691234010177	116859578.67913264	18135.772797598536	4812.507925041098	0.9015097199571755	23160232.528583378	0.8127197751772651	4849.064727240195	8227.411224117568	1.257434	46.945236	0.0838148479999999	0.0412414	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0098136	-0.0125768	9.630674496e-05	0.00015817589824	0.000527552	-0.029769548	0.0008862259881243	2.78311112704e-07	0.0211964	0.0211964	0.00044928737296	0.00044928737296	0.00015477	0.00015477	2.3953752900000003e-08	2.3953752900000003e-08	-0.0	0.0	0.0	0.0	-0.000250672	-0.000250672	6.283645158400001e-08	6.283645158400001e-08	0.0
5149.966343171599	-17.289694670688732	26522153.335800253	298.93354180564234	10668.98405746506	-141.17684231495332	113827220.81844364	19930.900806021196	4807.619810025579	-4.888115015519361	23113208.23775038	23.89366840494584	4843.638726242123	8149.920325806889	1.239173	46.263466	0.193085798	0.115486	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.007103	-0.0027106	5.0452609e-05	7.347352360000003e-06	0.107422	0.106894448	0.0114264230132247	0.011539486084	0.0474909	0.0262945	0.00225538558281	0.00069140073025	-0.000293246	-0.000448016	2.0071833625600002e-07	8.5993216516e-08	-0.000485835	-0.000485835	2.36035647225e-07	2.36035647225e-07	-0.000460546	-0.0002098739999999	2.12102618116e-07	4.4047095875999996e-08	0.0
5136.078164338625	-13.888178832973608	26379298.910196025	192.88151129665616	10583.758109003304	-85.22594846175707	112015935.70989318	7263.462291206072	4799.016255577903	-8.603554447675378	23030557.02130096	74.0211491341148	4835.190550898972	8082.622801766369	1.181767	44.120251	0.12937435	0.0802058999999999	-0.0157241548	-0.0579387244	-0.0358495666	-0.0011063374	0.0466997579	-0.0765104068	0.0215320659	0.0933844117	0.0808655775	-0.1015734668	0.015309939	0.0925559377	0.1737536826	-0.2343690168	-0.183409732	-0.0280835167	0.240956235	-0.0102103424	0.0414410162	0.1512568244	-0.002572615	-0.0145998101	0.0273934145	-0.0015311545	0.0236460171	-0.0213500531	0.0687648996	-0.0104880905	0.0398782516	-0.0710721806	0.0137057787	-0.074850971	0.0385187429	-0.0452177366	0.0062411459	-0.0123343914	0.0362345532	-0.0525897189	0.0657577581	-0.0504500722	0.0071088543	-0.0407567518	0.0934467304	-0.0028651118	-0.0404526218	0.0430484956	-0.0412221013	0.001382038	0.0115083671	-0.0331053395	-0.0783974169	-0.000126253	0.0821882615	-0.0242569386	0.0080704877	-0.0344297102	0.046243139	-0.0624603863	0.0038907234	-0.0310661119	0.0641645813	-0.032455849	0.0448683218	-0.0322261377	0.0808419631	-0.1012923119	0.023541633	-0.0370833536	0.0340572041	-0.0463256737	0.0230592738	-0.0308642547	0.0239945759	-0.0622371946	0.0542480066	-0.0582380781	0.0497096272	-0.0689450563	0.1130135895	-0.0504799679	-0.0026735358	0.0361934784	-0.035511543	0.0356729351	-0.0417177475	0.0414477253	-0.0508913138	-0.0747653749	0.0552662689	-0.0072486417	-0.1168885833	0.0082902434	0.0062604395	0.0273773312	-0.0819236627	0.0034686374	0.0099817581	0.0196248637	-0.0171548573	-0.0284490536	0.0124324397	0.0018548311	-0.0585850658	0.0121534744	0.000182085	0.0065789949	-0.0452966892	0.0790935621	0.0785940882	-0.0713801281	-0.0436972247	0.0183136215	0.0160090312	-0.0544874331	-0.0688275662	0.0299378377	-0.0228269395	-0.0222704711	-0.0245592673	-0.0084980235	0.0639285211	-0.0214005552	-0.0206782964	0.0431591647	0.0297006826	0.0414563429	-0.150898522	0.0690104029	0.0005386243	0.0179817264	0.0062020302	0.0305338518	-0.065715565	-0.0174563951	0.0792861162	0.0415228492	-0.0107633465	0.0130592782	-0.0374655464	0.1014953095	-0.0211366314	0.0558170185	-0.0188123236	0.0098908281	-0.0377207444	0.0308517424	-0.0006066786	0.0008567316	-0.0010969195	0.0803284223	-0.0220113665	0.0538081471	-0.0509921404	0.0521061487	-0.0094416514	0.0392910273	-0.1014242007	0.0251478446	-0.0448816921	0.007011364	0.006460106	-0.0389347895	-0.0129321634	-0.1120972034	-0.0493577582	0.0221569743	-0.0058634349	0.0449515788	-0.0468420311	0.0606152007	-0.1056475722	0.0154720343	-0.0126677368	0.0095653303	-0.0512909433	0.0656943997	-0.0042093165	0.086001254	-0.100611721	0.0004034181	-0.0226168658	0.05193	-0.047695186	0.0306550482	-0.023675991	0.0323152253	-0.0551130797	0.0040427631	-0.0424005507	0.0782394517	-0.0238086851	0.0901592945	-0.0332043209	0.0052578056	-0.0060558747	-0.0066239382	0.0148854971	-0.0458959183	0.0069390774	0.0597643971	-0.1071372561	0.0271437187	0.0384151767	-0.047227768	0.0333899925	0.0124338451	0.0133653328	-0.1145525274	0.0138668572	0.0589368752	-0.0016645792	-0.0130896339	0.0536664578	0.0363327071	-0.038938826	-0.0212402209	0.0099577116	0.001934168	0.0111105305	-0.0709405734	0.0401885247	0.0731152025	-0.083577572	0.0524095525	0.0164240711	0.051097558	-0.047349118	0.0094090656	0.0823785938	-0.0082904002	-0.0126631769	-0.0088896428	0.0011399405	0.067613121	-0.0319464972	-0.0290411617	0.0416890124	0.0625996312	0.0298814422	-0.0810965635	-0.0766389451	0.0072373131	0.0311638013	0.0058200576	-0.0940208287	-0.0189759301	-0.0400158944	0.0741933173	-0.056709447	0.0723568488	0.0723550136	0.0723519549	0.0723476729	0.0723421676	0.0	0.0	0.0	0.0211025	0.0139995	0.00044531550625	0.00019598600025	0.0350322	-0.0723898	0.00524028314404	0.00122725503684	0.0176024	-0.0298885	0.00030984448576	0.00089332243225	-0.000309428	-1.6182000000000002e-05	2.618571240000001e-10	9.5745687184e-08	-0.000605803	-0.000119968	1.4392321024000009e-08	3.669972748090001e-07	-0.000334765	0.000125781	1.12067605225e-07	1.5820859960999997e-08	0.0
5126.647132702082	-9.431031636543594	26282510.82324248	88.94435772948614	10503.460747216235	-80.29736178706844	110322687.66831224	6447.666309963359	4807.222772066012	8.206516488108718	23109390.780270036	67.34691286960026	4843.352015808331	8041.797532468792	1.098151	40.998524	0.07696965	0.0473945	0.0635846912	0.005511737	-0.0172494604	-0.0116816411	0.0307289002	0.0149444363	-7.15391e-05	0.0931960316	0.1475282259	-0.0173579108	0.000811242	-0.0053952864	0.1420888537	-0.1187379655	-0.2148533424	0.003363301	0.0683915671	0.0599313159	0.0949467874	0.0452694764	0.0515117225	0.0306631285	0.0541803272	0.0319866861	0.0090705289	0.0916848846	0.0244732327	-0.0251172257	0.0276442836	0.0154272638	-0.0441089265	-0.0489951357	-0.0483960843	0.0047739735	-0.0125071475	0.0064337318	0.0110357868	-0.0449692743	0.1051396781	-0.0471323455	0.0272042955	0.0237550476	-0.0251950256	-0.1327133323	-0.0360654467	-0.0115095686	-0.0568513297	-0.0308030364	0.0713935329	-0.0554190237	-0.0328101859	0.0129830254	0.0413724402	0.0721201769	-0.0311671466	0.0035000493	0.0443994274	0.041138477	-0.0233519842	-0.0415756026	-0.0293507143	0.0391522143	0.0211435188	-0.0643978134	-0.0124350084	-0.0402858325	-0.0212290438	-0.0589163524	0.042433753	-0.0759068977	-0.0161381349	0.0129991093	-0.0814599736	-0.0554257503	0.038217643	0.0389568517	-0.1133734639	0.0711114031	0.0722289145	-0.0090651998	0.0659645168	0.0355609385	-0.0211615505	0.0941175415	-0.0071865323	-0.0367846954	-0.0207603596	-0.0062392078	-0.0325632257	-0.018084057	-0.0001819713	0.0720807333	0.0804678546	-0.1028951725	-0.1416552259	0.1007463063	0.0364403494	-0.0772493584	-0.0277881281	0.0807331637	-0.0348867974	-0.0381575157	-0.0003632363	0.0088375007	-0.009164387	-0.0505982934	0.0420909171	0.0249527273	0.0123082672	-0.0694512638	-0.004700736	-0.016977895	0.0940754581	0.0259233359	-0.0376857528	0.0269319997	0.013244257	0.0104999339	0.0699103815	0.0008558779	0.0547244358	-0.0525990258	-0.0405059094	-0.0392263183	0.0012348208	0.034783793	-0.103322633	-0.022537499	0.1165632572	0.0591595545	0.0575857512	0.1474821666	-0.0377570039	0.0729615223	-0.0114840244	0.1118989026	0.0228776657	0.0437295553	0.0687857015	0.0295604035	-0.010085289	-0.0507735517	-0.0338378015	-0.038399478	-0.0351969192	-0.0499368261	-0.0256963781	-0.0156710361	-0.0003207597	0.0443005952	-0.0222662379	0.094108227	-0.0071426231	0.0424114052	-0.0256731143	0.0535599464	0.0690849224	0.1207245082	0.0128178479	0.0294196815	0.0597899103	-0.0288274476	-0.0380537705	-0.0823952955	0.0200630562	-0.0401852537	0.0466011134	0.064616156	0.0155134433	-0.0090235422	0.0293829744	0.0843700667	0.0191566044	-0.0441648524	-0.0839170494	0.0141172519	0.0335379112	0.0167306183	-0.039895936	0.0243863036	-0.0029265274	0.0471545238	-0.0351335538	-0.02460643	-0.0182975289	0.0796625703	0.0050729979	-0.0978576477	-0.0139826237	-0.0835037439	-0.0975060317	-0.0149230302	-0.0208446451	-0.0537957003	0.0112264124	-0.021564814	-0.0846047276	-0.0586747964	0.0418250736	0.0224430154	0.0406167934	-0.0344170826	0.041750636	0.0194786123	-0.0485702247	0.1380233572	0.033963514	-0.1644155922	-0.0642416547	-0.0277817243	0.0374798284	-0.0466816763	-0.0869945288	-0.0407430747	-0.0335559659	0.0019575675	-0.0125814836	-0.1080946642	-0.0066493945	-0.0623079532	-0.0409541571	0.0068640231	-0.0482838932	0.0808408172	0.0407741559	-0.0270404797	0.0422203293	0.0191504364	0.0715950076	-0.0110699018	0.066339118	0.0107419906	0.0813880338	0.0196102359	-0.0260492568	-0.031685606	0.0887036247	-0.0099052485	0.0480399738	0.03108849	-0.1411787995	0.0794876433	-0.0570389491	-0.026546147	0.0315334829	-0.0701779307	0.0334560829	0.0092715162	0.0161802534	0.0723519549	0.072335439	0.0723079153	0.0722693879	0.0722198628	0.0	0.0	0.0	0.0170713	-0.0040311999999999	0.00029142928369	1.6250573439999988e-05	-0.00632935	-0.04136155	0.0017107778184024	4.00606714225e-05	0.0197814	0.002179	0.00039130378596	4.7480410000000015e-06	0.000160125	0.000469553	2.20480019809e-07	2.5640015625e-08	-0.00054528	6.052300000000005e-05	3.6630335290000045e-09	2.973302784e-07	-0.000276883	5.788199999999999e-05	7.666419568900002e-08	3.350325923999998e-09	0.0
5116.794157434205	-9.8529752678769	26181582.44955281	97.08112162939388	10488.388202256778	-15.072544959457446	110006287.08123916	227.18161155486607	4803.006302688596	-4.216469377415706	23068869.54366638	17.77861401068439	4839.11971570647	8035.903674297319	1.172742	43.78334	0.15144117	0.100402	-0.0643294467	0.0398404678	-0.0230794611	-0.0062420751	0.0472955342	-0.06141143	0.0439534383	-0.0060583094	0.0905063032	-0.0263666751	0.0874335332	0.0271131749	0.0263880301	-0.0853783818	-0.153968383	-0.0034964736	0.1177709971	-0.0087217493	0.0590785222	0.0766668747	-0.0313684057	-0.0415691399	0.0015278433	0.0238320367	-0.0028483458	-0.0179949581	-0.0422945996	-0.064886017	0.05360679	0.0540670758	0.0442580867	-0.0105745323	-0.0506577936	-0.0340186146	0.0062877025	-0.0302324024	-0.0481865803	0.003527058	-0.0016587577	0.0430161779	0.0317840274	0.0042360067	-0.0600624157	-0.0062038959	-0.0202614182	-0.0712753608	-0.013546225	-0.0157458226	-0.112194672	-0.0619455603	-0.0277957512	0.0365196411	-0.036717156	0.0989288142	0.0465725567	-0.0780821488	-0.0418774348	-0.0565961084	-0.0082062567	-0.0718793503	0.0528394634	-0.0717029944	0.0225139572	0.0586801202	-0.0905809573	-0.0078778145	-0.0816573986	-0.0294570481	-0.0051059722	-0.0382518132	0.0260811928	-0.0280558303	0.0204524282	0.0775496403	-0.0645517765	-0.0146320316	-0.0639513546	-0.0196989699	-0.0078081501	-0.0867513719	0.1225349976	0.0253553413	-0.0041798626	-0.0046640454	0.0501935491	0.0002506835	0.0737265586	0.0434261422	0.0552736516	-0.0751330498	0.1267469958	-0.0108618173	-0.0075375438	0.0049305435	0.0079050019	0.0120395522	-0.0079067082	-0.0329633557	0.0088490635	0.0340804853	-0.0029237673	0.0161404278	0.0761730439	-0.1221678684	-0.0671989053	-0.0451785439	-0.0563732099	0.0642385444	0.038493869	-0.0356129289	-0.1458993242	-0.0127548995	-0.0243971221	0.0446568713	-0.0649614128	-0.0128278958	-0.0055155535	-0.0008190765	-0.0423742692	0.0654429014	-0.0354084855	0.0065853813	-0.1424659694	0.0596547768	0.020789751	-0.0073642269	0.1303270886	0.0196435659	0.0670892851	0.0303255719	-0.0862776874	-0.014728265	0.1152995252	0.0295970974	0.0426981995	-0.025878946	0.0137311224	-0.0389363231	-0.0379435196	-0.002198178	0.0512121199	-0.066652164	-0.0622436014	0.0362360092	-0.0112767424	-0.058883926	0.0055390322	0.0295655238	-0.0277046339	-0.0263638647	0.0048902288	0.0311582543	0.0082376626	-0.0565639496	-0.0500722294	-0.0783133625	0.0182485997	0.0514794173	0.0289971269	0.0366759567	-0.0982751692	-0.0767670279	-0.0824554028	-0.0450424862	0.0071913532	-0.0662750937	-0.0373351516	-0.0381172764	-0.0317476448	0.0567037953	0.0111081497	-0.0599110607	-0.0698682296	-0.003489119	0.0103501447	0.0784174588	0.0666830334	-0.1153605874	-0.0183349119	0.0464079309	0.0183912953	0.019077211	0.0161553493	-0.0135833167	-0.0335386323	-0.0378490646	0.0252023658	0.0536356516	-0.0194037248	-0.0524792834	-0.0076240237	0.0473936224	0.0217863139	-0.1033926636	0.0069743178	-0.0002272741	-0.0542680068	0.0651982879	-0.0033593709	-0.0125742758	0.0418437439	0.0749155646	0.0202151113	0.0706172881	-0.1153638616	0.0065380404	-0.0297590497	0.0829886048	0.0317222981	-0.0374965844	0.0099479574	-0.0283274928	-0.0601584943	-0.0512698914	0.0600737794	-0.0695470084	0.1073899853	-0.0967110223	0.0777483876	-0.0122167574	0.0306341977	0.0171781856	-0.069536255	0.0691256241	-0.1061485479	0.0610402604	0.0201631855	-0.0333179642	0.0360543917	-0.0261850411	-0.0634509136	0.0622533871	-0.0575545091	0.0136642325	0.0691007189	-0.083372032	-0.0285294067	0.0482721746	0.0247418258	0.1132317582	0.0814567638	-0.0646826486	-0.0279403402	-0.0671404254	0.0243173951	-0.0004144794	0.061336315	0.024730234	0.0102225597	0.0723421676	0.0722962952	0.0722198628	0.0721129027	0.0719754601	0.0	0.0	0.0	0.00846088	-0.00861042	7.158649037440001e-05	7.413933257640002e-05	0.0886441	0.09497345	0.0090199562049025	0.00785777646481	0.04556	0.0257786	0.0020757136	0.00066453621796	-0.000188787	-0.000348912	1.21739583744e-07	3.5640531369e-08	-0.000485835	5.9444999999999984e-05	3.533708024999998e-09	2.36035647225e-07	-0.0003101	-3.321699999999999e-05	9.616201000000001e-08	1.1033690889999994e-09	0.0
