global_signal	global_signal_derivative1	global_signal_power2	global_signal_derivative1_power2	csf	csf_derivative1	csf_power2	csf_derivative1_power2	white_matter	white_matter_derivative1	white_matter_power2	white_matter_derivative1_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	c_comp_cor_05	c_comp_cor_06	c_comp_cor_07	c_comp_cor_08	c_comp_cor_09	c_comp_cor_10	c_comp_cor_11	c_comp_cor_12	c_comp_cor_13	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	w_comp_cor_19	w_comp_cor_20	w_comp_cor_21	w_comp_cor_22	w_comp_cor_23	w_comp_cor_24	w_comp_cor_25	w_comp_cor_26	w_comp_cor_27	w_comp_cor_28	w_comp_cor_29	w_comp_cor_30	w_comp_cor_31	w_comp_cor_32	w_comp_cor_33	w_comp_cor_34	w_comp_cor_35	w_comp_cor_36	w_comp_cor_37	w_comp_cor_38	w_comp_cor_39	w_comp_cor_40	w_comp_cor_41	w_comp_cor_42	w_comp_cor_43	w_comp_cor_44	w_comp_cor_45	w_comp_cor_46	w_comp_cor_47	w_comp_cor_48	w_comp_cor_49	w_comp_cor_50	w_comp_cor_51	w_comp_cor_52	w_comp_cor_53	w_comp_cor_54	w_comp_cor_55	w_comp_cor_56	w_comp_cor_57	w_comp_cor_58	w_comp_cor_59	w_comp_cor_60	w_comp_cor_61	w_comp_cor_62	w_comp_cor_63	w_comp_cor_64	w_comp_cor_65	w_comp_cor_66	w_comp_cor_67	w_comp_cor_68	w_comp_cor_69	w_comp_cor_70	w_comp_cor_71	w_comp_cor_72	w_comp_cor_73	w_comp_cor_74	w_comp_cor_75	w_comp_cor_76	w_comp_cor_77	w_comp_cor_78	w_comp_cor_79	w_comp_cor_80	w_comp_cor_81	w_comp_cor_82	w_comp_cor_83	w_comp_cor_84	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	a_comp_cor_32	a_comp_cor_33	a_comp_cor_34	a_comp_cor_35	a_comp_cor_36	a_comp_cor_37	a_comp_cor_38	a_comp_cor_39	a_comp_cor_40	a_comp_cor_41	a_comp_cor_42	a_comp_cor_43	a_comp_cor_44	a_comp_cor_45	a_comp_cor_46	a_comp_cor_47	a_comp_cor_48	a_comp_cor_49	a_comp_cor_50	a_comp_cor_51	a_comp_cor_52	a_comp_cor_53	a_comp_cor_54	a_comp_cor_55	a_comp_cor_56	a_comp_cor_57	a_comp_cor_58	a_comp_cor_59	a_comp_cor_60	a_comp_cor_61	a_comp_cor_62	a_comp_cor_63	a_comp_cor_64	a_comp_cor_65	a_comp_cor_66	a_comp_cor_67	a_comp_cor_68	a_comp_cor_69	a_comp_cor_70	a_comp_cor_71	a_comp_cor_72	a_comp_cor_73	a_comp_cor_74	a_comp_cor_75	a_comp_cor_76	a_comp_cor_77	a_comp_cor_78	a_comp_cor_79	a_comp_cor_80	a_comp_cor_81	a_comp_cor_82	a_comp_cor_83	a_comp_cor_84	cosine00	cosine01	cosine02	cosine03	cosine04	non_steady_state_outlier00	trans_x	trans_x_derivative1	trans_x_power2	trans_x_derivative1_power2	trans_y	trans_y_derivative1	trans_y_derivative1_power2	trans_y_power2	trans_z	trans_z_derivative1	trans_z_power2	trans_z_derivative1_power2	rot_x	rot_x_derivative1	rot_x_derivative1_power2	rot_x_power2	rot_y	rot_y_derivative1	rot_y_derivative1_power2	rot_y_power2	rot_z	rot_z_derivative1	rot_z_power2	rot_z_derivative1_power2	motion_outlier00
4304.55754690929	n/a	18529215.674653724	n/a	9334.576950495792	n/a	87134326.84472731	n/a	4224.622862968545	n/a	17847438.334316544	n/a	4293.244486792197	9092.916972666088	n/a	n/a	n/a	n/a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	-0.0584107	n/a	0.00341180987449	n/a	-0.0126341	n/a	n/a	0.00015962048281	0.465959	n/a	0.217117789681	n/a	0.000933413	n/a	n/a	8.71259828569e-07	-0.00301522	n/a	n/a	9.0915516484e-06	0.0	n/a	0.0	n/a	0.0
4286.718616976348	-17.838929932941937	18375956.501131617	318.2274211524118	9188.184787973258	-146.3921625225339	84422739.69794318	21430.665248023983	4223.245454402733	-1.3774085658114927	17835802.16813335	1.897254357170873	4290.551344361216	8908.48247848786	1.278782	39.139397	0.1153633999999999	0.0582046	0.0061792673	0.0773266677	-0.251398975	0.0142621428	0.2843374108	-0.2162258308	0.0981772961	-0.0566373869	0.0408928903	-0.1260954331	0.031234181	-0.1186772056	0.0662119761	-0.0832648836	0.0556883075	-0.0016361651	0.1454326736	-0.0042931867	-0.2296168915	0.1779045136	0.0230185356	-0.0021662925	0.0123723461	-0.0465548424	0.0265769529	-0.0046269377	0.0278375849	-0.0228007796	0.0276993161	-0.0021311616	-0.0298551356	0.0201248975	-0.0543607334	0.055269381	-0.0217778798	0.0480753416	-0.043290755	0.0921045113	-0.0641823439	0.0441117943	-0.1260829783	0.0032233935	-0.0164561826	0.0305568537	-0.0385367422	0.089762921	-0.0977734896	0.07319022	-0.0965284042	0.1150642356	-0.0141217949	0.0264182833	-0.0140474504	0.0788637065	0.0105401703	-0.0857351468	0.1129172371	-0.0049026716	0.0251285937	-0.0568288897	-0.0307124855	0.042027023	-0.0104730343	0.0310749392	0.0274841281	-0.0257562808	0.0294486264	0.029302399	-0.0857014501	0.0305094278	0.0495401719	0.04268513	-0.1211163278	0.0873053759	0.0071924565	-0.0644675497	0.052198703	0.0326266065	0.0782292667	-0.0605624553	0.040541714	0.0458662542	0.0636010958	-0.1738000428	-0.083710296	0.0702706502	0.067697935	-0.0776756605	-0.0246077549	-0.0783840194	0.0544868453	0.0680559089	-0.0150020321	-0.0303765846	-0.0343143551	0.0749361303	0.0970820613	-0.0331033727	-0.0817746225	0.1043108936	0.0467804589	0.0331866434	-0.0615645098	0.1976172293	-0.1442821749	0.2020169487	-0.01393888	0.0044199859	-0.0127350707	0.0126919294	-0.0152910625	0.0118554839	-0.0360343019	0.0229167384	-0.0246652904	0.0177359902	-0.0200050055	0.066293798	0.034394591	-0.0758235047	0.0380492928	0.0259473057	-0.089889555	0.0848762309	-0.0676070618	0.0230202065	-0.1190058838	0.0491774901	-0.0479289753	0.0275122865	-0.0241964975	0.0512321129	-0.0487628549	0.0591080446	-0.1116429494	0.1284416321	-0.0124052646	0.0859430767	-0.0262846666	0.1308915806	-0.0816843544	0.0117859388	-0.0059512594	0.0864395565	-0.0350601573	-0.0016306947	0.0127500871	0.0027514827	-0.026772776	0.0722833875	-0.0074421609	-0.0215991345	0.0479409414	0.0833556012	-0.035211722	0.0460062436	0.0342378467	0.0681055697	-0.0699539232	0.0873127938	0.0572964719	-0.0013923854	-0.100781468	0.0003759676	0.0190634874	-0.0760812193	-0.0433358603	-0.0806285112	-0.102350649	0.0982738947	-0.1202435879	-0.0102453	-0.0002241775	-0.0533995362	0.1202935065	-0.086847417	-0.0700005059	0.0856667453	0.0305428466	-0.0040344413	-0.1058498015	0.0396116707	0.0720112349	0.0059038191	-0.0726141963	-0.0358841031	-0.0068929071	0.0368029735	0.0855906817	0.0855864312	0.0855793473	0.0855694302	0.0855566802	0.0	-0.0624026	-0.0039919	0.00389408448676	1.5935265609999997e-05	-0.0331999	-0.0205657999999999	0.0004229521296399	0.0011022333600099	0.464961	-0.0009979999999999	0.216188731521	9.96003999999998e-07	0.00155747	0.000624057	3.8944713924900003e-07	2.4257128009e-06	-0.00226478	0.0007504399999999	5.631601935999997e-07	5.1292284484e-06	0.000421657	0.000421657	1.77794625649e-07	1.77794625649e-07	0.0
4292.284595819592	5.565978843244011	18423707.05151016	30.980120483439936	9170.003652907151	-18.181135066106435	84088966.9943305	330.55367229200505	4224.002262626107	0.7568082233738096	17842195.11467047	0.5727586869662221	4289.45161173686	8927.336468781385	1.14857	35.154022	0.07003585	0.0340384	-0.0850950253	-0.0015798372	-0.3037236854	-0.020801978	0.1845369891	-0.2583064569	0.185569418	-0.0039935339	0.0143783949	-0.1100614622	0.0449407084	0.0666509188	0.0040746109	-0.0554080226	-0.0205245931	0.036931118	0.1025718942	0.0251630649	-0.1084968362	0.229991601	0.0934647617	0.1240390426	-0.0035607058	-0.1286928629	0.0778860046	0.0551754313	0.0622897464	-0.0510678236	-0.0060271459	-0.0268220001	-0.0139617517	-0.0207204477	0.1239720266	0.1139605301	0.1065753545	-0.0642064821	-0.0335323468	-0.0045912569	-0.0893609793	0.0096860496	-0.0282603649	0.0234726563	-0.0311684921	0.0664414163	-0.0732085374	-0.0502784953	-0.0258201084	-0.0528876147	0.0147258169	-0.1587774969	-0.047739817	-0.0497135068	-0.0396311286	-0.0211245531	-0.123302993	-0.0159526772	0.0139907284	-0.008768833	0.0808092481	-0.0961691293	0.0442689107	-0.0079732605	0.0404175177	0.024202105	0.0334996207	-0.1219671421	0.1155404413	-0.0181561421	0.0648516577	-0.1471497332	-0.0458032232	-0.0433041796	-0.0567514066	-0.0908592453	-0.0172847923	-0.0153111791	-0.0127783456	-0.0659669327	0.0467860358	-0.0393519281	-0.0490061903	0.0014165854	-0.0058232303	-0.0554237168	-0.0195510093	0.0707770928	0.0653507622	0.0555674711	0.049149634	-0.149130438	-0.0260898801	-0.0088108683	0.0966237882	-0.0578023682	0.0881816499	0.1000154063	-0.0274102032	0.0533135463	-0.0517962068	0.040051845	0.0963328346	-0.0889072187	-0.0157011029	0.0047198813	-0.1956664774	0.2318732676	-0.0483960042	-0.0769005853	-0.0185059187	0.0777703939	-0.0741145992	0.052364388	-0.0743059007	0.0184911252	0.0192930783	0.0081521188	-0.0151251106	-0.1160587073	0.1189484633	-0.0658592036	-0.0447110333	0.0143820918	0.0278279574	0.0890620306	-0.0688439887	0.0156950486	-0.0018678671	0.0639945308	-0.0353083526	0.0436348854	0.1067741786	0.0390647659	0.0537071418	0.0154628352	0.1114902613	-0.0520295755	0.0822279117	0.0739584213	0.0201035324	-0.0421184721	0.1092725261	-0.012074048	0.0121301001	0.1204624965	-0.0323515408	0.0510367823	-0.0123048452	0.047854136	-0.0377391234	0.0705440698	0.0929754504	0.1979020761	0.0732484153	-0.0409306772	0.127360292	0.0282953709	-0.0041781693	0.0354302329	0.0411961301	-0.0811128783	0.035944508	-0.0291666561	-0.0214856052	-0.0583385461	0.0764789938	0.0061714168	-0.0492682317	-0.019314678	0.0152609441	0.0326575504	-0.0575096295	0.0589700201	0.0840673837	-0.091284951	0.0160401592	-0.0754536318	0.0460434325	-0.0657900374	-0.0349908905	0.0969985785	-0.0762341904	-0.0452375901	0.0850990837	0.0569777582	0.052416879	-0.0756126151	0.0734835633	-0.0154650856	0.0855793473	0.0855410976	0.0854773608	0.0853881558	0.0852735093	0.0	-0.0717448	-0.0093421999999999	0.00514731632704	8.727670083999991e-05	-0.0173321	0.0158677999999999	0.0002517870768399	0.00030040169041	0.4614	-0.003561	0.21288996	1.268072100000026e-05	0.00106323	-0.00049424	2.442731776e-07	1.1304580329e-06	-0.00242418	-0.0001594	2.5408360000000027e-08	5.8766486724e-06	0.00025	-0.0001716569999999	6.25e-08	2.9466125648999993e-08	0.0
4291.4446064807125	-0.8399893388796045	18416496.8104924	0.705582089431395	9132.5752340933	-37.42841881385175	83403930.40637429	1400.8865349050916	4219.558289535403	-4.443973090704276	17804672.158786934	19.748896830903718	4286.68363540954	8910.857958396085	1.211829	37.090195	0.0672618999999999	0.0307651	0.0588447071	-0.0656991916	-0.2769814089	-0.1063034505	0.2116629211	-0.2739114469	0.0302653744	-0.0374587918	0.0307029709	-0.0896394485	0.0594960012	0.0113205759	0.0047462051	-0.0386014652	-0.1407243339	0.1245738352	-0.044048463	0.0663081712	-0.1263332843	0.2957884991	-0.0552878644	0.0010079971	0.0312811522	0.1621110448	0.0603285569	-0.006953626	-0.0462657051	0.0016150484	0.1233166643	0.090581719	0.1014018846	-0.0654396725	0.0510725115	0.0457581054	-0.0355782087	-0.06797767	0.1520262873	-0.0449253288	0.0071438188	-0.053136268	-0.050165132	0.0335022715	-0.0126755948	-0.0987349607	-0.0433826865	-0.1016701686	0.0940084323	-0.0081707441	0.0550625962	-0.0968337464	-0.0046885136	0.0036043775	-0.0984671446	0.0346325012	-0.0096283007	0.0749828705	-0.0502226658	-0.0034097983	-0.0609544885	-0.0579738049	-0.063763165	-0.0216879559	0.0064381945	-0.1508907825	0.0267456317	0.0677889882	0.0301774139	-0.0257005791	0.1002117353	-0.0780777331	0.0704666481	-0.0194123214	-0.0759534618	0.0313408052	-0.1123362398	-0.0085692882	-0.0001051591	-0.1640577508	0.0642929721	0.0590104017	-0.0309802511	0.0391682858	0.1158154998	0.1731382934	0.008999364	-0.0269208282	0.0343934595	-0.0206103622	-0.0863470367	-0.0342400805	-0.0734584646	-0.0276955569	-0.0636631757	0.0541374942	-0.0414896276	0.0106743694	0.0206892242	-0.0466060729	0.017664166	0.0190728313	0.0284759804	0.0206603124	0.0244874043	0.1168911971	0.0204225682	0.3270160292	-0.0080977624	-0.0366516117	-0.0223295673	0.0683978787	0.0879277765	-0.0210712432	0.0587544657	-0.0099760482	-0.135041105	-0.1289164649	0.0557651129	-0.0538496049	0.0333157418	0.0028367968	-0.0139728325	-0.1600365258	0.0464265517	-0.0549055594	0.093675288	-0.0037965403	-0.0191365482	0.0377592412	0.0067984172	-0.1353123952	0.0774901561	-0.0622469984	-0.0286899639	-0.0126100818	0.0513356991	-0.0786031068	0.0621776318	0.04145025	0.0462426317	-0.1107536825	-0.0249665649	0.0295617489	0.0089019777	-0.0545415563	-0.0747208187	-0.0693482378	-0.0373442327	0.0094147636	-0.0589200006	-0.1433259394	-0.0344915097	0.0693802334	-0.0158368084	-0.0718937102	0.0737317244	0.0736066837	0.0167448884	-0.0037524799	-0.0779296486	-0.0477898117	0.0300243961	0.0308412943	-0.0663778469	-0.1818953376	0.0035268676	0.0473510772	-0.1162848442	0.0012637588	0.0186974393	-0.1375859827	0.1549745719	-0.0481804122	-0.0371610742	0.004378865	0.0867221656	-0.0287838761	-0.0206272354	-0.0419242195	-0.0203329787	-0.089075089	-0.0244964493	-0.0038206672	-0.0312872069	-0.0536761256	-0.0552533694	-0.0243539416	0.0013063031	0.0084775479	0.0855566802	0.0854504545	0.0852735093	0.0850259911	0.0847081048	0.0	-0.0616856	0.0100591999999999	0.00380511324736	0.0001011875046399	-0.0268321	-0.0095	9.025000000000004e-05	0.00071996159041	0.455972	-0.0054279999999999	0.207910464784	2.9463183999999877e-05	0.00145414	0.0003909099999999	1.5281062809999997e-07	2.1145231396e-06	-0.00269161	-0.0002674299999999	7.151880489999998e-08	7.244764392100001e-06	0.000437154	0.0001871539999999	1.91103619716e-07	3.5026619715999995e-08	0.0
4290.4235988823375	-1.0210075983750355	18407734.65784647	1.0424565159395582	9106.828408954329	-25.74682513897096	82934323.67013763	662.8990047367471	4221.212163009043	1.6538734736404876	17818632.125135485	2.735297466811653	4288.216111772074	8880.852416960694	1.196586	36.623646	0.090706	0.0496377	0.0572392053	0.084972664	-0.2436212322	0.0497767437	0.306817425	-0.1788112292	0.0751794499	-0.064419693	0.0352968018	-0.0467715098	0.0017973723	-0.0001224095	0.1796914762	-0.0708753103	-0.0274195492	0.0495486603	-0.0323860133	-0.0585952732	-0.3123121256	0.1916390229	-0.0307376545	0.102751206	0.0451013385	0.032547022	0.0379777798	0.0904464918	0.0607035155	-0.0593702739	0.0449987293	0.0323385017	0.0505695531	-0.0380286878	-0.0504212091	-0.0998773058	0.0620271034	-0.1180583137	-0.0706961358	0.0392705935	0.040503244	0.0132463656	0.0183772635	-0.030833842	-0.0101395114	0.0241199043	-0.0083830681	0.0128992943	-0.0350792446	0.0748397411	0.0788184582	0.1105927967	-0.0268784536	-0.0464587478	0.0694092199	0.0006113642	0.0155548727	-0.0426130205	-0.0874190968	0.0911106285	-0.0878435499	0.0005443347	-0.0637231466	0.1195584694	-0.0071076072	0.0717745947	0.0858465903	0.079829938	0.061587831	-0.0566868774	-0.0930026631	0.0532026449	0.030462478	0.0485340536	0.1270615522	0.0141598939	0.0184818113	0.0846760444	0.0344056766	0.1083511324	-0.0598326159	-0.1131768838	-0.0177594998	0.0651131637	-0.1206581191	0.0662029499	-0.0417045312	-0.0526627995	-0.0851471815	0.0212885452	0.007437453	0.1032579349	0.0645595635	-0.0520491348	0.0035697732	-0.0095309596	-0.0091857035	-0.0208518805	-0.0236559821	-0.1052658152	0.02198656	-0.0211629155	0.0204680918	0.0138521153	0.0346027804	0.2481546888	-0.1594790453	0.2175659327	-0.016168658	-0.1081505242	-0.0303918309	0.0736179426	-0.0445923928	0.0880977342	0.0097322476	0.0904053062	-0.0237654536	-0.0808609863	0.0539482847	0.070389669	0.0009332182	0.1236688017	0.0191031981	0.0471118917	0.0876693877	0.0245623248	-0.0552073231	-0.0223537222	0.0014273848	-0.0015083552	0.0213958973	0.0219576482	-0.0079578401	0.0366107731	-0.0399290014	-0.0905799122	-0.0544760536	0.0695894529	0.0211049631	-0.0704425943	0.0340519689	0.0933354671	0.034435607	-0.0194883801	0.1005137949	-0.1221771584	-0.0462018469	-0.0587981411	0.0578123714	-0.0531723748	-0.0863594369	0.0877595931	-0.0599639042	-0.0860258061	0.08299925	-0.0135632076	-0.0971234662	0.0189194854	0.0239152341	-0.0904789058	0.0148666751	0.0014878782	-0.1011304735	-0.0416654792	0.0357508072	0.1873696009	0.06551324	0.0076365712	0.0408041842	0.0768977661	0.0396256647	0.0052087778	0.0428502382	-0.1140852237	-0.0076834986	0.0662203293	-0.0822677206	0.069056466	0.0100401546	0.0406030623	-0.028956782	0.0120673984	0.0415735614	0.0465260383	-0.0129800427	-0.0828404378	-0.0060410226	-0.0274456235	0.0197474567	-0.0365564023	0.0855226832	0.0853145497	0.0849680357	0.0844837033	0.083862338	0.0	-0.05699	0.0046956	0.0032478601	2.204865936000001e-05	-0.0201443	0.0066878	4.472666884000001e-05	0.00040579282249	0.493112	0.03714	0.243159444544	0.0013793796	0.000955232	-0.000498908	2.4890919246400005e-07	9.12468173824e-07	-0.0028492	-0.00015759	2.48346081e-08	8.11794064e-06	0.00025	-0.0001871539999999	6.25e-08	3.5026619715999995e-08	0.0
4287.209318405072	-3.2142804772656746	18380163.73981928	10.331598986531253	9118.12503502479	11.29662607046157	83140204.15434583	127.61376057583205	4229.312006752635	8.099843743591919	17887080.050462004	65.60746867060514	4294.9521715467545	8901.179253652432	1.274951	39.022144	0.062975	0.0260061	-0.0896162504	-0.0243768231	-0.312362861	-0.0048445608	0.1468588511	-0.2339923021	0.1469094093	0.0033514137	0.0436141646	-0.0500508029	0.0020478323	0.1324544688	-0.082362952	0.0102193604	-0.0063631932	-0.0139803923	0.0356109699	-0.0442986905	-0.0599034554	0.1361973761	0.0588596001	0.0561851125	0.0997079622	-0.1498451945	-0.1049233084	0.0061889668	0.0411610376	-0.0245190533	-0.0203772713	-0.0044215607	-0.1044387691	0.0104987898	0.0725775659	-0.0186865446	-0.0703811105	0.049264533	0.1113557822	0.1017431337	-0.0045649544	-0.0239249185	0.1145677338	0.017686578	0.1246656548	0.0470433976	-0.1805592792	0.0230306001	-0.0105295739	-0.0177851204	-0.0038734377	0.0197789928	-0.0470018497	-0.0231571271	0.024047098	-0.038131278	-0.0608373203	-0.0791965951	0.0705961866	-0.0445497111	-0.0552777785	-0.0001937335	0.0773630914	0.0086726036	0.0582994252	-0.0522212301	-0.069858343	0.0557509676	-0.0560634268	0.0491970265	-0.0355369519	0.0612179654	-0.0114182083	-0.0644687986	-0.048972488	-0.0160281368	-0.0874580363	-0.0114214112	-0.0134588197	0.0903949538	-0.0497321126	-0.0924722975	0.0052109605	-0.081002979	-0.0489986335	0.0348182438	0.0193627663	-0.106169679	0.1072231888	-0.0306449986	0.0751112425	0.0622424961	0.0322106928	0.1171029375	0.0949230668	0.0126101282	0.0200537093	-0.1218745372	-0.021249536	-0.0361369797	0.0792416739	0.0423513522	-0.1131457481	-0.0678215129	-0.0928526154	0.0019239177	-0.1511932739	0.1348539109	-0.0013476118	-0.031223834	-0.0974232022	-0.132927985	-0.1271754418	0.0240813359	-0.0484049531	0.0116940694	0.0041611594	0.0900010889	2.9743e-05	-0.069656692	-0.0036349348	-0.0115346042	0.1244312011	-0.0836179878	-0.1256426141	-0.0168138401	-0.0023282856	-0.0408731623	0.0481136513	-0.1324905024	-0.1433115745	0.0358636241	0.1058726371	0.0062709014	0.018017309	-0.0055069525	0.0028084765	0.0129971159	0.041698903	0.0198549274	-0.0131608885	0.0564948447	0.0607601803	-0.003557909	-0.0617054975	-0.0034580589	0.0266430744	0.0739027759	0.0811506406	-0.0585025382	0.0755195979	-0.0872260047	-0.0223192784	-0.0408353017	-0.0277372545	0.0619923336	-0.0145019579	-0.0276719575	-0.0458583009	0.0552691007	-0.0907050546	-0.0630410648	0.0477888997	-0.0459841863	-0.0065770217	0.090305768	0.0429122625	-0.0327744049	0.0942279004	-0.030137743	0.0483417443	-0.0666708846	-0.0289962958	0.0885720417	0.0166500051	0.0798274538	0.0416480711	0.0793856292	0.0751540366	0.0068963732	0.1114012583	0.0571009897	0.1338602509	0.0552904138	0.0131007889	-0.0414180886	0.038224096	0.1546907154	0.0811895676	0.0907027613	0.0854773608	0.0851334554	0.0845613042	0.0837624412	0.0827390082	0.0	-0.0502719	0.0067180999999999	0.00252726392961	4.513286760999997e-05	-0.0286123	-0.008468	7.1707024e-05	0.00081866371129	0.477104	-0.016008	0.2276282268159999	0.000256256064	0.000699163	-0.0002560689999999	6.557133276099998e-08	4.888289005690001e-07	-0.00309485	-0.00024565	6.034392250000001e-08	9.578096522500002e-06	0.000116101	-0.0001338989999999	1.3479442201000002e-08	1.7928942200999998e-08	0.0
4289.945505068126	2.736186663054468	18403632.43645422	7.486717455077146	9128.045385836089	9.920350811298704	83321212.56588352	98.41336021923485	4235.543290746494	6.231283993858597	17939826.96778764	38.82890021211834	4301.062872263361	8932.759093601862	1.671321	51.153751	0.8263447499999999	0.484259	0.0597292257	-0.0727911448	0.0612233408	-0.0531393581	-0.1068834349	0.0054593891	-0.0918852634	0.0351883514	0.1296037436	-0.0597095359	0.0663666054	-0.1007145994	-0.0799902735	0.0543357039	0.0247919356	0.0576667329	0.1009533369	-0.0403466356	0.1044985235	-0.0679461662	-0.0082233099	0.017553182	-0.0972162747	0.0105676557	-0.0669107028	-0.0408047934	-0.1287679799	-0.0185191025	0.0632950203	0.0747782725	-0.0762146859	-0.0330692562	-0.0035966624	0.0122146056	0.0399572684	-0.0338986769	0.1058701038	-0.0429915437	-0.1083092934	-0.0110813076	-0.0516701959	-0.0466908587	0.022492853	-0.0046508676	-0.0680410291	-0.0054850795	0.0130626048	0.0162458584	-0.0678973743	0.0006574126	-0.0044585698	0.1745398009	0.0840885276	0.0469644661	0.1035627217	-0.0042675697	0.0637441017	-0.0991535101	-0.1196734399	0.0659094913	-0.0661674656	0.0764293472	0.0114495522	0.006811137	0.0215940776	-0.151833459	0.1294398743	-0.0475835425	-0.1388157715	0.014787487	0.0482796743	-0.0592692146	-0.0447472207	-0.0174927823	0.0296522201	-0.04298385	-0.0863989913	0.0153614861	0.0600303555	-0.0440910409	-0.0827832761	0.0958127286	-0.1054836092	0.0341306813	0.0797678909	-0.0049866648	0.0824337574	0.0214974586	-0.0185921792	0.0289999273	0.0044540329	-0.0906869984	-0.0455881728	-0.0648766146	-0.0382929703	0.0379006669	0.0666957282	0.0064682882	0.0303374417	-0.0423371311	0.024282945	0.0142053065	0.0503008606	-0.055963895	0.0962375639	-0.0542267696	-0.0287864057	-0.0391526608	0.1037950527	-0.0464754915	-0.0310526819	-0.1346231408	0.0244626932	-0.0127976906	-0.1027678604	0.0633682536	0.0386280726	-0.0101750717	0.0281737414	0.0088443794	-0.0268063123	-0.1004766795	0.0128574881	0.0965363999	-0.0046940172	0.1000748303	0.0104471298	0.0081708035	-0.0463230538	-0.0492797644	0.053819617	-0.0131701547	-0.0147874968	0.0290983015	-0.007247307	-0.0011529477	-0.0118624152	-0.0245041814	-0.152544895	0.0805179934	-0.1701899299	-0.0199739333	-0.1446332915	-0.0962105461	0.0302512754	-0.0820606785	0.0525856338	-0.0011958965	-0.0236926759	0.1059842022	0.1050763959	0.043071275	0.1603430907	0.1085235089	0.006244217	0.0700176926	-0.087536816	0.0630147238	0.0045251089	0.0287308383	0.0460841102	-0.0529128528	-0.0058753964	0.0069268258	0.0317762311	0.0442641244	-0.0246402613	0.1625457713	-0.0005800473	-0.0254127691	-0.0028097755	0.0253859398	-0.0663485086	0.0063294944	-0.0064685914	0.0894432348	-0.099810039	-0.0108013232	-0.0501045319	0.0359445576	-0.085557526	0.0408599914	-0.0641615891	0.0437376109	-0.0123314661	-0.00596435	-0.0450741396	-0.0276031501	0.0854207191	0.0849072673	0.0840537993	0.0828637327	0.0813418333	0.0	0.0783008	0.1285727	0.00613101528064	0.01653093918529	-0.0674559	-0.0388436	0.00150882526096	0.00455029844481	0.57734	0.1002359999999999	0.3333214756	0.0100472556959999	-0.00777058	-0.008469743	7.1736546486049e-05	6.03819135364e-05	-0.00525708	-0.00216223	4.675238572899999e-06	2.76368901264e-05	-0.000425775	-0.000541876	1.81284350625e-07	2.93629599376e-07	1.0
