TrialNumber,Trialn,TrialType,Partner,Feedback,ITI,ISI,ran,order,studyStart,InitFixOnset,InitFixOffset,decision_onset,resp,resp_onset,rt,ISI_onset,isi_for_trial,ISI_offset,outcome_val,outcome_onset,outcome_offset,trialDuration,ITIonset,ITIoffset,final_fix_offset
1,1,1,1,1,2,2.550000e+00,1.0,0.0,2.5999616e-06,12.355765,16.356342,16.361391,7.0,17.196222,0.8348312,17.296612,4.1151686,21.414074,8.0,21.414223,22.420813,6.059421,22.421011,24.422415,--
2,2,2,1,2,2,2.550000e+00,1.0,1.0,--,--,--,24.424059,2.0,24.946066,0.5220073,25.046412,4.427993,29.47533,5.0,29.475445,30.48244,6.058383,30.482582,32.484318,--
3,3,1,1,1,3,8.500000e-01,1.0,2.0,--,--,--,32.485867,7.0,32.9127,0.4268307,33.013042,2.8231692,35.83779,6.0,35.83791,36.84343,4.3575625,36.84358,39.84533,--
4,4,3,1,3,4,8.500000e-01,1.0,3.0,--,--,--,39.846886,7.0,40.26316,0.4162717,40.36348,2.8337283,43.198368,1.0,43.198483,44.204533,4.3576465,44.204678,48.206272,--
5,5,2,1,2,3,8.500000e-01,1.0,4.0,--,--,--,48.20779,2.0,48.729187,0.521397,48.829514,2.728603,51.559475,5.0,51.55959,52.56432,4.3565297,52.56447,55.566086,--
6,6,3,1,3,4,1.700000e+00,1.0,5.0,--,--,--,55.56763,2.0,56.095997,0.5283676,56.19633,3.5716324,59.77028,6.0,59.770393,60.782047,5.214416,60.782196,64.78428,--
7,7,4,2,1,3,2.550000e+00,1.0,6.0,--,--,--,64.95597,7.0,65.47922,0.5232484,65.579544,4.4267516,70.008255,6.0,70.00837,71.0144,6.058423,71.01454,74.01627,--
8,8,5,2,2,1,8.500000e-01,1.0,7.0,--,--,--,74.18158,2.0,74.61321,0.4316351,74.713615,2.8183649,77.534134,5.0,77.53425,78.5389,4.357323,78.53905,79.542274,--
9,9,1,1,1,2,8.500000e-01,1.0,8.0,--,--,--,79.54592,7.0,80.279396,0.7334726,80.37972,2.5165274,82.89818,9.0,82.89829,83.90449,4.3585696,83.90463,85.90625,--
10,10,4,2,1,1,8.500000e-01,1.0,9.0,--,--,--,86.07207,2.0,86.69507,0.6230014,86.7954,2.6269987,89.422775,3.0,89.42289,90.42736,4.355294,90.427505,91.42923,--
11,11,1,1,1,1,2.550000e+00,1.0,10.0,--,--,--,91.43188,2.0,92.46291,1.0310313,92.56325,3.9189687,96.48323,2.0,96.483345,97.48894,6.0570545,97.48908,98.491104,--
12,12,6,2,3,4,8.500000e-01,1.0,11.0,--,--,--,98.65807,2.0,99.28048,0.6224055,99.38082,2.6275945,102.00992,6.0,102.01004,103.01533,4.357249,103.015465,107.01685,--
