TrialNumber,Trialn,TrialType,Partner,Feedback,ITI,ISI,ran,order,decision_onset,resp,resp_onset,rt,outcome_val,outcome_onset,outcome_offset,trialDuration,ITIonset,ITIoffset
1,1,4,2,1,3,8.500000e-01,1.0,0.0,4.3271027,0.0,999.0,999.0,999.0,6.835795,7.852122,3.525019,7.8523393,10.854756
2,2,1,1,1,2,1.700000e+00,1.0,1.0,10.869914,3.0,13.040142,2.1702273,1.0,13.386268,14.396024,3.5261095,14.396201,16.408712
3,3,3,1,3,3,8.500000e-01,1.0,2.0,16.410786,3.0,17.576412,1.165625,9.0,18.928465,19.93897,3.5281837,19.939146,22.946674
4,4,4,2,1,3,1.700000e+00,1.0,3.0,23.26299,1.0,24.347885,1.0848944,8.0,25.781029,26.790009,3.527018,26.790182,29.801577
5,5,5,2,2,1,1.700000e+00,1.0,4.0,30.020174,0.0,999.0,999.0,999.0,32.5212,33.53082,3.5106454,33.530994,34.531536
6,6,1,1,1,4,1.700000e+00,1.0,5.0,34.540813,0.0,999.0,999.0,999.0,37.04404,38.04835,3.5075374,38.048523,42.049904
7,7,1,1,1,3,1.700000e+00,1.0,6.0,42.05185,0.0,999.0,999.0,999.0,44.552593,45.55692,3.5050716,45.557095,48.558292
8,8,6,2,3,4,2.550000e+00,1.0,7.0,48.875896,0.0,999.0,999.0,999.0,51.378544,52.383293,3.5073977,52.383465,56.385174
9,9,1,1,1,2,1.700000e+00,1.0,8.0,56.39295,0.0,999.0,999.0,999.0,58.893864,59.89811,3.505159,59.898285,61.898586
10,10,3,1,3,4,1.700000e+00,1.0,9.0,61.900562,0.0,999.0,999.0,999.0,64.40207,65.40593,3.5053678,65.406105,69.40748
11,11,2,1,2,3,8.500000e-01,1.0,10.0,69.40942,0.0,999.0,999.0,999.0,71.91081,72.91529,3.5058763,72.91547,75.91702
12,12,3,1,3,4,8.500000e-01,1.0,11.0,75.918976,0.0,999.0,999.0,999.0,78.42076,79.42496,3.5059793,79.425125,83.4264
13,13,5,2,2,2,2.550000e+00,1.0,12.0,83.73697,0.0,999.0,999.0,999.0,86.23993,87.24486,3.5078895,87.245026,89.24578
14,14,1,1,1,4,1.700000e+00,1.0,13.0,89.2536,0.0,999.0,999.0,999.0,91.75506,92.75939,3.5057874,92.75957,96.76073
15,15,4,2,1,4,2.550000e+00,1.0,14.0,97.06734,0.0,999.0,999.0,999.0,99.56785,100.57259,3.505258,100.57277,104.57436
16,16,6,2,3,4,2.550000e+00,1.0,15.0,104.79803,0.0,999.0,999.0,999.0,107.30059,108.30533,3.5072963,108.3055,112.30624
17,17,3,1,3,4,1.700000e+00,1.0,16.0,112.314,0.0,999.0,999.0,999.0,114.8151,115.81935,3.505347,115.81953,119.82016
18,18,4,2,1,2,1.700000e+00,1.0,17.0,120.13664,0.0,999.0,999.0,999.0,122.63767,123.64255,3.5059075,123.64272,125.64357
19,19,4,2,1,1,8.500000e-01,1.0,18.0,125.85975,0.0,999.0,999.0,999.0,128.36024,129.36505,3.5053053,129.36523,130.36693
20,20,1,1,1,4,2.550000e+00,1.0,19.0,130.37471,0.0,999.0,999.0,999.0,132.87646,133.8811,3.506399,133.88127,137.8831
21,21,3,1,3,1,2.550000e+00,1.0,20.0,137.8851,0.0,999.0,999.0,999.0,140.38675,141.39119,3.5060873,141.39137,142.39323
22,22,4,2,1,4,1.700000e+00,1.0,21.0,142.67998,0.0,999.0,999.0,999.0,145.18167,146.18636,3.5063686,146.18652,150.18842
23,23,6,2,3,3,8.500000e-01,1.0,22.0,150.47227,0.0,999.0,999.0,999.0,152.97601,153.9807,3.5084138,153.98088,156.98251
24,24,3,1,3,1,2.550000e+00,1.0,23.0,156.99055,0.0,999.0,999.0,999.0,159.49214,160.49664,3.5060873,160.4968,161.49706
25,25,4,2,1,4,8.500000e-01,1.0,24.0,161.8136,0.0,999.0,999.0,999.0,164.31429,165.31873,3.5051253,165.31891,169.32027
26,26,2,1,2,3,8.500000e-01,1.0,25.0,169.32843,0.0,999.0,999.0,999.0,171.82893,172.83354,3.505111,172.83372,175.83537
27,27,1,1,1,1,1.700000e+00,1.0,26.0,175.83736,0.0,999.0,999.0,999.0,178.33827,179.3425,3.5051334,179.34267,180.34308
28,28,4,2,1,1,2.550000e+00,1.0,27.0,180.6021,0.0,999.0,999.0,999.0,183.10619,184.1111,3.509009,184.11128,185.11272
29,29,1,1,1,3,2.550000e+00,1.0,28.0,185.12057,0.0,999.0,999.0,999.0,187.62277,188.62738,3.5068104,188.62756,191.6283
30,30,1,1,1,4,8.500000e-01,1.0,29.0,191.63023,0.0,999.0,999.0,999.0,194.13213,195.13647,3.5062456,195.13666,199.13814
31,31,5,2,2,1,1.700000e+00,1.0,30.0,199.45927,0.0,999.0,999.0,999.0,201.96072,202.96548,3.50622,202.96567,203.9674
32,32,6,2,3,1,1.700000e+00,1.0,31.0,204.1848,0.0,999.0,999.0,999.0,206.68536,207.69,3.5052075,207.69019,208.69037
33,33,1,1,1,1,8.500000e-01,1.0,32.0,208.69817,0.0,999.0,999.0,999.0,211.20049,212.20488,3.5067165,212.20505,213.20535
34,34,3,1,3,2,8.500000e-01,1.0,33.0,213.2073,0.0,999.0,999.0,999.0,215.70955,216.71373,3.5064297,216.71391,218.71463
35,35,3,1,3,1,2.550000e+00,1.0,34.0,218.71658,0.0,999.0,999.0,999.0,221.21869,222.22296,3.5063677,222.22313,223.22441
