TrialNumber,Trialn,TrialType,Partner,Feedback,ITI,ISI,ran,order,studyStart,InitFixOnset,InitFixOffset,decision_onset,resp,resp_onset,rt,ISI_onset,isi_for_trial,ISI_offset,outcome_val,outcome_onset,outcome_offset,trialDuration,ITIonset,ITIoffset,final_fix_offset
1,1,3,1,3,1,1.700000e+00,1.0,0.0,1.9199972e-05,23.06907,27.069242,27.074926,2.0,27.806396,0.7314706,27.906912,3.3685293,31.277885,8.0,31.27803,32.285168,5.210243,32.28535,33.287006,--
2,2,1,1,1,4,1.700000e+00,1.0,1.0,--,--,--,33.288746,2.0,33.808716,0.5199697,33.909054,3.5800302,37.49198,1.0,37.492092,38.499107,5.21036,38.49926,42.500664,--
3,3,5,2,2,2,2.550000e+00,1.0,2.0,--,--,--,42.68978,2.0,43.32171,0.6319276,43.422043,4.3180723,47.744095,5.0,47.74421,48.750904,6.061122,48.751045,50.75248,--
4,4,6,2,3,2,1.700000e+00,1.0,3.0,--,--,--,50.929676,2.0,51.65719,0.7275116,51.757523,3.3724885,55.131878,7.0,55.132004,56.138184,5.208508,56.13833,58.13986,--
5,5,3,1,3,2,2.550000e+00,1.0,4.0,--,--,--,58.14399,2.0,58.67262,0.5286293,58.772995,4.4213705,63.19596,9.0,63.19607,64.2031,6.0591087,64.20325,66.20507,--
6,6,3,1,3,1,1.700000e+00,1.0,5.0,--,--,--,66.206764,2.0,66.639366,0.4326047,66.73982,3.6673954,70.41028,7.0,70.41039,71.414085,5.207319,71.41422,72.41659,--
7,7,4,2,1,4,8.500000e-01,1.0,6.0,--,--,--,72.593445,2.0,73.63901,1.0455602,73.739365,2.2044396,75.94601,2.0,75.94612,76.95212,4.358674,76.952255,80.95394,--
8,8,6,2,3,2,1.700000e+00,1.0,7.0,--,--,--,81.129364,2.0,81.65599,0.5266259,81.75637,3.573374,85.33191,8.0,85.33202,86.33668,5.2073116,86.33682,88.33891,--
9,9,1,1,1,3,8.500000e-01,1.0,8.0,--,--,--,88.341774,2.0,90.507484,2.1657052,90.60782,1.0842947,91.69398,1.0,91.69409,92.69872,4.3569474,92.69887,95.70091,--
10,10,2,1,2,1,8.500000e-01,1.0,9.0,--,--,--,95.702576,2.0,96.33811,0.6355339,96.438446,2.6144662,99.0539,5.0,99.054016,100.06005,4.3574767,100.060196,101.06258,--
11,11,3,1,3,2,2.550000e+00,1.0,10.0,--,--,--,101.06426,2.0,101.4888,0.4245355,101.58914,4.5254645,106.11688,7.0,106.117,107.121574,6.057309,107.12173,109.12393,--
12,12,2,1,2,2,8.500000e-01,1.0,11.0,--,--,--,109.12565,2.0,109.65564,0.5299958,109.75599,2.720004,112.47787,5.0,112.47798,113.482704,4.357057,113.48285,115.484886,--
13,13,5,2,2,1,8.500000e-01,1.0,12.0,--,--,--,115.66013,2.0,116.08885,0.4287196,116.18923,2.8212805,119.01282,5.0,119.01293,120.01701,4.356882,120.01716,121.018555,--
14,14,3,1,3,2,2.550000e+00,1.0,13.0,--,--,--,121.021416,2.0,121.138985,0.1175649,121.239334,4.832435,126.073875,7.0,126.07399,127.079,6.0575833,127.07914,129.08086,--
15,15,3,1,3,3,2.550000e+00,1.0,14.0,--,--,--,129.0826,2.0,129.92258,0.839986,130.02295,4.110014,134.1359,6.0,134.136,135.14238,6.059785,135.14252,138.14384,--
16,16,4,2,1,2,8.500000e-01,1.0,15.0,--,--,--,138.315,2.0,138.93918,0.6241751,139.03954,2.625825,141.66685,2.0,141.66698,142.67192,4.3569136,142.67206,144.67451,--
