?TrialNumber	Trialn	TrialType	Partner	Feedback	ITI	ISI	ran	order	studyStart	InitFixOnset	InitFixOffset	decision_onset	resp	resp_onset	rt	ISI_onset	isi_for_trial	ISI_offset	outcome_val	outcome_onset	outcome_offset	trialDuration	ITIonset	ITIoffset	final_fix_offset
1	1	6	2	3	1	1.70E+00	1	0	2.40E-06	60.873566	64.87383	65.05357	7	65.69222	0.638653	65.79264	3.461347	69.25585	1	69.256004	70.268105	5.2145286	70.268295	71.27018	--
2	2	6	2	3	2	1.70E+00	1	1	--	--	--	71.44549	7	72.07541	0.6299204	72.17575	3.4700797	75.648384	1	75.64849	76.65321	5.2077265	76.65337	78.6548	--
3	3	3	1	3	4	2.55E+00	1	2	--	--	--	78.661545	2	80.42627	1.7647202	80.52662	3.1852798	83.714066	9	83.71418	84.72031	6.0587583	84.72046	88.72215	--
4	4	4	2	1	1	8.50E-01	1	3	--	--	--	88.89957	2	89.626335	0.7267663	89.72669	2.5232337	92.252174	4	92.25229	93.258415	4.3588476	93.25862	94.26017	--
5	5	4	2	1	3	1.70E+00	1	4	--	--	--	94.43157	7	95.37536	0.9437857	95.47573	3.1562142	98.63388	9	98.63402	99.639244	5.2076707	99.6394	102.64151	--
6	6	1	1	1	3	8.50E-01	1	5	--	--	--	102.64443	7	103.37604	0.7316063	103.47637	2.5183938	105.99712	6	105.99724	107.00319	4.3587594	107.00335	110.00612	--
7	7	6	2	3	4	8.50E-01	1	6	--	--	--	110.17745	2	110.7095	0.5320477	110.80987	2.7179523	113.52916	7	113.529274	114.53487	4.357414	114.53503	118.53711	--
8	8	1	1	1	4	2.55E+00	1	7	--	--	--	118.53987	7	119.27627	0.7363944	119.376625	4.2136054	123.592064	6	123.59218	124.597206	6.0573354	124.59737	128.59854	--
9	9	2	1	2	1	8.50E-01	1	8	--	--	--	128.60025	2	131.07523	2.4749856	131.17555	0.7750143	131.953	5	131.95311	132.96008	4.359845	132.96028	133.9631	--
10	10	1	1	1	2	8.50E-01	1	9	--	--	--	133.96477	7	134.592	0.6272261	134.6923	2.622774	137.31686	9	137.31697	138.32224	4.357466	138.32239	140.32378	--
11	11	5	2	2	4	2.55E+00	1	10	--	--	--	140.50044	2	141.12521	0.6247781	141.22556	4.325222	145.55309	5	145.55319	146.5583	6.0578623	146.55844	150.56006	--
12	12	5	2	2	2	2.55E+00	1	11	--	--	--	150.73143	7	151.25943	0.5280025	151.3598	4.4219975	155.78305	5	155.78317	156.78815	6.056723	156.7883	158.79001	--
13	13	1	1	1	3	8.50E-01	1	12	--	--	--	158.7929	7	159.72514	0.9322624	159.82547	2.3177376	162.14496	6	162.14508	163.14932	4.356437	163.14948	166.15092	--
14	14	1	1	1	4	1.70E+00	1	13	--	--	--	166.1527	7	166.99266	0.8399707	167.09302	3.2600293	170.3556	9	170.35571	171.36009	5.207405	171.36026	175.36304	--
15	15	5	2	2	1	8.50E-01	1	14	--	--	--	175.53922	2	176.37592	0.8367054	176.47629	2.4132946	178.89201	5	178.89212	179.89679	4.3575845	179.89696	180.89903	--
16	16	4	2	1	3	1.70E+00	1	15	--	--	--	181.07195	7	182.52606	1.4541184	182.62639	2.6458817	185.27403	9	185.27415	186.2803	5.2083583	186.28046	189.28203	--
17	17	1	1	1	1	1.70E+00	1	16	--	--	--	189.28485	7	189.80952	0.5246692	189.9099	3.5753307	193.4878	8	193.4879	194.4931	5.208257	194.49327	195.49457	--
18	18	4	2	1	2	8.50E-01	1	17	--	--	--	195.66653	2	198.14172	2.4751985	198.24205	0.7748015	199.01898	2	199.0191	200.02365	4.357128	200.02383	202.02599	--
19	19	5	2	2	2	2.55E+00	1	18	--	--	--	202.19916	7	202.82504	0.6258853	202.92537	4.324115	207.25195	5	207.25206	208.2571	6.05793	208.25725	210.25897	--
20	20	2	1	2	4	2.55E+00	1	19	--	--	--	210.26176	7	211.0928	0.8310411	211.19316	4.118959	215.31339	5	215.31349	216.31708	6.055322	216.31723	220.319	--
21	21	4	2	1	1	1.70E+00	1	20	--	--	--	220.49153	7	220.9094	0.417856	221.00977	3.682144	224.69398	8	224.69409	225.69882	5.2072883	225.69897	226.70094	--
22	22	3	1	3	1	1.70E+00	1	21	--	--	--	226.70383	7	227.54297	0.8391349	227.64339	3.2608652	230.90677	1	230.90688	231.91306	5.2092285	231.91322	232.91458	--
