TrialNumber,Trialn,TrialType,Partner,Feedback,ITI,ISI,ran,order,studyStart,InitFixOnset,InitFixOffset,decision_onset,resp,resp_onset,rt,ISI_onset,isi_for_trial,ISI_offset,outcome_val,outcome_onset,outcome_offset,trialDuration,ITIonset,ITIoffset,final_fix_offset
1,1,6,2,3,2,8.500000e-01,1.0,0.0,2.3999019e-06,33.765327,37.765774,37.94143,2.0,39.287792,1.3463637,39.388214,1.9036363,41.29362,7.0,41.293766,42.30178,4.3603506,42.301968,44.304752,--
2,2,5,2,2,2,8.500000e-01,1.0,1.0,--,--,--,44.47546,7.0,45.821384,1.3459235,45.92174,1.9040765,47.828384,5.0,47.828506,48.835876,4.360416,48.836025,50.837784,--
3,3,4,2,1,2,2.550000e+00,1.0,2.0,--,--,--,51.004406,2.0,52.556133,1.551724,52.656487,3.398276,56.056725,4.0,56.05684,57.063873,6.0594635,57.06402,59.065727,--
4,4,1,1,1,4,8.500000e-01,1.0,3.0,--,--,--,59.072426,7.0,60.521374,1.4489481,60.621742,1.8010519,62.42534,9.0,62.42546,63.430977,4.358553,63.43112,67.43271,--
5,5,1,1,1,3,1.700000e+00,1.0,4.0,--,--,--,67.43427,2.0,68.68695,1.25268,68.78727,2.84732,71.63617,2.0,71.63629,72.64085,5.206576,72.64099,75.6427,--
6,6,4,2,1,1,1.700000e+00,1.0,5.0,--,--,--,75.812416,7.0,76.75358,0.9411678,76.85393,3.1588323,80.014305,7.0,80.014435,81.018875,5.206465,81.01902,82.02083,--
7,7,1,1,1,2,1.700000e+00,1.0,6.0,--,--,--,82.02359,2.0,83.68766,1.6640687,83.78802,2.4359312,86.225716,1.0,86.22583,87.230804,5.207219,87.23096,89.23268,--
8,8,6,2,3,2,8.500000e-01,1.0,7.0,--,--,--,89.40519,2.0,90.653656,1.2484705,90.75399,2.0015295,92.7567,7.0,92.75681,93.76279,4.357597,93.76293,95.76468,--
9,9,6,2,3,2,1.700000e+00,1.0,8.0,--,--,--,95.933975,2.0,97.07302,1.1390475,97.17338,2.9609525,100.135666,7.0,100.13578,101.13978,5.205802,101.13992,103.14166,--
10,10,6,2,3,3,1.700000e+00,1.0,9.0,--,--,--,103.310875,2.0,104.45446,1.1435884,104.55479,2.9564116,107.513664,9.0,107.51378,108.51741,5.20654,108.517555,111.51977,--
11,11,1,1,1,3,1.700000e+00,1.0,10.0,--,--,--,111.52266,7.0,113.187645,1.6649876,113.28797,2.4350123,115.72552,7.0,115.72563,116.73026,5.207608,116.73042,119.73268,--
12,12,3,1,3,1,2.550000e+00,1.0,11.0,--,--,--,119.734314,2.0,121.60353,1.8692198,121.703865,3.0807803,124.786705,7.0,124.78683,125.79174,6.057425,125.791885,126.79328,--
13,13,3,1,3,4,2.550000e+00,1.0,12.0,--,--,--,126.79496,2.0,129.07112,2.2761583,129.17146,2.6738417,131.84657,9.0,131.8467,132.8504,6.0554395,132.85054,136.85257,--
14,14,6,2,3,2,2.550000e+00,1.0,13.0,--,--,--,137.02823,2.0,138.48738,1.4591452,138.58774,3.4908547,142.08061,8.0,142.08072,143.08614,6.0578957,143.08627,145.0876,--
15,15,4,2,1,4,1.700000e+00,1.0,14.0,--,--,--,145.25842,2.0,147.02095,1.7625207,147.12132,2.3374794,149.46027,3.0,149.46039,150.46552,5.2070937,150.46567,154.46759,--
16,16,5,2,2,3,1.700000e+00,1.0,15.0,--,--,--,154.63876,2.0,156.0876,1.4488443,156.18797,2.6511557,158.8416,5.0,158.84172,159.8466,5.207851,159.84676,162.84831,--
17,17,1,1,1,3,2.550000e+00,1.0,16.0,--,--,--,162.85112,7.0,164.2044,1.3532745,164.30475,3.5967255,167.90327,8.0,167.90338,168.90787,6.0567355,168.908,171.90952,--
18,18,2,1,2,1,1.700000e+00,1.0,17.0,--,--,--,171.91121,2.0,172.95412,1.0429146,173.05452,3.0570855,176.1142,5.0,176.11432,177.1197,5.2084913,177.11984,178.12216,--
19,19,3,1,3,4,2.550000e+00,1.0,18.0,--,--,--,178.1238,2.0,178.85394,0.730145,178.95428,4.219855,183.17651,8.0,183.17664,184.18906,6.065253,184.18921,188.19054,--
20,20,3,1,3,1,2.550000e+00,1.0,19.0,--,--,--,188.19218,7.0,189.63779,1.4456117,189.73816,3.5043883,193.24507,1.0,193.2452,194.25063,6.058451,194.25078,195.25252,--
21,21,3,1,3,4,2.550000e+00,1.0,20.0,--,--,--,195.25417,2.0,196.80318,1.5490191,196.90352,3.400981,200.3065,6.0,200.30663,201.31181,6.0576525,201.31197,205.3144,--
22,22,2,1,2,4,1.700000e+00,1.0,21.0,--,--,--,205.31602,2.0,206.86983,1.5537987,206.97017,2.5462012,209.51851,5.0,209.51863,210.5246,5.2085724,210.52475,214.52649,--
23,23,1,1,1,4,2.550000e+00,1.0,22.0,--,--,--,214.52809,7.0,216.48721,1.9591238,216.58774,2.9908762,219.57991,8.0,219.58003,220.58458,6.056499,220.58473,224.58679,--
24,24,3,1,3,1,8.500000e-01,1.0,23.0,--,--,--,224.5884,2.0,226.75302,2.1646335,226.85336,1.0853666,227.94064,8.0,227.94075,228.94598,4.357588,228.94612,229.94736,--
25,25,2,1,2,4,8.500000e-01,1.0,24.0,--,--,--,229.94896,2.0,231.6042,1.6552354,231.70454,1.5947646,233.30139,5.0,233.3015,234.30624,4.357284,234.3064,238.30753,--
26,26,1,1,1,2,8.500000e-01,1.0,25.0,--,--,--,238.30913,7.0,239.86967,1.5605413,239.9701,1.6894587,241.66231,8.0,241.66243,242.66759,4.358454,242.66772,244.66953,--
27,27,4,2,1,4,2.550000e+00,1.0,26.0,--,--,--,244.83788,7.0,246.70308,1.8652114,246.80344,3.0847886,249.88936,8.0,249.88947,250.89359,6.055706,250.89372,254.89546,--
28,28,2,1,2,2,8.500000e-01,1.0,27.0,--,--,--,254.8984,2.0,256.8707,1.9722807,256.97104,1.2777193,258.25043,5.0,258.25052,259.25552,4.357122,259.25568,261.25714,--
29,29,6,2,3,4,8.500000e-01,1.0,28.0,--,--,--,261.43115,7.0,262.67188,1.2407283,262.77222,2.0092719,264.78256,4.0,264.78268,265.78894,4.35777,265.78906,269.79053,--
30,30,6,2,3,1,8.500000e-01,1.0,29.0,--,--,--,269.9613,2.0,271.42044,1.4591298,271.52075,1.7908702,273.31332,6.0,273.31345,274.31854,4.357229,274.31866,275.31992,--
31,31,5,2,2,3,2.550000e+00,1.0,30.0,--,--,--,275.48935,2.0,277.35294,1.8635907,277.45328,3.0864093,280.54153,5.0,280.54166,281.5463,6.0569296,281.54645,284.54855,--
32,32,4,2,1,1,2.550000e+00,1.0,31.0,--,--,--,284.72336,2.0,286.38736,1.6639915,286.4877,3.2860086,289.77618,3.0,289.77628,290.7817,6.058335,290.78186,291.7834,--
33,33,3,1,3,4,2.550000e+00,1.0,32.0,--,--,--,291.7862,7.0,293.55392,1.7677279,293.65436,3.1822722,296.83902,4.0,296.83914,297.8436,6.057393,297.84375,301.84634,--
34,34,4,2,1,4,1.700000e+00,1.0,33.0,--,--,--,302.01508,7.0,304.28696,2.2718804,304.38736,1.8281198,306.21835,6.0,306.21848,307.22546,5.210365,307.2256,311.22836,--
35,35,4,2,1,2,2.550000e+00,1.0,34.0,--,--,--,311.39642,2.0,313.6702,2.2737644,313.77054,2.6762357,316.44946,1.0,316.44962,317.45343,6.057022,317.45358,319.45593,--
36,36,1,1,1,3,8.500000e-01,1.0,35.0,--,--,--,319.45886,7.0,321.12018,1.6612931,321.22052,1.5887069,322.8112,8.0,322.8113,323.81543,4.356549,323.81558,326.81696,--
37,37,3,1,3,2,8.500000e-01,1.0,36.0,--,--,--,326.81863,7.0,327.75266,0.9340301,327.853,2.31597,330.17032,3.0,330.17044,331.1754,4.3567886,331.17557,333.17697,--
38,38,5,2,2,3,1.700000e+00,1.0,37.0,--,--,--,333.3491,2.0,334.3869,1.0377911,334.48724,3.062209,337.55173,5.0,337.55185,338.55743,5.2083235,338.55756,341.55905,--
39,39,1,1,1,1,2.550000e+00,1.0,38.0,--,--,--,341.56183,7.0,343.22012,1.6582972,343.32047,3.2917027,346.61423,7.0,346.61435,347.62,6.0581694,347.62015,348.6222,--
40,40,1,1,1,1,8.500000e-01,1.0,39.0,--,--,--,348.62384,2.0,349.7701,1.1462777,349.87045,2.1037223,351.97583,1.0,351.97595,352.9794,4.3555646,352.97952,353.98126,--
41,41,6,2,3,3,1.700000e+00,1.0,40.0,--,--,--,354.1507,2.0,355.08606,0.9353635,355.1864,3.1646366,358.35254,7.0,358.35266,359.3574,5.206699,359.35754,362.35925,--
