global_signal	global_signal_derivative1	global_signal_power2	global_signal_derivative1_power2	csf	csf_derivative1	csf_power2	csf_derivative1_power2	white_matter	white_matter_derivative1	white_matter_derivative1_power2	white_matter_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	t_comp_cor_04	t_comp_cor_05	t_comp_cor_06	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	c_comp_cor_05	c_comp_cor_06	c_comp_cor_07	c_comp_cor_08	c_comp_cor_09	c_comp_cor_10	c_comp_cor_11	c_comp_cor_12	c_comp_cor_13	c_comp_cor_14	c_comp_cor_15	c_comp_cor_16	c_comp_cor_17	c_comp_cor_18	c_comp_cor_19	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	w_comp_cor_19	w_comp_cor_20	w_comp_cor_21	w_comp_cor_22	w_comp_cor_23	w_comp_cor_24	w_comp_cor_25	w_comp_cor_26	w_comp_cor_27	w_comp_cor_28	w_comp_cor_29	w_comp_cor_30	w_comp_cor_31	w_comp_cor_32	w_comp_cor_33	w_comp_cor_34	w_comp_cor_35	w_comp_cor_36	w_comp_cor_37	w_comp_cor_38	w_comp_cor_39	w_comp_cor_40	w_comp_cor_41	w_comp_cor_42	w_comp_cor_43	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	a_comp_cor_32	a_comp_cor_33	a_comp_cor_34	a_comp_cor_35	a_comp_cor_36	a_comp_cor_37	a_comp_cor_38	a_comp_cor_39	a_comp_cor_40	a_comp_cor_41	a_comp_cor_42	cosine00	cosine01	cosine02	cosine03	cosine04	non_steady_state_outlier00	trans_x	trans_x_derivative1	trans_x_power2	trans_x_derivative1_power2	trans_y	trans_y_derivative1	trans_y_power2	trans_y_derivative1_power2	trans_z	trans_z_derivative1	trans_z_power2	trans_z_derivative1_power2	rot_x	rot_x_derivative1	rot_x_derivative1_power2	rot_x_power2	rot_y	rot_y_derivative1	rot_y_power2	rot_y_derivative1_power2	rot_z	rot_z_derivative1	rot_z_power2	rot_z_derivative1_power2	motion_outlier00	motion_outlier01	motion_outlier02	motion_outlier03	motion_outlier04	motion_outlier05	motion_outlier06	motion_outlier07	motion_outlier08
7587.262752169138	n/a	57566556.07045321	n/a	20539.17005090372	n/a	421857506.3799403	n/a	6925.616861391584	n/a	n/a	47964168.91079142	8559.961516641451	11320.133027094767	n/a	n/a	n/a	n/a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0631598	n/a	0.00398916033604	n/a	-0.00422097	n/a	1.78165877409e-05	n/a	-0.0014571	n/a	2.12314041e-06	n/a	-0.00100009	n/a	n/a	1.0001800081e-06	0.000685987	n/a	4.70578164169e-07	n/a	-0.000117863	n/a	1.3891686769000001e-08	n/a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
7498.574487161072	-88.68826500806608	56228619.33950294	7865.6083501409585	20022.946081105583	-516.2239697981349	400918369.76686144	266487.18699414574	6902.832530989113	-22.784330402470918	519.1257118889604	47649096.95088157	8527.65843507706	11471.779146213892	1.700863	55.010494	0.1091529699999999	0.061126	-0.0812345035	0.1032555839	-0.0042096264	0.1452757324	-0.0760843361	0.2242013154	-0.0704667716	-0.1192952994	0.1365349929	-0.3758338763	0.1308241751	-0.1844697852	0.2278578265	-0.0260729883	0.0387602859	-0.0181183611	0.2435061679	-0.006295907	0.0478837438	-0.0850274749	0.1252191161	-0.0764724177	0.1351503793	-0.1814012583	0.0978145449	-0.0123866822	0.2525948382	0.0375163153	-0.1833077906	0.1022555347	-0.1051918952	0.0281879356	-0.075262311	-0.030772347	0.0831983224	-0.061108485	0.0111884625	-0.1949143213	0.0495519572	-0.1146676894	0.0488483559	-0.1288545052	0.0678606453	-0.21290016	0.1747901233	-0.0750501673	0.0627726382	-0.1168822419	0.0242334212	0.1028490399	-0.0886917888	-0.0520303139	-0.1594335644	0.1256033772	-0.0849366412	-0.0808789553	0.0484718329	0.1242336159	-0.0887762864	-0.0355598631	0.0633399891	0.0637089444	-0.1252929046	-0.0149363334	-0.0110578637	-0.0340988923	0.0720110722	-0.0547345738	-0.0092006512	-0.0015780012	-0.0045196308	-0.1080308571	0.1364348832	-0.173494787	0.1722811802	-0.2954035095	0.0584687872	-0.1048906033	0.0245803138	-0.0015657468	0.1552317124	-0.136064294	0.015211508	-0.0417512542	0.060605182	-0.2228185874	0.0392173905	-0.1536647922	0.0731408742	-0.2709960984	0.1067473821	-0.1773268524	0.0592923442	0.0679604373	-0.0519123522	0.0721061127	0.0276318822	-0.087001703	0.049956192	0.0051307899	0.0873087593	-0.0035778911	-0.1041467329	0.0097093907	0.0410420672	-0.0639880636	-0.1264415479	0.0297179142	0.1000357702	0.0274868723	-0.0801083016	-0.056113888	-0.014629823	0.0187531906	0.1240256802	0.1239985182	0.1239532527	0.1238898902	0.1238084399	0.0	0.0564076	-0.0067522	0.00318181733776	4.559220484e-05	0.0372809	0.0415018699999999	0.00138986550481	0.0017224052134968	-0.0246604	-0.0232033	0.0006081353281599	0.00053839313089	-0.000452524	0.000547566	2.99828524356e-07	2.04777970576e-07	0.000494049	-0.000191938	2.44084414401e-07	3.6840195844000004e-08	-0.000103455	1.4408000000000002e-05	1.0702937025000002e-08	2.0759046400000004e-10	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
7451.950876048891	-46.62361111218161	55531571.85904583	2173.761113139944	19812.18182114592	-210.764259959662	392522548.5141449	44421.57327634399	6872.4423678291405	-30.39016315997287	923.5620168897724	47230464.099133	8467.224350460358	11021.47032600858	1.391678	45.010624	0.06716006	0.0341194	-0.0688157547	-0.1154538791	-0.014790511	0.1264551217	0.0331724256	0.0433936901	-0.1847425218	-0.0432773207	0.1091285795	-0.0255529623	0.1278693949	-0.0494813392	0.138600074	-0.1731787879	0.2000933903	0.0200090389	0.0183834105	0.0839328012	-0.0262958082	-0.083588361	0.1139735692	-0.0191950509	-0.0440526299	-0.1481739895	-0.0106595122	-0.0198354846	0.0457119417	-0.0568239139	0.0087139654	-0.0275246311	0.0585230989	0.0706154864	0.1319975036	0.0175193399	0.0949355901	-0.0498317974	-0.0038647172	-0.0148228039	0.0194526232	0.0326248125	0.007110964	0.1005429781	-0.0541698261	-0.1595843857	0.0478146269	0.0365151791	0.038348494	-0.0695371108	-0.1174831518	-0.060436335	-0.1183085141	0.0258568055	0.0917054057	0.0252765063	0.0717527602	0.0410001436	0.0992785136	-0.1295070594	-0.004480876	0.0251615488	-0.02160628	0.1588943951	-0.0756682254	0.0813729352	0.0543130592	0.0775544575	0.1197121644	-0.1098696855	0.0818252993	0.0675821755	-0.0417705198	0.0405156158	0.0051382672	-0.0913742396	-0.1035658428	-0.0966778882	-0.1173929582	0.0635833116	-0.1233491467	0.093247839	0.1083397033	-0.0101607715	-0.0280798865	-0.0063037907	-0.0520722492	-0.1342339924	-0.1298485112	-0.0711170299	0.0553193281	-0.0081998617	0.0683330055	-0.0898316169	-0.0769977777	-0.1116956401	-0.0272677977	-0.0674810537	0.019709936	0.0126589272	0.0350335553	-0.066654354	0.1185132184	0.0492256289	0.068396924	0.0938387678	-0.0583986076	-0.0068473092	0.0035055454	-0.0572242737	-0.0953709276	0.0322695503	-0.1423832594	0.0587484301	0.0451375048	0.1231456038	0.1239532527	0.1237089139	0.1233020394	0.1227331636	0.1220030341	0.0	0.050619	-0.0057886	0.0025622831609999	3.350788996000006e-05	0.0128802	-0.0244006999999999	0.0001658995520399	0.0005953941604899	-0.00367044	0.02098996	1.34721297936e-05	0.0004405784208015	-0.000500134	-4.760999999999996e-05	2.266712099999996e-09	2.50134017956e-07	0.000549962	5.591299999999999e-05	3.02458201444e-07	3.126263568999999e-09	0.000112638	0.000216093	1.2687319044e-08	4.6696184649e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
7474.668658042311	22.71778199342043	55870671.54752004	516.0976187005775	19772.392074336447	-39.78974680947431	390947488.3412827	1583.223951162071	6864.152059947541	-8.290307881599801	68.72920477171579	47116583.50208207	8473.349917782598	11018.700526497076	1.301463	42.092831	0.03785254	0.0204337	-0.0723117442	0.0089109799	0.0544319469	-0.1014662961	-0.0530031738	0.1465883746	-0.0258516864	-0.046054493	-0.0040593492	-0.1284686885	-0.1204595557	0.0138109109	-0.0191169983	0.0411596215	-0.0205201387	-0.2094267469	-0.0449117786	0.0852058445	-0.1290148333	-0.0915041033	0.0279796159	-0.037444857	0.1154110334	0.0447957048	0.0783591378	-0.0409819943	0.0363295894	-0.0838088004	0.1431463569	-0.0845621189	0.0215992442	-0.0049091601	-0.0599804993	-0.1018855193	-0.0328356584	0.1241945727	-0.1284034654	-0.0321551783	-0.0158338919	0.0820471729	0.1110944003	-0.0924223588	-0.0025263418	0.1352735747	-0.1024752494	0.0102626611	-0.011019083	-0.0625436702	0.064195133	0.0343474786	0.0477622197	-0.0690671402	-0.069719797	-0.1471948251	0.0436414819	0.0051384538	0.0638003622	0.0274279322	-0.0427749698	-0.0118239413	0.1655546956	-0.0983834785	0.0862586641	-0.0240011961	-0.1312055978	0.1513301619	0.0076871878	-0.0326597476	-0.0647318111	-0.0200184531	0.0557619592	-0.0855496758	0.091049665	0.1335000311	0.0807895074	0.0182612886	-0.1578091155	-0.1204512473	-0.0111163069	-0.0795424704	0.0031577391	0.1188625737	-0.0200969473	0.1269727632	0.0262142713	0.0587704515	0.0730586099	0.1120895835	-0.0360069802	-0.0887443789	-0.1067804025	0.0353134763	-0.0377804352	0.0329672644	0.0422522738	0.0227782446	0.0084311419	0.0391348702	0.0110733914	-0.0986074225	-0.0394380767	0.0539726901	-0.0844770719	-0.1965973558	0.0411725642	-0.0329324938	-0.1338308285	-0.0975286819	-0.1259306617	-0.0478369451	-0.0689053339	0.0864489484	0.0314277649	-0.003782519	0.1238084399	0.1231303817	0.1220030341	0.1204305106	0.1184185493	0.0	0.052648	0.002029	0.002771811904	4.1168410000000125e-06	0.01769	0.0048098	0.0003129361	2.3134176040000013e-05	-0.00251045	0.00115999	6.3023592025e-06	1.3455768001e-06	-0.00021532	0.000284814	8.1119014596e-08	4.63627024e-08	0.000494049	-5.591299999999999e-05	2.44084414401e-07	3.126263568999999e-09	-0.00014371	-0.000256348	2.06525641e-08	6.5714297104e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
7468.468188397608	-6.200469644702935	55778017.08110705	38.44582381488254	19735.55405170056	-36.83802263588586	389492093.7275944	1357.0399117220393	6882.187754606943	18.035694659402	325.2862818471817	47364508.28966175	8469.936648924304	11337.779352029858	1.449192	46.870781	0.054745825	0.0303806	0.0871587896	0.1628917927	-0.0579806383	-0.0611167732	-0.0819427656	0.114429541	-0.0637141255	0.0082057597	0.0141221469	0.0177047259	0.0578150903	-0.0136499922	-0.0413159727	0.1492219668	-0.1157347256	0.0966717944	0.1220282519	-0.0093973933	-0.0030301841	0.0118923721	-0.0742415291	-0.1219603065	-0.0349749179	-0.0886089173	0.0294478514	0.0175322578	-0.1169922859	-0.0315879615	0.0688563127	0.0212910714	-0.0132301407	0.0729996311	0.0765673351	0.0374528439	-0.0340246611	-0.0845450194	-0.0352521625	-0.1672425514	-0.0566680442	0.1544643865	0.0378085496	0.1204518166	-0.0001341387	0.0735459368	-0.0456765437	0.1272673749	-0.0932639362	-0.0462507111	0.0217178164	-0.055002397	-0.0087223217	-0.2117453555	-0.1175487181	-0.1094892094	-0.0107145829	0.0801963642	0.0376323201	0.0343290914	-0.0397362345	-0.1076012027	-0.223091016	-0.2321301024	-0.1071634036	-0.0481143607	0.054578536	-0.0476803967	0.0215012231	0.0612263646	-0.0206442972	0.0476519535	0.0241096109	0.0033815488	-0.0491543153	0.0272295808	-0.0735231755	-0.017499508	-0.0086427389	-0.0419309558	0.0214373705	0.1165359356	0.085735842	-0.0750565672	0.0095483457	0.2178184514	-0.0428432436	0.0217809832	-0.0826275835	0.0108901881	-0.0742435372	0.0221449187	-0.0697176459	-0.000201907	-0.100156392	0.1676319563	0.0523400414	0.009468414	0.040709033	0.1791649182	-0.0898601523	0.1333987235	-0.0276089478	0.0599431739	-0.0159807274	-0.0666311474	0.0392342858	0.0503333461	-0.0112147985	0.0081012208	0.0205940427	-0.1448234781	0.2212656397	0.0332417576	0.1244858738	0.0219072433	0.1235913266	0.1222642728	0.1200630614	0.1170034304	0.1131072554	0.0	0.0457899	-0.0068580999999999	0.00209671494201	4.703353560999999e-05	-0.00664398	-0.02433398	4.41424702404e-05	0.0005921425826404	-0.0118473	-0.00933685	0.00014035851729	8.717676792250001e-05	5.72979e-05	0.0002726179	7.432051940041e-08	3.28304934441e-09	0.000494049	0.0	2.44084414401e-07	0.0	-0.00015543	-1.1720000000000005e-05	2.41584849e-08	1.3735840000000006e-10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
7455.694890378427	-12.773298019181311	55587386.29841498	163.1571422868212	19722.15513665513	-13.39891504543266	388963403.23429227	179.5309243947217	6888.1825838054565	5.994829198513799	35.93797711935359	47447059.30784082	8465.920929185922	11138.57132144023	1.115739	36.086006	0.0953271249999999	0.0511371	0.1352791798	-0.0570108556	0.0097105558	-0.0327078658	0.0257496551	0.1159369653	-0.1674749682	0.0326809586	-0.0866877589	-0.0050636037	0.0993790831	0.0136758597	-0.0475417328	-0.0113887165	-0.0596883415	0.1156065883	-0.0030500351	0.0300023817	0.0496635701	-0.0020092256	0.042599958	-0.0383663913	-0.1144713154	0.091712604	0.1240537678	0.0763618115	0.0813022515	0.0196543538	-0.0794596769	0.0441340318	0.1536231599	-0.0237443894	-0.0495763704	0.1751642725	-0.062531881	0.1033657049	0.0706967893	0.1075380726	0.0236830886	0.108392414	-0.0068938178	0.0605292973	-0.0475035919	-0.1218041436	0.0914629062	0.0882102714	0.0356083325	0.0514103391	0.052538488	-0.003027214	-0.0541858675	-0.1490106964	0.1068123412	0.2017232334	-0.0429364623	-0.025919276	0.0727724313	-0.0502085947	-0.0170708224	-0.0302122468	-0.1896760235	0.0164676537	0.0846204531	-0.1089758506	-0.1114235348	0.0130010926	-0.0909690426	0.1845394416	0.0315563033	-0.0850901601	0.00306747	0.0478238542	-0.0108306399	-0.0473679256	-0.1318891544	0.0439654188	0.147672337	0.0608504443	0.0225267317	-0.0429666271	-0.0482506725	0.0665453108	-0.0191416437	-0.0862085705	-0.0116562899	-0.1050685388	-0.0495478419	0.1128685289	-0.0689551852	0.0435565586	-0.0509440531	-0.1168120226	0.0690366097	0.1207067076	-0.1258238841	-0.0193490151	-0.0960149086	0.0064776247	0.0550872602	0.0776432678	0.2191084991	-0.0537034022	0.0673970764	0.052197783	0.0687966542	0.101716406	0.0929866073	0.0339532763	0.0329149885	-0.0517995603	0.2239589832	0.0877934878	0.0358036951	-0.0231366927	0.1233020394	0.1211126101	0.1174923133	0.1124839207	0.106146603	0.0	0.0416422	-0.0041477	0.0017340728208399	1.7203415290000035e-05	0.0331996	0.03984358	0.00110221344016	0.0015875108672164	-0.0118601	-1.2800000000000313e-05	0.00014066197201	1.6384000000000796e-10	-0.000500134	-0.0005574318999999	3.107303231376099e-07	2.50134017956e-07	0.000634253	0.000140204	4.02276868009e-07	1.9657161616e-08	0.000173395	0.000328825	3.0065826025e-08	1.0812588062500002e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
7477.646574088087	21.951683709659846	55915198.2869713	481.8764176889455	19713.171849651524	-8.983287003604346	388609144.3738933	80.69944538912675	6892.798221298934	4.615637493477152	21.30410947119205	47510667.31954175	8486.697388618688	11223.903172244498	1.169297	37.818222	0.06780175	0.0364918	-0.0310373085	-0.1006668381	0.003600852	0.1154014474	-0.1109380388	0.1941897565	-0.0338563211	0.0055899753	-0.0214035868	0.0215981124	0.0033741655	0.0784914047	0.0324354119	0.013059289	0.1108814588	-0.1187235159	-0.0663328678	-0.0409425547	0.0073607582	-0.0920616628	-0.0043775075	-0.0018446983	0.0843056994	0.0929621701	0.0378277165	-0.0845563864	-0.2130951825	-0.0154094208	-0.0853431361	-0.0212291975	-0.1496985521	0.0607174906	0.0430403271	-0.0853578339	-0.0363914443	0.1720190459	0.0038260172	-0.1397966017	-0.1854576417	-0.1557855348	-0.2427606118	0.0494721844	0.091832503	-0.0067998003	-0.0442673163	0.0097177796	0.0402346153	0.1753049923	0.1364421889	-0.0629963996	-0.0351424871	0.0061327116	0.0849054102	-0.0039399272	-0.0403460398	0.0149727899	-0.0798409988	0.1184194022	0.0328723131	0.0253295224	0.0700490159	0.04311872	0.0181019564	0.0864812292	-0.0798488174	0.0718050115	0.0660700438	-0.047602173	-0.1305480506	-0.1209497936	0.088542669	-0.0508426243	0.0341628442	0.0075576517	0.1061236258	-0.0944403235	-0.0183225288	0.0584976532	0.0858883234	0.0730490888	-0.1723025124	0.1961697389	0.0747348742	0.1646948903	0.0674189058	-0.0073478708	0.0957867219	-0.2086617798	0.0622949495	0.1579683176	0.0137571285	0.0673508596	0.0673925708	-0.0809985816	-0.1376306853	0.1039029053	-0.1304547084	-0.1002232538	-0.0514890959	0.0604726295	-0.0468525988	0.0331546349	-0.0445462466	0.0459241844	0.0850814778	-0.0055990514	-0.0059579	-0.0933925698	0.0676926908	-0.0312407667	-0.0910748353	0.0585088572	-0.150988567	-0.0186250857	0.1229407472	0.1196780832	0.1143042958	0.1069141789	0.0976380941	0.0	0.0411699	-0.0004722999999999	0.00169496066601	2.2306728999999522e-07	0.0124634	-0.0207362	0.00015533633956	0.00042998999044	-0.0118633	-3.2000000000000778e-06	0.00014073788689	1.0240000000000498e-11	-0.000151619	0.000348515	1.2146270522499998e-07	2.2988321161e-08	0.000494049	-0.000140204	2.44084414401e-07	1.9657161616e-08	-0.000269687	-0.000443082	7.2731077969e-08	1.9632165872400001e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
7446.347603005344	-31.298971082742355	55448092.62478344	979.6255908383422	19657.573305608395	-55.59854404312864	386420188.2653678	3091.198099715715	6881.446283994599	-11.35193730433457	128.8664805615428	47354302.95950308	8454.761352908414	11148.419865642223	1.197653	38.735332	0.05267145	0.0297901	0.1504629472	0.0025460974	0.0011686248	0.0453590734	-0.0368628288	0.0168525861	-0.1792853457	0.018859913	-0.0015939375	0.1148076944	0.048560173	0.002528212	-0.1409990544	-0.0258956512	0.0077989199	0.0080159155	0.0415047538	-0.082187071	-0.0089351508	0.0004413451	-0.0252415916	-0.1108130819	-0.0401760015	-0.0064914555	-0.0139931343	-0.0089386926	-0.0330198947	-0.0026547717	-0.0247151383	-0.1070681181	-0.149336625	0.0229468837	0.1514420739	0.0040784098	0.0414640212	-0.0622999782	0.062521027	0.0092458592	-0.0363839911	-0.0916137885	-0.0864842493	-0.0575745684	-0.0323404413	0.0804513867	-0.1209478018	-0.0372321165	-0.0266779873	0.0619835886	-0.1184610185	-0.0377245584	0.0148935045	0.1630372734	-0.003222985	-0.1217845645	0.0257907759	-0.1105545733	-0.0074218303	-0.1253550518	-0.082098322	-0.0293562471	0.0460778913	0.0541713917	0.1566280308	-0.0457585734	0.2254058974	0.0892825994	-0.0862565766	0.0589878367	0.2201435262	-0.0767358982	-0.0914874234	0.0906386455	-0.0545696653	0.0025320293	0.0034254527	0.062583492	-0.0190894368	0.0341129649	0.075214014	0.1903475529	-0.0469225786	-0.0227842509	0.0095559744	0.0093432055	-0.013097402	0.0933210345	0.0227948841	-0.1182321067	0.0521009027	0.085576839	0.0350555809	0.0448490113	-0.1316352947	-0.1758912413	0.0119735154	0.1263863142	0.0652231637	-0.0514601651	0.0298568772	-0.1994981874	-0.0616072648	0.121806111	0.0410072251	0.1208101557	-0.1587459447	-0.2039739114	0.0848872599	-0.019665427	0.0186176317	0.0582804981	-0.0114171229	-0.046693611	-0.0061670882	-0.1778597747	0.1225076612	0.1179640426	0.1105157577	0.1003462082	0.0877058019	0.0	0.0350413	-0.0061286	0.0012278927056899	3.755973796000006e-05	0.0172486	0.0047852	0.0002975142019599	2.289813904e-05	-0.0071374	0.0047259	5.094247876e-05	2.233413081e-05	-0.000385581	-0.000233962	5.4738217444000017e-08	1.4867270756100005e-07	0.000494049	0.0	2.44084414401e-07	0.0	0.000236986	0.000506673	5.6162364196e-08	2.56717528929e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
7451.716672554794	5.369069549449705	55528081.36803109	28.82690782682806	19693.4855849673	35.912279358904925	387833374.4853149	1289.6918087520287	6872.68291663435	-8.763367360249504	76.79660749068636	47233770.47259763	8459.696822589176	10686.211137757724	1.89328	61.233788	0.03214366	0.0163711	0.0341403346	0.0064134557	0.0374705426	-0.2164514091	-0.0424218983	-0.0504329804	0.0267518085	-0.0047669603	-0.1071612904	-0.0168298194	-0.0281574122	0.0436011541	0.0119307804	0.0234324721	-0.1685863263	-0.0296321664	0.01872314	0.1321641243	0.0979400058	0.1300571967	0.1151485485	0.037513486	-0.0697479733	0.0703253098	-0.0619423912	0.0442915911	-0.0640565238	0.0066878181	0.027599517	-0.0168366744	0.0588120175	-0.1176615211	-0.2113422336	0.127107837	-0.0164867218	-0.0986463526	-0.0603598287	0.0410566544	0.0144193884	0.0513808256	0.0024117668	-0.121698711	0.1086961731	0.0122934185	-0.0087539766	-0.0780076107	0.0375044817	0.0019901192	0.0663923574	0.060197497	0.1295486618	0.0599802501	-0.1275490476	-0.0643687038	0.0142790397	-0.1890160635	-0.0614702088	-0.0146339267	0.0457801688	0.0534896372	0.0435954208	0.0727091867	0.0727636518	-0.0623600167	0.0933586404	-0.1637549651	0.0130101188	0.0883323006	0.1104855778	-0.016260615	-0.1240518867	0.0158796196	0.0095947671	0.0555120762	0.0083785656	0.12289725	0.1049721025	-0.1115073032	0.0682628984	-0.1578385859	0.0404345696	-0.0845619559	-0.0944442319	-0.0694676359	0.0745724424	0.0057696871	0.0644151004	0.1106541114	0.0489242527	0.002885603	-0.0706319949	-0.0626985162	0.0194849998	0.0826304909	0.0672510879	0.0759545052	0.0588574879	-0.0951809816	0.1219845548	-0.0077006869	-0.0603706247	-0.0827968564	0.1178794713	-0.0470264079	-0.0150122444	-0.0388747329	-0.0520237856	0.1624328357	0.1109132286	-0.0228020745	-0.024107111	-0.1518861359	-0.0667088734	-0.1240733974	0.1220030341	0.1159744915	0.106146603	0.092841332	0.0764945617	0.0	0.0362159	0.0011746	0.00131159141281	1.3796851600000113e-06	0.00778791	-0.0094606899999999	6.0651542168100006e-05	8.950465527609999e-05	0.00640772	0.01354512	4.10588755984e-05	0.0001834702758144	-0.000246754	0.000138827	1.9272935929e-08	6.088753651600001e-08	0.000494049	0.0	2.44084414401e-07	0.0	0.000216548	-2.043800000000001e-05	4.6893036304e-08	4.1771184400000036e-10	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
7444.337738975606	-7.378933579188015	55418164.37193644	54.44866076606845	19674.720549046026	-18.76503592127483	387094628.683054	352.1265731267347	6894.272195423553	21.58927878920349	466.0969586379517	47530989.1045903	8469.6373191291	10591.441912211012	1.325843	42.881355	0.045045078	0.024439	-0.1449649706	-0.0315562075	0.0190870298	0.0713230119	-0.0069902244	-0.2357750892	0.2683518547	-0.0444654424	0.0239122365	0.0652264075	-0.0650812761	0.0601373089	0.1458223586	-0.0292936735	0.0881132667	-0.001232665	-0.0314968929	-0.1006070204	-0.0892188919	0.0747478031	-0.1111540519	0.1449162346	0.048136721	0.0719999963	-0.0250475716	-0.006135649	-0.0003313429	0.0376380727	-0.0404933049	-0.0568694796	-0.0156704102	-0.1125943715	0.0547581024	-0.122280139	-0.0720077773	-0.0351143877	0.1032671616	0.0984154921	0.0876437933	0.0727520436	0.036135024	-0.0340848422	-0.1497805383	0.0061523408	-0.0808427227	-0.1033192824	-0.1061104084	0.0907274251	0.072074357	0.0382540493	-0.0664318717	0.0862460358	0.0486753253	0.086746885	0.1805490099	0.0616051229	-0.1027383392	0.0292592267	0.1120862616	0.1023339076	-0.0136794756	-0.2339805424	-0.0468011323	0.0497868236	-0.0517247079	-0.0065789984	-0.1780266504	-0.0735642315	0.0402177769	-0.0576327446	0.0272650008	0.0743585828	-0.0061980547	-0.0421416814	0.0737124767	0.0417703493	-0.0513669967	0.141875997	-0.0082859801	-0.063527882	0.0100091764	-0.0480071026	0.0933411425	-0.1268530041	-0.1533949964	0.0303785194	0.078634576	0.120513935	-0.1450481366	0.0752278785	-0.0423026965	0.0931043124	0.0033215103	-0.0714731654	-0.0721479648	-0.0551080209	-0.0556867484	0.0275608069	-0.1078473727	0.0873810988	-0.05218817	-0.2426773427	-0.1273108468	-0.0895537033	-0.02957374	-0.0796500569	0.0246592414	0.0121946592	-0.0327276858	0.0315676496	0.0553542266	-0.0045050813	0.1694424059	-0.0798567445	0.1214271607	0.1137140766	0.1012197857	0.0844696213	0.0641678585	0.0	0.0327525	-0.0034634	0.0010727262562499	1.1995139560000036e-05	-0.000574358	-0.008362268	3.29887112164e-07	6.992752610382401e-05	0.0146456	0.00823788	0.00021449359936	6.78626668944e-05	-0.000182418	6.433600000000002e-05	4.139120896000002e-09	3.3276326724e-08	8.29134e-05	-0.0004111355999999	6.87463189956e-09	1.6903248158735996e-07	0.000192389	-2.4159e-05	3.7013527321e-08	5.836572809999997e-10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
