global_signal	global_signal_derivative1	global_signal_power2	global_signal_derivative1_power2	csf	csf_derivative1	csf_power2	csf_derivative1_power2	white_matter	white_matter_derivative1	white_matter_derivative1_power2	white_matter_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	t_comp_cor_04	t_comp_cor_05	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	c_comp_cor_05	c_comp_cor_06	c_comp_cor_07	c_comp_cor_08	c_comp_cor_09	c_comp_cor_10	c_comp_cor_11	c_comp_cor_12	c_comp_cor_13	c_comp_cor_14	c_comp_cor_15	c_comp_cor_16	c_comp_cor_17	c_comp_cor_18	c_comp_cor_19	c_comp_cor_20	c_comp_cor_21	c_comp_cor_22	c_comp_cor_23	c_comp_cor_24	c_comp_cor_25	c_comp_cor_26	c_comp_cor_27	c_comp_cor_28	c_comp_cor_29	c_comp_cor_30	c_comp_cor_31	c_comp_cor_32	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	w_comp_cor_19	w_comp_cor_20	w_comp_cor_21	w_comp_cor_22	w_comp_cor_23	w_comp_cor_24	w_comp_cor_25	w_comp_cor_26	w_comp_cor_27	w_comp_cor_28	w_comp_cor_29	w_comp_cor_30	w_comp_cor_31	w_comp_cor_32	w_comp_cor_33	w_comp_cor_34	w_comp_cor_35	w_comp_cor_36	w_comp_cor_37	w_comp_cor_38	w_comp_cor_39	w_comp_cor_40	w_comp_cor_41	w_comp_cor_42	w_comp_cor_43	w_comp_cor_44	w_comp_cor_45	w_comp_cor_46	w_comp_cor_47	w_comp_cor_48	w_comp_cor_49	w_comp_cor_50	w_comp_cor_51	w_comp_cor_52	w_comp_cor_53	w_comp_cor_54	w_comp_cor_55	w_comp_cor_56	w_comp_cor_57	w_comp_cor_58	w_comp_cor_59	w_comp_cor_60	w_comp_cor_61	w_comp_cor_62	w_comp_cor_63	w_comp_cor_64	w_comp_cor_65	w_comp_cor_66	w_comp_cor_67	w_comp_cor_68	w_comp_cor_69	w_comp_cor_70	w_comp_cor_71	w_comp_cor_72	w_comp_cor_73	w_comp_cor_74	w_comp_cor_75	w_comp_cor_76	w_comp_cor_77	w_comp_cor_78	w_comp_cor_79	w_comp_cor_80	w_comp_cor_81	w_comp_cor_82	w_comp_cor_83	w_comp_cor_84	w_comp_cor_85	w_comp_cor_86	w_comp_cor_87	w_comp_cor_88	w_comp_cor_89	w_comp_cor_90	w_comp_cor_91	w_comp_cor_92	w_comp_cor_93	w_comp_cor_94	w_comp_cor_95	w_comp_cor_96	w_comp_cor_97	w_comp_cor_98	w_comp_cor_99	w_comp_cor_100	w_comp_cor_101	w_comp_cor_102	w_comp_cor_103	w_comp_cor_104	w_comp_cor_105	w_comp_cor_106	w_comp_cor_107	w_comp_cor_108	w_comp_cor_109	w_comp_cor_110	w_comp_cor_111	w_comp_cor_112	w_comp_cor_113	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	a_comp_cor_32	a_comp_cor_33	a_comp_cor_34	a_comp_cor_35	a_comp_cor_36	a_comp_cor_37	a_comp_cor_38	a_comp_cor_39	a_comp_cor_40	a_comp_cor_41	a_comp_cor_42	a_comp_cor_43	a_comp_cor_44	a_comp_cor_45	a_comp_cor_46	a_comp_cor_47	a_comp_cor_48	a_comp_cor_49	a_comp_cor_50	a_comp_cor_51	a_comp_cor_52	a_comp_cor_53	a_comp_cor_54	a_comp_cor_55	a_comp_cor_56	a_comp_cor_57	a_comp_cor_58	a_comp_cor_59	a_comp_cor_60	a_comp_cor_61	a_comp_cor_62	a_comp_cor_63	a_comp_cor_64	a_comp_cor_65	a_comp_cor_66	a_comp_cor_67	a_comp_cor_68	a_comp_cor_69	a_comp_cor_70	a_comp_cor_71	a_comp_cor_72	a_comp_cor_73	a_comp_cor_74	a_comp_cor_75	a_comp_cor_76	a_comp_cor_77	a_comp_cor_78	a_comp_cor_79	a_comp_cor_80	a_comp_cor_81	a_comp_cor_82	a_comp_cor_83	a_comp_cor_84	a_comp_cor_85	a_comp_cor_86	a_comp_cor_87	a_comp_cor_88	a_comp_cor_89	a_comp_cor_90	a_comp_cor_91	a_comp_cor_92	a_comp_cor_93	a_comp_cor_94	a_comp_cor_95	a_comp_cor_96	a_comp_cor_97	a_comp_cor_98	a_comp_cor_99	a_comp_cor_100	a_comp_cor_101	a_comp_cor_102	a_comp_cor_103	a_comp_cor_104	a_comp_cor_105	a_comp_cor_106	a_comp_cor_107	a_comp_cor_108	a_comp_cor_109	a_comp_cor_110	a_comp_cor_111	cosine00	cosine01	cosine02	cosine03	cosine04	non_steady_state_outlier00	non_steady_state_outlier01	trans_x	trans_x_derivative1	trans_x_power2	trans_x_derivative1_power2	trans_y	trans_y_derivative1	trans_y_power2	trans_y_derivative1_power2	trans_z	trans_z_derivative1	trans_z_power2	trans_z_derivative1_power2	rot_x	rot_x_derivative1	rot_x_derivative1_power2	rot_x_power2	rot_y	rot_y_derivative1	rot_y_power2	rot_y_derivative1_power2	rot_z	rot_z_derivative1	rot_z_power2	rot_z_derivative1_power2	motion_outlier00	motion_outlier01	motion_outlier02	motion_outlier03	motion_outlier04
6172.334583119403	n/a	38097714.20597177	n/a	16622.993889202316	n/a	276323925.8404576	n/a	5712.33436624698	n/a	n/a	32630763.91180628	7126.550324586668	11528.75149984662	n/a	n/a	n/a	n/a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	-0.00593017	n/a	3.51669162289e-05	n/a	-0.0480227	n/a	0.00230617971529	n/a	0.456345	n/a	0.208250759025	n/a	0.00193437	n/a	n/a	3.7417872969e-06	0.00146319	n/a	2.1409249761000004e-06	n/a	0.00106628	n/a	1.1369530384e-06	n/a	0.0	0.0	0.0	0.0	0.0
6137.317215311991	-35.017367807411574	37666662.60136493	1226.2160481595445	16384.261745530734	-238.7321436715829	268444032.9460618	56993.0364220293	5707.475134341704	-4.859231905275919	23.612134709251443	32575272.40912885	7103.768658703263	11349.862683738687	1.131795	37.383408	0.1716574699999999	0.0768939	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0386401	0.0445702699999999	0.0014930573280099	0.0019865089678728	-0.029992	0.0180307	0.000899520064	0.00032510614249	0.45678	0.000435	0.2086479684	1.892250000000163e-07	0.00149009	-0.00044428	1.973847184e-07	2.2203682081e-06	0.00212506	0.0006618699999999	4.515880003599999e-06	4.380718968999997e-07	4.23516e-22	-0.00106628	1.7936580225599999e-43	1.1369530384e-06	0.0	0.0	0.0	0.0	0.0
6125.22235770194	-12.094857610050894	37518348.931291714	146.28558060740605	16095.21814070242	-289.0436048283136	259056046.99679628	83546.20549214633	5711.240811473665	3.7656771319616382	14.180324262178829	32618271.606642373	7057.637683815075	11180.261920148429	1.200938	39.667221	0.1545510099999999	0.0764312999999999	-0.02279951	-0.0468302071	0.0175303249	-0.0594209684	0.0321259156	-0.0003383934	-0.0020525978	0.07912698	-0.2130161237	0.3049490962	-0.0918480719	0.0895706502	-0.1813804109	0.1134993464	-0.0769989786	0.0378024339	-0.0224342372	0.0174201978	-0.1203683543	0.063050932	0.0215675143	-0.0279633118	0.0377213181	-0.0612615453	0.0064371032	-0.0287549153	0.0458907508	-0.0305208036	0.0219241842	-0.0004681917	-0.0278155695	0.0728768811	-0.0661218674	0.0742649896	-0.0448904537	0.0309125704	-0.07938849	0.0064108796	-0.0200620649	0.0161409832	-0.0337912482	-0.0653507312	0.0032260132	-0.0428632574	0.0602337255	-0.0214094789	-0.0350407317	0.0112265526	-0.0036050513	0.0207900612	-0.0069166015	0.0019308517	-0.0098256937	0.0068367027	0.0039005915	-0.0215646772	0.0076956809	-0.025013465	0.0628382049	-0.037674505	0.0420466317	-0.0057108681	0.0427787669	-0.0825934541	0.0017843624	-0.0418751972	0.0204890516	-0.0502960429	0.0115292554	-0.0028934963	0.0294090299	-0.0220461179	-0.0017809296	0.0618022305	0.0448131848	-0.0109278637	0.0601714654	-0.0357104136	0.0652023555	0.0431539892	-0.0241527203	-0.0253989779	0.0227425995	0.0074496299	-0.0066468835	-0.0131348641	-0.0068054718	0.0506794384	-0.0094104089	-0.0234640591	-0.0256833571	0.0343299934	0.0013518207	-0.0638006953	0.0095908205	-0.0092512381	0.064634685	-0.0155251955	0.0505511959	-0.0243461349	0.0363345688	-0.0549399269	0.0198332541	-0.0352519039	0.0020552575	-0.0336350619	0.00208203	-0.0050313414	0.0601263929	-0.0155481363	0.0264876	-0.0289182975	0.0074791482	-0.0021431357	0.0397504104	-0.0609173456	0.0014734506	-0.0191382201	0.0156602692	-0.0491970264	0.0233525596	0.0900785964	-0.0437242287	0.0244238692	-0.0209001317	0.0407692173	-0.012431022	0.0462448162	-0.0001557091	-0.0657504086	0.0294557787	-0.0019878418	-0.0270217463	0.0658695088	-0.0552084383	0.0782379408	0.0047410528	-0.066524157	0.0311214922	-0.0149658793	-0.0106979239	-0.0171587553	0.0206585658	0.0113913082	-0.0159197441	0.0023155879	0.0646170181	-0.0745706191	0.008192261	0.0229680955	-0.0417217496	-0.0402742966	0.0250616694	-0.0469628741	-0.1015613064	0.0296439658	-0.0467418429	0.0825578082	-0.088416414	0.0769468141	-0.150049439	0.0338512069	-0.0225766682	0.1863239359	-0.0403008609	0.0473712632	-0.1072694031	0.1148235211	-0.028189646	0.008697457	-0.0067175727	0.0452991333	-0.0426087112	0.0164195443	-0.0569832788	0.0360603264	-0.034329942	0.069868847	-0.0272621167	0.0024987096	-0.04156612	0.0061015	-0.074699916	0.0595961414	-0.0269444274	0.0059598729	-0.0442342529	0.0405995315	-0.035934091	-0.0858677656	0.0107819958	-0.0126696903	0.0083764886	0.0026514209	0.000546718	0.0359084629	-0.1118167064	0.0116567428	0.0559503329	-0.0173060847	-0.0279630372	0.0170679307	0.0024042917	0.0063716325	-0.0079566198	-0.0134759014	0.0577075656	0.0196746767	0.0088017132	-0.042482808	0.0068432944	-0.0150614116	0.0002217236	-0.0588329804	0.0518136642	-0.0398523117	0.0312742449	-0.0110114229	0.0738903033	-0.0405623208	0.066590019	-0.0213322456	0.0356878375	-0.0201068522	0.0758174789	-0.02914354	0.0099426364	-0.0618855561	0.006948701	-0.0799681781	0.0081970494	-0.0338967983	0.0062927816	-0.0220123888	0.0168956284	-0.0342123261	-0.0180663645	0.0321496688	-0.0770723922	0.0313462697	-0.0630733341	0.0719213944	-0.0376672661	0.0522972785	-0.0432003027	-0.000814975	0.0434022165	-0.0201034981	-0.0438588138	0.0637953344	-0.0226880646	-0.01849976	0.0492804965	-0.0571022862	-0.0012336517	-0.002552008	0.055657642	-0.0047830674	-0.0069144859	-0.0119658522	0.0272841284	-0.0183838088	-0.0122995591	0.0557633002	0.0872397005	0.0631191313	0.0631182043	0.0631166593	0.0631144963	0.0631117153	0.0	0.0	-0.00241336	-0.04105346	5.824306489599999e-06	0.0016853865779716	-0.0870069	-0.0570148999999999	0.0075702006476099	0.0032506988220099	0.459524	0.0027439999999999	0.211162306576	7.529535999999828e-06	0.00168582	0.00019573	3.831023290000003e-08	2.8419890724e-06	0.00203186	-9.319999999999988e-05	4.128455059599999e-06	8.686239999999978e-09	0.000785843	0.000785843	6.175492206490001e-07	6.175492206490001e-07	0.0	0.0	0.0	0.0	0.0
6116.880836734624	-8.341520967316683	37416231.17081127	69.58097204818385	16012.65225598202	-82.56588472039948	256405032.27100608	6817.1253196622965	5699.088783304385	-12.152028169280127	147.67178862697776	32479612.95998586	7044.151927148007	11071.13522426814	1.071718	35.39904	0.15017821	0.0673603	-0.0121287702	-0.0334694076	-0.023427695	-0.0540771277	0.0571460807	0.0155291626	-0.0030410163	0.068277835	-0.1813026556	0.2736398381	-0.0428982358	0.0342727702	-0.1750688374	0.1049718956	-0.0273934378	0.0111130868	0.0061359467	0.0513124472	-0.0615524822	-0.0907931885	-0.0195345528	-0.0565308001	-0.0046081363	-0.0581790243	-0.0168878363	0.1666295705	0.1253722045	-0.0800899776	0.0205951651	0.0568089002	0.0686549756	-0.0419512074	0.1394128017	0.0646164387	0.0271831544	-0.0858375735	-0.0322625515	-0.0947001008	0.0114712646	0.0167013152	-0.0468612268	0.0279141627	-0.0299415122	0.033438408	0.0257973118	-0.016496905	-0.0182583263	-0.0159937967	-0.0201904524	0.0057852031	-0.0010240941	0.0456709292	-0.0199239926	-0.0768274361	0.0889683906	-0.054706921	-0.0243179836	0.0003597778	0.0231117074	0.0181981758	0.0238794609	-0.0096674697	0.0667659882	0.050381215	-0.0822633176	-0.0275061415	0.0066278637	0.006613158	0.0791021727	-0.0697789813	0.0336631974	-0.0357775083	0.0246824397	-0.1024999338	0.0396275069	-0.051968381	-0.0029614874	0.0678489872	0.0632216961	-0.0270734538	-0.016764587	-0.0618418797	-0.0061149396	0.0188478157	-0.0262354111	-0.0466989746	-0.0554324589	0.0380374228	-0.0167726007	-0.0361506474	0.0329756035	0.0129218525	-0.0047273314	0.0061773168	-0.0711070641	0.0138975509	0.0948226626	0.0229405122	0.0391200632	0.0317523817	-0.0393053201	-0.0678201214	-0.0433556531	-0.0057752605	0.0528606149	0.0195658189	-0.0167432409	0.047035184	0.016868361	0.0408410765	-0.0245617764	-0.0105587184	-0.0693892895	0.0311485347	-0.0035203707	-0.0098141183	-0.0210438124	-0.0938127327	-0.0109905047	0.0504493783	-0.0254043303	0.0383801894	0.07392348	-0.0449774248	-0.0041151987	0.0905117666	-0.0247426164	0.0446470253	0.0350153991	0.0394149246	0.0155567772	-0.0275181826	0.0462179953	0.0613382614	-0.0064236927	0.017710309	-0.0222021274	-0.0009609265	0.0551878896	0.0155159775	-0.0555312728	-0.0303812227	0.0446476609	-0.0660353608	-0.066491961	-0.0431559053	-0.0060350728	0.0435859728	-0.0606995194	-0.0151539521	-0.0971384004	0.0204093447	-0.028068874	-0.053603193	-0.0899945226	0.0201709649	-0.0581265834	-0.0164571326	-0.1120113048	0.0937106422	-0.1681858786	0.0017342525	-0.0587276541	0.19647034	-0.0439543332	0.1238006968	-0.1197874291	0.1463511642	0.0694942578	0.0279204899	0.0220168242	0.1033025991	-0.0201521569	0.0019178764	-0.0592535007	-0.0391904525	-0.006542815	0.0846267551	-0.0719508613	0.0118059072	-0.0295308487	0.039152378	0.0876667372	-0.0189153069	0.0035219004	0.0052783195	-0.0409367281	0.0626507232	0.0122314028	-0.0574384172	-0.0359532643	-0.0412462668	-0.0086447121	-0.0833239261	-0.0103072959	-0.0435860335	0.0382601645	-0.0382578882	0.0244035079	-0.0244880591	0.0464201381	-0.016376421	-0.0782672887	0.024914549	0.0109857545	0.0199894845	-0.0102452288	-0.0496005963	-0.0051783345	0.0138888679	0.003009456	0.0294633214	-0.0723357436	-0.055480715	0.0415924481	0.0535130509	0.0253006396	-0.0686098596	0.0113688413	-0.0626514821	0.0033119105	-0.0274436433	-0.0065264227	-0.0074926072	0.0220373091	0.0139180108	0.0805326212	0.0492209434	0.0709193867	-0.0123477554	-0.046567657	0.017802425	-0.0040656088	-0.0154184896	-0.0582571024	0.0297553118	-0.0267458509	0.0676913442	0.0062855486	-0.0254538582	0.0176642733	0.0385754158	-0.0274141209	0.0075890376	0.0327631183	-0.0327468062	-0.0303961632	0.0046691449	0.0079766728	-0.0152949589	0.0243178382	0.0301755779	0.0010483321	0.0259533768	-0.0020552826	0.0068237635	0.0110876867	-0.060087479	-0.0086851096	-0.0394991819	0.0378236763	0.0755823399	0.0348414302	-0.0299780319	-0.0125019286	0.0631166593	0.0631083165	0.0630944126	0.0630749488	0.063049927	0.0	0.0	0.041824	0.04423736	0.001749246976	0.0019569440197696	-0.0510017	0.0360052	0.0026011734028899	0.00129637442704	0.464578	0.005054	0.2158327180839999	2.554291600000003e-05	0.00135327	-0.00033255	1.1058950250000003e-07	1.8313396929e-06	0.00185262	-0.00017924	3.4322008644e-06	3.21269776e-08	0.0	-0.000785843	0.0	6.175492206490001e-07	0.0	0.0	0.0	0.0	0.0
6118.658931416137	1.7780946815137213	37437987.11899847	3.161620696427382	15884.301878349748	-128.35037763227228	252311046.16254532	16473.8194383469	5696.461286977222	-2.627496327163499	6.9037369492576754	32449671.194030184	7028.561552360708	11043.707037318336	1.099246	36.308304	0.0589276	0.0315245	-0.0277203563	-0.0163317617	-0.0145875591	0.0091297699	0.0731519005	-0.0140434329	0.0136748434	0.0638448535	-0.1293271348	0.171870082	-0.0059211906	0.0856332041	-0.1042140195	0.0021679632	-0.0439646934	0.0219138434	0.042743748	0.0379031003	-0.1017702523	0.0499775728	0.0063403662	-0.0393756533	-0.0019606428	-0.0142809607	0.0907244117	-0.0226493677	0.0485218478	-0.0220612773	-0.0283183217	-0.0379281609	0.0439520883	0.0722693131	0.0361483085	0.0066395154	-0.0154707607	-0.0063083048	0.0789577147	-0.0609254581	0.0542589033	0.0146596858	-0.0501231894	0.0484530709	-0.0435468821	-0.0045313098	0.015590337	-0.0009330204	-0.0190038883	-0.0428872451	0.0254640465	0.0286976576	-0.0089724945	-0.0211211614	-0.0247434739	-0.008570965	0.0531889816	-0.0414940106	0.02847393	-0.003841362	-0.0336440269	-0.0596228018	-0.0176732027	-0.0668582389	0.0024492165	0.047424836	0.0045061055	0.0212461451	0.0356837199	0.028811779	-0.0402943293	0.0137732303	0.0073265198	0.0699622138	-0.0033525132	-0.0026700256	-0.0275460141	-0.0382631954	-0.0026335868	-0.0020795891	-0.0191109589	-0.0196519704	-0.0510934128	-0.0076423943	0.0035067506	-0.0652130315	-0.077098526	0.0132196314	0.0176334569	0.0488421699	-0.0118603817	0.0170943643	0.0529239475	0.0538880592	-0.0284730172	0.0255533786	-0.0127476385	0.0561915429	0.047575806	-0.0099013491	0.0357282964	0.0205008196	0.0355471526	0.0195224217	0.0346270381	0.0197208885	0.0078757334	0.0884725846	0.015488371	-0.0373067304	-0.0353490611	-0.0617870423	0.0073758608	-0.0074247036	-0.0617706348	-0.1076992122	-0.0088771897	-0.0499063817	0.0487584483	-0.041418729	0.0020102525	0.008876086	-0.0278693271	0.0272711625	-0.0297834617	0.0285692049	-0.0266468905	0.012522506	0.0149629469	0.0570724176	0.0710425925	-0.0348766628	-0.0039631428	0.0285069051	0.0092400109	-0.1222459024	0.023182186	-0.0596145711	-0.121504631	0.0582673221	-0.0443206695	-0.0565199572	0.0278547619	-0.0334601009	0.0673103166	-0.0433095686	0.0217749137	-0.0171722087	-0.0255466093	-0.0165426785	0.0336893956	-0.0190982844	0.0308362673	0.0046830642	0.1486306193	-0.0498173581	-0.0875994896	0.0313907948	-0.033541688	-0.0341634115	-0.0582569283	0.0673476007	-0.0776508096	-0.0209279305	-0.0249926414	0.144901343	0.0240465733	0.0172192596	-0.0435304254	0.0542195812	0.009540582	-0.0327129062	0.0050784646	-0.0031336628	-0.0468451233	-0.0404279635	-0.0316075635	0.029813159	-0.0939569779	-0.0056303075	-0.008932997	0.0703873234	-0.0056273228	-0.0021315051	0.0300107834	-0.0726471184	0.0205186061	0.0456059718	-0.0036904477	-0.0216316908	0.0636725923	-0.0132347071	0.0431407236	0.0255948407	-0.0520764655	-0.044476343	0.0199575087	0.0368165442	-0.0323440059	0.0707931677	0.0238979839	0.041225519	0.0112775262	0.0277040434	-0.0335475164	-0.0588156967	-0.0386483635	-0.0536377176	0.0437781204	-0.0138856864	0.0075253366	0.0373196453	-0.0540599052	-0.0327717249	0.0012267834	0.0341401216	-0.0490934746	0.031425693	-0.0137967075	-0.0003288088	-0.0079779807	-0.0372087101	-0.0254322341	-0.0155450061	0.0406264709	-0.0123384607	-0.0059116999	-0.0689580128	-0.0326400255	-0.008386339	-0.0482467192	-0.0277204139	-0.0327057832	0.0144786803	0.0264553594	0.0730919245	-0.0801183495	-0.0340426164	-0.048021163	0.0454873564	0.027173854	0.0237178353	-0.0309712896	0.0349972465	0.0222834218	-0.0813589661	-0.074321602	0.062080828	0.0404119961	-0.075826301	-0.0554173281	0.0062272023	0.0822447859	0.0083079631	-0.037735166	0.0045791619	0.0387425523	0.0403885375	-0.0347611428	0.0095517313	-0.0258952161	-0.0603943183	0.0191885346	0.0368932636	-0.0562859377	-0.0043033557	-0.115153252	0.0631117153	0.0630885423	0.063049927	0.0629958787	0.0629264107	0.0	0.0	0.0323136	-0.0095104	0.0010441687449599	9.044770816000004e-05	-0.0418375	0.0091641999999999	0.0017503764062499	8.398256163999995e-05	0.445532	-0.019046	0.198498763024	0.000362750116	0.00138646	3.319e-05	1.1015761e-09	1.9222713316e-06	0.00224357	0.0003909499999999	5.033606344899999e-06	1.5284190249999998e-07	-4.23517e-22	-4.23517e-22	1.7936664928900003e-43	1.7936664928900003e-43	0.0	0.0	0.0	0.0	0.0
