global_signal	global_signal_derivative1	global_signal_power2	global_signal_derivative1_power2	csf	csf_derivative1	csf_power2	csf_derivative1_power2	white_matter	white_matter_derivative1	white_matter_derivative1_power2	white_matter_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	t_comp_cor_04	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	c_comp_cor_05	c_comp_cor_06	c_comp_cor_07	c_comp_cor_08	c_comp_cor_09	c_comp_cor_10	c_comp_cor_11	c_comp_cor_12	c_comp_cor_13	c_comp_cor_14	c_comp_cor_15	c_comp_cor_16	c_comp_cor_17	c_comp_cor_18	c_comp_cor_19	c_comp_cor_20	c_comp_cor_21	c_comp_cor_22	c_comp_cor_23	c_comp_cor_24	c_comp_cor_25	c_comp_cor_26	c_comp_cor_27	c_comp_cor_28	c_comp_cor_29	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	w_comp_cor_19	w_comp_cor_20	w_comp_cor_21	w_comp_cor_22	w_comp_cor_23	w_comp_cor_24	w_comp_cor_25	w_comp_cor_26	w_comp_cor_27	w_comp_cor_28	w_comp_cor_29	w_comp_cor_30	w_comp_cor_31	w_comp_cor_32	w_comp_cor_33	w_comp_cor_34	w_comp_cor_35	w_comp_cor_36	w_comp_cor_37	w_comp_cor_38	w_comp_cor_39	w_comp_cor_40	w_comp_cor_41	w_comp_cor_42	w_comp_cor_43	w_comp_cor_44	w_comp_cor_45	w_comp_cor_46	w_comp_cor_47	w_comp_cor_48	w_comp_cor_49	w_comp_cor_50	w_comp_cor_51	w_comp_cor_52	w_comp_cor_53	w_comp_cor_54	w_comp_cor_55	w_comp_cor_56	w_comp_cor_57	w_comp_cor_58	w_comp_cor_59	w_comp_cor_60	w_comp_cor_61	w_comp_cor_62	w_comp_cor_63	w_comp_cor_64	w_comp_cor_65	w_comp_cor_66	w_comp_cor_67	w_comp_cor_68	w_comp_cor_69	w_comp_cor_70	w_comp_cor_71	w_comp_cor_72	w_comp_cor_73	w_comp_cor_74	w_comp_cor_75	w_comp_cor_76	w_comp_cor_77	w_comp_cor_78	w_comp_cor_79	w_comp_cor_80	w_comp_cor_81	w_comp_cor_82	w_comp_cor_83	w_comp_cor_84	w_comp_cor_85	w_comp_cor_86	w_comp_cor_87	w_comp_cor_88	w_comp_cor_89	w_comp_cor_90	w_comp_cor_91	w_comp_cor_92	w_comp_cor_93	w_comp_cor_94	w_comp_cor_95	w_comp_cor_96	w_comp_cor_97	w_comp_cor_98	w_comp_cor_99	w_comp_cor_100	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	a_comp_cor_32	a_comp_cor_33	a_comp_cor_34	a_comp_cor_35	a_comp_cor_36	a_comp_cor_37	a_comp_cor_38	a_comp_cor_39	a_comp_cor_40	a_comp_cor_41	a_comp_cor_42	a_comp_cor_43	a_comp_cor_44	a_comp_cor_45	a_comp_cor_46	a_comp_cor_47	a_comp_cor_48	a_comp_cor_49	a_comp_cor_50	a_comp_cor_51	a_comp_cor_52	a_comp_cor_53	a_comp_cor_54	a_comp_cor_55	a_comp_cor_56	a_comp_cor_57	a_comp_cor_58	a_comp_cor_59	a_comp_cor_60	a_comp_cor_61	a_comp_cor_62	a_comp_cor_63	a_comp_cor_64	a_comp_cor_65	a_comp_cor_66	a_comp_cor_67	a_comp_cor_68	a_comp_cor_69	a_comp_cor_70	a_comp_cor_71	a_comp_cor_72	a_comp_cor_73	a_comp_cor_74	a_comp_cor_75	a_comp_cor_76	a_comp_cor_77	a_comp_cor_78	a_comp_cor_79	a_comp_cor_80	a_comp_cor_81	a_comp_cor_82	a_comp_cor_83	a_comp_cor_84	a_comp_cor_85	a_comp_cor_86	a_comp_cor_87	a_comp_cor_88	a_comp_cor_89	a_comp_cor_90	a_comp_cor_91	a_comp_cor_92	a_comp_cor_93	a_comp_cor_94	a_comp_cor_95	a_comp_cor_96	a_comp_cor_97	a_comp_cor_98	a_comp_cor_99	cosine00	cosine01	cosine02	cosine03	cosine04	non_steady_state_outlier00	non_steady_state_outlier01	trans_x	trans_x_derivative1	trans_x_power2	trans_x_derivative1_power2	trans_y	trans_y_derivative1	trans_y_power2	trans_y_derivative1_power2	trans_z	trans_z_derivative1	trans_z_power2	trans_z_derivative1_power2	rot_x	rot_x_derivative1	rot_x_derivative1_power2	rot_x_power2	rot_y	rot_y_derivative1	rot_y_power2	rot_y_derivative1_power2	rot_z	rot_z_derivative1	rot_z_power2	rot_z_derivative1_power2	motion_outlier00	motion_outlier01	motion_outlier02	motion_outlier03	motion_outlier04	motion_outlier05	motion_outlier06	motion_outlier07	motion_outlier08	motion_outlier09	motion_outlier10	motion_outlier11	motion_outlier12
7095.380155744304	n/a	50344419.55453006	n/a	17860.34289177282	n/a	318991848.2116999	n/a	6620.008182274545	n/a	n/a	43824508.33338193	8026.320667956783	10694.63988321111	n/a	n/a	n/a	n/a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	-0.0172101	n/a	0.00029618754201	n/a	0.0187752	n/a	0.00035250813504	n/a	0.0	n/a	0.0	n/a	0.0	n/a	n/a	0.0	-0.0	n/a	0.0	n/a	0.000535335	n/a	2.86583562225e-07	n/a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
7058.649375181611	-36.730780562693326	49824531.00175174	1349.15024074473	17526.986090273924	-333.35680149889595	307195241.4086556	111126.75710557432	6618.840911059422	-1.167271215123037	1.3625220896548116	43809055.00591392	8004.80806598334	10547.58914532627	1.241436	38.431641	0.10194685	0.0742154	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	-0.0132725	0.0039375999999999	0.0001761592562499	1.5504693759999995e-05	0.0871191999999999	0.0683439999999999	0.0075897550086399	0.0046709023359999	-0.0288348	-0.0288348	0.00083144569104	0.00083144569104	0.0	0.0	0.0	0.0	-0.0	0.0	0.0	0.0	0.000518726	-1.6609000000000003e-05	2.69076663076e-07	2.758588810000001e-10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
7041.257184004704	-17.392191176906636	49579302.73129785	302.488313934069	17245.638041574864	-281.3480486990593	297412031.4610141	79156.72450676824	6605.657485570187	-13.18342548923465	173.8027076302019	43634710.81666945	7956.658722363182	10418.743931089177	1.225253	37.930634	0.1157052499999999	0.0989549	-0.0444798174	-0.0203826786	-0.0715793397	-0.0253977172	0.0321210439	0.1371947339	-0.2878479677	-0.1376601102	0.2543372486	-0.0996241988	0.0090493196	-0.0011319161	0.0113386309	-0.0793472965	0.0300952904	-0.0642119118	0.0875385223	-0.096576759	0.1866980214	-0.1443350473	0.0539107191	-0.0963387619	0.0622376376	-0.1010825125	0.0814338789	-0.020570989	0.062492103	-0.0616723303	-0.0823087984	-0.0324611565	0.0180311207	-0.0458139444	0.0373594265	-0.0354437229	0.0034746077	-0.0663455622	0.0067759601	0.0139736552	-0.0565686972	0.0452918966	-0.0637399324	0.0768939682	-0.0170040939	0.0604665371	-0.0308372844	0.0196071252	-0.0079205695	0.0930105659	-0.0329521035	0.1338836627	-0.0038303265	0.0271565024	-0.0520146342	0.0642186556	-0.0609536258	0.028153636	-0.0409609538	0.0344514189	0.0008341593	-0.0357762279	0.0289448512	-0.0543237281	-0.0774671556	0.0413951262	0.0057191765	-0.034947228	-0.0090193651	-0.073830733	-0.0739060297	0.0133900996	-0.0035378485	0.0163599973	-0.0160500625	0.115795374	-0.0351152467	0.0298443277	-0.0245041699	0.0389773328	-0.0022595243	0.1099516163	-0.0391717311	0.0653722405	-0.0056900053	0.019034738	-0.1339237336	0.0197851687	-0.0119103293	0.0407209559	-0.0343021698	0.0704632413	-0.0284453579	0.0299084635	-0.0742330375	0.1036391804	-0.0380739884	0.0388679651	0.0612733709	-0.0179397546	0.0495916029	0.0006349531	-0.0369012889	-0.0486615065	0.0145261048	-0.0652731053	0.0448491628	0.0275421748	-0.0364559407	0.0684436964	0.021700657	-0.0699076882	0.0069248334	0.0046791407	0.0900713054	-0.0558728595	-0.0059029595	0.056282078	0.0498168529	-0.0532753675	0.0414669379	0.0185105256	-0.0650615965	0.1007297225	0.0541684043	-0.0118100034	-0.0245909656	0.0263524672	0.0358195358	-0.0163713861	-0.0181687633	0.0203796307	0.025037509	0.0740614169	-0.0310788582	-0.0626924567	0.0068033537	0.0161034737	-0.0897367771	0.0646841467	-0.225945908	0.0020117978	-0.2205824571	0.1932094456	-0.182527149	0.0513020295	-0.0267862369	0.0483835339	-0.0045567291	0.0091733041	-0.0291596953	0.1204886645	-0.0118209431	0.0080470837	-0.0353543852	0.0713804197	-0.0400490046	0.0409647125	-0.0185090919	0.1180100637	-0.0231099584	0.0172822127	-0.0425806776	-0.0202018347	0.0272909228	0.0743500593	-0.0305962356	0.0277030932	0.0367099648	-0.0249486539	-0.0082069973	-0.0261803401	0.0657867131	-0.059418993	-0.0602857632	-0.0015327469	0.0865261907	-0.0795974348	0.0234552861	-0.0482527115	0.0594660705	-0.0116237556	0.0052468735	-0.0568198929	0.0384563457	-0.0508797713	0.025667039	-0.0779210633	0.0824427533	-0.000938836	0.012972465	-0.0875483674	0.0254454694	-0.0467930616	0.1109210274	-0.0048750797	0.0451268285	-0.1133236235	0.042071943	-0.0412084571	-0.0338612041	0.0643338997	0.0019860035	-0.031423768	-0.0373802062	0.0628774342	-0.0277483132	0.0500804999	0.0700346014	-0.0044175385	-0.0366249534	0.0528495847	-0.0572783906	0.0320747174	-0.0034998152	-0.0016618183	-0.0166732181	0.0658161211	0.0283866557	-0.0770969982	0.062028175	0.0336632587	-0.0156753416	-0.0260451768	0.0211800537	0.014428326	0.0219296432	-0.0445891598	0.0397378625	0.006187988	-0.0783343006	-0.0579247303	0.0356424791	0.0794090918	-0.047969551	-0.0776961119	0.0209105251	0.0174266512	0.0722623296	0.0722605064	0.0722574676	0.0722532135	0.072247744	0.0	0.0	-0.0102786	0.0029938999999999	0.00010564961796	8.963437209999994e-06	-0.0122635	-0.0993826999999999	0.00015039343225	0.0098769210592899	-0.02883	4.799999999999249e-06	0.0008311689	2.3039999999992796e-11	0.000244753	0.000244753	5.9904031009e-08	5.9904031009e-08	-0.0	0.0	0.0	0.0	0.000497002	-2.1723999999999984e-05	2.47010988004e-07	4.719321759999992e-10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
7023.916385643851	-17.340798360853114	49335401.39251618	300.70328779176606	17181.555118367658	-64.08292320720648	295205836.2855059	4106.621046780722	6612.441223501749	6.783737931561518	46.01910032410655	43724378.93426531	7957.211937782711	10435.94438492702	1.117893	34.607071	0.0658722	0.0500409	-0.0386310266	0.0747861514	-0.0860409902	0.0110961529	0.0130081253	0.114790983	-0.2304529876	-0.1472583447	0.208209169	-0.1065096843	-0.0502740576	-0.0585542865	0.0092825255	-0.0719774867	-0.0086259135	-0.0731183933	0.1484083501	-0.0475099092	0.0027503004	-0.0635617881	0.0158086927	-0.0266090889	-0.0200002591	0.0183475287	0.0207460468	0.0567905707	-0.1252033561	0.030951609	0.0076433651	0.0807364223	0.0378275083	0.0129269165	-0.1290754547	-0.058404731	-0.0580385616	-0.0576215854	-0.0042098382	-0.0073454291	-0.0892674942	0.0621829163	-0.0328405476	0.0265771529	-0.0141894455	0.0330343872	0.0194682705	0.0912435232	0.0503837936	-0.0892319076	-0.105416985	-0.004753862	0.016437942	-0.017847688	-0.0869078022	0.0199579744	-0.0928118417	-0.0217563366	0.0034212734	0.0123459856	0.0579722348	0.0055967681	-0.0817935397	0.056431807	-0.0128554845	-0.0301056981	0.0142021653	-0.0327738487	-0.0742599272	-0.0270963438	-0.0384945959	0.0682817001	-0.0031003253	0.0113066694	-0.0693106087	0.0445143004	-0.0313024653	-0.0145566012	-0.030277529	0.046479726	0.0041481044	0.0399724428	-0.0043050099	0.0432262073	-0.0049255807	-0.0847841886	-0.0438892526	0.0452167841	-0.0158974262	-0.0512725453	-0.0886547739	-0.0458326344	-0.0305654646	0.0037243453	0.0466478538	-0.0321190323	0.0091732541	0.0075213423	-0.0178792304	-0.0588316073	0.1437521359	-0.005172608	0.0186748203	-0.1100518063	-0.017926827	-0.0023488925	-0.025396862	-0.0066101307	0.0166489235	-0.0551104462	0.0266574204	-0.0015652969	0.0131437679	0.043933326	-0.022202262	0.0441123773	-0.1127309381	-0.0320377088	0.1014799469	-0.0149101151	-0.0522502982	0.0335390228	0.0524190088	-0.0156613317	0.0044952031	-0.0001659921	0.0189876863	0.0438549431	0.0342408939	-0.0510899067	-0.0693676374	-0.0561294298	-0.0300904904	-0.0327831985	0.0740029127	0.0652822712	-0.0083383993	-0.0531274257	-0.0649977296	0.0807916731	-0.1854194342	0.0254880111	-0.1914785447	0.1444852037	-0.170121514	0.0701074313	-0.0778240657	0.0162299054	0.0196618666	-0.0357910836	-0.0142872661	0.0505545244	0.0130351016	-0.0687918654	-0.0973161367	-0.0627412436	-0.0155763162	0.0107516265	0.0555288865	0.0129083815	-0.122871983	0.0170239992	0.0846853661	-0.0866007154	0.0152687387	-0.0478019404	-0.0580810211	-0.0214273104	0.0126602158	-0.0482587633	0.0562182856	-0.0180039086	0.0173708288	0.0285476546	-0.0269192218	-0.0091578483	0.0071255688	0.0286798732	-0.0004081771	0.0307953721	0.0188935664	-0.015369952	0.0184731937	0.0181272307	-0.0622372069	0.0356519423	-0.0450743206	-0.0570143495	0.0434374363	-0.0454755997	0.0306135967	-0.0559584182	0.0557858641	-0.0531216517	-0.0166630058	0.0568421212	-0.0422296444	0.0324602003	-0.0313509798	0.0294783801	-0.0103409583	-0.0751412072	-0.0347195379	-0.0083234584	-0.0401509413	-0.0058695224	-0.0483392446	-0.0927402438	-0.0154382409	0.0116537239	-0.0200739467	-0.0888292466	-0.009886261	0.0036834315	0.092988707	-0.0319391779	-0.0340396166	0.0035817986	0.0109139941	0.0051531529	0.0402356559	-0.0248354042	0.0316762153	-0.0116116527	0.0414687394	-0.0659170489	-0.047017183	0.0213878123	-0.0337575381	-0.0205638772	0.0372954887	-0.0766198507	0.0138315224	-0.1045351849	0.0453210249	-0.0170276667	-0.0708128665	-0.0401154014	0.0722574676	0.0722410593	0.0722137149	0.0721754384	0.0721262358	0.0	0.0	-0.0100092	0.0002694	0.00010018408464	7.257636000000067e-08	0.035686	0.0479495	0.001273490596	0.00229915455025	-0.0418645	-0.0130344999999999	0.0017526363602499	0.0001698981902499	0.000257378	1.2624999999999995e-05	1.5939062499999987e-10	6.6243434884e-08	6.5406e-05	6.5406e-05	4.2779448360000005e-09	4.2779448360000005e-09	0.000511347	1.4345000000000026e-05	2.61475754409e-07	2.0577902500000079e-10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
7015.792338917272	-8.124046726578854	49221342.142810285	66.00013521563659	17006.912550643716	-174.6425677239422	289235074.5052428	30500.02646121173	6607.946235717383	-4.494987784365549	20.204915181595503	43664953.454131536	7936.58469828186	10305.21050417108	1.144559	35.432579	0.02087747	0.0110206	-0.0381149759	-0.0022218853	0.0199121621	-0.0051706723	0.0404797493	0.0869850076	-0.1208410585	-0.0569707419	0.1289431935	-0.1182607155	0.0267227259	0.042453579	0.0067006774	-0.0783099808	0.0217337191	-0.0997064026	0.0421066785	-0.0069539735	-0.0178691705	-0.133414428	-0.0107157252	-0.0873798082	0.0074962359	-0.0474183597	0.042685545	0.0016169087	0.0266206091	-0.0108548893	-0.083817669	0.0592324407	0.0859912662	0.0014751409	-0.0148368981	-0.0186503269	0.0209300258	-0.0472760333	0.0028636846	0.032211421	-0.0592061658	0.0303255622	-0.0241264397	0.0239263343	0.0071854951	-0.0246435001	0.0174610462	-0.0180394549	-0.0061226215	0.0551625901	0.0749800166	-0.0329868149	-0.0018012736	0.0185335268	-0.0377115336	0.0161043541	0.0712284208	0.0486215356	-0.0408926128	0.0181633838	-0.0044407694	-0.0424043989	0.0327004344	0.1140405095	-0.0838425522	-0.0469624433	0.0011647951	-0.0209627559	0.0212494749	0.0201855283	-0.0376557766	-0.0093216276	0.0418300173	-0.082040693	-0.0626399689	0.0765188426	0.0179057115	-0.0484758791	0.0119339666	-0.1008263626	0.0037721915	0.0849384286	-0.0165793095	-0.092595017	-0.0517389667	0.0332936792	-0.03932092	-0.0384568816	0.1560972488	-0.0303938895	0.0396078977	0.0361448836	0.0402853726	0.0307260729	-0.0563432629	-0.0626813656	0.0268001751	0.0067506981	-0.0119774863	-0.1115701724	-0.0371014466	-0.1033145202	-0.0576358467	0.144569829	0.0035186422	0.0263556837	-0.0413178067	0.0366233422	-0.053898707	-0.0512919412	-0.0440175773	-0.0541137287	-0.0031182352	-0.0215016764	0.0270654551	0.0681705444	-0.0787027303	-0.0534663189	-0.0659739462	-0.0171012531	-0.0799035617	0.0201252377	0.1451498164	-0.0742184197	-0.0724438663	-0.0140417542	0.104190834	0.0360449135	-0.0688404645	0.0392388761	0.0179721385	0.0191223736	-0.0179669808	-0.0243305529	0.0403520503	0.0253151842	0.0161448313	-0.0694889393	-0.0543506916	0.0304647909	-0.1090070962	-0.0058148967	-0.105712449	0.0476973259	-0.0596538079	0.0615878746	-0.0536228211	-0.0415457047	0.0075392607	0.0193750801	0.0310503186	0.0253648463	0.0415365064	0.0587473015	0.0643660345	-0.0238412906	-0.0450593223	0.0002643431	0.0853363826	0.0328672026	0.0524098472	0.0401358856	-0.0790192229	-0.0223863807	0.0649296145	0.0483780345	-0.0844708575	0.0309094414	0.0537576509	-0.1047928503	-0.0367214035	-0.0515800902	-0.0831302854	0.034353454	0.0170349026	0.0458017869	-0.0367412874	-0.073523406	0.0579027623	0.0289662184	0.0467417615	0.0379717895	0.0151586362	0.0736489909	0.1167979991	0.0106979308	0.0257134393	0.0611594299	-0.0926622348	0.0584773629	-0.0144095261	-0.0218396005	-0.043788952	0.0176667063	-0.0560108931	-0.0175325617	0.0257193351	-0.0144778758	-0.0524831118	0.0037619921	0.0382313761	-0.0331170279	-0.0213000245	0.0070198033	-0.1049969966	-0.0600079745	0.1059572309	0.0780447801	-0.127392227	0.0401194497	0.0435899959	0.1081179225	0.0477425424	-0.0254217609	-0.0174676046	-0.114104053	-0.0544610655	-0.0476183624	0.0071229116	-0.06190587	-0.0868570807	0.006123706	0.0071937081	0.0209476298	0.0147290589	-0.000767297	0.0316300268	-0.0216991491	-0.071777781	0.0942100815	0.0900018698	0.0225449884	-0.047262958	-0.0091115413	0.0455891063	0.0404293672	-0.0174546961	-0.0439478286	0.072247744	0.0722021705	0.0721262358	0.072019972	0.0718834238	0.0	0.0	-0.00982253	0.0001866699999999	9.64820956009e-05	3.484568889999996e-08	0.0349335	-0.0007525	0.0012203494222499	5.662562500000048e-07	-0.0481638	-0.0062993	0.00231975163044	3.968118049000001e-05	0.000151036	-0.0001063419999999	1.1308620963999998e-08	2.2811873296000003e-08	0.000213419	0.000148013	4.5547669561e-08	2.1907848169e-08	0.000492922	-1.8424999999999974e-05	2.4297209808400004e-07	3.39480624999999e-10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
