global_signal	global_signal_derivative1	global_signal_derivative1_power2	global_signal_power2	csf	csf_derivative1	csf_power2	csf_derivative1_power2	white_matter	white_matter_derivative1	white_matter_power2	white_matter_derivative1_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	t_comp_cor_04	t_comp_cor_05	t_comp_cor_06	t_comp_cor_07	t_comp_cor_08	t_comp_cor_09	t_comp_cor_10	t_comp_cor_11	t_comp_cor_12	t_comp_cor_13	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	c_comp_cor_05	c_comp_cor_06	c_comp_cor_07	c_comp_cor_08	c_comp_cor_09	c_comp_cor_10	c_comp_cor_11	c_comp_cor_12	c_comp_cor_13	c_comp_cor_14	c_comp_cor_15	c_comp_cor_16	c_comp_cor_17	c_comp_cor_18	c_comp_cor_19	c_comp_cor_20	c_comp_cor_21	c_comp_cor_22	c_comp_cor_23	c_comp_cor_24	c_comp_cor_25	c_comp_cor_26	c_comp_cor_27	c_comp_cor_28	c_comp_cor_29	c_comp_cor_30	c_comp_cor_31	c_comp_cor_32	c_comp_cor_33	c_comp_cor_34	c_comp_cor_35	c_comp_cor_36	c_comp_cor_37	c_comp_cor_38	c_comp_cor_39	c_comp_cor_40	c_comp_cor_41	c_comp_cor_42	c_comp_cor_43	c_comp_cor_44	c_comp_cor_45	c_comp_cor_46	c_comp_cor_47	c_comp_cor_48	c_comp_cor_49	c_comp_cor_50	c_comp_cor_51	c_comp_cor_52	c_comp_cor_53	c_comp_cor_54	c_comp_cor_55	c_comp_cor_56	c_comp_cor_57	c_comp_cor_58	c_comp_cor_59	c_comp_cor_60	c_comp_cor_61	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	w_comp_cor_19	w_comp_cor_20	w_comp_cor_21	w_comp_cor_22	w_comp_cor_23	w_comp_cor_24	w_comp_cor_25	w_comp_cor_26	w_comp_cor_27	w_comp_cor_28	w_comp_cor_29	w_comp_cor_30	w_comp_cor_31	w_comp_cor_32	w_comp_cor_33	w_comp_cor_34	w_comp_cor_35	w_comp_cor_36	w_comp_cor_37	w_comp_cor_38	w_comp_cor_39	w_comp_cor_40	w_comp_cor_41	w_comp_cor_42	w_comp_cor_43	w_comp_cor_44	w_comp_cor_45	w_comp_cor_46	w_comp_cor_47	w_comp_cor_48	w_comp_cor_49	w_comp_cor_50	w_comp_cor_51	w_comp_cor_52	w_comp_cor_53	w_comp_cor_54	w_comp_cor_55	w_comp_cor_56	w_comp_cor_57	w_comp_cor_58	w_comp_cor_59	w_comp_cor_60	w_comp_cor_61	w_comp_cor_62	w_comp_cor_63	w_comp_cor_64	w_comp_cor_65	w_comp_cor_66	w_comp_cor_67	w_comp_cor_68	w_comp_cor_69	w_comp_cor_70	w_comp_cor_71	w_comp_cor_72	w_comp_cor_73	w_comp_cor_74	w_comp_cor_75	w_comp_cor_76	w_comp_cor_77	w_comp_cor_78	w_comp_cor_79	w_comp_cor_80	w_comp_cor_81	w_comp_cor_82	w_comp_cor_83	w_comp_cor_84	w_comp_cor_85	w_comp_cor_86	w_comp_cor_87	w_comp_cor_88	w_comp_cor_89	w_comp_cor_90	w_comp_cor_91	w_comp_cor_92	w_comp_cor_93	w_comp_cor_94	w_comp_cor_95	w_comp_cor_96	w_comp_cor_97	w_comp_cor_98	w_comp_cor_99	w_comp_cor_100	w_comp_cor_101	w_comp_cor_102	w_comp_cor_103	w_comp_cor_104	w_comp_cor_105	w_comp_cor_106	w_comp_cor_107	w_comp_cor_108	w_comp_cor_109	w_comp_cor_110	w_comp_cor_111	w_comp_cor_112	w_comp_cor_113	w_comp_cor_114	w_comp_cor_115	w_comp_cor_116	w_comp_cor_117	w_comp_cor_118	w_comp_cor_119	w_comp_cor_120	w_comp_cor_121	w_comp_cor_122	w_comp_cor_123	w_comp_cor_124	w_comp_cor_125	w_comp_cor_126	w_comp_cor_127	w_comp_cor_128	w_comp_cor_129	w_comp_cor_130	w_comp_cor_131	w_comp_cor_132	w_comp_cor_133	w_comp_cor_134	w_comp_cor_135	w_comp_cor_136	w_comp_cor_137	w_comp_cor_138	w_comp_cor_139	w_comp_cor_140	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	a_comp_cor_32	a_comp_cor_33	a_comp_cor_34	a_comp_cor_35	a_comp_cor_36	a_comp_cor_37	a_comp_cor_38	a_comp_cor_39	a_comp_cor_40	a_comp_cor_41	a_comp_cor_42	a_comp_cor_43	a_comp_cor_44	a_comp_cor_45	a_comp_cor_46	a_comp_cor_47	a_comp_cor_48	a_comp_cor_49	a_comp_cor_50	a_comp_cor_51	a_comp_cor_52	a_comp_cor_53	a_comp_cor_54	a_comp_cor_55	a_comp_cor_56	a_comp_cor_57	a_comp_cor_58	a_comp_cor_59	a_comp_cor_60	a_comp_cor_61	a_comp_cor_62	a_comp_cor_63	a_comp_cor_64	a_comp_cor_65	a_comp_cor_66	a_comp_cor_67	a_comp_cor_68	a_comp_cor_69	a_comp_cor_70	a_comp_cor_71	a_comp_cor_72	a_comp_cor_73	a_comp_cor_74	a_comp_cor_75	a_comp_cor_76	a_comp_cor_77	a_comp_cor_78	a_comp_cor_79	a_comp_cor_80	a_comp_cor_81	a_comp_cor_82	a_comp_cor_83	a_comp_cor_84	a_comp_cor_85	a_comp_cor_86	a_comp_cor_87	a_comp_cor_88	a_comp_cor_89	a_comp_cor_90	a_comp_cor_91	a_comp_cor_92	a_comp_cor_93	a_comp_cor_94	a_comp_cor_95	a_comp_cor_96	a_comp_cor_97	a_comp_cor_98	a_comp_cor_99	a_comp_cor_100	a_comp_cor_101	a_comp_cor_102	a_comp_cor_103	a_comp_cor_104	a_comp_cor_105	a_comp_cor_106	a_comp_cor_107	a_comp_cor_108	a_comp_cor_109	a_comp_cor_110	a_comp_cor_111	a_comp_cor_112	a_comp_cor_113	a_comp_cor_114	a_comp_cor_115	a_comp_cor_116	a_comp_cor_117	a_comp_cor_118	a_comp_cor_119	a_comp_cor_120	a_comp_cor_121	a_comp_cor_122	a_comp_cor_123	a_comp_cor_124	a_comp_cor_125	a_comp_cor_126	a_comp_cor_127	a_comp_cor_128	a_comp_cor_129	a_comp_cor_130	a_comp_cor_131	a_comp_cor_132	a_comp_cor_133	a_comp_cor_134	a_comp_cor_135	a_comp_cor_136	a_comp_cor_137	a_comp_cor_138	a_comp_cor_139	a_comp_cor_140	a_comp_cor_141	a_comp_cor_142	cosine00	cosine01	cosine02	cosine03	cosine04	non_steady_state_outlier00	non_steady_state_outlier01	trans_x	trans_x_derivative1	trans_x_power2	trans_x_derivative1_power2	trans_y	trans_y_derivative1	trans_y_power2	trans_y_derivative1_power2	trans_z	trans_z_derivative1	trans_z_power2	trans_z_derivative1_power2	rot_x	rot_x_derivative1	rot_x_derivative1_power2	rot_x_power2	rot_y	rot_y_derivative1	rot_y_power2	rot_y_derivative1_power2	rot_z	rot_z_derivative1	rot_z_power2	rot_z_derivative1_power2
4660.89726989543	n/a	n/a	21723963.360518675	11035.403613381994	n/a	121780132.91024436	n/a	4287.837299100884	n/a	18385548.70356076	n/a	5099.825439690155	9598.97130854531	n/a	n/a	n/a	n/a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	-0.0177725	n/a	0.00031586175625	n/a	-0.0320101	n/a	0.00102464650201	n/a	0.137111	n/a	0.018799426321	n/a	-0.00250434	n/a	n/a	6.2717188356e-06	-5.87328e-05	n/a	3.44954179584e-09	n/a	-0.000591617	n/a	3.50010674689e-07	n/a
4639.174539564545	-21.722730330885497	471.8770130283728	21521940.408543907	10915.36644979445	-120.03716358754356	119145224.7332983	14408.92064214269	4281.730921293334	-6.1063778075495065	18333219.682359464	37.28784992853312	5079.174876626024	9505.4747296627	1.211905	45.189102	0.1348671649999999	0.065123	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	-0.0364168	-0.0186443	0.00132618332224	0.0003476099224899	-0.0209876	0.0110225	0.0004404793537599	0.00012149550625	0.183621	0.0465099999999999	0.033716671641	0.0021631801	-0.00286462	-0.00036028	1.298016784000001e-07	8.2060477444e-06	-0.000259866	-0.0002011331999999	6.753033795599999e-08	4.0454564142239993e-08	2.07771e-05	0.0006123941	4.3168788441000006e-10	3.7502653371481e-07
4618.910142690466	-20.26439687407856	410.6457806701648	21334330.906248864	10758.982762700278	-156.38368709417227	115755710.0880817	24455.857589167983	4279.988729685529	-1.74219160780558	18318303.526235145	3.0352315983081923	5065.381221200887	9413.434744020493	1.186273	44.233345	0.0927182049999999	0.0441125	-0.0555862216	-0.0359107388	-0.0616910431	0.0307060513	-0.0375124275	0.0885652704	-0.0407944375	0.1954670242	-0.0569032951	0.1359426978	-0.1631678786	0.0755752601	-0.0347690634	0.049615806	0.1345859867	-0.0710117716	0.0567962069	-0.0190809428	0.0976863607	-0.3595521616	-0.2610929227	0.2085383897	-0.0853740431	0.0117683834	-0.0109404994	0.0811591264	-0.1763649344	0.0272199132	-0.0615510779	0.021296993	-0.0410301449	-0.0030228499	0.0729113644	-0.0409805152	0.0478255377	-0.0665974855	0.0343870066	-0.0971294857	0.0188660247	-0.0763786302	0.0004208091	0.0599158525	-0.051352817	0.0523633072	-0.0451928869	0.0734007813	-0.0330819449	0.0375503271	-0.0896149849	0.0732691981	-0.0171271199	0.0084801271	-0.0969554889	0.0040989358	-0.0164620281	0.094452161	-0.0173129534	0.0311979191	-0.0345940618	-0.0238682749	0.0611704073	-0.0099601148	-0.0343526823	0.0442882817	-0.040482747	-0.0187036319	-0.0166668629	0.0908003982	-0.0784279042	-0.0274826395	0.01801944	0.0367312077	0.0326376084	-0.0176928329	-0.0448205224	0.0229211401	0.0511963082	-0.0207772042	0.0233837745	-0.0775735855	-0.0128068312	0.0300365556	-0.0073366881	0.0043366243	-0.0909096219	0.0169529911	-0.0278047096	0.0580225501	-0.054620148	0.021423783	-0.0638580827	0.0592032936	-0.0254303813	0.0549854926	-0.0385190301	0.031457648	-0.0043236715	0.0065404299	-0.00070764	0.0462594042	0.0492006928	-0.0106004221	0.0054675908	-0.0210476027	0.0012544634	0.0174774078	-0.0365132784	0.0672475059	-0.062812449	0.0584986401	-0.0091695297	-0.040171426	0.0142832118	0.0353734266	-0.0033550066	-0.0347825422	0.0203444333	0.0150809572	-0.0552585986	-0.014700115	-0.035528778	0.0489877587	-0.0026581731	0.0648041064	-0.0001444559	0.0109798117	-0.0710085628	0.023049077	-0.0031789882	0.0759229596	-0.0188536739	0.001671192	-0.0053556751	0.0587946798	-0.0682131346	0.0430440605	-0.0374990537	0.0058665191	-0.032278013	0.0597840756	-0.0035562535	0.0281627698	-0.0725734543	0.0169559818	-0.0328673105	0.0575101398	-0.0113458834	0.0217075788	-0.0446490728	0.0656245211	-0.0490439753	0.0636688098	-0.0078714	0.024382937	0.0428949536	-0.0356759535	0.0333429026	0.0640813365	-0.0489466941	0.0461287109	0.0036922154	0.0174062738	-0.011893819	0.0440637635	-0.0430970155	0.0093686742	0.0221858846	-0.0123042001	-0.0438491818	0.0381884075	-0.0195610047	-0.068289244	0.0652725907	-0.0083575745	-0.0085208093	0.042594638	0.0033215221	-0.062769691	0.0476221638	0.0016216951	0.0463368882	-0.0163527141	0.0122181291	0.0085980252	0.0267511455	-0.0675972248	0.0218956518	-0.0182512074	-0.0408174186	0.0405274478	0.0481925793	-0.0447241833	-0.0421870078	-0.0223024952	0.101709158	-0.0944586175	-0.0266191366	0.043115715	0.0141226427	-0.0373635341	-0.0197525214	0.0955839961	-0.035417285	-0.0053964075	-0.0057459694	-0.0268738152	0.0313494975	-0.0378284848	-0.0157543979	-0.0158145364	-0.077516911	0.057279709	-0.0156534337	-0.0331425216	0.035571188	0.0770871648	-0.0075760524	-0.1530411805	-0.0565703312	0.1346523631	-0.1618965426	0.0099755857	-0.0345949147	0.1189909004	-0.078487913	0.0127030614	-0.1003458792	0.1717486311	-0.0924873566	0.0991713621	0.0893103711	-0.0520268543	0.0253982246	-0.079103498	0.0009050078	-0.0141546374	0.0339773915	-0.0323956535	0.0008734217	-0.0567360053	0.0356981078	-0.0174472534	0.051905115	-0.0055932348	0.0021157118	-0.0070815478	0.0237152583	-0.0250984809	0.0160517627	0.0009760441	-0.0207204972	0.0382424974	0.0097950769	-0.0405716319	0.0571948143	0.0378385168	-0.0263260064	-0.0383041886	-0.029226076	0.0453568403	-0.013488184	-0.0078004851	-0.0321217313	0.0056166694	0.0456127446	0.0624990702	-0.0041214041	0.0755947667	-0.0260984556	0.0133453537	-0.0755988184	0.0124337092	-0.0300072571	0.0005009483	-0.0478495214	0.059941695	-0.0528277029	0.0405063984	-0.0010956598	0.0483262978	-0.0547046789	0.0037198878	-0.0371293118	0.0060830731	-0.0613670017	0.0601980127	-0.0341895901	0.0126050364	-0.0227562842	0.0194079349	0.0681008878	-0.003767608	0.1275658942	-0.0721063725	-0.0182820806	0.0194287109	-0.0665652316	0.0496663342	-0.0591682389	0.0707018488	-0.0193543381	-0.0271953992	0.0532700183	-0.0469590527	-0.0017566757	-0.0096535539	0.0462777388	-0.0787574418	-0.0079558294	0.0230363383	-0.0229775048	-0.0382675122	0.0521294462	0.0171936497	-0.052941395	0.0169810688	0.0048648539	0.0752621516	-0.0225087251	0.0255926843	-0.0065243859	-0.0247117138	-0.00262458	0.1041929399	-0.0754712312	0.017022975	0.0370904664	-0.0381593401	-0.0082537322	-0.0129813297	0.0307407679	0.0127115294	-0.1011051891	-0.0878661956	0.0294591425	0.0031213204	-0.030424892	0.0860281482	0.0006304106	0.0322883935	-0.0794670972	-0.0137154473	0.0396559904	0.0221062587	0.0109302345	-0.0331520861	0.0307154464	0.0016292615	0.0200292418	0.0542095091	-0.0543484804	-0.0590783495	0.0454413943	-0.0037994578	-0.0196327735	-0.0185674946	0.0654750874	-0.0060268775	-0.0333126645	0.0223110155	0.0631191313	0.0631182043	0.0631166593	0.0631144963	0.0631117153	0.0	0.0	-0.0224185	0.0139982999999999	0.00050258914225	0.0001959524028899	-0.00893605	0.01205155	7.985298960249998e-05	0.0001452398574025	0.183685	6.399999999998074e-05	0.0337401792249999	4.095999999997535e-09	-0.00324237	-0.00037775	1.4269506250000006e-07	1.05129632169e-05	1.31348e-22	0.000259866	1.7252297104e-44	6.753033795599999e-08	-0.000673694	-0.0006944710999999	4.5386360563600005e-07	4.822901087352099e-07
4610.476553895815	-8.43358879465086	71.12541995726053	21256494.054023035	10692.802652669645	-66.18011003063293	114336028.568939	4379.806963666681	4276.190486375228	-3.798243310300677	18285805.07576601	14.426652244243844	5055.002933835521	9354.549816431176	1.106658	41.264698	0.0505310499999999	0.0330217	-0.000246343	-0.0654643319	-0.0112526544	0.0573114683	0.0343064465	0.0757960603	-0.0304257004	0.2214080499	-0.026828601	0.0325072525	-0.1907107783	0.0039632049	-0.0227995017	0.0097087707	0.0896964112	-0.1333338557	0.043301139	-0.0521312865	0.0867636411	-0.3226323024	-0.2179845681	0.1078341278	-0.0971120346	-0.0014252436	0.0482681511	0.0525989185	-0.1459354772	0.0117280395	0.055576386	0.0487539317	-0.0096280583	-0.0037736599	0.0095614619	-0.0149802492	-0.027120984	-0.0477313155	0.0314311382	0.0279815766	0.0399833878	0.0365039696	0.0636930039	-0.0217093019	-0.0193437449	0.0004312713	0.0190003731	0.0134735235	0.0949899183	0.0581406014	0.0319616956	0.0300183131	-0.0693980626	0.0151619295	0.0518892799	0.0414373758	-0.0018732752	-0.0613678503	-0.0107432408	-0.0638357678	0.1347575834	-0.0085720858	-0.025096767	0.0172886831	0.0724560262	-0.0021300079	0.0211418748	-0.0678135491	-0.0065669198	-0.0093241237	0.003674747	-0.0308086605	-0.0010006619	0.0613150134	0.0146835039	-0.0042108587	-0.0282099058	0.0065914685	0.0091723907	-0.0647621197	0.0636764101	-0.0991062503	-0.037905617	-0.0200738267	-0.0363194451	0.0426657532	-0.0260125233	-0.0746350221	-0.0151152678	0.1251156368	-0.08438809	-0.008913099	-0.1016322399	0.0597778716	-0.0120275633	-0.0315999632	-0.0194022393	0.0249041415	-0.0442603243	0.0733978012	0.0345216868	0.088670864	-0.0442435339	0.0079388057	-0.0053517566	0.0398101611	0.0164358973	-0.0198258879	-0.0742895749	0.0399210332	-0.0128067824	0.0632941006	-0.0035051171	-0.0245540619	-0.0524897852	0.0083627238	0.0075677476	0.0157240691	0.0250756469	0.0738234727	-0.054318466	0.0045098636	-0.0692357379	-0.0426451581	0.0024606092	0.0707013781	-0.006273469	-0.0786750767	0.033181133	-0.003859356	0.0340553792	0.0350271418	0.076876239	0.0186746008	0.0402158631	-0.0494580947	-0.0619331581	-0.0854874448	0.0025416132	-0.049021459	-0.0364468089	0.0273164555	0.0215167406	0.0816337455	0.0185683653	0.0184589233	0.0103128594	0.0610267372	-0.0278362059	0.06918535	-0.0244347368	-0.0060105177	-0.0758128303	0.0023545806	-0.0150121583	0.0413053031	-0.1070121766	-0.0355804691	-0.0136157454	-0.0015260809	-0.0443010844	0.0285470292	-0.0561001105	0.0170521451	-0.0744958533	-0.0480108092	-0.0036575808	0.0544212574	-0.0945531743	0.0411015824	0.0306639671	-0.1153135719	0.0235776742	-0.0056473532	0.0067459853	-0.0250100655	0.0248860107	-0.0616604983	-0.0263860232	0.020571282	0.1010383972	0.0017637422	-0.0304731277	0.0263092315	0.0351105091	-0.0072563313	0.051425766	-0.0083545527	0.0302624172	-0.036275921	-0.0353141456	0.0107339514	-0.075853966	0.0425364232	0.0147022773	-0.0195984806	0.0198857399	-0.0300918918	0.0242808793	-0.0039598189	0.0684358098	0.0605274947	0.0420107126	0.0016462975	-0.0545767023	0.0108388932	-0.0680641647	-0.0672565338	0.0480566249	-0.0539168368	-0.0542880237	-0.0632172717	0.0120315499	-0.0045634484	-0.0156061688	0.0196195521	-0.0877857362	-0.0647946518	0.0694059032	-0.1469086587	-0.0680248691	0.2151223546	-0.1542646166	-0.0378362513	-0.0350694032	0.0870100348	-0.0506977224	0.0379504838	-0.0720863856	0.1631853691	-0.1035633389	-0.0016332782	0.0995763801	-0.0331845033	0.0696892275	0.0319234535	-0.0212729687	-0.0928383577	-0.0536208033	-0.0141862218	-0.0078151872	-0.0353495867	-0.0157419015	0.0068417436	0.0433608658	-0.0205540919	0.0398794543	-0.044735525	-0.015952069	0.0091447821	-0.0354041585	-0.0606699757	-0.0241733249	0.0580987251	0.0523081475	0.0072298415	0.1410650354	0.0266839413	0.0247185069	0.0145375146	0.0031816703	-0.0299633025	0.0098212114	0.0284027932	0.0463922485	-0.0553294096	0.0065721267	0.0102147556	0.007294554	-0.0199698336	-0.0195685705	0.000861948	-0.0955133398	-0.062027119	0.0090550323	-0.0570682306	0.0079833387	-0.0101314344	0.036310781	-0.0781038974	-0.0139355998	0.0418849491	0.0173685943	-0.0327438189	0.0269100777	0.0436658058	-0.0521340972	0.025057275	0.0737469201	0.0749959145	-0.0050658828	-0.0213436489	0.0352105095	-0.0611235639	0.034285014	-0.0265550959	0.0062424673	0.0080152034	-0.0113967244	-0.0165512287	0.0128276034	-0.0289551715	-0.0549860142	-0.0393958151	0.0091688961	0.0057777878	0.0225270514	0.0261202488	0.0654915336	0.0594825339	0.1067286091	-0.0409155494	0.0606574381	-0.0137808377	-0.0502556876	-0.0708142567	-0.0641115052	0.0222376134	0.0240220784	-0.0255500271	-0.057224887	-0.0407370387	0.0087681916	0.0218736761	0.0713588786	-0.0599259936	0.0070869551	0.0558443608	-0.0245110851	0.0371590313	-0.0126838854	-0.0200976867	-0.0575116764	-0.0278344347	-0.0105409292	0.0477004831	-0.0322103896	-0.0326628313	-0.0012002584	0.0291856438	0.0120266709	0.0807203609	0.062477861	0.0692734349	-0.0039972362	0.0284372978	0.0025733247	0.0004887545	-0.010065892	-0.0104545056	-0.0019655563	-0.0074977628	-0.0255180359	-0.0076178864	-0.1169818048	0.099594178	-0.0444363101	-0.0249339619	0.0059939792	0.0025853455	-0.0624329793	0.0211171193	0.0631166593	0.0631083165	0.0630944126	0.0630749488	0.063049927	0.0	0.0	-0.0224566	-3.8099999999999246e-05	0.00050429888356	1.4516099999999422e-09	-0.0310497	-0.02211365	0.00096408387009	0.0004890135163224	0.161005	-0.0226799999999999	0.025922610025	0.0005143823999999	-0.00313197	0.0001104	1.2188160000000018e-08	9.8092360809e-06	4.23516e-22	2.92168e-22	1.7936580225599999e-43	8.536214022400002e-44	-0.00067728	-3.586000000000084e-06	4.587081984000001e-07	1.28593960000006e-11
