global_signal	global_signal_derivative1	global_signal_power2	global_signal_derivative1_power2	csf	csf_derivative1	csf_derivative1_power2	csf_power2	white_matter	white_matter_derivative1	white_matter_derivative1_power2	white_matter_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	t_comp_cor_04	t_comp_cor_05	t_comp_cor_06	t_comp_cor_07	t_comp_cor_08	t_comp_cor_09	t_comp_cor_10	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	c_comp_cor_05	c_comp_cor_06	c_comp_cor_07	c_comp_cor_08	c_comp_cor_09	c_comp_cor_10	c_comp_cor_11	c_comp_cor_12	c_comp_cor_13	c_comp_cor_14	c_comp_cor_15	c_comp_cor_16	c_comp_cor_17	c_comp_cor_18	c_comp_cor_19	c_comp_cor_20	c_comp_cor_21	c_comp_cor_22	c_comp_cor_23	c_comp_cor_24	c_comp_cor_25	c_comp_cor_26	c_comp_cor_27	c_comp_cor_28	c_comp_cor_29	c_comp_cor_30	c_comp_cor_31	c_comp_cor_32	c_comp_cor_33	c_comp_cor_34	c_comp_cor_35	c_comp_cor_36	c_comp_cor_37	c_comp_cor_38	c_comp_cor_39	c_comp_cor_40	c_comp_cor_41	c_comp_cor_42	c_comp_cor_43	c_comp_cor_44	c_comp_cor_45	c_comp_cor_46	c_comp_cor_47	c_comp_cor_48	c_comp_cor_49	c_comp_cor_50	c_comp_cor_51	c_comp_cor_52	c_comp_cor_53	c_comp_cor_54	c_comp_cor_55	c_comp_cor_56	c_comp_cor_57	c_comp_cor_58	c_comp_cor_59	c_comp_cor_60	c_comp_cor_61	c_comp_cor_62	c_comp_cor_63	c_comp_cor_64	c_comp_cor_65	c_comp_cor_66	c_comp_cor_67	c_comp_cor_68	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	w_comp_cor_19	w_comp_cor_20	w_comp_cor_21	w_comp_cor_22	w_comp_cor_23	w_comp_cor_24	w_comp_cor_25	w_comp_cor_26	w_comp_cor_27	w_comp_cor_28	w_comp_cor_29	w_comp_cor_30	w_comp_cor_31	w_comp_cor_32	w_comp_cor_33	w_comp_cor_34	w_comp_cor_35	w_comp_cor_36	w_comp_cor_37	w_comp_cor_38	w_comp_cor_39	w_comp_cor_40	w_comp_cor_41	w_comp_cor_42	w_comp_cor_43	w_comp_cor_44	w_comp_cor_45	w_comp_cor_46	w_comp_cor_47	w_comp_cor_48	w_comp_cor_49	w_comp_cor_50	w_comp_cor_51	w_comp_cor_52	w_comp_cor_53	w_comp_cor_54	w_comp_cor_55	w_comp_cor_56	w_comp_cor_57	w_comp_cor_58	w_comp_cor_59	w_comp_cor_60	w_comp_cor_61	w_comp_cor_62	w_comp_cor_63	w_comp_cor_64	w_comp_cor_65	w_comp_cor_66	w_comp_cor_67	w_comp_cor_68	w_comp_cor_69	w_comp_cor_70	w_comp_cor_71	w_comp_cor_72	w_comp_cor_73	w_comp_cor_74	w_comp_cor_75	w_comp_cor_76	w_comp_cor_77	w_comp_cor_78	w_comp_cor_79	w_comp_cor_80	w_comp_cor_81	w_comp_cor_82	w_comp_cor_83	w_comp_cor_84	w_comp_cor_85	w_comp_cor_86	w_comp_cor_87	w_comp_cor_88	w_comp_cor_89	w_comp_cor_90	w_comp_cor_91	w_comp_cor_92	w_comp_cor_93	w_comp_cor_94	w_comp_cor_95	w_comp_cor_96	w_comp_cor_97	w_comp_cor_98	w_comp_cor_99	w_comp_cor_100	w_comp_cor_101	w_comp_cor_102	w_comp_cor_103	w_comp_cor_104	w_comp_cor_105	w_comp_cor_106	w_comp_cor_107	w_comp_cor_108	w_comp_cor_109	w_comp_cor_110	w_comp_cor_111	w_comp_cor_112	w_comp_cor_113	w_comp_cor_114	w_comp_cor_115	w_comp_cor_116	w_comp_cor_117	w_comp_cor_118	w_comp_cor_119	w_comp_cor_120	w_comp_cor_121	w_comp_cor_122	w_comp_cor_123	w_comp_cor_124	w_comp_cor_125	w_comp_cor_126	w_comp_cor_127	w_comp_cor_128	w_comp_cor_129	w_comp_cor_130	w_comp_cor_131	w_comp_cor_132	w_comp_cor_133	w_comp_cor_134	w_comp_cor_135	w_comp_cor_136	w_comp_cor_137	w_comp_cor_138	w_comp_cor_139	w_comp_cor_140	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	a_comp_cor_32	a_comp_cor_33	a_comp_cor_34	a_comp_cor_35	a_comp_cor_36	a_comp_cor_37	a_comp_cor_38	a_comp_cor_39	a_comp_cor_40	a_comp_cor_41	a_comp_cor_42	a_comp_cor_43	a_comp_cor_44	a_comp_cor_45	a_comp_cor_46	a_comp_cor_47	a_comp_cor_48	a_comp_cor_49	a_comp_cor_50	a_comp_cor_51	a_comp_cor_52	a_comp_cor_53	a_comp_cor_54	a_comp_cor_55	a_comp_cor_56	a_comp_cor_57	a_comp_cor_58	a_comp_cor_59	a_comp_cor_60	a_comp_cor_61	a_comp_cor_62	a_comp_cor_63	a_comp_cor_64	a_comp_cor_65	a_comp_cor_66	a_comp_cor_67	a_comp_cor_68	a_comp_cor_69	a_comp_cor_70	a_comp_cor_71	a_comp_cor_72	a_comp_cor_73	a_comp_cor_74	a_comp_cor_75	a_comp_cor_76	a_comp_cor_77	a_comp_cor_78	a_comp_cor_79	a_comp_cor_80	a_comp_cor_81	a_comp_cor_82	a_comp_cor_83	a_comp_cor_84	a_comp_cor_85	a_comp_cor_86	a_comp_cor_87	a_comp_cor_88	a_comp_cor_89	a_comp_cor_90	a_comp_cor_91	a_comp_cor_92	a_comp_cor_93	a_comp_cor_94	a_comp_cor_95	a_comp_cor_96	a_comp_cor_97	a_comp_cor_98	a_comp_cor_99	a_comp_cor_100	a_comp_cor_101	a_comp_cor_102	a_comp_cor_103	a_comp_cor_104	a_comp_cor_105	a_comp_cor_106	a_comp_cor_107	a_comp_cor_108	a_comp_cor_109	a_comp_cor_110	a_comp_cor_111	a_comp_cor_112	a_comp_cor_113	a_comp_cor_114	a_comp_cor_115	a_comp_cor_116	a_comp_cor_117	a_comp_cor_118	a_comp_cor_119	a_comp_cor_120	a_comp_cor_121	a_comp_cor_122	a_comp_cor_123	a_comp_cor_124	a_comp_cor_125	a_comp_cor_126	a_comp_cor_127	a_comp_cor_128	a_comp_cor_129	a_comp_cor_130	a_comp_cor_131	a_comp_cor_132	a_comp_cor_133	a_comp_cor_134	a_comp_cor_135	a_comp_cor_136	a_comp_cor_137	a_comp_cor_138	a_comp_cor_139	a_comp_cor_140	a_comp_cor_141	a_comp_cor_142	cosine00	cosine01	cosine02	cosine03	cosine04	non_steady_state_outlier00	trans_x	trans_x_derivative1	trans_x_derivative1_power2	trans_x_power2	trans_y	trans_y_derivative1	trans_y_power2	trans_y_derivative1_power2	trans_z	trans_z_derivative1	trans_z_power2	trans_z_derivative1_power2	rot_x	rot_x_derivative1	rot_x_power2	rot_x_derivative1_power2	rot_y	rot_y_derivative1	rot_y_derivative1_power2	rot_y_power2	rot_z	rot_z_derivative1	rot_z_power2	rot_z_derivative1_power2
4627.513578487902	n/a	21413881.91908991	n/a	11730.48858560672	n/a	n/a	137604362.45704952	4294.697347568843	n/a	n/a	18444425.30721485	5332.240960760727	8486.486193426044	n/a	n/a	n/a	n/a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	-0.0336426	n/a	n/a	0.00113182453476	0.0527587	n/a	0.00278348042569	n/a	0.292494	n/a	0.0855527400359999	n/a	-0.000135766	n/a	1.8432406756e-08	n/a	-0.00110549	n/a	n/a	1.2221081401e-06	0.000556076	n/a	3.09220517776e-07	n/a
4602.08430124996	-25.429277237942188	21179179.915811334	646.6481408441247	11523.121285713454	-207.36729989326523	43001.1970650234	132782324.16526248	4285.0557547210055	-9.641592847837272	92.96031264346686	18361702.821067605	5295.686696761176	8310.757641363029	1.182376	44.719273	0.0457918499999999	0.0304925	-0.0151603646	-0.0471286673	-0.0116414404	0.046769067	-0.0495485901	0.0279797753	-0.0786614029	0.1355878467	-0.0531027358	0.0233522621	-0.0755863284	0.0438269851	-0.1469545414	0.4419817392	-0.0759468064	0.1652974619	-0.0155795299	0.1328571612	-0.0847813501	0.0569410916	-0.0785864888	0.1786953554	-0.0792841593	0.0255471052	-0.0792757692	0.0213835034	0.0189708953	-0.0032117452	0.0602728799	-0.0688259107	0.087863519	-0.01001251	0.0897778702	-0.0593990593	0.0746193321	-0.023620374	0.0840388575	0.0064448386	0.0273238538	-0.0235261733	0.0181158776	-0.0543202346	0.0826449142	-0.1276966522	0.0527085518	-0.0533323966	0.0380594718	-0.0063302743	0.0236211789	-0.0563606914	0.0496558014	-0.0562185162	0.0052453085	-0.095866572	0.0008231016	0.0011551955	0.0518349629	-0.0555263001	0.0209757909	-0.0304107959	-0.0024793219	-0.0809926415	0.0536810574	-0.0036170429	-0.0466450161	-0.0453917599	0.0407326059	-0.0670137003	-0.0332130256	0.0390900098	0.0159607631	0.004781544	0.0066802979	-0.0117249121	-0.0576225695	0.0413333753	0.0239418943	-0.0399734511	-0.0221903402	-0.0312823416	0.0413564756	-0.0038446651	0.0165497231	-0.0548583195	0.0193939817	-0.0199638927	0.0397487957	-0.0141312775	0.0041662807	-0.0220086174	0.0473682493	-0.0205375107	0.0269582326	-0.0059900175	0.0324859028	-0.0858437563	0.0456429916	-0.0546633828	0.0052809036	-0.0641007703	0.0173795733	-0.0307709281	0.0224073185	-0.0661153931	0.0185276247	-0.0030691295	0.000160211	0.001247608	-0.0218068983	-0.0064590687	0.0344855666	-0.0497280259	0.0252099767	-0.030029319	0.0092671622	0.0059488047	0.0551708131	-0.0045628459	-0.0550316404	0.0155257383	0.005200952	-0.0485959284	-0.0388044009	0.0815358509	0.0665508797	-0.0515540227	-0.0436554701	0.0314974366	0.050113047	-0.0383095977	0.037205301	-0.0124250394	0.0300137759	-0.027263146	0.0243300412	-0.0214505025	0.0009924176	-0.0665312508	0.0656886142	-0.0332194045	0.0606146555	-0.0884580675	0.027458608	-0.0317799062	0.0391598051	-0.0278889206	0.0017676239	-0.0059539543	0.0555573878	-0.0232450628	4.86622e-05	0.0264487676	-0.0505927713	0.0076635636	-0.0091199662	0.0544182409	-0.0121461435	0.0274431532	0.0285294349	-0.0111533609	0.0442271949	-0.0063438352	-0.0052609637	0.0276288328	-0.0087504878	0.0562385208	-0.0471288321	0.0872818394	0.008920703	-0.0253774033	0.0459851122	0.0022567594	-0.0689616023	0.0913200702	0.0006032412	-0.0695600822	-0.0019104484	0.0526117978	-0.0261934832	-0.0267034216	0.0721060174	-0.0595216374	-0.0317530225	0.0485421883	-0.0103856491	-0.0580469149	0.0762947663	0.0334600802	-0.0032219764	-0.026345846	0.0133238988	0.0023484102	0.0106989527	-0.0176613256	0.0018190764	0.0196616196	-0.0462103743	-0.0126482915	-0.0559909465	0.0819612695	-0.0209993171	-0.0191225973	-0.0618887646	0.0686589696	-0.0082774447	-0.0364772024	0.0142781179	0.0127877025	-0.0380694262	-0.0252665958	0.0220807153	0.0024298648	0.1354232741	-0.03697496	-0.0291895681	0.0058046663	0.051710154	0.0580447025	-0.0295029786	-0.042465984	0.000871318	0.0030629294	-0.2516002086	0.0374781661	0.0858847823	-0.0238605332	0.0036968151	-0.290306346	0.1735010666	-0.0566032699	0.043463768	-0.0182171889	0.0149683382	-0.027367139	0.0367036614	-0.0607763425	0.0803968349	0.0067992883	-0.007512039	0.0518059212	-0.0845195567	0.0764320913	-0.0295861494	0.0039493012	-0.0554894421	0.1207497351	-0.0240161914	0.0573605682	-0.0416095921	0.0299882778	-0.0269122121	0.0309663872	-0.0544691748	-0.0252460551	0.0376567649	-0.0112479197	-0.0082928158	-0.0118329093	0.0665822399	-0.0093221119	-0.0206059098	0.0371866634	0.0990743675	-0.0107539685	-0.0527036012	0.0050908309	0.0438587205	0.0226418868	-0.1068262002	0.0924730715	-0.013555518	0.0496284977	-0.0257460394	0.0249402768	-0.051878969	0.0228472736	-0.0157399179	0.0509579745	-0.0209248496	0.02730074	-0.0086197563	0.0166134613	-0.005815705	0.0207371766	-0.0328793541	0.0443861807	-0.0105338732	0.0060098216	-0.0105992971	0.0612209864	-0.0120680914	0.0382506865	-0.0160813793	0.0496492962	-0.0965191514	0.0058735306	-0.016865219	-0.0046722326	0.0319549469	-0.0665095502	0.01911654	-0.0331837364	0.0459733143	-0.0048355715	-0.0579999709	0.0013944826	0.0621581656	-0.0076219153	-0.0054435978	0.0046919442	0.0159576601	-0.0280635297	0.0190235065	0.0199881886	-0.0244519452	-0.0134725362	0.0128992623	-0.0101523361	0.0191495694	0.0505398117	-0.0269336726	0.0614996986	0.0088556018	-0.0877216296	0.0449365631	0.0475407369	-0.0306157985	-0.0661238112	0.0134536231	0.0440451789	-0.0387526389	-0.036862085	0.0304706918	-0.0040682858	-0.0256344338	-0.0095346219	0.0499852737	-0.0608393114	-0.0062709789	0.0966412171	0.0125999792	-0.0282888158	-0.0473192865	0.0040425802	0.0237733375	0.0148427365	-0.0672103599	0.0386475939	0.0134596724	0.001410774	0.0027538169	0.0737305172	-0.0028670479	-0.0150780425	0.0079202958	0.0114980306	0.0041403697	-0.0275619928	0.0299238283	0.0424455757	0.029011583	-0.0531838442	0.0282389807	0.0083926958	0.0630563586	0.0630554362	0.0630538989	0.0630517466	0.0630489795	0.0	-0.0337702	-0.0001275999999999	1.6281759999999632e-08	0.00114042640804	0.0515325	-0.0012261999999999	0.00265559855625	1.503566439999992e-06	0.262337	-0.0301569999999999	0.068820701569	0.0009094446489999	-0.000262033	-0.000126267	6.8661293089e-08	1.5943355289000002e-08	-0.00110738	-1.8900000000000516e-06	3.572100000000194e-12	1.2262904644e-06	0.000398612	-0.0001574639999999	1.5889152654400002e-07	2.4794911295999987e-08
4595.439521129393	-6.644780120566793	21118064.392357945	44.153102850679645	11422.50983824834	-100.6114474651149	10122.663361025578	130473731.0048801	4278.325459613912	-6.730295107093298	45.296872228563984	18304068.738380592	5271.39629693105	8275.754487318423	1.105101	41.796638	0.0652037999999999	0.0388313	0.0323294647	-0.0643776055	-0.0574493334	-0.0100286699	-0.0271012841	0.0156759477	-0.0613872867	0.0377316913	-0.0726570157	0.0252831421	-0.0180880439	0.0256084572	-0.1126654695	0.3923007464	-0.1133944842	0.0777063018	-0.0389428639	0.1283206124	-0.0094250423	0.0158566738	-0.0895897599	0.0272618183	-0.0360890439	0.0702274588	0.0070938286	0.0318283217	0.0400682133	0.035527761	-0.0758640411	0.0507530104	-0.0148476579	-0.034530601	-0.0114378157	-0.0139402236	-0.007673188	0.004271972	-0.1123822755	0.0233770187	0.0257187911	0.012098487	0.0114077244	0.0313728815	-0.1027758933	0.0702579259	-0.1065465927	0.0694778276	0.0080959806	0.0607894628	-0.0007125766	0.0482209729	0.0033828592	-0.0206495555	-0.0415148415	0.0018462159	-0.0085041724	-0.0329552787	-0.0564618472	0.0082088013	0.0173453437	-0.0722555472	0.0462974484	0.0433567419	-0.0093727906	-0.0398604597	-0.033456613	0.0050187195	-0.0467680928	0.0586930143	0.0451929193	-0.0759980272	0.0018960881	-0.1311811906	-0.0573756244	0.0447574775	0.0602986836	0.0446730283	0.0318743986	-0.0308985199	0.0039642297	0.0122678566	-0.0024468612	0.0271507709	0.0621507205	-0.0086875135	-0.0226641017	0.0264691213	-0.000137121	0.0023722953	0.0634947152	-0.0828436599	-0.0494201042	-0.0099575585	0.0495110002	0.0341883333	-0.0185245592	-0.0553723119	-0.0338886673	-0.0187970735	-0.0361316914	-0.0026061704	-0.0459010444	-0.0262162957	0.0567678501	0.0118785917	-0.0035486195	-0.0019316712	-0.0280588766	0.0146909538	0.0273881963	-0.0568650924	0.0181892326	-0.0199363632	0.013325464	-0.0139650132	-0.0275039916	-0.0053679137	0.015333773	0.0085773353	0.0087789806	0.0175845184	-0.0295050591	0.0207912535	-0.0421391424	0.0447724494	0.01611945	0.0296369802	-0.0097251495	0.0119510505	0.0684722777	0.0747182044	-0.0112164578	-0.051643483	0.0292203288	-0.0443726388	-0.0578233383	0.0215034411	-0.045616967	0.0382015429	0.058975136	-0.0590960193	-0.0144196522	-0.0639070444	-0.0034960003	-0.0215801867	0.0184965671	0.0412203605	0.0412859647	-0.0327884199	0.0188361225	-0.0616056387	0.0747737199	-0.0245828221	0.0566883641	-0.0219746135	-0.0459893622	0.038386171	-0.0001814766	0.0148912616	-0.0415173886	0.0065948863	0.0888890742	-0.0099005488	-0.0319923309	0.0203179217	0.0031792218	0.0685937357	-0.0025914261	0.0432739652	-0.0491057687	0.0227389822	0.0099100444	-0.0249497612	0.013927197	0.0552221329	0.0196294918	0.004740677	0.0863131123	0.0103910462	0.0949178909	0.0692256089	-0.0270406471	-0.0521284722	-0.0210058031	-0.0419580038	0.0116862281	0.0012384459	0.1382628656	0.0290677362	0.0110687776	-0.0695971397	-0.0106980384	-0.0216513619	0.0872690862	-0.0011555557	0.0813397226	-0.0048253891	0.0143277823	-0.0037278744	-0.0547062296	0.0330142278	0.1221415921	0.0227492949	0.0137717136	0.0682531726	0.0312562755	-0.022741875	0.0135696871	-0.0691793909	0.009985507	-0.0251891619	-0.0401833603	-0.0797609579	0.0456050047	-0.0150946494	-0.0406057484	-0.038527959	-0.0012734183	0.0013139267	-0.1171286177	-0.0409885921	0.0465171331	-0.0297861856	-0.1983500909	0.0110588929	0.0952195946	-0.0374196335	-0.046647776	-0.240271316	0.1710368524	-0.0195270848	0.073798097	0.0617206017	0.0208951735	-0.0103085477	-0.0152145877	-0.0447426864	0.0004846037	0.0241761282	-0.0564548251	0.0603529532	0.054682241	0.0623010252	0.0480595867	-0.0183885488	-0.0660242446	-0.0045094157	0.0148277627	0.0069852585	-0.0637990791	0.0552023172	0.0139721849	0.0338799813	-0.0106545389	-0.0456200721	0.0149439957	0.0173210628	-0.0205318672	-0.0263115801	0.0004658652	0.0105914171	0.0330031601	0.0113945331	0.045045661	-0.0433496282	-0.0290855888	-0.0271403995	-0.0112242937	0.0198963645	-0.0199501742	-0.022717714	-0.0137408821	0.0188959619	0.0854049995	-0.0060252182	-0.0927424248	-0.0266101444	0.0580334442	0.039517696	-0.0190799257	0.0271807905	-0.0370764964	-0.0210904788	0.0580884394	0.011957287	0.0118547367	0.0111326156	-0.0028991543	0.0458892097	0.0220073711	0.0165433502	-0.0118242612	-0.0318682097	0.0481546582	-0.0398824618	0.027056182	0.0046284651	-0.0240454958	0.0287487263	2.16906e-05	-0.0513760416	-0.0431939079	0.0067132098	0.0749827574	0.018880739	-0.0117723113	-0.0330717817	-0.0585297634	0.0489921032	-0.0335104106	-0.0388611092	0.0054909117	-0.0101114039	-0.0085569297	-0.0071926257	-0.0826505607	-0.0092101104	-0.0284849026	0.0130421712	-0.0017919418	0.0176012946	0.0038003201	0.081145776	0.0326161478	0.0258343647	-0.0532933079	0.0069186736	-0.0489895554	-0.0554518206	-0.0087793157	0.0122962592	0.0487516701	0.1158014787	0.0348480149	-0.0085100226	0.0797456634	-0.0154926359	0.014258476	0.0131507396	0.0003287479	-0.0198416263	-0.0574473945	0.0319323344	0.0099770172	-0.0656924351	0.0299421094	0.0580302831	-0.0162216952	-0.0398584736	-0.0194956351	0.0375232259	0.0028984774	0.0374508183	-0.0362634615	0.0260358705	0.0569116228	-0.0103699966	0.0244494741	-0.0707448775	-0.0222210813	0.0218098848	-0.0713932661	0.046272424	-0.0502415691	0.0259825385	0.0630538989	0.0630455975	0.0630317626	0.0630123954	0.0629874977	0.0	-0.0434317	-0.0096614999999999	9.334458224999992e-05	0.0018863125648899	0.0474773	-0.0040552	0.00225409401529	1.6444647040000017e-05	0.240549	-0.0217879999999999	0.057863821401	0.0004747169439999	0.00023157	0.000493603	5.3624664900000006e-08	2.43643921609e-07	-0.00118019	-7.280999999999998e-05	5.3012960999999966e-09	1.3928484361e-06	0.000426181	2.756899999999997e-05	1.8163024476100003e-07	7.60049760999998e-10
