global_signal	global_signal_derivative1	global_signal_derivative1_power2	global_signal_power2	csf	csf_derivative1	csf_derivative1_power2	csf_power2	white_matter	white_matter_derivative1	white_matter_power2	white_matter_derivative1_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	c_comp_cor_05	c_comp_cor_06	c_comp_cor_07	c_comp_cor_08	c_comp_cor_09	c_comp_cor_10	c_comp_cor_11	c_comp_cor_12	c_comp_cor_13	c_comp_cor_14	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	w_comp_cor_19	w_comp_cor_20	w_comp_cor_21	w_comp_cor_22	w_comp_cor_23	w_comp_cor_24	w_comp_cor_25	w_comp_cor_26	w_comp_cor_27	w_comp_cor_28	w_comp_cor_29	w_comp_cor_30	w_comp_cor_31	w_comp_cor_32	w_comp_cor_33	w_comp_cor_34	w_comp_cor_35	w_comp_cor_36	w_comp_cor_37	w_comp_cor_38	w_comp_cor_39	w_comp_cor_40	w_comp_cor_41	w_comp_cor_42	w_comp_cor_43	w_comp_cor_44	w_comp_cor_45	w_comp_cor_46	w_comp_cor_47	w_comp_cor_48	w_comp_cor_49	w_comp_cor_50	w_comp_cor_51	w_comp_cor_52	w_comp_cor_53	w_comp_cor_54	w_comp_cor_55	w_comp_cor_56	w_comp_cor_57	w_comp_cor_58	w_comp_cor_59	w_comp_cor_60	w_comp_cor_61	w_comp_cor_62	w_comp_cor_63	w_comp_cor_64	w_comp_cor_65	w_comp_cor_66	w_comp_cor_67	w_comp_cor_68	w_comp_cor_69	w_comp_cor_70	w_comp_cor_71	w_comp_cor_72	w_comp_cor_73	w_comp_cor_74	w_comp_cor_75	w_comp_cor_76	w_comp_cor_77	w_comp_cor_78	w_comp_cor_79	w_comp_cor_80	w_comp_cor_81	w_comp_cor_82	w_comp_cor_83	w_comp_cor_84	w_comp_cor_85	w_comp_cor_86	w_comp_cor_87	w_comp_cor_88	w_comp_cor_89	w_comp_cor_90	w_comp_cor_91	w_comp_cor_92	w_comp_cor_93	w_comp_cor_94	w_comp_cor_95	w_comp_cor_96	w_comp_cor_97	w_comp_cor_98	w_comp_cor_99	w_comp_cor_100	w_comp_cor_101	w_comp_cor_102	w_comp_cor_103	w_comp_cor_104	w_comp_cor_105	w_comp_cor_106	w_comp_cor_107	w_comp_cor_108	w_comp_cor_109	w_comp_cor_110	w_comp_cor_111	w_comp_cor_112	w_comp_cor_113	w_comp_cor_114	w_comp_cor_115	w_comp_cor_116	w_comp_cor_117	w_comp_cor_118	w_comp_cor_119	w_comp_cor_120	w_comp_cor_121	w_comp_cor_122	w_comp_cor_123	w_comp_cor_124	w_comp_cor_125	w_comp_cor_126	w_comp_cor_127	w_comp_cor_128	w_comp_cor_129	w_comp_cor_130	w_comp_cor_131	w_comp_cor_132	w_comp_cor_133	w_comp_cor_134	w_comp_cor_135	w_comp_cor_136	w_comp_cor_137	w_comp_cor_138	w_comp_cor_139	w_comp_cor_140	w_comp_cor_141	w_comp_cor_142	w_comp_cor_143	w_comp_cor_144	w_comp_cor_145	w_comp_cor_146	w_comp_cor_147	w_comp_cor_148	w_comp_cor_149	w_comp_cor_150	w_comp_cor_151	w_comp_cor_152	w_comp_cor_153	w_comp_cor_154	w_comp_cor_155	w_comp_cor_156	w_comp_cor_157	w_comp_cor_158	w_comp_cor_159	w_comp_cor_160	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	a_comp_cor_32	a_comp_cor_33	a_comp_cor_34	a_comp_cor_35	a_comp_cor_36	a_comp_cor_37	a_comp_cor_38	a_comp_cor_39	a_comp_cor_40	a_comp_cor_41	a_comp_cor_42	a_comp_cor_43	a_comp_cor_44	a_comp_cor_45	a_comp_cor_46	a_comp_cor_47	a_comp_cor_48	a_comp_cor_49	a_comp_cor_50	a_comp_cor_51	a_comp_cor_52	a_comp_cor_53	a_comp_cor_54	a_comp_cor_55	a_comp_cor_56	a_comp_cor_57	a_comp_cor_58	a_comp_cor_59	a_comp_cor_60	a_comp_cor_61	a_comp_cor_62	a_comp_cor_63	a_comp_cor_64	a_comp_cor_65	a_comp_cor_66	a_comp_cor_67	a_comp_cor_68	a_comp_cor_69	a_comp_cor_70	a_comp_cor_71	a_comp_cor_72	a_comp_cor_73	a_comp_cor_74	a_comp_cor_75	a_comp_cor_76	a_comp_cor_77	a_comp_cor_78	a_comp_cor_79	a_comp_cor_80	a_comp_cor_81	a_comp_cor_82	a_comp_cor_83	a_comp_cor_84	a_comp_cor_85	a_comp_cor_86	a_comp_cor_87	a_comp_cor_88	a_comp_cor_89	a_comp_cor_90	a_comp_cor_91	a_comp_cor_92	a_comp_cor_93	a_comp_cor_94	a_comp_cor_95	a_comp_cor_96	a_comp_cor_97	a_comp_cor_98	a_comp_cor_99	a_comp_cor_100	a_comp_cor_101	a_comp_cor_102	a_comp_cor_103	a_comp_cor_104	a_comp_cor_105	a_comp_cor_106	a_comp_cor_107	a_comp_cor_108	a_comp_cor_109	a_comp_cor_110	a_comp_cor_111	a_comp_cor_112	a_comp_cor_113	a_comp_cor_114	a_comp_cor_115	a_comp_cor_116	a_comp_cor_117	a_comp_cor_118	a_comp_cor_119	a_comp_cor_120	a_comp_cor_121	a_comp_cor_122	a_comp_cor_123	a_comp_cor_124	a_comp_cor_125	a_comp_cor_126	a_comp_cor_127	a_comp_cor_128	a_comp_cor_129	a_comp_cor_130	a_comp_cor_131	a_comp_cor_132	a_comp_cor_133	a_comp_cor_134	a_comp_cor_135	a_comp_cor_136	a_comp_cor_137	a_comp_cor_138	a_comp_cor_139	a_comp_cor_140	a_comp_cor_141	a_comp_cor_142	a_comp_cor_143	a_comp_cor_144	a_comp_cor_145	a_comp_cor_146	a_comp_cor_147	a_comp_cor_148	a_comp_cor_149	a_comp_cor_150	a_comp_cor_151	a_comp_cor_152	a_comp_cor_153	a_comp_cor_154	a_comp_cor_155	a_comp_cor_156	a_comp_cor_157	a_comp_cor_158	a_comp_cor_159	a_comp_cor_160	cosine00	cosine01	cosine02	cosine03	cosine04	non_steady_state_outlier00	trans_x	trans_x_derivative1	trans_x_power2	trans_x_derivative1_power2	trans_y	trans_y_derivative1	trans_y_power2	trans_y_derivative1_power2	trans_z	trans_z_derivative1	trans_z_derivative1_power2	trans_z_power2	rot_x	rot_x_derivative1	rot_x_power2	rot_x_derivative1_power2	rot_y	rot_y_derivative1	rot_y_derivative1_power2	rot_y_power2	rot_z	rot_z_derivative1	rot_z_derivative1_power2	rot_z_power2	motion_outlier00
5343.27813839975	n/a	n/a	28550621.264300697	9412.141891055637	n/a	n/a	88588414.97736438	4989.912252925336	n/a	24899224.29189441	n/a	5002.6574245458805	8606.785706449085	n/a	n/a	n/a	n/a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0080192	n/a	6.430756864000002e-05	n/a	0.122682	n/a	0.015050873124	n/a	0.0684408	n/a	n/a	0.00468414310464	0.000463052	n/a	2.14417154704e-07	n/a	-0.000468288	n/a	n/a	2.1929365094400001e-07	0.0007531219999999	n/a	n/a	5.671927468838493e-07	0.0
5322.163186882786	-21.11495151696363	445.8411775637247	28325420.987810336	9103.15503226386	-308.9868587917772	95472.87890600966	82867431.54143083	4988.444983065128	-1.4672698602080343	24884583.349067647	2.152880842674905	5000.069590259544	8306.786591924343	1.134938	40.657207	0.0304793	0.0171696	-0.0321788117	-0.0012626926	-0.0177444683	-0.0316408257	-0.0401740765	-0.021455981	0.1950199799	0.0137284548	-0.3837761127	-0.2028417	0.0132300966	-0.0045249399	0.0824402424	-0.0479489049	0.0248983017	0.0133120387	0.0568810404	0.0100899572	0.055124856	-0.0120487506	0.0481492375	-0.030813698	0.0143064405	-0.0106525143	0.0167506285	-0.0164806375	0.0614037461	-0.0658434727	0.0247988558	-0.0175390017	0.0341738801	-0.0153092378	0.0206578724	-0.0339110954	0.0044590833	-0.0575414592	0.0104650836	0.0528021512	-0.0019895972	0.0498636439	-0.0201636023	0.0054799038	-0.0215382696	0.0354486634	-0.0208690853	0.0236592839	-0.0233659972	0.0337649007	-0.0055426829	0.0066076108	-0.0107738886	0.0088485445	-0.0730595909	0.0212737646	-0.0127819673	0.0194375221	-0.0074382902	0.0055749852	-0.0290314489	0.0046137738	0.0794853413	-0.0194417271	0.037591841	-0.103462141	0.0081552875	0.0042824563	0.0126763564	-0.0188156785	0.0584433505	-0.006282188	-0.0555319773	0.0589195286	-0.057373566	-0.045369885	0.0164358269	0.0317563168	-6.26952e-05	-0.0053898078	-0.0001480498	0.0463288541	0.0066817791	0.0260821953	-0.0718149145	-0.0137292381	0.0568532063	0.0262887242	-0.0496274556	-0.0494189309	0.0263064596	0.0279119586	-0.0312653828	-0.0246385795	-0.000816652	-0.0324572346	0.1125108855	-0.0349653145	-0.0257461601	-0.0131467748	0.0247563075	-0.0566981677	0.0123715945	-0.0294357623	0.0463150354	-0.0252025072	0.0329827733	-0.0788796562	0.0060590081	-0.0080565617	0.0441044991	-0.0494149406	0.0132784621	-0.0266008311	0.0599002484	-0.0772423341	0.0436414328	-0.037697292	0.0209420995	-0.0488348008	0.0380403203	-0.0175662346	0.0131525376	-0.0236327669	0.0975345607	-0.0259293416	0.07124075	-0.0246507485	0.0507879427	-0.0183326311	0.0039968006	-0.0346197976	0.0616065058	-0.0548199648	0.049511144	-0.0031461845	-0.0127580744	0.0251097285	-0.0214966657	0.0436086629	-0.056676329	0.0330128233	-0.0140139165	0.0198498879	0.0616086559	-0.0498250986	0.0353033756	-0.0145845777	-0.0222805401	0.0254001038	-0.0198171481	-0.0193493922	0.0437361089	-0.0793284392	-0.0483779203	0.0032059446	0.0491399313	-0.0004497655	-0.0355830305	0.0253144995	-0.0340518443	0.0377958413	-0.0351326696	0.034165843	-0.0107287245	-0.0137127659	0.0177025052	0.000695667	0.0134671074	-0.0108072054	-0.0301480677	0.0678664572	-0.0183695538	0.0408363091	-0.046959354	-0.0081284381	0.003246678	0.0610695928	-0.0208019103	-0.0262401743	0.0076364169	0.0357366299	-0.012276587	0.0484491948	-0.0221225371	0.0247374362	-0.0076730025	0.020486926	-0.0310812368	0.0546316692	-0.0533821894	0.045093741	-0.0060097392	0.0388780497	-0.0104564491	0.008414465	-0.0353238556	0.0077632832	-0.0601479904	0.0100534425	0.0403445703	-0.0337684315	0.051004622	-0.0110973102	0.0278432085	-0.0128978425	0.0265838776	-0.003032617	0.0327238326	-0.0293174982	0.0254274876	-0.0129761137	0.002056833	-0.0117982095	0.0417500703	-0.0628004207	0.0262228505	-0.0066860824	0.0188801799	-0.011055396	0.03470622	-0.0278195974	0.0147745401	-0.0639978972	0.0030621261	0.0402383723	-0.1096111276	0.0358008412	-0.0014687486	-0.0094351714	-0.0220145456	0.0321992917	-0.0397975789	-0.0548897674	0.053730173	0.0325710213	-0.0590451936	0.055834048	0.0148305326	0.014542739	-0.0157903038	-0.0002232189	0.0437557325	0.0018300252	-0.0344779548	-0.0517670373	0.0447885239	0.0362170872	0.0030641706	-0.0638309348	0.0366266311	0.0341494347	0.0098184434	-0.0407793922	-0.0037742607	-0.0049392726	0.0252470031	0.0873351247	-0.0855307786	-0.0553638269	-0.0338097088	0.029766101	-0.051916061	0.0236914915	-0.0184242677	0.0418772547	-0.0130284048	0.0615468944	-0.0361269843	0.0107165412	-0.0298665126	0.0086900691	-0.0801381856	0.0222020188	-0.0539830333	0.0015337428	-0.0940016712	0.0205124832	-0.0483123989	0.0402826981	-0.0471141358	0.0197833133	-0.0314673799	0.0129961718	-0.0128921609	0.0637925397	-0.0269326348	0.0625182446	-0.0651331854	0.0274999136	-0.0209527134	0.0238435027	-0.0418714578	0.0623218703	-0.0611989242	0.0213119059	-0.0344353511	0.0215902195	-0.002479625	-0.0315341624	0.0297838403	-0.0457087013	0.0469839966	-0.0180628303	0.0202046465	-0.0278400396	0.0392957916	-0.0550410604	0.02306279	-0.0080548007	-0.0119483254	-0.0025896175	0.0235908446	0.0038345566	0.0080255392	-0.1123070941	0.0136305442	-0.0405951823	-0.0011006754	0.0237786163	0.0194244388	-0.0224175967	0.0441652463	-0.0237100287	0.043093675	0.0092270221	-0.018472367	0.0152325955	0.0100361067	0.002539916	-0.0244976385	0.001099093	0.0208413444	-0.0665854705	0.0550294547	0.0595088517	-0.0159696266	0.0326800062	0.0170673515	-0.0284964381	0.0083428687	0.0112434733	-0.017116533	0.0532622319	0.0532618353	0.0532611743	0.0532602488	0.053259059	0.0	0.00712245	-0.00089675	5.07292940025e-05	8.041605625000015e-07	0.114961	-0.007721	0.0132160315209999	5.961384100000009e-05	0.0557936	-0.0126471999999999	0.0001599516678399	0.00311292580096	0.000592729	0.0001296769999999	3.51327667441e-07	1.6816124328999994e-08	-0.000454357	1.3931000000000013e-05	1.9407276100000035e-10	2.0644028344900002e-07	0.000712443	-4.067899999989999e-05	1.6547810409918632e-09	5.07575028249e-07	0.0
5330.371993454531	8.20880657174439	67.38450533231388	28412865.588604428	9097.025106218129	-6.129926045730826	37.575993326129165	82755865.78316295	4990.521016612649	2.076033547520637	24905300.017252546	4.309915290431123	5002.336062910767	8219.422152951784	1.008629	36.132404	0.05816415	0.0260039	-0.0335845842	0.0191380544	-0.0392577255	-0.0019958975	-0.0270373788	-0.0419799316	0.2349056848	0.0824289072	-0.3528527883	-0.1815286941	0.0560652915	-0.0860762108	0.0015256181	-0.04074958	-0.0439244317	0.0330175298	0.0015705364	-0.0294214505	-0.0148787634	-0.0244922269	0.0398726891	0.0096854766	0.0481603893	-0.0220159396	-0.0075630251	0.0624454587	-0.0165269446	-0.0361679824	0.0352298983	-0.0828596285	0.0019862887	-0.0403346373	-0.022567156	-0.0145558799	0.0447876186	-0.0395895575	0.0132930911	0.0504088359	0.0675066791	-0.0056981645	-0.0731981911	-0.027301538	0.0555579863	0.0507894797	0.028641432	0.0218726181	-0.0153008691	-0.0014337703	-0.0139009587	-0.017837579	-0.0585698795	0.0608301704	0.0227604461	0.0758867553	-0.0450721474	0.0500202634	-0.017721479	-0.0111874457	-0.0610567703	0.0035253569	-0.0077304262	-0.000788746	-0.0171047051	-0.0145183242	0.0327290293	-0.0251419777	0.0097401071	0.0407857468	0.005156269	0.0356940902	-0.0029890697	-0.0784336347	-0.0009113212	-0.0153588999	-0.0213114133	0.0014251991	-0.011264454	-0.0391125788	-0.0177341308	0.0150673122	0.0109309705	-0.0322603272	-0.0179183175	-0.0725176095	0.0020143345	0.0222561809	-0.0227521387	-0.0220970333	-0.0188700401	-0.0055648249	0.0167430968	-0.0383693679	-0.0330136236	0.06678949	0.0281765271	-0.0622464335	0.0359526999	0.0236714171	-0.0423730283	-0.1198483441	-0.0063625411	0.0025848628	0.0367213384	0.001253168	0.0408097584	-0.0379157116	-0.001635813	0.0574426159	-0.0419265738	-0.0332979776	0.0157897234	-0.0405320777	0.0401723478	0.0088173123	-0.0427521921	-0.0253036779	0.0682177359	0.003553557	-0.0351037801	-0.057095816	-0.0035756647	-0.0221398401	0.0131082567	-0.0394077327	-0.0047214097	0.0684037645	0.026660824	-0.0070527364	0.0018163431	0.0426885696	0.0080224308	-0.0064057093	-0.05960736	-0.0078032917	0.0728324373	-0.0150694422	-0.041766177	0.0622651597	-0.0110707496	-0.0558137452	0.0744093797	0.0238243213	0.0070881939	-0.0194773372	-0.0205994853	0.057844006	0.0230026961	0.0191269202	-0.0035003033	0.050869068	0.0321105551	-0.0067069933	-0.0246978699	-0.0174678114	0.0424475367	0.0516298577	-0.0366580206	0.0116265763	-0.0272014834	-0.0102638668	-0.008529092	-0.0041722633	-0.0178900267	0.0022226038	-0.0399777772	-0.0240659899	-0.0370337252	-0.020085144	-0.0079159754	-0.0331049311	-0.0285591374	0.0117656503	-0.02627291	0.0422769701	0.035846277	-0.0307933261	-0.0331049083	0.0191841288	-0.0190693656	0.0560839544	-0.0218888039	0.0376590881	0.0171261533	0.0548418252	-0.0124398406	-0.0091118765	0.0612431186	-0.0052466536	-0.0378702625	0.0330257513	-0.0580324103	0.0170148222	-0.0536943062	0.044601717	0.0011285764	0.054888828	-0.0361622025	0.0060768455	0.0937473617	0.0505054273	0.0125582262	-0.0742223192	-0.0189463985	-0.0162192395	0.0601125875	-0.0276685341	0.0194433663	-0.0021257673	-0.0049030682	0.0062745071	-0.041666993	-0.0498783938	0.0546274948	0.0626549138	0.0640995222	0.0020597858	0.0341524217	-0.0115906808	0.0338391639	-0.0672524818	0.0085123671	0.0097807125	0.0050681275	-0.0210008836	-0.0244053512	-0.0307601355	0.0271404795	-0.0202389552	0.0087985103	0.0401024909	-0.0033193487	0.0084960462	-0.0890727451	-0.0143595568	0.0004958193	0.0132994005	0.0060131936	-0.0142824943	-0.0338507713	-0.0011125692	0.0206337189	0.0160494586	0.0275722827	-0.0452018664	0.0010692992	-0.0356136549	-0.0371546614	-0.0248266152	0.0196371745	-0.0096815544	0.0097757678	0.0082202037	0.0464405569	-0.0176523211	-0.0768489243	0.0280840279	-0.0538418563	-0.0015362802	0.0020283033	-0.0188654733	-0.1249649304	-0.0082541375	-0.0037377217	0.0088500926	-0.0082320689	0.0131897361	-0.0024794533	-0.0551685979	-0.0707629629	-0.0174665407	-0.0062116427	0.0400410709	-0.0302245083	0.009966482	0.0416075284	-0.0348639962	-0.0488225123	0.0778549998	-0.0109337704	-0.012386046	0.0453172432	0.0189769138	-0.0341080507	0.0305464745	0.0125445406	0.039263096	0.0562727417	-0.0243011245	-0.0226323604	0.0223103768	0.0430792688	0.0019539992	0.0176535298	0.0400327111	0.0417287724	-0.0659790736	0.0196206119	-0.0507801241	0.0674439604	-0.0515906403	-0.0461841672	0.0525688421	-0.0317912017	-0.0129796311	0.0158374799	0.010144014	-0.0506329395	0.0472723986	0.0048270051	0.0266565136	-0.0117113808	-0.0569707915	-0.034295168	-0.0478781834	0.0258720633	-0.0187037308	-0.0539898239	0.0266367493	0.0154297597	-0.0149401021	-0.0002973727	-0.020058216	0.0001036498	-0.0070903851	-0.0081348087	-0.0328237291	0.0329245278	-0.0280320543	0.0003773843	-0.030635353	-0.0551029191	0.0073734579	0.0121363245	0.0392514758	-0.0247892712	-0.0295741799	0.0330584362	0.0214788681	-0.034357404	0.0368158547	-0.0465557581	0.0532611743	0.0532576048	0.0532516558	0.0532433276	0.0532326205	0.0	-0.00220305	-0.0093255	4.853429302499999e-06	8.696495025000001e-05	0.0978318	-0.0171291999999999	0.0095710610912399	0.0002934094926399	0.070542	0.0147483999999999	0.0002175153025599	0.0049761737639999	0.000681786	8.905700000000003e-05	4.64832149796e-07	7.931149249000005e-09	-0.000282063	0.000172294	2.968522243600001e-08	7.9559535969e-08	0.0007903129999999	7.78699999999e-05	6.063736899984425e-09	6.245946379688419e-07	0.0
