global_signal	global_signal_derivative1	global_signal_power2	global_signal_derivative1_power2	csf	csf_derivative1	csf_derivative1_power2	csf_power2	white_matter	white_matter_derivative1	white_matter_power2	white_matter_derivative1_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	t_comp_cor_04	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	c_comp_cor_05	c_comp_cor_06	c_comp_cor_07	c_comp_cor_08	c_comp_cor_09	c_comp_cor_10	c_comp_cor_11	c_comp_cor_12	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	w_comp_cor_19	w_comp_cor_20	w_comp_cor_21	w_comp_cor_22	w_comp_cor_23	w_comp_cor_24	w_comp_cor_25	w_comp_cor_26	w_comp_cor_27	w_comp_cor_28	w_comp_cor_29	w_comp_cor_30	w_comp_cor_31	w_comp_cor_32	w_comp_cor_33	w_comp_cor_34	w_comp_cor_35	w_comp_cor_36	w_comp_cor_37	w_comp_cor_38	w_comp_cor_39	w_comp_cor_40	w_comp_cor_41	w_comp_cor_42	w_comp_cor_43	w_comp_cor_44	w_comp_cor_45	w_comp_cor_46	w_comp_cor_47	w_comp_cor_48	w_comp_cor_49	w_comp_cor_50	w_comp_cor_51	w_comp_cor_52	w_comp_cor_53	w_comp_cor_54	w_comp_cor_55	w_comp_cor_56	w_comp_cor_57	w_comp_cor_58	w_comp_cor_59	w_comp_cor_60	w_comp_cor_61	w_comp_cor_62	w_comp_cor_63	w_comp_cor_64	w_comp_cor_65	w_comp_cor_66	w_comp_cor_67	w_comp_cor_68	w_comp_cor_69	w_comp_cor_70	w_comp_cor_71	w_comp_cor_72	w_comp_cor_73	w_comp_cor_74	w_comp_cor_75	w_comp_cor_76	w_comp_cor_77	w_comp_cor_78	w_comp_cor_79	w_comp_cor_80	w_comp_cor_81	w_comp_cor_82	w_comp_cor_83	w_comp_cor_84	w_comp_cor_85	w_comp_cor_86	w_comp_cor_87	w_comp_cor_88	w_comp_cor_89	w_comp_cor_90	w_comp_cor_91	w_comp_cor_92	w_comp_cor_93	w_comp_cor_94	w_comp_cor_95	w_comp_cor_96	w_comp_cor_97	w_comp_cor_98	w_comp_cor_99	w_comp_cor_100	w_comp_cor_101	w_comp_cor_102	w_comp_cor_103	w_comp_cor_104	w_comp_cor_105	w_comp_cor_106	w_comp_cor_107	w_comp_cor_108	w_comp_cor_109	w_comp_cor_110	w_comp_cor_111	w_comp_cor_112	w_comp_cor_113	w_comp_cor_114	w_comp_cor_115	w_comp_cor_116	w_comp_cor_117	w_comp_cor_118	w_comp_cor_119	w_comp_cor_120	w_comp_cor_121	w_comp_cor_122	w_comp_cor_123	w_comp_cor_124	w_comp_cor_125	w_comp_cor_126	w_comp_cor_127	w_comp_cor_128	w_comp_cor_129	w_comp_cor_130	w_comp_cor_131	w_comp_cor_132	w_comp_cor_133	w_comp_cor_134	w_comp_cor_135	w_comp_cor_136	w_comp_cor_137	w_comp_cor_138	w_comp_cor_139	w_comp_cor_140	w_comp_cor_141	w_comp_cor_142	w_comp_cor_143	w_comp_cor_144	w_comp_cor_145	w_comp_cor_146	w_comp_cor_147	w_comp_cor_148	w_comp_cor_149	w_comp_cor_150	w_comp_cor_151	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	a_comp_cor_32	a_comp_cor_33	a_comp_cor_34	a_comp_cor_35	a_comp_cor_36	a_comp_cor_37	a_comp_cor_38	a_comp_cor_39	a_comp_cor_40	a_comp_cor_41	a_comp_cor_42	a_comp_cor_43	a_comp_cor_44	a_comp_cor_45	a_comp_cor_46	a_comp_cor_47	a_comp_cor_48	a_comp_cor_49	a_comp_cor_50	a_comp_cor_51	a_comp_cor_52	a_comp_cor_53	a_comp_cor_54	a_comp_cor_55	a_comp_cor_56	a_comp_cor_57	a_comp_cor_58	a_comp_cor_59	a_comp_cor_60	a_comp_cor_61	a_comp_cor_62	a_comp_cor_63	a_comp_cor_64	a_comp_cor_65	a_comp_cor_66	a_comp_cor_67	a_comp_cor_68	a_comp_cor_69	a_comp_cor_70	a_comp_cor_71	a_comp_cor_72	a_comp_cor_73	a_comp_cor_74	a_comp_cor_75	a_comp_cor_76	a_comp_cor_77	a_comp_cor_78	a_comp_cor_79	a_comp_cor_80	a_comp_cor_81	a_comp_cor_82	a_comp_cor_83	a_comp_cor_84	a_comp_cor_85	a_comp_cor_86	a_comp_cor_87	a_comp_cor_88	a_comp_cor_89	a_comp_cor_90	a_comp_cor_91	a_comp_cor_92	a_comp_cor_93	a_comp_cor_94	a_comp_cor_95	a_comp_cor_96	a_comp_cor_97	a_comp_cor_98	a_comp_cor_99	a_comp_cor_100	a_comp_cor_101	a_comp_cor_102	a_comp_cor_103	a_comp_cor_104	a_comp_cor_105	a_comp_cor_106	a_comp_cor_107	a_comp_cor_108	a_comp_cor_109	a_comp_cor_110	a_comp_cor_111	a_comp_cor_112	a_comp_cor_113	a_comp_cor_114	a_comp_cor_115	a_comp_cor_116	a_comp_cor_117	a_comp_cor_118	a_comp_cor_119	a_comp_cor_120	a_comp_cor_121	a_comp_cor_122	a_comp_cor_123	a_comp_cor_124	a_comp_cor_125	a_comp_cor_126	a_comp_cor_127	a_comp_cor_128	a_comp_cor_129	a_comp_cor_130	a_comp_cor_131	a_comp_cor_132	a_comp_cor_133	a_comp_cor_134	a_comp_cor_135	a_comp_cor_136	a_comp_cor_137	a_comp_cor_138	a_comp_cor_139	a_comp_cor_140	a_comp_cor_141	a_comp_cor_142	a_comp_cor_143	a_comp_cor_144	a_comp_cor_145	a_comp_cor_146	a_comp_cor_147	a_comp_cor_148	a_comp_cor_149	a_comp_cor_150	a_comp_cor_151	cosine00	cosine01	cosine02	cosine03	cosine04	non_steady_state_outlier00	trans_x	trans_x_derivative1	trans_x_derivative1_power2	trans_x_power2	trans_y	trans_y_derivative1	trans_y_power2	trans_y_derivative1_power2	trans_z	trans_z_derivative1	trans_z_power2	trans_z_derivative1_power2	rot_x	rot_x_derivative1	rot_x_derivative1_power2	rot_x_power2	rot_y	rot_y_derivative1	rot_y_power2	rot_y_derivative1_power2	rot_z	rot_z_derivative1	rot_z_derivative1_power2	rot_z_power2	motion_outlier00	motion_outlier01	motion_outlier02
5731.936652724378	n/a	32855097.79084515	n/a	10741.379372640398	n/a	n/a	115377230.82698464	5559.783664958532	n/a	30911194.40113973	n/a	5727.132886843982	6665.616578801837	n/a	n/a	n/a	n/a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	-0.0762744999999999	n/a	n/a	0.0058177993502499	0.0241883	n/a	0.00058507385689	n/a	0.0109401	n/a	0.0001196857880099	n/a	0.00154998	n/a	n/a	2.4024380004e-06	0.00209329	n/a	4.381863024099999e-06	n/a	0.0	n/a	n/a	0.0	0.0	0.0	0.0
5702.1424620222015	-29.79419070217682	32514428.65719661	887.6937995976797	10533.120593385183	-208.2587792552149	43371.71913687233	110946629.43479504	5551.910327886345	-7.873337072187496	30823708.288891062	61.98943665228197	5709.293704001457	6568.960770697802	1.318925	44.207348	0.1791969899999999	0.0871264	0.0333121588	0.0161258659	-0.0072176074	0.0279900125	-0.0102169597	-0.0800374615	0.2809901726	-0.1594209259	0.039447672	0.2747751776	0.2192827504	-0.004759778	0.0487151825	-0.0208562267	-0.0007976999	0.0073910448	0.0556841129	-0.0330125969	0.0351813911	-0.0780939513	0.0171993504	-0.0484455003	0.0467207426	-0.0176780972	0.0445316122	-0.0024378118	0.0241991349	-0.0072939257	0.01806774	-0.0578905458	0.0743294182	-0.035131422	0.0117795516	-0.0067089216	0.0131086314	-0.0627102305	0.0027858924	0.0207816239	-0.0709347245	0.0053679143	-0.0464498964	-0.0030767857	-0.0295602911	0.051898558	-0.0462578056	0.0667581368	-0.017798945	0.0219426302	-0.01810142	0.0419535909	-0.0785150611	0.0096400541	-0.0087875007	0.0018745737	-0.0164873316	0.0124021269	-0.0057408696	0.0245238437	-0.0158387061	0.0081290142	-0.0487948629	0.0279316827	-0.0273272741	0.0156539424	0.057230791	-0.0530019302	0.0815794268	0.0202419341	-0.0242748256	-0.0050052513	0.0334089296	-0.0307436795	-0.0307183388	-0.0153072337	0.0978339353	-0.0264345723	-0.0213994779	0.0219843473	0.0514290006	-0.0215016068	0.0158988688	0.0091980658	0.0290455701	-0.0697762022	0.0274084793	0.0449355071	-0.0342032812	-0.006329522	-0.0044643913	0.0067776327	0.0276059624	-0.0506997658	-0.0331806012	-0.0142443769	0.0432069597	0.0359360306	-0.0384269152	-0.0472954069	-0.013924381	0.0301914325	0.0380648396	-0.0231158555	-0.0938089377	0.0504014209	0.0232159989	0.0093714951	-0.022332731	0.0478782812	-0.0422404964	0.02296833	-0.0417815302	0.0420635645	-0.0353113603	0.0153846734	-0.0468652155	0.0298529903	-0.0217093045	0.0029774168	-0.0368115979	0.0160058356	-0.0156265541	0.0584938643	-0.0311502623	0.0295429499	-0.0903312269	0.0322572252	-0.0448338123	0.0039024178	-0.0235216324	0.0262542879	-0.0781708227	0.0462885007	-0.0325033562	0.0611581989	-0.0440763802	0.0630794401	-0.0284331432	0.0332565994	-0.0318319533	0.0138482787	-0.0723854887	0.0188647908	0.0031863258	-0.0131071977	0.0137424673	-0.0362711577	0.0250449043	-0.0744101998	-0.0034101249	-0.0011608596	0.0679615374	-0.0516892217	-0.0763311274	0.0130842824	-0.0214394728	-0.026206799	0.0391877899	-0.0018038235	-0.044067994	0.0440195804	-0.0399360102	-0.0158979568	0.0403291787	-0.0112099952	-0.0155795296	0.0104152285	-0.0730327427	0.0204229847	0.0131484344	-0.041975833	-0.0684488227	0.0552435395	-0.0609048732	0.074718319	-0.0713946593	-0.1119886849	0.0595938361	-0.0259139021	0.0133081577	-0.0003904735	0.2034083056	-0.0213138411	0.0172915736	-0.0620901392	0.0333930647	-0.0386629672	0.0344241292	-0.0485257182	0.0207793609	-0.0496230418	0.0035029909	0.0565361232	-0.0625070463	0.00309984	0.0155865892	-0.0143872044	0.0402864017	-0.03667428	0.0090141449	-0.035782361	0.0186999873	-0.0016912001	0.000719841	-0.0382537816	0.0188898866	-0.0285947993	0.0051398563	-0.0203076166	0.0271838303	-0.028440403	0.0481011197	-0.0079660789	0.016133181	-0.0306088059	0.009090429	0.0132765434	-0.039895097	0.0040215495	0.01475973	-0.0451685047	0.067030335	-0.0059731885	-0.0463899593	0.0497391472	0.0925631654	-0.0664736175	0.0167758878	0.0310612187	-0.0464276624	0.0488091061	0.0105712805	-0.044890292	-0.0055386317	0.0020216601	0.005679795	0.0601421519	-0.0155912466	-0.0243081038	0.0537739377	0.022453942	-0.010849045	-0.0202111434	0.0223042477	0.0127061523	0.0001973903	-0.0360270348	-0.0031491117	-0.0119671293	0.0103034421	0.024719559	0.0451506717	-0.0439696565	0.0378444992	0.018102779	0.0090816754	0.0143641022	-0.0271792627	0.0614302796	-0.092928038	0.0363034353	-0.0082558096	0.036931565	-0.0227001258	0.0677897323	-0.0226084966	0.0506082824	-0.0179695898	0.0327769309	-0.0071647944	0.0192238814	-0.0017119061	0.0502120888	-0.0286024494	0.0028179395	-0.0065404735	0.0572841253	-0.0543755239	0.0780456322	-0.0004957067	0.0255338077	-0.0322320233	0.0163586185	-0.0397482842	0.0286141433	-0.0308027657	0.0129670567	-0.0878722978	0.0241805645	-0.0068753084	0.0511646993	-0.03757356	0.0066959152	0.0407785295	-0.0081881538	0.0041969757	0.1133491053	-0.00231129	0.0207825966	-0.1013724447	-0.000269195	0.0274219404	-0.0013884719	-0.0016595151	0.0235565402	-0.055660428	-0.0019369022	0.0502606792	0.0010896101	-0.03302095	0.0445429916	-0.0223787774	0.0082159969	0.0204159205	-0.0075343137	-0.0219464693	0.033411196	-0.0083016601	0.0065092827	0.0582203551	-0.0012874092	-0.0202754569	0.0288297668	0.0532622319	0.0532618353	0.0532611743	0.0532602488	0.053259059	0.0	-0.066913	0.0093614999999998	8.763768224999809e-05	0.004477349569	0.0948397	0.0706514	0.00899456869609	0.00499162032196	-0.00790144	-0.0188415399999999	6.243275407359999e-05	0.0003550036295715	0.000702961	-0.000847019	7.174411863610002e-07	4.94154167521e-07	0.00177697	-0.0003163199999999	3.1576223808999995e-06	1.0005834239999997e-07	-0.000443512	-0.000443512	1.9670289414400002e-07	1.9670289414400002e-07	0.0	0.0	0.0
5702.815165301863	0.6727032796616186	32522100.809596915	0.4525297024674978	10500.798147738058	-32.32244564712528	1044.740492611368	110266761.73953904	5556.327732564103	4.417404677757986	30872777.871660944	19.513464087078138	5717.640977244013	6561.638148793614	1.097254	36.777435	0.19246926	0.0849512	0.0381395422	0.0055036534	0.0118933575	0.0323628031	-0.0285756693	-0.069427568	0.2751185581	-0.1648961175	0.0309147632	0.2545201151	0.1943334336	0.0290080959	0.0224148256	0.040838185	0.0295010212	-0.0348764404	0.0502368222	0.018124687	0.0620083432	-0.0351114124	0.0358437507	-0.014192029	0.0523131326	-0.0656782902	0.0774481436	0.06525073	0.0666714001	0.0279462688	0.0182031184	-0.0439061278	0.0877709634	0.005002213	0.0302729614	0.0286546859	-0.0464497168	-0.0715478116	0.0229244028	-0.0557338291	-0.0488614929	-0.0219771754	-0.0112910529	0.0269872958	-0.0343699108	-0.0298453924	0.0130354894	0.0596159528	-0.0442375952	0.0167202026	-0.0457762086	0.0522991044	-0.0848213431	0.0108346306	0.0133184608	0.0196183092	-0.0591268177	-0.0194883486	-0.0485224375	0.0510411181	-0.0257412947	0.019133454	-0.0136892143	-0.0024821793	-0.0358465234	-0.0096591296	0.0568065894	-0.0259577141	0.0608309162	-0.0311427094	0.0112618041	-0.0159806698	-0.0485419839	-0.0377046261	0.03783494	-0.0069536219	-0.0212023383	0.0642614099	-0.0107617583	0.0024677611	0.048892406	-0.0601699751	-0.0352240883	-0.0318630448	-0.0457209728	0.0023093741	0.0615911566	0.000511351	-0.0171391449	0.0060778601	0.0179668244	-0.0275420131	0.0101042438	0.0346512537	-0.0494959914	0.0555621449	0.0152024295	0.0909792938	0.030395187	-0.0382596198	0.0397992942	0.0982404189	-0.035441147	0.0927004862	0.0242987783	-0.018092674	-0.0586432742	-0.0839068251	0.0494233026	0.0022770382	-0.0435687278	-0.0392311231	-0.0098610557	0.0153662794	0.0531153888	0.0174634042	0.0388783976	0.0108532549	-0.0351075769	-0.0435206609	-0.0233987171	-0.0372544526	0.0700947352	-0.0579370083	0.0247483216	0.0061174676	-0.0398976654	-0.0200569355	-0.0249977521	0.0305213975	0.0056056438	0.0259360094	0.0115121914	-0.0034276206	0.0453775504	-0.0249377174	-0.0168854592	0.0175288017	0.0580195919	-0.0174178983	-0.0110241953	-0.0280380814	0.011315684	-0.0222111295	-0.043453421	-0.0253883583	-0.0558097626	-0.0607194851	-0.0170966677	0.0110839983	0.024170428	-0.0153411627	0.033227144	-0.0308473007	-0.0204514661	0.0292414242	-0.0527632483	0.0033847189	-0.0101014534	0.0270566193	0.0184857359	-0.0075672995	0.0399023622	-0.0050564026	0.0192084298	-0.0252327111	-0.0166030118	-0.0169906903	-0.0410371369	0.0515615045	-0.0410966999	0.0088161709	-0.0637519496	0.0093656201	-0.0645415042	0.0710533091	-0.0678218802	-0.2325077236	0.1136016382	-0.0229315439	0.0837166399	-0.0116535287	0.2595398308	-0.0425050759	-0.0002498799	-0.0164931086	0.05539311	-0.015497949	0.0092084067	-0.0321979874	-0.0093494872	-0.0172871084	0.0046421956	0.0109597848	-0.0286314624	-0.0355026743	0.0165375709	0.0124958682	0.014131867	0.0264103336	-0.0390386067	0.010745221	0.0634100164	0.0189346867	-0.051958863	-0.0431515311	0.0288998583	-0.0576159295	0.016024832	-0.0175464087	0.0455171666	-0.0190691342	0.0645037893	0.00800917	0.0225824136	-0.0195883861	0.0088560417	-0.0167989045	-0.0774373834	0.0406465239	-0.0171942154	-0.0235245916	-0.0053692948	0.0059695967	-0.0178222575	-0.0147471609	-0.0338335449	0.0194012901	-0.0021146986	0.0087543523	0.0557024384	0.0041672481	0.0385017714	-0.0335248419	-0.0294066947	0.0568862666	0.0274268623	0.0511553652	0.0688867548	-0.0853500766	0.0453487177	0.0149006494	-0.0264182236	0.0463285422	-0.00963407	0.0269588537	-0.0469158955	-0.0630743251	-0.0168881711	-0.0160721496	-0.0299858804	0.0147506581	-0.0571010719	-0.0282724816	0.0214475879	-0.0327280325	0.0390971988	-0.0344221733	0.0187016168	0.0221870983	0.0861553676	-0.0309405746	-0.0062561612	-0.007318581	0.0293257358	0.0313842866	-0.0296948196	-0.0505727363	0.0534702458	0.065512717	-0.0017482061	0.0025674895	0.0409911644	-0.0285770924	-0.0686257857	-0.0005598281	-0.0274465228	-0.0221696002	0.0248733865	0.0074631923	0.0409438568	-0.0336927254	0.0585621559	-0.0808020031	0.0645198994	0.0272960999	-0.0073091238	0.0269958338	0.0700133271	0.0208600521	-0.0187933484	0.0216073812	0.0030085897	-0.0113039886	-0.0272664572	0.0375039777	0.0076533015	0.0025989818	-0.0006948844	-0.0138098805	0.0229412074	0.0183850891	0.0369672304	0.0532572009	0.0057482044	0.0584509657	0.0265207606	-0.044344438	0.0470226338	-0.0183809454	-0.0263746118	-0.0031986199	-0.0272728288	0.0157883879	-0.0598588304	-0.0071290324	0.0147395639	0.0223944841	0.0069726458	0.0268410741	-0.0390381557	0.0219037655	-0.0244694239	0.0052467154	0.0532611743	0.0532576048	0.0532516558	0.0532433276	0.0532326205	0.0	-0.0504442	0.0164688	0.0002712213734399	0.00254461731364	0.0668172	-0.0280225	0.0044645382158399	0.00078526050625	-0.0283036	-0.02040216	0.00080109377296	0.0004162481326656	-0.000232659	-0.00093562	8.753847844e-07	5.4130210281e-08	0.0007657999999999	-0.00101117	5.864496399998469e-07	1.022464768900202e-06	0.000161214	0.000604726	3.65693535076e-07	2.5989953796e-08	0.0	0.0	0.0
5718.154388698084	15.339223396221314	32697289.612987164	235.2917743991833	10495.30116767953	-5.496980058527697	30.216789763851164	110151346.60029532	5570.216981189041	13.889248624937863	31027317.217526756	192.91122736533836	5732.061126244497	6609.448899481709	1.368716	45.876244	0.50966925	0.255178	0.0243861996	-0.0109835295	0.0469536998	0.0298100326	-0.0511483569	-0.1465398445	0.2402350858	-0.0883573174	0.0267608288	0.1865743229	0.1723711679	-0.0106552721	0.0392881732	0.1680252498	0.0536517381	-0.0907036236	0.011048248	0.063432376	0.0359834511	0.0204015236	0.0259025501	-0.0187027547	0.009440223	-0.0184607073	0.0236162167	0.0487226436	0.0104346392	-0.0389495312	0.0617819766	0.0155376925	0.0462937511	0.0134841392	0.0658558928	0.0186577681	-0.0555013706	-0.0220060525	0.0378485604	-0.1267396834	0.098377427	-0.022590615	0.0736156372	-0.0408173472	-0.0406019405	-0.0049255276	-0.0188809373	0.0784578085	0.0392889108	0.0161184539	0.0419307255	-0.0222146787	0.01672745	0.0333317939	0.0472579194	-0.0852013139	-0.0308053169	-0.030183792	0.0106558673	0.0017326348	-0.0143162966	-0.0215156359	0.0423599707	-0.0050134864	0.0588782297	-0.0043361346	0.0425003318	-0.0144476886	0.0199903169	0.0036894282	0.0076312003	0.100063164	-0.0106843678	-0.0089697847	0.0371347255	-0.0111257032	-0.0116261306	0.0265829668	0.030430619	-0.0016766841	-0.0581469619	0.0310039245	0.0389971478	-0.0395982976	-0.0009416962	-0.046012145	-0.0484652458	-0.0216109514	-0.0632349859	0.0200198825	0.0628434246	-0.0320487212	0.0347315197	-0.0584438251	0.0626793664	0.0075808722	-0.100174207	0.0102780971	-0.0265115649	-0.0400030747	0.0388581816	-0.0339950671	-0.0105088027	0.0178745589	-0.0109723864	-0.0207911976	0.0137418908	0.0269795501	0.0205415217	-0.0394667569	0.0782449616	-0.0024780319	0.011939686	0.0251432565	-0.0439762543	0.0269496013	-0.0465055127	-0.0225049659	-0.0494195521	-0.0803085098	0.040863728	-0.0169686209	0.0921554128	-0.0308620534	0.0851024964	0.0145125128	-0.0198563168	0.0642007646	0.0092521067	-0.0650695683	0.0409584483	0.0140174535	0.0484726701	-0.0215760779	-0.0215162363	0.0215570146	0.0365397879	0.019101743	0.0008017697	-0.0122208546	0.0329095556	0.0634192898	0.042507625	-0.0017195447	0.0319468658	0.024569651	0.0066799779	-0.0079682554	-0.0295913043	-0.024566271	-0.0116301257	0.0088308063	-0.082777031	0.0237422315	0.0130694057	0.0625997638	-0.0397038077	0.0338749051	-0.0679905873	0.0322215096	-0.0377231343	0.0255992551	0.0247916309	-0.0345340793	0.0222846499	-0.1141431173	-0.0365409072	-0.013142774	0.0194280481	-0.0398619495	-0.0367642692	-0.0213881797	-0.0027523875	-0.0397311395	-0.046569349	0.0966558771	-0.0171806235	-0.1736545372	0.1043721222	0.0247999602	0.0245200719	0.026801195	0.2258500832	0.052507994	-0.0506424295	0.0377836821	0.0426438786	0.022674367	-0.0214688322	0.0213328852	-0.0964026744	-0.0109550361	0.0051200869	-0.0956966952	0.0018159081	0.0266043128	0.0750048093	-0.0184187817	0.0232998131	0.0611412	0.0267430206	0.0256261399	0.0591757803	0.0074004654	0.043808541	0.024712117	0.0139438236	0.0710162991	0.0151908629	-0.031692588	-0.0168627483	-0.011639671	-0.02574357	0.0149981071	-0.0552051199	-0.050989426	-0.042580266	-0.0214295233	-0.0231931097	0.0194411481	-0.0102589757	-0.0347881629	-0.0171275269	-0.0904451775	0.0218259872	-0.0124513173	-0.0703388461	0.0701867062	0.0113972318	-0.0321232914	-0.0337167463	0.0609630171	-0.0156544212	-0.0299912131	-0.0062484578	0.0162101456	0.0198464507	-0.1016513554	-0.0163656775	0.0688356273	-0.0138133805	-0.0097664391	0.0159418377	0.041496334	-0.0301447232	0.0144171372	0.0257981501	0.0537865359	-0.032909121	0.0492131152	0.0450476646	-0.0599473037	0.0527001843	5.2035e-05	-0.0312130214	0.062830476	-0.0142581425	-0.0026281601	-0.0138745284	-0.0459441386	-0.0653085899	0.001493836	0.0250377648	-0.0402836769	-0.0362528369	-0.027241979	-0.0813329274	-0.0033746288	-0.0716543144	0.0812682093	0.0473989267	0.0051454731	0.0324527919	-0.0459868342	0.0177109371	-0.0022446777	-0.0485440977	-0.0741008217	0.0316431144	0.0280289073	0.0216029434	0.0334938844	0.0390626609	0.0184876974	-0.0468355275	-0.0149851117	0.0161199273	-0.0637455573	0.0882694473	0.0073243943	-0.0058218928	-0.0045151472	0.0365959461	0.0021904763	-0.045160577	-0.0134360327	-0.0269954515	-0.0166884848	0.0268408639	-0.0182275695	-0.0488281675	-0.0417595676	-0.0162728984	0.0381646551	-0.1213417021	0.0298582747	0.0220571075	-0.0295448075	-0.0071405265	-0.0458981956	0.0802281428	-0.0465764233	0.0780543302	-0.0002417373	-0.0248149248	0.0062768837	0.0261484995	0.0253964305	-0.0243808747	-0.0297685849	-0.0442537463	-0.0581341678	-0.006497809	0.015859084	0.053259059	0.0532491441	0.0532326205	0.0532094904	0.0531797566	0.0	0.0349274	0.0853715999999999	0.0072883100865599	0.0012199232707599	0.121555	0.0547378	0.014775618025	0.00299622674884	-0.139252	-0.1109483999999999	0.0193911195039999	0.0123095474625599	-0.000191786	4.0873e-05	1.670602129e-09	3.6781869796e-08	-0.00287874	-0.0036445399999998	8.2871439876e-06	1.328267181159927e-05	0.00164803	0.001486816	2.210621817856e-06	2.7160028809e-06	1.0	0.0	0.0
