global_signal	global_signal_derivative1	global_signal_power2	global_signal_derivative1_power2	csf	csf_derivative1	csf_derivative1_power2	csf_power2	white_matter	white_matter_derivative1	white_matter_power2	white_matter_derivative1_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	c_comp_cor_05	c_comp_cor_06	c_comp_cor_07	c_comp_cor_08	c_comp_cor_09	c_comp_cor_10	c_comp_cor_11	c_comp_cor_12	c_comp_cor_13	c_comp_cor_14	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	w_comp_cor_19	w_comp_cor_20	w_comp_cor_21	w_comp_cor_22	w_comp_cor_23	w_comp_cor_24	w_comp_cor_25	w_comp_cor_26	w_comp_cor_27	w_comp_cor_28	w_comp_cor_29	w_comp_cor_30	w_comp_cor_31	w_comp_cor_32	w_comp_cor_33	w_comp_cor_34	w_comp_cor_35	w_comp_cor_36	w_comp_cor_37	w_comp_cor_38	w_comp_cor_39	w_comp_cor_40	w_comp_cor_41	w_comp_cor_42	w_comp_cor_43	w_comp_cor_44	w_comp_cor_45	w_comp_cor_46	w_comp_cor_47	w_comp_cor_48	w_comp_cor_49	w_comp_cor_50	w_comp_cor_51	w_comp_cor_52	w_comp_cor_53	w_comp_cor_54	w_comp_cor_55	w_comp_cor_56	w_comp_cor_57	w_comp_cor_58	w_comp_cor_59	w_comp_cor_60	w_comp_cor_61	w_comp_cor_62	w_comp_cor_63	w_comp_cor_64	w_comp_cor_65	w_comp_cor_66	w_comp_cor_67	w_comp_cor_68	w_comp_cor_69	w_comp_cor_70	w_comp_cor_71	w_comp_cor_72	w_comp_cor_73	w_comp_cor_74	w_comp_cor_75	w_comp_cor_76	w_comp_cor_77	w_comp_cor_78	w_comp_cor_79	w_comp_cor_80	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	a_comp_cor_32	a_comp_cor_33	a_comp_cor_34	a_comp_cor_35	a_comp_cor_36	a_comp_cor_37	a_comp_cor_38	a_comp_cor_39	a_comp_cor_40	a_comp_cor_41	a_comp_cor_42	a_comp_cor_43	a_comp_cor_44	a_comp_cor_45	a_comp_cor_46	a_comp_cor_47	a_comp_cor_48	a_comp_cor_49	a_comp_cor_50	a_comp_cor_51	a_comp_cor_52	a_comp_cor_53	a_comp_cor_54	a_comp_cor_55	a_comp_cor_56	a_comp_cor_57	a_comp_cor_58	a_comp_cor_59	a_comp_cor_60	a_comp_cor_61	a_comp_cor_62	a_comp_cor_63	a_comp_cor_64	a_comp_cor_65	a_comp_cor_66	a_comp_cor_67	a_comp_cor_68	a_comp_cor_69	a_comp_cor_70	a_comp_cor_71	a_comp_cor_72	a_comp_cor_73	a_comp_cor_74	a_comp_cor_75	a_comp_cor_76	a_comp_cor_77	a_comp_cor_78	a_comp_cor_79	a_comp_cor_80	cosine00	cosine01	cosine02	cosine03	cosine04	trans_x	trans_x_derivative1	trans_x_derivative1_power2	trans_x_power2	trans_y	trans_y_derivative1	trans_y_power2	trans_y_derivative1_power2	trans_z	trans_z_derivative1	trans_z_power2	trans_z_derivative1_power2	rot_x	rot_x_derivative1	rot_x_derivative1_power2	rot_x_power2	rot_y	rot_y_derivative1	rot_y_power2	rot_y_derivative1_power2	rot_z	rot_z_derivative1	rot_z_derivative1_power2	rot_z_power2	motion_outlier00	motion_outlier01	motion_outlier02
5283.631829343038	n/a	27916765.30804685	n/a	11589.56405782114	n/a	n/a	134317995.0503396	5210.8102336604425	n/a	27152543.2912204	n/a	5468.738161075189	8339.492573041043	n/a	n/a	n/a	n/a	-0.055458879	-0.0479921031	-0.0111490892	0.0579644879	-0.1090418608	0.1508744242	-0.5230859283	0.2172890011	0.0813659497	-0.1131618952	0.1558956078	-0.0267446444	0.0762744678	-0.1469655109	0.0289266017	-0.0122989513	0.0605455362	0.0188194413	-0.0978189236	0.0136802963	-0.0075314236	0.0887952681	-0.0443623472	0.0179913625	-0.0227600786	0.0193744586	-0.0240958582	0.0313480683	-0.0306252711	0.0131987926	-0.0117230156	0.092346403	-0.0272331746	-0.0302686904	0.1207964512	-0.0714452382	-0.0974767361	0.013303798	-0.0102428645	0.0697884991	-0.0056815534	0.048764543	-0.0267906067	0.0447760992	-0.03241563	0.0234074264	-0.0140577675	0.0044834574	-0.0578063128	0.0967883438	-0.0947128116	0.0557451254	-0.0438561088	0.0380122237	-0.0755279058	0.011393366	-0.0475555551	0.0391032899	-0.0439688992	0.0768692819	-0.0164511947	-0.0089414362	-0.0383746865	0.0184492798	0.0235489683	-0.0038308862	-0.004720669	0.0886894804	-0.0240471317	-0.0885676093	0.0510045735	-0.0138868935	-0.0778534021	0.1324591585	-0.0611026462	-0.0431506143	0.0381844635	0.0009540856	0.0258214758	-0.012396803	-0.0349758954	0.0006926791	0.0172091611	-0.0750881836	-0.0386442197	0.013885818	0.0244960859	0.0544036783	-0.095894263	0.0308893673	0.0537757126	-0.0661018552	-0.0549956461	0.113139131	0.0426206763	0.0462335653	-0.1305819006	-0.0455493208	-0.1224117264	0.1378037868	-0.0914394776	0.1358527856	-0.0379324569	0.0272879198	-0.0524767332	0.0088645212	-0.0790988221	0.0315815595	-0.0650384513	0.0093777233	-0.0470845595	0.0300910003	-0.0669083595	0.0563618485	-0.1114369952	0.1264540477	-0.0353890403	0.0307700389	-0.0686245114	0.0528517198	-0.011801247	0.0044474945	-0.0811796051	0.0495446056	-0.056085429	0.0671246984	-0.0450736904	0.041409406	-0.0462038669	0.0087178826	-0.0168713905	0.0866870592	-0.0436844082	0.0195640802	-0.0585037533	0.0436968168	-0.0020479925	0.0739015295	-0.0043127649	0.1408957356	-0.0478370089	0.0074763139	0.0632584902	-0.0015098715	-0.049296048	0.0008505145	0.0973769732	-0.0021305341	-0.0897177229	0.0244885489	-0.0862531792	0.0030221081	0.0371298176	-0.0354731934	-0.0805838529	0.0196814782	0.1305672946	-0.0732944443	0.0319007606	0.0041752437	-0.0264053098	-0.0159182558	0.0257854104	0.0004271911	0.0395998467	-0.005070713	-0.0398769434	0.0400261235	0.0592031663	-0.1418988305	-0.0098454163	0.0970855624	0.0615167968	-0.164307587	-0.0408486508	0.036876749	0.0330386965	0.001390209	0.0552343411	0.0854343618	0.0854301501	0.0854231306	0.0854133037	0.0854006697	-0.100284	n/a	n/a	0.010056880656	-0.0115934	n/a	0.00013440692356	n/a	0.464791	n/a	0.216030673681	n/a	-0.00185038	n/a	n/a	3.4239061444e-06	-0.00245795	n/a	6.0415182025e-06	n/a	0.0	n/a	n/a	0.0	0.0	0.0	0.0
5272.379528956728	-11.252300386309798	27797985.897361968	126.61426398374763	11510.589299194937	-78.97475862620377	6237.012500067146	132493666.014741	5205.682227554941	-5.128006105501299	27099127.45428137	26.296446618058603	5455.142168886173	8333.711903474768	1.186141	33.868244	0.0641902999999999	0.0318281	0.0593995313	-0.0642858442	0.0849348177	0.0281488863	-0.1293190156	0.0781123452	-0.3374134711	0.1352206739	-0.0748611279	0.0659697215	0.111296435	0.0001841506	0.0564345062	-0.0320016102	0.0707830237	-0.0225216403	0.0668245634	-0.0706811579	-0.0515869282	-0.0448347294	0.0308389822	-0.0265215603	-0.0005369189	-0.0958623296	-0.0922317977	-0.123591928	-0.009248439	0.0276083032	0.0492963413	-0.0307866823	0.0386603277	0.0522269119	-0.1002876992	-0.0181321289	-0.0320007028	-0.0306555486	0.0749407785	0.0818413554	-0.0700962114	-0.0105940187	0.0387305621	-0.0052898146	0.0655964013	0.1033056407	-0.0031324328	-0.0070959621	0.0854920632	0.0219850766	0.0422429772	-0.1128074887	-0.0111426409	-0.0013977487	-0.0041887405	0.0685085142	-0.0459720009	-0.0032647307	-0.0192480567	-0.0018028511	-0.0976969128	-0.0697267374	0.0456012627	0.0102674358	0.080017243	-0.071028279	-0.1017086644	0.0824243432	0.0970647987	0.0825256492	-0.0757914766	-0.1512862124	0.0066738091	-0.0036267682	-0.0603769719	0.0142256124	0.0604152845	-0.0970624285	0.0215573408	0.0500067007	-0.0226283357	-0.0549729973	-0.0141952359	0.0546846582	0.0414280838	-0.0362995366	-0.0809003144	0.0768213663	-0.042967591	-0.018188899	-0.0500566829	-0.0318705753	0.0014271194	0.0960226651	-0.0103120292	0.0265514285	0.0338256525	0.0481514488	-0.0109174571	0.0733696262	-0.0010356172	0.0806917805	-0.1282756584	0.0479322152	0.0436694236	-0.0069569535	-0.0362580051	-0.145488191	0.0430902134	0.0031931569	-0.0379611341	-0.002342332	0.0499036381	-0.0061813891	-0.1297001612	-0.013009674	-0.0029478955	0.038805075	-0.0521668313	-0.1366521666	-0.0826355809	0.0386903578	-0.0311186559	-0.0613430829	0.0496679334	-0.0194841049	0.0340780192	0.1067815621	0.0554934037	-0.1046106339	0.0399935459	0.0573934916	-0.0294322831	-0.0493522295	0.0857439917	-0.0276746924	0.0923678392	0.0163602003	0.0235903922	0.1159218489	0.014495787	0.1672179838	0.126987959	-0.0771685702	-0.0439742493	-0.0499113333	0.0547474591	0.0520928806	0.0710276754	-0.0519368672	-0.0243127668	0.0774077906	-0.1134711869	-0.0479159684	-0.0529238516	-0.0184340091	0.0231903027	-0.0065163342	0.045387431	0.0077071834	0.0868317404	0.0531333444	0.0398305374	-0.016205488	0.0072343159	0.0186811012	0.0382950397	0.0381338982	0.0206445809	0.0421492972	-0.0733647316	-0.0185010146	0.0928745931	0.0503881325	-0.0318255292	0.0051005038	-0.0420158348	0.000208015	0.0966958539	0.0253497563	0.0152425757	0.0854231306	0.0853852289	0.0853220719	0.0852336782	0.085120074	-0.0838589	0.0164250999999999	0.0002697839100099	0.00703231510921	-0.0117696	-0.0001761999999999	0.00013852348416	3.1046439999999874e-08	0.478606	0.0138149999999999	0.2290637032359999	0.0001908542249999	-0.00156008	0.0002903	8.427409000000005e-08	2.4338496064e-06	-0.00207277	0.00038518	4.2963754729e-06	1.4836363240000015e-07	-4.23516e-22	-4.23516e-22	1.7936580225599999e-43	1.7936580225599999e-43	0.0	0.0	0.0
5272.497645609929	0.1181166532014685	27799231.42296225	0.0139515437635159	11429.591955124011	-80.99734407092546	6560.569746543884	130635572.26063552	5211.387391228404	5.705163673463176	27158558.541454397	32.54889254100384	5459.672694235855	8232.969953356776	1.327018	37.890747	0.09873565	0.0577693	0.0129578972	0.0836135575	0.0328407073	-0.0980203602	-0.0408098439	0.0989619656	-0.2588505799	-0.0219928868	0.0384662365	-0.0625061498	0.1055124173	-0.0004436286	0.0643517159	-0.0308449551	-0.0179448494	0.0633216245	-0.0086890894	0.0895760005	-0.0203121087	0.0638097415	-0.0504706086	-0.0619174803	0.0264387796	-0.0352965235	0.022173359	0.018304614	0.0143837421	0.0376871201	-0.1386005896	-0.044841414	-0.0069824017	0.0533517336	0.0468101279	-0.0148616043	0.0835792072	0.0444582117	0.0488782956	-0.0930271488	-0.005132846	0.1307417749	0.0248004331	-0.0948867005	0.0426932371	-0.0676927986	3.88214e-05	-0.0384061519	0.0393911814	0.0793403803	0.108785539	-0.0009637501	0.0255314527	0.033305794	-0.0442628087	-0.0938663068	-0.0789805782	0.0401249098	-0.0289686759	0.0437572108	-0.1073799177	0.0246353176	-0.0156808675	0.048146946	0.0102704081	-0.0497593818	-0.0569173965	0.0079295788	0.0827759718	0.0002687227	0.0120188155	-0.0488779596	-0.0390603586	0.063030298	-0.024535735	-0.0283599124	0.0696246001	0.0489609781	0.0348013525	-0.1336009288	-0.0852496061	0.03000742	-0.0585043592	-0.0555324096	-0.0532460133	-0.1052779704	-0.0253736217	0.042128	0.0006052829	-0.0634432023	0.10984525	-0.0160085404	0.0209610264	0.07739328	0.0255477995	0.0219245213	-0.0276333527	-0.0370027313	0.0032384006	-0.0088799668	-0.1263792859	-0.0480010368	-0.0451183885	0.0018201186	-0.0240245562	-0.0196854275	0.0581006053	-0.0685374354	-0.0315840413	0.0976600706	-0.0351656628	-0.0656030901	-0.0531333241	0.0281832281	0.0213407738	0.0525109504	-0.0473548288	0.016300685	0.0573437593	0.0035668849	-0.0514189354	-0.1354276924	0.1217938219	-0.103033984	-0.0106777262	-0.026574417	-0.0916400918	-0.028805454	0.0189594734	-0.0133420912	-0.0719575962	0.0284685936	-0.1322954107	0.0053858678	0.0960107989	0.0285976653	-0.0522376313	-0.075268201	-0.1070488019	0.050025508	0.0030148856	0.0923769835	0.0415972043	-0.0122104654	-0.0324950362	-0.0304695815	0.0194864026	-0.0748260818	0.0347851018	-0.0463833097	-0.0593010248	-0.0242103805	0.0034530557	-0.0709472385	-0.0643184164	-0.0655083532	0.0069420189	0.0240859129	-0.0765750541	-0.0071431835	0.0439869809	-0.0656470943	-0.0472747998	0.0862543933	-0.0119337998	-0.0683143827	0.0372069698	0.0375385989	-0.0965280581	0.003776513	-0.0088185503	0.0931692862	0.0742418959	0.0553101046	-0.0543906609	0.0655372121	0.0044036646	0.0061877327	-0.1018723033	0.0068523592	-0.0209751505	0.0854006697	0.0852954103	0.085120074	0.084874805	0.0845598046	-0.0816587	0.0022001999999999	4.840880039999998e-06	0.00666814328569	-0.00601865	0.0057509499999999	3.6224147822500006e-05	3.3073425902499994e-05	0.509834	0.031228	0.259930707556	0.000975187984	-0.00232149	-0.0007614099999999	5.797451880999998e-07	5.3893158201e-06	-0.00189305	0.0001797199999999	3.5836383025000003e-06	3.2299278399999914e-08	0.00025	0.00025	6.25e-08	6.25e-08	0.0	0.0	0.0
5278.943233309533	6.445587699603493	27867241.660504505	41.54560079327985	11375.92061076996	-53.67134435405205	2880.613204771236	129411569.74254076	5206.819293064024	-4.56809816437999	27110967.150623742	20.86752083941183	5454.215901819075	8221.62413720371	1.275367	36.415916	0.1180989599999999	0.0687325	-0.0829243085	-0.0215331578	-0.0719458864	0.0156229505	-0.0559988399	0.0348021194	-0.1527439804	0.0755903789	0.0115378486	0.0533892572	-0.0177738379	-0.0617128601	-0.0159088882	-0.1291949538	-0.0011736305	-0.1277692459	-0.0743772443	-0.0170908324	0.0061792881	-0.0208863547	0.115951244	0.0304829308	-0.0059802442	0.0190373972	-0.0268945468	0.0831108741	0.0212885416	0.0578188513	0.0197536764	-0.1225778281	-0.0443320197	-0.0223272053	0.0595261646	-0.056879712	0.0579069762	0.0750803391	0.0240300737	-0.0383724901	-0.105202492	-0.029785736	-0.0722665753	0.0095667743	-0.1115118053	0.0140749257	0.0708145329	-0.07848251	0.0677439796	0.0200383624	0.0178063617	0.0882942906	0.039898243	0.11559833	-0.0701344562	-0.0415527343	0.0318186864	0.0444961513	-0.1055717014	-0.1239844183	-0.1135611048	-0.0076743859	-0.0762688466	-0.1130610273	-0.0118262473	-0.0188148749	-0.0417458867	-0.0093170377	0.0401197614	-0.0382662606	0.0766135555	-0.0339283312	0.0023235121	-0.0749978959	0.0191724302	-0.1035488109	0.002190664	0.0823807438	-0.1455459162	0.1012224456	-0.05445586	-0.0045890569	-0.1069667051	0.0649503645	0.01236564	0.0173267624	0.0231295189	0.0179710742	-0.0848823156	0.0165163228	0.0801027966	-0.1458821028	0.0361355769	-0.0622121101	-0.044370161	-0.0718469601	0.0626514251	-0.0814543668	0.0413367637	-0.0436958649	-0.0589710382	0.0647946008	-0.0198083912	-0.015142801	0.0321581874	0.0680171932	-0.0237690703	0.0612169607	-0.0711456824	-0.0250318894	0.0488686504	-0.0621788486	0.1162709194	0.0995037075	0.0336398846	0.0630724958	-0.0536741058	0.0102233379	0.0523397432	0.021618278	0.040586132	-0.0818134931	-0.1139519099	-0.0286280241	-0.0637785547	-0.0027633413	-0.0715105374	-0.0322003861	0.0972704416	-0.0809543581	0.0735328259	0.0452001683	0.0109997098	0.0122349597	0.0867747405	0.1574699855	-0.006646187	0.0604979857	0.0041575028	-0.0013311589	-0.0179309591	0.0718321179	0.0886664328	0.1006788141	0.0459229848	0.0248735533	-0.0259918088	-0.0346812453	-0.0963771421	-0.0738176139	-0.0914896287	-0.0487624003	-0.0046784319	-0.0326997421	0.0018364094	0.0620806964	-0.0198225768	0.020020726	-0.0691250115	0.1571384441	-0.1004660127	-0.0576390231	0.0464335336	-0.0289773224	0.0858512103	-0.0178561112	0.0582390258	0.064059325	0.092363294	0.0374774719	-0.0657045813	0.0561235345	-0.0144187189	-0.0168401407	-0.0284271052	-0.0702743337	0.046623407	-0.1380010658	-0.0593973665	-0.0012807607	0.0793518406	0.085366982	0.0851607413	0.0848173759	0.0843374387	0.0837217023	-0.0908839	-0.0092252	8.510431504000006e-05	0.00825988327921	-0.00754491	-0.0015262599999999	5.69256669081e-05	2.3294695876e-06	0.478978	-0.0308559999999999	0.229419924484	0.0009520927359999	-0.00133365	0.0009878399999999	9.758278655999996e-07	1.7786223225e-06	-0.00218504	-0.00029199	4.7743998016e-06	8.52581601e-08	0.0	-0.00025	6.25e-08	0.0	0.0	0.0	0.0
5274.431417521761	-4.511815787771411	27819626.77814062	20.35648170278336	11418.742733910864	42.822123140904296	1833.7342302947711	130387685.62324214	5201.564334627477	-5.2549584365469855	27056271.527268592	27.61458816983634	5446.533678327288	8224.0973254007	1.336465	38.160488	0.06073439	0.0430315	0.0783122547	-0.0378225498	0.0896101756	0.0372121386	-0.0243147179	0.0485973357	-0.076311253	0.0484242076	0.014634893	0.0962953918	-0.0515121448	-0.003548451	0.0191180582	0.0250075374	-0.0039391016	-0.0555789079	-0.0799380057	-0.0202157743	0.0446707641	-0.0410805357	0.0019094753	-0.0541790916	0.0035052432	-0.0158482583	-0.024032489	-0.1254462014	-0.0043627241	0.1171121941	0.104555236	-0.0359400759	-0.0704921337	-0.0402580083	-0.0303194328	0.104742382	-0.0667196072	0.0413022241	-0.0320814158	-0.0217787064	-0.0494562599	0.1238407355	0.0468396764	0.0441456545	-0.1147813631	-0.1187174768	-0.100253647	0.0627045235	-0.0809065907	-0.0276928435	0.0557547443	0.082245384	-0.035853709	-0.1173946038	0.0760257265	0.0427616255	0.0203997097	-0.0807805652	-0.0204251632	0.0363712387	-0.0578941925	-0.046569214	-0.0332267493	-0.0150878473	0.0130989561	-0.0486013102	0.0880065864	-0.0007712284	0.0870298571	-0.0281173022	-0.0550111841	0.059730948	0.0419662036	-0.0075767813	-0.1005507118	-0.0242639588	0.0378560765	-0.0095195081	0.0156610312	-0.0267736706	-0.0858368437	-0.0144529228	-0.0329369909	-0.0101104795	0.025238291	-0.0331315209	-0.0382663255	0.0174136411	-0.0151597346	0.015751929	-0.0993171215	0.0650391748	0.0020815194	-0.094032178	0.0774806299	-0.0210430695	-0.001780123	-0.0030831386	0.088868006	0.042241857	0.0361028986	0.0072793922	-0.0568850921	-0.029529824	0.0004508019	-0.0470303481	-0.0198293535	-0.0757785348	0.086308179	0.0151600193	-0.044763564	0.0880161937	0.1329438933	0.0811151448	-0.0391506067	-0.0069528432	0.1531346228	-0.0234896442	-0.014781791	9.91922e-05	-0.0881421527	-0.0465982349	-0.0530982793	0.014540942	0.0157236898	-0.0512966233	-0.1634332833	-0.0347701433	-0.1149045912	0.1104017249	0.0051074081	-0.0572296941	-0.0389479681	0.0060966201	-0.131820975	-0.0293666329	0.0877259663	0.0310956941	-0.0046501941	-0.0082470479	0.0148429067	0.1302899604	-0.0076361002	0.0382162253	0.0493821852	-0.0279400231	0.0450015302	0.0881099729	-0.0014324211	-0.0116148337	0.043862446	0.0111994229	0.0178693788	-0.044058148	-0.1360026065	0.0217741334	-0.0448613485	0.1027647534	0.0148205583	0.025263781	0.0117929481	-0.034875274	-0.0242561586	0.0175664233	-0.0155336172	0.0044063481	0.0032094052	0.0400334687	-0.0562898972	0.024331521	0.0236882483	-0.0889204692	-0.1032515503	0.0056721347	0.0141861111	0.0906112885	0.1344135465	0.08932794	0.0175345597	-0.0283026687	-0.0517726653	0.0853220719	0.0849812929	0.0844143358	0.0836227095	0.0826085209	-0.0909931	-0.0001091999999999	1.1924639999997783e-08	0.0082797442476099	-0.0141051	-0.00656019	0.00019895384601	4.3036092836100006e-05	0.471282	-0.007696	0.222106723524	5.922841600000056e-05	-0.00217536	-0.0008417099999999	7.084757240999998e-07	4.7321911296e-06	-0.00209937	8.566999999999993e-05	4.407354396900001e-06	7.339348899999988e-09	8.47033e-22	8.47033e-22	7.174649030889999e-43	7.174649030889999e-43	0.0	0.0	0.0
5276.997690583102	2.566273061340325	27846704.626419388	6.585757425361046	11356.070394370714	-62.67233954014955	3927.822143435793	128960334.80190302	5212.096856937564	10.53252231008628	27165953.64609843	110.9340262124652	5456.659419847571	8193.003044653191	1.31925	37.668949	0.08241094	0.0630243	-0.0168907832	0.0909572508	-0.0234390684	-0.0808681147	0.0756033897	-0.0120148286	-0.063743477	-0.1043148412	0.0023770818	0.0009937813	0.0098114511	-0.0204879426	0.0222278137	0.0279302211	-0.0438427188	0.0174351423	-0.0415708607	0.1546723283	-0.043101714	0.0409274305	-0.0840013303	0.0199569302	-0.0866495071	-0.0203977613	-0.0215786669	-0.050400963	-0.0022058656	0.070014602	-0.0236975047	0.0399470474	-0.0001060967	-0.0083035817	-0.106132501	-0.0439960673	0.1725621484	0.0616612369	-0.0033761809	-0.0264574646	-0.0146463479	0.0291605526	-0.0520543026	-0.0562349505	-0.0052292746	-0.010604527	-0.0290006758	0.0693611697	0.0473945936	0.0577962462	0.006247452	-0.0329439552	-0.006949926	-0.0343085017	-0.036464216	-0.0574860958	-0.0326327539	-0.0193559067	0.0636087269	-0.0850083415	0.0106880636	0.0263482815	-0.0654826881	0.056466376	-0.0224844728	-0.0674461125	0.1092168367	-0.0735057093	-0.0648211785	0.0239226391	0.0619195209	0.0395522642	0.0035948637	0.0391450785	0.0081171137	-0.0226155825	-0.0457169281	-0.052916019	-0.0365354528	0.0737564877	0.0250607479	-0.0168771384	-0.0572454916	0.022590293	0.0031824247	-0.0030559463	-0.0086226488	0.0381545322	-0.096227851	0.0469170081	0.0204538231	0.0392345221	0.0501515397	0.0133420054	-0.0399815344	-0.0659281275	0.0404665678	0.0406477657	-0.0021501319	0.0721925257	-0.0996142113	-0.0411166174	0.0250491346	0.0892860058	-0.1057575906	-0.0691736624	0.0329651964	-0.0565984033	0.0716284878	0.0009174193	-0.027772943	0.023626974	-0.0302037012	0.0787864911	-0.0546525956	-0.079521738	-0.0612767433	0.0992505243	0.1550806202	0.0127033477	0.0253177326	-0.0221706715	0.0204523067	-0.047090334	-0.0376534776	-0.0559225815	-0.0158692939	0.0055119943	-0.0434889625	-0.0291918915	-0.029488061	0.0388946891	0.0010944248	-0.0006289273	0.0027010853	-0.0725189691	-0.0390441743	-0.07198311	0.0068027462	-0.0014226037	0.0443691444	-0.0729366071	-0.0019075046	0.1004777776	0.0656745887	-0.0852846975	-0.0494774057	-0.0467697159	-0.0291555246	-0.0260505924	0.0506268001	-0.0209268091	-0.0308232442	-0.0100908591	-0.032500348	0.0276143624	0.0539382036	0.0247694322	0.0797392357	0.0395013252	-0.0214557656	0.0715074582	0.0144001649	-0.0070608111	0.1123880373	-0.0284946598	-0.0078285166	0.0510789519	0.0303294353	0.0265111242	-0.1094304185	-0.0358085984	0.0131848448	-0.0185165777	0.0545126589	0.1195276457	0.0627356875	-0.0482986058	0.0002228094	0.0254606365	0.0285264826	0.0852659454	0.0847571594	0.0839114303	0.0827321204	0.0812239177	-0.0891648	0.0018282999999999	3.342680889999967e-06	0.00795036155904	-0.0121702	0.0019348999999999	0.00014811376804	3.7438380099999992e-06	0.530174	0.058892	0.281084470276	0.003468267664	-0.00242402	-0.0002486599999999	6.183179559999999e-08	5.8758729604e-06	-0.00201279	8.658000000000016e-05	4.0513235841e-06	7.496096400000029e-09	5.98748e-05	5.98748e-05	3.5849916750399997e-09	3.5849916750399997e-09	0.0	0.0	0.0
