TrialNumber,Trialn,TrialType,Partner,Feedback,ITI,ISI,ran,order,studyStart,InitFixOnset,InitFixOffset,decision_onset,resp,resp_onset,rt,ISI_onset,isi_for_trial,ISI_offset,outcome_val,outcome_onset,outcome_offset,trialDuration,ITIonset,ITIoffset,final_fix_offset
1,1,6,2,3,4,2.550000e+00,1.0,0.0,3.9997976e-06,70.33419,74.334076,74.52967,2.0,75.25958,0.7299123,75.35999,4.2200875,79.58217,6.0,79.58234,80.58963,6.059959,80.58982,84.59107,--
2,2,1,1,1,4,2.550000e+00,1.0,1.0,--,--,--,84.59756,2.0,85.42704,0.82948,85.52738,4.12052,89.65004,1.0,89.650154,90.6562,6.0586376,90.65634,94.65757,--
3,3,1,1,1,2,8.500000e-01,1.0,2.0,--,--,--,94.65914,7.0,95.07628,0.4171345,95.17661,2.8328655,98.01104,9.0,98.011154,99.017136,4.3579974,99.01729,101.01873,--
4,4,4,2,1,2,8.500000e-01,1.0,3.0,--,--,--,101.20987,7.0,101.84206,0.6321839,101.94238,2.6178162,104.56114,9.0,104.56126,105.56515,4.3552737,105.56529,107.56712,--
5,5,4,2,1,2,2.550000e+00,1.0,4.0,--,--,--,107.757355,2.0,108.39194,0.634582,108.49227,4.315418,112.80866,2.0,112.80878,113.813354,6.0560026,113.8135,115.81493,--
6,6,3,1,3,4,2.550000e+00,1.0,5.0,--,--,--,115.81772,7.0,116.5433,0.7255784,116.64362,4.2244215,120.86998,1.0,120.870094,121.874985,6.0572653,121.87516,125.87697,--
7,7,4,2,1,3,8.500000e-01,1.0,6.0,--,--,--,126.0614,7.0,127.20961,1.1482067,127.31,2.1017933,129.41307,8.0,129.4132,130.41907,4.357673,130.41922,133.42064,--
8,8,6,2,3,4,8.500000e-01,1.0,7.0,--,--,--,133.60196,2.0,134.12617,0.5242081,134.2265,2.725792,136.95511,6.0,136.95522,137.95988,4.35792,137.96004,141.9619,--
9,9,6,2,3,3,2.550000e+00,1.0,8.0,--,--,--,142.14413,7.0,142.77512,0.6309805,142.87547,4.3190193,147.19707,3.0,147.19717,148.20221,6.0580697,148.20235,151.20432,--
10,10,6,2,3,4,1.700000e+00,1.0,9.0,--,--,--,151.3856,2.0,152.0084,0.6228147,152.10875,3.4771852,155.58705,7.0,155.58716,156.59204,5.206448,156.5922,160.59367,--
11,11,6,2,3,3,8.500000e-01,1.0,10.0,--,--,--,160.778,7.0,161.50948,0.7314745,161.60986,2.5185256,164.12993,1.0,164.13004,165.13438,4.3563848,165.13454,168.1365,--
12,12,6,2,3,3,1.700000e+00,1.0,11.0,--,--,--,168.32054,7.0,169.15916,0.8386243,169.2595,3.2613757,172.52292,1.0,172.52304,173.52695,5.2064133,173.5271,176.52882,--
13,13,2,1,2,3,1.700000e+00,1.0,12.0,--,--,--,176.53163,2.0,177.15848,0.6268434,177.25883,3.4731567,180.7335,5.0,180.73363,181.73906,5.2074137,181.7392,184.74063,--
14,14,1,1,1,4,1.700000e+00,1.0,13.0,--,--,--,184.74222,2.0,185.87779,1.1355698,185.97812,2.96443,188.94447,4.0,188.9446,189.94983,5.2076087,189.94997,193.95192,--
15,15,4,2,1,2,1.700000e+00,1.0,14.0,--,--,--,194.13737,2.0,194.97604,0.8386619,195.07637,3.261338,198.33978,1.0,198.33989,199.34406,5.2066755,199.34421,201.34563,--
