TrialNumber,Trialn,TrialType,Partner,Feedback,ITI,ISI,ran,order,studyStart,InitFixOnset,InitFixOffset,decision_onset,resp,resp_onset,rt,ISI_onset,isi_for_trial,ISI_offset,outcome_val,outcome_onset,outcome_offset,trialDuration,ITIonset,ITIoffset,final_fix_offset
1,1,4,2,1,3,8.500000e-01,1.0,0.0,2.4000183e-06,62.96459,66.96471,67.16187,2.0,67.58123,0.4193593,67.681694,2.8306408,70.51471,3.0,70.514854,71.52289,4.361017,71.52308,74.52509,--
2,2,4,2,1,2,1.700000e+00,1.0,1.0,--,--,--,74.71698,2.0,75.145836,0.4288558,75.246216,3.6711442,78.92028,2.0,78.920395,79.92635,5.209378,79.92652,81.92905,--
3,3,4,2,1,1,8.500000e-01,1.0,2.0,--,--,--,82.12486,2.0,82.545456,0.420598,82.64586,2.829402,85.47803,2.0,85.478134,86.48334,4.358476,86.48348,87.484695,--
4,4,1,1,1,2,1.700000e+00,1.0,3.0,--,--,--,87.490814,7.0,88.01262,0.5218032,88.11298,3.5781968,91.69381,8.0,91.69392,92.698845,5.208033,92.699,94.70076,--
5,5,2,1,2,4,2.550000e+00,1.0,4.0,--,--,--,94.70244,2.0,95.328514,0.6260765,95.428894,4.3239236,99.753624,5.0,99.75373,100.760895,6.058456,100.76105,104.76291,--
6,6,4,2,1,4,1.700000e+00,1.0,5.0,--,--,--,104.95264,7.0,105.3791,0.4264643,105.479485,3.6735356,109.15549,6.0,109.155594,110.16188,5.2092457,110.16203,114.16329,--
7,7,3,1,3,1,2.550000e+00,1.0,6.0,--,--,--,114.166275,2.0,114.79527,0.6289988,114.89565,4.321001,119.219666,7.0,119.21977,120.22681,6.0605345,120.22696,121.228966,--
8,8,4,2,1,4,1.700000e+00,1.0,7.0,--,--,--,121.42286,7.0,121.84542,0.4225589,121.94586,3.6774411,125.62594,7.0,125.626045,126.63146,5.2086043,126.63162,130.6332,--
9,9,6,2,3,3,2.550000e+00,1.0,8.0,--,--,--,130.8212,2.0,131.2456,0.4244007,131.34601,4.5255995,135.87347,8.0,135.87358,136.87889,6.057688,136.87904,139.88075,--
10,10,3,1,3,1,1.700000e+00,1.0,9.0,--,--,--,139.88383,2.0,140.31212,0.4282916,140.41252,3.6717083,144.08694,7.0,144.08705,145.09172,5.207894,145.09187,146.09323,--
