TrialNumber,Trialn,TrialType,Partner,Feedback,ITI,ISI,ran,order,studyStart,InitFixOnset,InitFixOffset,decision_onset,resp,resp_onset,rt,ISI_onset,isi_for_trial,ISI_offset,outcome_val,outcome_onset,outcome_offset,trialDuration,ITIonset,ITIoffset,final_fix_offset
1,1,1,1,1,2,2.550000e+00,1.0,0.0,2.5000008e-06,60.70352,64.70339,64.70855,2.0,65.74157,1.0330201,65.84197,3.9169798,69.76025,4.0,69.76038,70.76654,6.057991,70.76672,72.76852,--
2,2,4,2,1,1,8.500000e-01,1.0,1.0,--,--,--,72.942955,7.0,75.42444,2.4814851,75.52484,0.7685148,76.296104,7.0,76.29622,77.30065,4.357703,77.3008,78.302345,--
3,3,2,1,2,4,2.550000e+00,1.0,2.0,--,--,--,78.306206,2.0,78.94129,0.6350886,79.041695,4.3149114,83.357605,5.0,83.35772,84.36357,6.057362,84.363716,88.36533,--
4,4,6,2,3,2,1.700000e+00,1.0,3.0,--,--,--,88.53803,7.0,89.15985,0.6218245,89.26031,3.4781754,92.740364,1.0,92.74048,93.74632,5.2082896,93.746475,95.74746,--
5,5,1,1,1,2,8.500000e-01,1.0,4.0,--,--,--,95.75022,7.0,96.47459,0.7243716,96.574936,2.5256283,99.10299,8.0,99.1031,100.1083,4.35808,100.108444,102.10992,--
6,6,5,2,2,2,8.500000e-01,1.0,5.0,--,--,--,102.27961,7.0,103.32504,1.0454293,103.42543,2.2045708,105.632095,5.0,105.63221,106.63666,4.3570485,106.63681,108.63834,--
7,7,5,2,2,1,8.500000e-01,1.0,6.0,--,--,--,108.80978,2.0,109.95796,1.1481874,110.0583,2.1018126,112.16117,5.0,112.16129,113.165535,4.3557625,113.16568,114.16738,--
8,8,3,1,3,1,1.700000e+00,1.0,7.0,--,--,--,114.17013,7.0,115.524475,1.3543485,115.62481,2.7456515,118.37232,4.0,118.37244,119.37844,5.208314,119.378586,120.38032,--
9,9,6,2,3,1,2.550000e+00,1.0,8.0,--,--,--,120.55042,2.0,121.37755,0.8271243,121.47788,4.1228757,125.603226,7.0,125.60334,126.60843,6.0580044,126.608574,127.61049,--
10,10,2,1,2,2,2.550000e+00,1.0,9.0,--,--,--,127.613266,7.0,128.24084,0.6275786,128.3412,4.3224216,132.66527,5.0,132.66539,133.67033,6.057066,133.67049,135.6727,--
