global_signal	global_signal_derivative1	global_signal_power2	global_signal_derivative1_power2	csf	csf_derivative1	csf_power2	csf_derivative1_power2	white_matter	white_matter_derivative1	white_matter_power2	white_matter_derivative1_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	c_comp_cor_05	c_comp_cor_06	c_comp_cor_07	c_comp_cor_08	c_comp_cor_09	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	w_comp_cor_19	w_comp_cor_20	w_comp_cor_21	w_comp_cor_22	w_comp_cor_23	w_comp_cor_24	w_comp_cor_25	w_comp_cor_26	w_comp_cor_27	w_comp_cor_28	w_comp_cor_29	w_comp_cor_30	w_comp_cor_31	w_comp_cor_32	w_comp_cor_33	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	a_comp_cor_32	a_comp_cor_33	cosine00	cosine01	cosine02	cosine03	cosine04	non_steady_state_outlier00	trans_x	trans_x_derivative1	trans_x_derivative1_power2	trans_x_power2	trans_y	trans_y_derivative1	trans_y_derivative1_power2	trans_y_power2	trans_z	trans_z_derivative1	trans_z_derivative1_power2	trans_z_power2	rot_x	rot_x_derivative1	rot_x_derivative1_power2	rot_x_power2	rot_y	rot_y_derivative1	rot_y_power2	rot_y_derivative1_power2	rot_z	rot_z_derivative1	rot_z_derivative1_power2	rot_z_power2	motion_outlier00
5262.500843364439	n/a	27693915.12641143	n/a	11297.707202801335	n/a	127638188.04022916	n/a	4926.013659927358	n/a	24265610.577790927	n/a	4976.370759703621	9988.308851535889	n/a	n/a	n/a	n/a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.038748	n/a	n/a	0.001501407504	-0.0224824	n/a	n/a	0.00050545830976	-0.0110841	n/a	n/a	0.00012285727281	0.000149643	n/a	n/a	2.2393027449000002e-08	0.000180563	n/a	3.2602996969000004e-08	n/a	-0.000126826	n/a	n/a	1.6084834276e-08	0.0
5274.323481808678	11.822638444238692	27818488.19075841	139.77477978319067	11366.287764585935	68.58056178459992	129192497.54737592	4703.293454691328	4930.1816483280845	4.167988400726244	24306691.08551103	17.372127308588517	4974.555727461558	10002.328232170084	1.309103	38.110481	0.04872565	0.0213542	-0.1363617966	-0.0108887608	0.0795017089	-0.102363573	-0.0827764577	-0.1043558547	0.0812038068	0.1972988638	-0.0895166797	0.0609798896	-0.0437561115	0.053003005	-0.0682628144	-0.2017765512	-0.0655382872	0.0876423456	-0.040331099	0.0158640868	-0.066684597	0.113068498	-0.0801058254	0.0431992859	-0.0532450874	0.0988397519	-0.1024838276	0.0896531499	-0.0262752782	0.0102754251	0.0687569823	-0.0341031549	0.2546260345	0.0108913301	0.0606472495	-0.1063222004	-0.0526473843	0.1463678381	0.0782673969	-0.155650238	-0.1118177718	0.0979480531	0.0228128002	0.0179394792	-0.007090592	-0.0480828656	0.2123282656	0.0849163704	-0.04583825	-0.1869626093	-0.0676187281	0.1127394671	-0.026965237	-0.0458306156	0.14608599	-0.0843566701	0.0082792055	-0.0187947362	0.0600059255	-0.0315002487	0.0703005598	-0.148460189	0.065217569	-0.0095038178	-0.0817616094	0.1671116585	-0.1822883003	-0.1324279445	0.0645441034	-0.0667589752	-0.0581370732	-0.0301425805	-0.0073851733	0.0931930169	0.1543746064	-0.126136914	-0.0055226952	0.0053440559	0.041382039	-0.0206052086	-0.2341054195	0.019049222	0.0606554954	-0.1847576324	0.1466261977	0.1465634515	0.1464588945	0.1463125564	0.1461244791	0.0	0.0361328	-0.0026151999999999	6.83927103999999e-06	0.00130557923584	-0.0299004	-0.007418	5.502672400000001e-05	0.00089403392016	-0.0208367	-0.0097526	9.511320676e-05	0.0004341680668899	0.000421051	0.000271408	7.3662302464e-08	1.7728394460099997e-07	-0.0	-0.000180563	0.0	3.2602996969000004e-08	0.0	0.000126826	1.6084834276e-08	0.0	0.0
5263.519152081632	-10.804329727046024	27704633.86433014	116.73354085073042	11338.303869357476	-27.983895228459005	128557134.63388672	783.0983921573707	4934.307624576173	4.125976248088591	24347391.733950555	17.023679999791206	4980.766644190228	10022.5730831704	1.166735	33.965855	0.047793075	0.0264402	0.0837280879	-0.0384726491	-0.064166698	-0.1128222391	0.0887201617	-0.1033893788	0.0665465854	0.0334226499	0.0553761081	0.1907611929	-0.1152679809	0.2464381076	-0.0157313736	-0.0795575457	0.1669185044	-0.1187871151	0.0722174735	0.1509669042	-0.0376780338	0.0224822403	0.0863024272	-0.1081003942	-0.0635619607	-0.2091058697	-0.0322514962	0.1102788631	-0.0351775113	-0.0512992641	0.1203611505	-0.0211273607	0.0476720308	-0.0489219557	0.0157839932	-0.281269753	-0.0092344893	-0.0419438426	0.0710904382	-0.0719425104	0.0963093921	0.1115042403	-0.0335997932	0.187359571	0.0241126686	-0.1205462247	0.0769875744	0.2425716559	0.0674596382	-0.0005695646	0.1670476697	-0.1102441714	0.0426163718	0.1604154916	0.0049274855	0.0246096443	0.1078530887	0.1141853049	0.0480754048	-0.1721136141	-0.0318297951	0.0840225861	0.0692611824	0.0079176481	-0.0151771273	0.1721056569	-0.1026159818	0.0145894023	0.0170555922	0.1464856608	-0.1133176683	0.1263076642	0.077394254	0.1971974379	-0.0286699765	-0.1080447012	-0.1193808993	0.1468749166	0.0589043592	-0.0552984477	-0.1660134968	0.190767508	-0.1072429958	-0.1191803969	0.1464588945	0.1458947161	0.1449560281	0.14364524	0.1419657166	0.0	0.0463338	0.010201	0.000104060401	0.00214682102244	-0.0238904	0.00601	3.612010000000002e-05	0.00057075121216	-0.00699393	0.01384277	0.0001916222812729	4.89150568449e-05	6.62649e-05	-0.0003547861	1.2587317675320997e-07	4.391036972009999e-09	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
5243.289533298096	-20.229618783535443	27492085.129993368	409.23747612717	11276.527986893288	-61.775882464187816	127160083.4391876	3816.259654229148	4919.687421082683	-14.620203493490408	24203324.321159177	213.75035019106912	4967.202201450893	9933.909402095309	1.061788	30.91065	0.0103471349999999	0.00650347	-0.0614791209	-0.0612324392	-0.0173694878	0.1236865929	-0.0099100143	0.1559652768	0.094584681	0.0725617466	-0.0852586574	0.0644467444	-0.0725363754	0.1645847153	-0.0922635849	-0.111685619	-0.1087544952	0.0194320201	-0.1061504886	0.1062688963	0.0506400855	-0.0162964868	-0.0739426232	0.1051937557	-0.1717867218	-0.1388607047	0.026100814	-0.0430310504	-0.2260483213	0.0508610658	0.0537062104	-0.104127629	0.0854937074	0.1240596106	-0.1259757805	-0.1027758299	-0.009512254	-0.0710277603	0.0443347586	-0.0156710261	0.111324807	-0.0684876326	0.0654513344	-0.0766489266	-0.0317522509	0.085011315	-0.0261926547	-0.2172519051	0.057062282	0.0328692635	-0.1098027691	0.0019309053	-0.1103620524	0.0639995558	0.0447940628	-0.0380390948	-0.0987014837	-0.0994794458	0.0713943471	-0.1972559783	-0.0148523575	0.0764378621	-0.1401377111	0.2034642756	-0.0526872967	-0.0312818712	-0.1423716107	-0.0750710433	0.0032403019	0.008006359	-0.1725410697	0.0511828692	0.0623044057	0.066535022	-0.0331402566	0.0840577988	0.0658105366	-0.0398854926	-0.0627284736	0.0849593697	0.1108874969	-0.2145008384	-0.0342949244	0.1496934659	0.1461244791	0.1445602966	0.1419657166	0.1383592329	0.1337665517	0.0	0.0463326	-1.1999999999998123e-06	1.4399999999995496e-12	0.00214670982276	-0.0238901	2.999999999982184e-07	8.999999999893103e-14	0.00057073687801	-0.00900807	-0.00201414	4.056759939600001e-06	8.11453251249e-05	0.0	-6.62649e-05	4.391036972009999e-09	0.0	0.000100365	0.000100365	1.0073133225000002e-08	1.0073133225000002e-08	0.0	0.0	0.0	0.0	0.0
5250.137358532258	6.847825234161974	27563942.28345608	46.89271043762549	11309.14799460998	32.62000771669227	127896828.36399096	1064.064903437063	4928.183830344746	8.496409262063025	24286995.86567141	72.18897034847036	4973.212629123264	9946.801309839551	1.18137	34.391926	0.14276185	0.0687248	-0.0151852367	0.0958056455	0.2465283798	0.1270104482	-0.2416137838	-0.0158278905	-0.0759335121	-0.1363686287	-0.0858600846	0.0511609024	-0.2497070785	-0.0682522907	0.0253383036	0.0212844328	-0.0405759551	0.2312254318	-0.0847198038	-0.0233914853	-0.0407398265	-0.0685520882	0.1483240227	0.1292305085	-0.0546029804	0.1299046115	0.0639094873	0.1374916986	0.001741525	-0.0717602692	-0.2487807928	-0.0622665009	-0.092486247	-0.0633804757	-0.0339406524	0.0241200171	0.0111828348	0.1838877276	-0.1074708688	0.2256098005	-0.0174468559	0.0291432684	-0.0278271156	0.0296807268	0.1189608696	0.0079705549	-0.1915604779	-0.0448341627	-0.0284873688	0.1636377066	-0.0545304205	0.2158757863	-0.1125019426	-0.0220940458	-0.076096384	0.1288813343	0.1013235672	-0.1427288656	0.0751614847	0.0589080386	-0.1015768317	-0.1405512694	-0.0164257051	-0.1839669738	-0.198853218	-0.1520315024	0.0271386672	0.07843045	-0.0167795483	-0.0406723417	-0.0205298021	-0.1161536768	-0.0893612159	-0.1168680672	-0.1713572011	-0.0677005572	-0.0293883581	0.0270150734	0.0829884003	-0.0422906915	0.171863855	0.0099056695	-0.0174617926	0.1878470057	0.145623333	0.1425662815	0.1375186448	0.1305509005	0.121760336	0.0	0.0307075	-0.0156251	0.00024414375001	0.00094295055625	-0.00396108	0.01992902	0.0003971658381604	1.5690154766399997e-05	-0.0692782	-0.06027013	0.0036324885702169	0.00479946899524	-0.000544395	-0.000544395	2.963659160250001e-07	2.963659160250001e-07	0.000297463	0.000197098	8.8484236369e-08	3.8847621604e-08	-0.000197259	-0.000197259	3.8911113081000004e-08	3.8911113081000004e-08	0.0
5246.8515532734	-3.2858052588580904	27529451.22208749	10.796516199139482	11282.33149272662	-26.816501883360612	127291003.91177088	719.1247732602834	4925.498076272486	-2.685754072259442	24260531.299363963	7.213274936658177	4976.966420510913	9942.27225317096	1.398883	40.724125	0.1174597799999999	0.0536247	0.1323800899	-0.1637876661	-0.0991771905	0.062878949	0.0299938276	0.0319658708	0.0413063962	-0.0549237253	0.2873949144	-0.0788339837	-0.0264499779	0.0356521221	0.1049409403	0.0253298042	0.0133005415	-0.0454708851	-0.0726752184	0.1389191833	0.0566995878	0.0476931575	0.0211482075	0.0045982728	0.1671775764	0.2309331128	0.0877975773	-0.0007324439	0.2810318069	0.1997821841	0.0307683644	0.0207923343	-0.1251547404	0.057801138	-0.0730569109	0.1205153372	0.104849867	-0.0169206672	0.0395890293	-0.1448031913	0.0698166013	-0.0660793463	-0.0437820469	0.1241924649	-0.0765035185	-0.0616133196	0.035882848	-0.0178752818	0.0568859264	-0.052419372	0.0130580714	-0.092765166	-0.0973049552	0.1400843934	0.0506314298	-0.0755997945	0.0222171971	-0.0651823408	-0.0950092798	0.3031517615	-0.0379866642	-0.0696557518	0.1931176565	0.0343171094	0.261886197	-0.1894876052	0.0958820485	0.0495006862	0.002713689	-0.0371184518	0.0216551318	-0.1023494347	0.0840185255	0.0820351735	0.0367043724	0.0929737635	-0.0350938041	0.1173170168	-0.0378822164	-0.0871368528	-0.0231697726	-0.0183598009	-0.0159158991	0.0470745762	0.1449560281	0.1399217693	0.1316604456	0.1203625908	0.1062887712	0.0	0.0463455	0.015638	0.0002445470439999	0.00214790537025	0.0194966	0.0234576799999999	0.0005502627509823	0.0003801174115599	-0.0282734	0.0410047999999999	0.0016813936230399	0.00079938514756	-0.00034804	0.000196355	3.855528602500002e-08	1.2113184159999998e-07	0.000651035	0.000353572	4.23846571225e-07	1.2501315918400002e-07	-2.6469800000000003e-23	0.000197259	3.8911113081000004e-08	7.006503120400002e-46	0.0
5251.625752930361	4.774199656961173	27579573.048841383	22.792982364528186	11312.97055402169	30.63906129506904	127983302.7561618	938.7520770429978	4930.208485403755	4.710409131268534	24306955.709547184	22.187954183937983	4973.973611111112	9941.544845516317	1.385035	40.321003	0.08727817	0.0402472	-0.1902698171	0.0391181874	-0.119556994	0.0609501528	0.097656744	0.1299278603	-0.06328502	0.1620358727	-0.0610035296	-0.1435895486	0.0948167162	0.0445718156	-0.0733391915	-0.0097751189	0.0592917513	0.0499756928	0.0647295659	-0.1302587281	-0.2019290977	0.0943877665	-0.0665142429	-0.048309051	-0.0271337534	0.0907730781	0.1273442388	-0.1455705794	0.1201118349	0.0595108254	-0.0440311993	0.0730092491	-0.0730096511	-0.117459255	-0.0054906309	0.0080668548	0.0207197577	-0.0380956942	-0.1036870058	0.07133666	0.1327648204	-0.0288197687	-0.0664187196	-0.2111523866	-0.097981156	0.0353268311	0.1957907091	0.1484226586	-0.0703321078	0.0964947411	0.0601517326	0.0905654953	0.1123823814	-0.1630922807	0.2059070586	-0.0160341663	0.0480147819	0.0368220112	0.0947757453	0.1431362395	-0.0226157957	0.0764452687	-0.0127720784	-0.008468903	0.0762790716	-0.0401071727	0.1063093267	0.0401753156	-0.0911588648	0.0781600763	0.0643922268	-0.0188828016	-0.0681411473	-0.0001554628	-0.1713169841	0.085757256	0.0373286947	-0.2068958628	-0.1338120092	0.050769159	-0.2529812174	0.0939169795	0.0129122392	0.084305657	0.1441233256	0.1366388261	0.124451232	0.1079800393	0.0877921846	0.0	0.0551367	0.0087911999999999	7.728519743999998e-05	0.0030400556868899	-0.00114257	-0.02063917	0.0004259753382888	1.3054662049000003e-06	0.00307425	0.03134765	0.0009826751605225	9.451013062500002e-06	-0.000189619	0.0001584209999999	2.5097213240999996e-08	3.5955365161e-08	0.000722139	7.1104e-05	5.21484735321e-07	5.055778816e-09	-0.000300478	-0.000300478	9.0287028484e-08	9.0287028484e-08	0.0
5241.527474783185	-10.098278147175732	27473610.268907	101.97522153772697	11266.473022791057	-46.497531230632376	126933414.37327863	2162.0204105436333	4920.177384277658	-10.031101126096472	24208145.49275734	100.62298980197392	4969.508502604167	9955.010142473266	1.368725	39.846184	0.03814798	0.0182824	0.197269217	0.0234272248	0.0423606061	0.0772593251	0.0285740298	0.0227210386	0.062747755	-0.2146637091	-0.0606169472	0.1069087208	0.0625608927	-0.0680022631	-0.0003868071	0.0887249254	-0.0963792067	0.0080715769	0.0464803567	-0.0412370129	0.1286138019	-0.0633952412	0.1387322005	-0.0807557004	0.0991334903	-0.2112662398	-0.1449975042	0.0306480228	-0.0455259177	0.0445524813	-0.1352058599	-0.077664343	0.0904678136	0.0802115416	0.011510188	0.1490455187	0.028619872	0.077153094	-0.0230061945	0.0125209533	0.0172666157	0.0203246473	0.0068709157	-0.1049779634	-0.1028765621	0.0606873172	0.0204272437	-0.0656140124	-0.0611540244	-0.1114032705	-0.0925868018	-0.0124629098	0.0261095418	0.0320121958	-0.2386715838	0.0348638552	0.0383054487	0.0859541188	-0.1526840488	-0.1245135801	0.1022443493	0.1009008141	0.0736367575	0.0013586387	-0.1240101193	-0.109080659	-0.0732967931	-0.1108335628	0.0369896046	-0.0981951703	0.0517543018	-0.0942794246	0.0026032565	-0.0428224357	-0.01320684	0.0147945142	0.0143700007	-0.0821045581	-0.1212754357	0.0876909783	0.030304566	-0.0432815862	0.1156994435	-0.2507143077	0.1431261759	0.1327324313	0.1159649805	0.0936289832	0.0667969964	0.0	0.0555014	0.0003647	1.3300609000000186e-07	0.00308040540196	-0.012402	-0.0112594299999999	0.0001267747639248	0.000153809604	-0.0068609	-0.00993515	9.87072055225e-05	4.707194880999999e-05	-0.000250353	-6.073399999999998e-05	3.6886187559999964e-09	6.2676624609e-08	0.000576177	-0.000145962	3.31979935329e-07	2.1304905444000007e-08	-0.0001754	0.000125078	1.5644506084000003e-08	3.076516e-08	0.0
5259.803920839428	18.276446056243003	27665537.285677824	334.0284804467604	11286.5344949869	20.061472195842725	127385860.9065292	402.4626666645708	4926.3345558181245	6.157171540466152	24268772.15584776	37.91076137872633	4972.434272228423	9923.363371428248	1.358182	39.539253	0.0856371999999999	0.0416687	-0.1405208153	-0.0652260104	-0.0785100379	-0.1420940749	-0.1161232564	0.0090846708	-0.1400255482	0.1066463878	0.1638451882	0.0189810837	0.1015656253	-0.0247852	0.1080210284	0.0840788633	0.0091638714	-0.0529736668	-0.1602781247	0.0309422508	-0.0637161728	0.1115450204	-0.1600280292	0.0044612202	-0.0656258731	0.0863489044	0.0592647928	-0.0550590342	-0.0115884768	0.0268296331	0.0652702518	0.0807527711	-0.0975975122	-0.0163199489	-0.0753045523	0.0477313968	-0.0269998176	0.0296377058	0.1124005459	-0.0271535567	-0.013848908	-0.0941921498	0.0114221174	0.1789660836	-0.0442905598	-0.0173900863	-0.1965094688	-0.1431135079	-0.1691502394	0.0891193474	0.0070165184	-0.0418155331	-0.121829429	-0.060104908	0.193229739	-0.1094817643	-0.0565085761	0.0108431332	0.0943190435	0.0535058925	-0.0284185864	-0.0151955774	-0.0495335322	0.0550130469	0.0636945383	0.0247768372	0.1138901513	0.0939310737	-0.0265359407	-0.103362523	-0.0542738074	-0.017238317	0.1068531475	0.004029478	0.0491842384	0.0492455487	0.0150411826	0.1838757864	0.0008165847	-0.015259525	0.2285829715	-0.0325577883	0.1881164833	0.1108740739	0.1419657166	0.1282204088	0.1062887712	0.0775710461	0.0439007383	0.0	0.035296	-0.0202054	0.0004082581891599	0.001245807616	-0.0228665	-0.0104645	0.00010950576025	0.00052287682225	-0.0417983	-0.0349373999999999	0.0012206219187599	0.0017470978828899	-0.000278014	-2.7661000000000005e-05	7.651309210000001e-10	7.7291784196e-08	0.00037864	-0.0001975369999999	1.4336824960000004e-07	3.9020866368999983e-08	0.0	0.0001754	3.076516e-08	0.0	0.0
5259.995337510234	0.1914166708056655	27667550.9506294	0.0366403418623245	11352.01309798314	65.47860299623972	128868201.37678076	4287.447450339173	4934.998251871378	8.663696053253261	24354207.745973557	75.05962930315613	4982.402900235615	9971.843477851728	1.244172	36.2202	0.0471205	0.0248956	0.1281309345	0.0833241277	-0.0013050305	0.0051600716	0.1257578131	-0.134933929	0.0569657733	-0.0689844999	-0.0845602281	-0.1212764007	0.0796188705	0.0226454075	-0.0486538005	0.1818655017	0.0972010763	-0.0825618697	0.065838773	-0.0589705322	0.1481351928	-0.0655055966	0.0365166815	0.105756355	0.0852541638	-0.2111684499	-0.0296336733	0.0211282855	-0.0568119663	0.0540385905	-0.104289573	-0.0481440449	-0.06060193	-0.0226021417	-0.1181241914	0.033933821	0.0347246323	0.0317655266	0.1718883434	0.0039782739	-0.0797016469	0.0444416038	0.091674031	-0.0052257827	0.1089152543	0.1033115917	0.0173810156	-0.004214968	0.2322063213	0.0621893599	0.0966713183	-0.086468241	0.0594839314	0.0023461062	-0.1545290291	-0.0025023702	-0.0481905986	-0.0788292803	-0.1589573197	-0.1327800561	-0.0517719251	0.1097997926	0.0430931595	0.0115897804	-0.1090399164	-0.0996886195	0.030245173	0.0444287804	-0.0836087933	-0.0419483488	-0.0675255904	-0.0542058505	0.1513120554	-0.0446852194	0.0822320209	-0.0810027271	0.033118523	-0.0159692777	0.1358090495	0.077345749	0.0034476217	-0.0851409403	-0.2620645019	0.0704994545	0.1406432718	0.123123346	0.0955218954	0.0600989683	0.0197550473	0.0	0.029865	-0.005431	2.949576100000002e-05	0.000891918225	-0.026275	-0.0034084999999999	1.1617872249999988e-05	0.000690375625	-0.0181768	0.0236214999999999	0.0005579752622499	0.00033039605824	-0.000126219	0.0001517949999999	2.3041722024999995e-08	1.5931235961e-08	0.000338284	-4.035600000000002e-05	1.14436064656e-07	1.6286067360000012e-09	0.000101039	0.000101039	1.0208879521000002e-08	1.0208879521000002e-08	0.0
