global_signal	global_signal_derivative1	global_signal_power2	global_signal_derivative1_power2	csf	csf_derivative1	csf_derivative1_power2	csf_power2	white_matter	white_matter_derivative1	white_matter_derivative1_power2	white_matter_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	t_comp_cor_04	t_comp_cor_05	t_comp_cor_06	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	c_comp_cor_05	c_comp_cor_06	c_comp_cor_07	c_comp_cor_08	c_comp_cor_09	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	w_comp_cor_19	w_comp_cor_20	w_comp_cor_21	w_comp_cor_22	w_comp_cor_23	w_comp_cor_24	w_comp_cor_25	w_comp_cor_26	w_comp_cor_27	w_comp_cor_28	w_comp_cor_29	w_comp_cor_30	w_comp_cor_31	w_comp_cor_32	w_comp_cor_33	w_comp_cor_34	w_comp_cor_35	w_comp_cor_36	w_comp_cor_37	w_comp_cor_38	w_comp_cor_39	w_comp_cor_40	w_comp_cor_41	w_comp_cor_42	w_comp_cor_43	w_comp_cor_44	w_comp_cor_45	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	a_comp_cor_32	a_comp_cor_33	a_comp_cor_34	a_comp_cor_35	a_comp_cor_36	a_comp_cor_37	a_comp_cor_38	a_comp_cor_39	a_comp_cor_40	a_comp_cor_41	a_comp_cor_42	a_comp_cor_43	a_comp_cor_44	a_comp_cor_45	cosine00	cosine01	cosine02	cosine03	cosine04	non_steady_state_outlier00	trans_x	trans_x_derivative1	trans_x_derivative1_power2	trans_x_power2	trans_y	trans_y_derivative1	trans_y_power2	trans_y_derivative1_power2	trans_z	trans_z_derivative1	trans_z_power2	trans_z_derivative1_power2	rot_x	rot_x_derivative1	rot_x_derivative1_power2	rot_x_power2	rot_y	rot_y_derivative1	rot_y_derivative1_power2	rot_y_power2	rot_z	rot_z_derivative1	rot_z_power2	rot_z_derivative1_power2
6357.732292760797	n/a	40420759.90641346	n/a	12252.817674732209	n/a	n/a	150131540.97023	5787.707963247286	n/a	n/a	33497563.46783605	5817.22094999918	11210.713727092094	n/a	n/a	n/a	n/a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	-0.0980068	n/a	n/a	0.00960533284624	-0.173732	n/a	0.030182807824	n/a	-0.370798	n/a	0.137491156804	n/a	-0.00139333	n/a	n/a	1.9413684889e-06	0.00508884	n/a	n/a	2.58962925456e-05	-0.00127299	n/a	1.6205035401000002e-06	n/a
6281.684954144229	-76.04733861656769	39459565.86312199	5783.1977106629065	11915.212611073255	-337.60506365895344	113977.179008166	141972291.56707913	5761.935181771674	-25.772781475611737	664.2362649896355	33199897.038938176	5789.993193870447	10813.69030231594	1.182543	43.537308	0.1441788	0.0791436999999999	-0.0051814031	0.1575377004	-0.0310855384	0.1634203059	-0.2035769427	0.0492900461	-0.0174133531	-0.2379957254	0.0009052963	-0.2406319229	0.2023392647	-0.1824381868	0.3418404265	-0.0888332373	-0.2244086891	0.0600481139	-0.1870041354	-0.114003753	0.0790123169	-0.2366036938	0.0169124791	-0.0401474472	0.0101942775	-0.0002370612	0.0817376495	-0.0837406454	0.129176648	-0.0900398167	0.0893826286	-0.1133848947	0.062371114	-0.0443932655	0.0136858404	-0.0014247179	0.0290348702	-0.1465656374	0.093047212	0.0350289053	-0.1534197247	0.0709342455	0.0060241269	-0.3372740282	0.069839348	0.0406586123	-0.0928176039	0.115052057	0.0097283514	0.0410352428	-0.0417313458	-0.1503914422	0.003366479	0.0381435439	0.0076840702	-0.1000563091	-0.1074726194	0.0102073749	0.029713499	0.0975132	-0.0115676808	-0.0666089198	-0.0299648011	0.1451612769	-0.0378469747	-0.1246538072	0.083861403	-0.2369762707	0.0337124375	-0.0475941333	0.012760689	-0.029756392	0.1145568948	-0.0841508105	0.1119556629	-0.0829894704	0.0243784602	-0.1176109622	0.0015993342	-0.1120801571	0.001799731	-0.0026593559	0.0084097197	-0.195821198	0.0153671666	0.250463953	-0.0671199318	0.1202464847	0.0849522568	-0.2558920809	0.0075626337	0.0530889554	-0.1269853734	-0.0180748106	0.0018031362	0.0451568848	-0.0717349196	-0.0963518705	0.0143119267	0.0952260441	0.0141787475	-0.0707167596	-0.0904657984	0.0338781164	0.0989959545	-0.0493764894	-0.0728910152	-0.0613442801	0.0174373399	0.038986835	0.0818143892	0.1240256802	0.1239985182	0.1239532527	0.1238898902	0.1238084399	0.0	-0.091855	0.0061517999999999	3.784464323999999e-05	0.008437341025	-0.147222	0.02651	0.021674317284	0.0007027801	-0.31116	0.059638	0.0968205456	0.003556691044	-0.00132392	6.941e-05	4.8177481000000005e-09	1.7527641664e-06	0.00436003	-0.0007288099999999	5.311640160999998e-07	1.90098616009e-05	-0.00103363	0.00023936	1.0683909769e-06	5.729320960000004e-08
6259.56473442231	-22.120219721919057	39182150.66442344	489.3041205459768	11790.59358524084	-124.619025832415	15529.901599420116	139018097.09232244	5762.169125761565	0.2339439898905766	0.0547297904059222	33202593.0338798	5788.637908263061	10768.548108180496	1.043676	38.424686	0.18197045	0.0938425	-0.0050892548	0.1978999785	0.0079028179	0.0827982497	-0.1737541027	0.0742362403	-0.021078724	-0.0671621685	-0.1074014639	-0.1563064062	0.0932291366	-0.0892434037	0.2403357198	-0.1027237546	-0.1075927629	-0.0345740329	-0.0052936402	-0.0855360165	-0.0229441413	-0.2896021675	-0.0055565248	0.0367609586	0.0194674369	0.0308039957	0.2976951703	0.050610836	0.1818460291	0.0459526744	-0.0396932801	-0.0344180518	0.0279482173	0.1141487669	-0.0037341356	0.0699572939	0.0043196908	-0.0083742034	0.1623951278	-0.0136507941	-0.0098018283	0.0548290398	-0.1551591114	-0.0039821464	0.0955863334	0.0006108759	0.1548820899	0.0425991957	0.1066220061	0.0410060442	-0.0294677324	-0.0810475876	0.0223956974	-0.0864521335	0.0053441496	-0.0022692076	0.0382767886	0.0239678414	-0.1161062903	-0.0612707421	0.0139069925	0.2188117534	0.082765111	-0.2395282402	0.0295057448	-0.0926965265	-0.0101597938	-0.2842285113	0.0650810933	0.0392102416	0.041261256	-0.0116081849	0.2998983406	0.0903221746	0.1681597253	0.0549783882	-0.0407483749	-0.0019877274	-0.0807224356	0.0539246884	-0.0486250519	-0.0706709056	-0.0238820301	-0.0890393284	-0.1103909919	0.0600891679	-0.0723125854	0.1088706262	0.0907633941	0.0627468035	-0.080225936	-0.0277003107	0.0699289807	-0.0368358776	-0.1698576059	-0.0675281641	-0.0012891165	-0.0801352863	0.0003379696	-0.0641434797	-0.0173871404	0.026896878	0.0449833117	0.1064155683	-0.1806894339	0.0811636874	0.0457828717	0.1971679797	-0.0187954601	-0.1805698177	-0.0197791358	0.1239532527	0.1237089139	0.1233020394	0.1227331636	0.1220030341	0.0	-0.0793501	0.0125049	0.00015637252401	0.00629643837001	-0.117149	0.0300729999999999	0.013723888201	0.0009043853289999	-0.231905	0.0792549999999999	0.053779929025	0.0062813550249999	-0.000938236	0.0003856839999999	1.4875214785599997e-07	8.802867916959999e-07	0.00391549	-0.00044454	1.976158116000002e-07	1.5331061940099997e-05	-0.000661103	0.000372527	4.37057176609e-07	1.38776365729e-07
6251.316899040136	-8.247835382173434	39078962.97222479	68.026788491432	11705.469473147392	-85.12411209344828	7246.114459697947	137018015.5867855	5747.707867930289	-14.46125783127627	209.12797806264928	33036145.735067744	5774.07171731651	10628.241313311964	1.067781	39.312168	0.147662	0.0810525	0.0540476936	0.1102002972	0.0376729121	-0.0117121862	-0.0637860466	-0.1386029329	-0.0840619903	-0.0644529498	-0.0750876211	-0.1675557253	0.1192275506	-0.0260100889	0.0776110163	-0.0315419578	-0.0763834697	0.0252699629	-0.0386205288	-0.0667570347	0.0335940593	-0.1790341085	0.0536002557	-0.0144667254	0.0373602055	-0.1125238423	-0.0064905988	-0.0866962621	0.0527796554	-0.1327187409	-0.0298959535	0.0036951503	-0.0426103691	-0.1388517221	0.1472534795	0.0545107632	-0.0232472481	0.0131748902	0.1906456551	-0.1196597085	-0.0441212078	0.1655890998	0.0205249858	0.0772724982	-0.0803087309	-0.1008276775	0.0713493534	-0.1700297522	-0.0931579866	0.0848482264	0.0335509311	0.0339863492	-0.0499312914	0.0841977232	-0.136610917	-0.0887054362	0.0351840499	-0.1158644095	-0.0153063935	0.0602941558	-0.0552030819	0.1347800502	0.1338423053	0.0458753367	0.0283555805	-0.0763514364	0.0453030021	-0.1831464133	-0.010718032	-0.0072223119	0.0313079084	-0.1275896762	-0.0087233934	-0.0716876786	0.0863670527	-0.1180926406	-0.0789928865	-0.017685573	0.084428589	-0.063534089	0.1627001631	-0.0306226079	0.0488252425	-0.0415543023	-0.1855328953	-0.0328585826	-0.1396199868	0.0806118473	-0.1331345006	0.0956651679	0.0897287674	-0.0853574516	0.0663291443	-0.0077593654	0.1127085719	-0.1625449166	0.0222446451	0.0009040643	0.0605031468	0.0844567644	-0.125135453	-0.0416907373	0.0183100702	-0.1337315959	-0.0458638057	0.0241540431	-0.0692913683	0.1273105232	-0.1219439655	0.0342655472	0.0810714683	0.1238084399	0.1231303817	0.1220030341	0.1204305106	0.1184185493	0.0	-0.0581365	0.0212136	0.00045001682496	0.00337985263225	-0.0952138	0.0219352	0.00906566771044	0.00048115299904	-0.166775	0.06513	0.027813900625	0.0042419168999999	-0.000944939	-6.703000000000048e-06	4.493020900000064e-11	8.92909713721e-07	0.00339924	-0.0005162499999999	2.665140624999998e-07	1.15548325776e-05	-0.000396392	0.000264711	1.5712661766400002e-07	7.0071913521e-08
6247.476696951912	-3.840202088224032	39030965.07895718	14.747152078400218	11713.037388324738	7.56791517734564	57.273340131498486	137195244.86029318	5755.8382148539	8.130346923611796	66.1025410982838	33129673.555572536	5781.685099647505	10571.100442616387	1.01232	37.270252	0.12673935	0.0608343	0.0703095102	0.0622333607	-0.0107696088	-0.0075203881	0.0315940374	-0.2036429857	-0.1040401832	-0.0251018137	-0.0405923212	-0.120957308	0.1269227747	-0.0191393346	-0.1279202143	-0.0632400882	-0.0550715078	0.0175606707	0.0206169716	-0.1253843526	0.0489203685	-0.1684197495	0.0553355535	0.0048942344	0.1185766514	-0.0231922336	0.1294167218	-0.0294146579	-0.0419926168	0.1491261554	-0.1023300904	0.0548944506	-0.1275772737	-0.0417549014	-0.0694903528	0.1263270039	-0.0406877567	0.0303964841	-0.1615678152	-0.0746436851	0.256508323	-0.0029981386	-0.1268942178	0.1133337812	0.1402656351	0.0510802368	0.0418100618	0.0422576383	-0.0425796145	0.1314891899	-0.0445327898	0.2346988577	-0.0325689948	0.0207739217	0.0533821584	0.021827993	-0.0716346764	-0.0296488164	0.031667284	0.024921458	0.0136532089	-0.2541820947	0.1330643728	0.1066497977	-0.1265060289	-0.1327855148	0.0600365809	-0.1722554181	-0.0197633197	0.029645025	0.128198846	-0.0583000119	0.1143084756	-0.0302433664	-0.0529905092	0.1501603938	-0.0592845376	0.0520406346	0.0959024248	0.0656774174	-0.0239277864	-0.1142921022	-0.0335473322	0.1091881459	0.0697423114	-0.2881347541	0.1190521519	0.0936150697	0.1093296655	0.1313225946	-0.1443445551	0.0635646167	-0.0296232735	-0.0311753758	-0.0251754843	-0.0966881666	0.1937364061	0.096910687	-0.0387283574	0.0046970001	0.0854655739	-0.0423757103	-0.0777789686	-0.0282795023	0.0742391825	-0.101013789	0.0121813698	-0.2283588952	-0.1465016235	0.1259627985	0.0383230227	0.1235913266	0.1222642728	0.1200630614	0.1170034304	0.1131072554	0.0	-0.0672389	-0.0091024	8.285368576000007e-05	0.00452106967321	-0.075435	0.0197788	0.005690439225	0.00039120092944	-0.139732	0.027043	0.019525031824	0.000731323849	-0.00147075	-0.000525811	2.764772077210001e-07	2.1631055625000003e-06	0.00262815	-0.0007710899999999	5.945797880999998e-07	6.907172422500001e-06	-0.00027699	0.000119402	7.672346010000001e-08	1.4256837604000002e-08
6269.39243679498	21.915739843067968	39305281.526542105	480.2996528690368	11746.8104159832	33.773027658462524	1140.6173972192746	137987554.9490514	5782.782158597025	26.94394374312469	725.9761044326682	33440569.493788067	5809.263910024667	10570.245726483916	1.021089	37.593128	0.12022925	0.0522976	0.0925771801	0.0256170846	-0.0720951456	-0.0202966481	0.080648307	-0.1463689222	-0.058245462	-0.0293093372	0.0417839443	0.0078519252	0.1368634845	0.0149795283	-0.0756797583	-0.0543675311	-0.0320735802	-0.0499446879	-0.0073124243	0.0015351947	0.0277955068	-0.0307805878	-0.057001	-0.0704529667	-0.0396652612	0.0696331922	-0.014274964	0.0492373507	0.0489199075	-0.0980914987	-0.0130686208	0.1208707354	-0.0110048377	0.1538474244	0.0209259169	-0.1150819579	-0.1471558266	0.0993554333	-0.1000773746	-0.0323092131	0.042713837	-0.1621368925	-0.0491896987	0.0747742715	-0.0071038159	-0.0696095161	-0.070845344	-0.0055976153	-0.0171977036	-0.0530496946	0.0794383814	-0.0437441378	0.1066175085	0.0309894666	-0.0221774902	-0.0173017971	-0.0456492145	-0.0261565424	-0.05358778	0.1267692819	0.0705027938	-0.0459331384	-0.1198074237	0.0740569115	0.0383256821	-1.5991e-05	0.034047213	-0.024466538	0.058283917	-0.0876630476	-0.0388253786	0.0806330179	-0.0172555975	0.0646567587	0.0706260218	-0.1037321381	0.0032674222	0.0944541889	-0.0632264959	0.1438122532	-0.0341614855	0.082149589	0.118450732	0.1259787292	0.039719466	-0.0895877489	0.0223970293	-0.0989265477	0.0983430863	0.032498894	-0.0508835492	-0.0668861327	-0.0254459384	0.0148364677	0.0357351272	0.0650813799	-0.1130581382	0.0101624729	-0.0674827331	0.0259098157	-0.0780506066	-0.0587564384	-0.0126206696	-0.0032044725	-0.0118814011	-0.1666808599	-0.0908709544	-0.0221732628	0.0817143885	0.0627988076	-0.1092197571	0.1233020394	0.1211126101	0.1174923133	0.1124839207	0.106146603	0.0	-0.0311992	0.0360397	0.00129885997609	0.00097339008064	-0.0542899	0.0211451	0.00294739324201	0.00044711525401	-0.111744	0.027988	0.0124867215359999	0.000783328144	-0.00125477	0.0002159799999999	4.6647360399999977e-08	1.5744477529000002e-06	0.00301527	0.0003871199999999	1.4986189439999996e-07	9.0918531729e-06	-0.000375019	-9.802899999999997e-05	1.40639250361e-07	9.609684840999991e-09
6266.728532789256	-2.663904005724362	39271886.50367498	7.096384551714301	11702.959470921754	-43.8509450614456	1922.9053827819205	136959260.37803718	5774.211616200451	-8.570542396573728	73.45419697146774	33341519.78866423	5798.618773134917	10602.601355071709	1.063075	39.138901	0.10852236	0.0546417	0.0214541788	-0.0794016257	-0.0535121623	-0.0679593394	0.1147448204	-0.0421485806	0.0355908285	0.0786712599	0.1017295559	0.0581024878	0.0201802559	0.0543327216	-0.1425243161	0.0014370534	-0.0002142846	-0.0371911184	0.0212908891	0.0346598392	-0.00970346	0.0984551295	-0.112154729	0.0043139006	-0.0414984493	0.1030999658	-0.1247522951	0.0243565474	-0.0541992122	0.1086166707	0.19983024	-0.0863471106	0.2140335868	0.1390749082	-0.0094537311	-0.0318663509	0.1684584307	0.1306017631	-0.0912898069	-0.1648020496	-0.2110291863	-0.1109618366	0.0409441441	-0.0009465779	-0.0338041943	-0.0682647733	0.0346233064	-0.0361347965	0.00841862	0.074437969	0.0607705769	0.0798760575	0.0574406014	-0.0201788178	-0.0528805915	-0.1385658281	0.1727995267	-0.0581513547	-0.0159242328	-0.0251080303	-0.010920103	-0.0155465051	0.0084431659	0.0105672438	-0.1602141167	0.0433737564	-0.0190798317	0.1241335763	0.0894662836	-0.0171708992	-0.0583614073	0.1360827923	-0.1119127416	0.0246289201	-0.0503497448	0.0561477827	0.2213307252	-0.0596001084	-0.2449147373	-0.0427426889	-0.0080103632	0.0146229227	-0.1285119293	0.068532384	0.1508917544	0.0512558683	-0.2703052222	-0.1255415803	-0.0253215819	-0.0099460429	0.0288388657	-0.0555971456	-0.0178936921	0.0405435953	-0.0065678102	-0.131328609	-0.0041747577	0.0514092209	-0.0341916514	-0.0242275985	-0.0721120435	-0.157681713	0.1217641564	-0.1038787656	-0.0182315963	-0.0040396834	-0.008641916	-0.0420873355	0.019645003	-0.0085055162	0.1373844401	0.1229407472	0.1196780832	0.1143042958	0.1069141789	0.0976380941	0.0	0.00727531	0.03847451	0.0014802879197401	5.2930135596100005e-05	-0.0408914	0.0133985	0.00167210659396	0.00017951980225	-0.0875621	0.0241818999999999	0.00766712135641	0.0005847642876099	-0.00112827	0.0001265	1.6002250000000023e-08	1.2729931929e-06	0.00267968	-0.00033559	1.1262064810000013e-07	7.180684902399999e-06	-0.00018776	0.0001872589999999	3.52538176e-08	3.5065933080999994e-08
6280.925259470448	14.196726681191649	39450022.11505391	201.54704846045885	11709.61298711896	6.653516197206045	44.2692777864832	137115036.30810502	5765.050588788705	-9.161027411746543	83.92442323877161	33235808.29129299	5791.208512954147	10620.013945813318	1.034905	38.101765	0.084806115	0.0514783	0.0289272944	-0.0970684001	0.0218931061	-0.0602022075	0.120027463	0.0366116397	0.1362654052	0.0819027641	0.0519578665	0.0768388498	-0.0587175766	0.1391017203	-0.0021296073	-0.0197362247	-0.0769376502	-0.0011587412	-0.012273629	0.0478228452	-0.1146879396	0.0592223261	-0.1157292014	-0.1697556169	-0.000579699	0.0791207828	-0.1568452314	-0.0063904264	-0.1032838279	-0.0009717903	-0.0019231906	0.0557677474	-0.0123803485	-0.0755837605	-0.0111344934	0.0020676734	0.2080845877	-0.0704787371	-0.0320544688	-0.0126243896	-0.1262997489	0.0639587361	0.0209722049	-0.0003097495	-0.0519821609	0.0575506521	0.1073576909	-0.1140548918	0.1347534779	-0.1102498507	0.025796827	-0.062373592	0.0034136916	-0.0745931948	-0.028381768	0.1205996702	-0.0119667742	0.0617846289	-0.0723101553	-0.0161602244	-0.0077795676	-0.0646357305	-0.050178871	0.1077988694	0.0711126882	0.0544360165	-0.1171599546	0.0677671968	0.0880999124	-0.1762459492	0.0126065362	0.0930653984	-0.1438666419	-0.0303684389	-0.117153272	-0.0122035784	0.0050604471	0.0708035019	0.1016242476	-0.0848924519	0.0020284733	0.0201386979	-0.1324331603	-0.1112276329	0.0957109711	0.092264817	-0.0881030949	-0.0087626011	-0.0844872525	0.0252422119	0.0570800517	0.0410412799	0.1778777034	0.0871944343	-0.0739904627	0.0092762501	-0.0673596549	-0.0459267134	-0.0112468118	-0.0995743628	-0.0224217821	0.1181531741	0.0119235461	0.0752029276	-0.0222733907	-0.0070410042	-0.0160717575	-0.0775720473	0.0564968526	0.0931675488	0.0026024216	0.1225076612	0.1179640426	0.1105157577	0.1003462082	0.0877058019	0.0	0.0048794	-0.00239591	5.740384728100001e-06	2.380854436e-05	-0.0255922	0.0152992	0.00065496070084	0.00023406552064	-0.0885638	-0.0010016999999999	0.00784354667044	1.0034028899999885e-06	-0.000797824	0.000330446	1.0919455891600002e-07	6.365231349760001e-07	0.00179133	-0.0008883499999999	7.891657224999996e-07	3.2088631689e-06	-8.43699e-05	0.0001033901	7.11828002601e-09	1.0689512778010001e-08
6275.945860312167	-4.979399158281012	39387496.44156942	24.794415977489653	11702.404628324508	-7.208358794452579	51.96043650956184	136946274.08503085	5758.760062786818	-6.290526001886974	39.57071738041612	33163317.460748438	5783.612199711407	10687.57893568111	1.019975	37.552097	0.155802435	0.0831061	0.0166157285	-0.0956851703	0.0676841489	0.036243952	-0.0161909046	0.0548740584	0.1051906373	-0.01953099	-0.0208397611	0.0370019001	-0.0817172178	0.0108617317	0.035955223	0.1132030842	-0.0729315129	0.0658716289	0.0115764403	-0.0630185832	-0.0339268143	0.04009189	-0.0761188489	0.0481581836	0.0437976025	0.0712996506	-0.0164166381	0.2074180953	0.0739577611	0.0865644924	-0.1319491821	0.1479320096	-0.1244825566	-0.0365824066	0.0013780326	0.0593157494	0.0200929301	-0.138044529	-0.1739005845	-0.0041564044	0.0321621998	0.0467932353	0.043545228	0.1102632871	-0.0894640987	0.0152962195	-0.1998491418	0.1267575159	0.0184091499	-0.2509274014	-0.0113165054	0.1324312694	-0.0657663	0.0772620718	0.0666189317	0.0887821213	0.0693130604	-0.0592689138	0.025504274	-0.1375975384	0.0543920321	0.1193357083	0.0073693227	0.0603604218	0.0468696839	-0.0596110003	-0.033291399	0.0601252809	0.0707554808	0.0479079949	0.0510522019	0.0858938736	-0.0383050889	0.2103054069	0.0696601004	0.1105313155	-0.0872048136	0.137563441	0.1598817869	0.0400095703	-0.0036188695	-0.0432015587	-0.0112684951	-0.0704381851	0.1397220854	-0.1002420334	0.0807156209	-0.0540952141	-0.0880169782	0.0938988365	0.0515483142	0.0311941293	-0.0591402107	0.0386913835	0.0548165341	0.3158762828	0.0429759164	0.2033451065	0.010594341	0.0411895291	0.1016548437	0.0817622213	0.0759084477	-0.0590617685	-0.0574113314	0.0362842293	0.1459651347	0.1024387873	-0.0219544303	0.0240286366	-0.0342446213	0.1220030341	0.1159744915	0.106146603	0.092841332	0.0764945617	0.0	-0.00812683	-0.01300623	0.0001691620188129	6.60453658489e-05	-0.0919924	-0.0664002	0.00846260165776	0.00440898656004	-0.129038	-0.0404742	0.016650805444	0.00163816086564	-0.000564823	0.000233001	5.428946600100002e-08	3.19025021329e-07	0.00209744	0.0003061099999999	9.37033320999999e-08	4.399254553599999e-06	-0.000263695	-0.0001793251	6.953505302499999e-08	3.215749149001e-08
6263.401071948961	-12.544788363205951	39230192.98809139	157.3717150776275	11675.16335016489	-27.24127815961765	742.0872357696616	136309439.25303346	5759.798243328882	1.0381805420638557	1.077818837920001	33175275.80385447	5785.601317462633	10624.27898236582	1.008771	37.139591	0.08531107	0.0457503	-0.0398349043	-0.1232582814	0.098300875	0.0413569596	-0.0719967821	0.0180239199	0.0525775258	0.0651059787	-0.0976381517	0.0468519737	-0.1275509385	-0.0026312822	-0.0260266035	0.1017553959	-0.0141332282	-0.0394102013	0.0166591094	-0.0666177324	-0.0199559972	0.0211998213	0.022790547	0.0641498838	0.0362623742	-0.0431098569	-0.0508528371	-0.0042188408	0.2061903537	0.0582632844	0.0043369734	-0.0439211974	0.046111502	-0.1274301863	-0.0234690335	-0.0660080211	-0.0554454333	0.0586433215	-0.0376777008	0.1084120659	0.0208410617	-0.1189002042	-0.1030294865	0.1277751909	-0.0491931144	-0.0017220821	0.0468275813	0.001824279	0.0464095426	-0.0204411433	0.0299048621	-0.1041708759	0.0877554499	-0.0287463527	-0.0186971233	0.1112464197	-0.0260747665	-0.0444047465	0.0797942704	0.0464371806	0.0607766964	-0.0584878077	-0.24257677	0.0931876821	0.0197940674	-0.0666458277	-0.0222220129	0.0245813022	-0.0161294895	0.0704608492	0.0141934004	-0.0375980475	-0.0522303776	-0.0040727399	0.1978980839	0.0801920129	0.0217857024	-0.0501513453	0.0283137204	-0.1217561228	-0.0198941376	0.0654545326	0.0191372796	0.1270575627	-0.0180074034	0.022702787	0.1089172025	-0.0862690835	0.0909982735	0.1244534125	-0.0026468998	-0.041772126	0.0655396047	0.0263161658	-0.0713085967	0.0296042979	-0.0894205878	-0.0753535049	-0.0494791197	-0.0542992242	0.0047970636	0.1065835893	-0.0109566025	-0.0751499864	0.1151494753	-0.1033484758	-0.0284811251	-0.0508784519	0.1935033644	0.0122113798	0.0189545618	0.1214271607	0.1137140766	0.1012197857	0.0844696213	0.0641678585	0.0	-0.00341601	0.0047108199999999	2.2191825072399997e-05	1.16691243201e-05	-0.0851997	0.0067926999999999	0.00725898888009	4.614077328999998e-05	-0.103925	0.025113	0.010800405625	0.000630662769	-0.000334542	0.0002302809999999	5.302933896099999e-08	1.1191834976400001e-07	0.00143929	-0.0006581499999999	4.331614224999999e-07	2.0715557041e-06	-0.000178235	8.545999999999998e-05	3.1767715225000004e-08	7.303411599999997e-09
