global_signal	global_signal_derivative1	global_signal_derivative1_power2	global_signal_power2	csf	csf_derivative1	csf_derivative1_power2	csf_power2	white_matter	white_matter_derivative1	white_matter_power2	white_matter_derivative1_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	t_comp_cor_04	t_comp_cor_05	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	c_comp_cor_05	c_comp_cor_06	c_comp_cor_07	c_comp_cor_08	c_comp_cor_09	c_comp_cor_10	c_comp_cor_11	c_comp_cor_12	c_comp_cor_13	c_comp_cor_14	c_comp_cor_15	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	w_comp_cor_19	w_comp_cor_20	w_comp_cor_21	w_comp_cor_22	w_comp_cor_23	w_comp_cor_24	w_comp_cor_25	w_comp_cor_26	w_comp_cor_27	w_comp_cor_28	w_comp_cor_29	w_comp_cor_30	w_comp_cor_31	w_comp_cor_32	w_comp_cor_33	w_comp_cor_34	w_comp_cor_35	w_comp_cor_36	w_comp_cor_37	w_comp_cor_38	w_comp_cor_39	w_comp_cor_40	w_comp_cor_41	w_comp_cor_42	w_comp_cor_43	w_comp_cor_44	w_comp_cor_45	w_comp_cor_46	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	a_comp_cor_32	a_comp_cor_33	a_comp_cor_34	a_comp_cor_35	a_comp_cor_36	a_comp_cor_37	a_comp_cor_38	a_comp_cor_39	a_comp_cor_40	a_comp_cor_41	a_comp_cor_42	a_comp_cor_43	a_comp_cor_44	a_comp_cor_45	a_comp_cor_46	cosine00	cosine01	cosine02	cosine03	cosine04	non_steady_state_outlier00	trans_x	trans_x_derivative1	trans_x_power2	trans_x_derivative1_power2	trans_y	trans_y_derivative1	trans_y_power2	trans_y_derivative1_power2	trans_z	trans_z_derivative1	trans_z_derivative1_power2	trans_z_power2	rot_x	rot_x_derivative1	rot_x_derivative1_power2	rot_x_power2	rot_y	rot_y_derivative1	rot_y_power2	rot_y_derivative1_power2	rot_z	rot_z_derivative1	rot_z_derivative1_power2	rot_z_power2
5846.724493043005	n/a	n/a	34184187.29754899	13224.64930705063	n/a	n/a	174891349.2944747	5807.777441637282	n/a	33730278.811590895	n/a	5911.678731112729	8582.47629286579	n/a	n/a	n/a	n/a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.112105	n/a	0.0125675310249999	n/a	-0.0545195	n/a	0.00297237588025	n/a	0.0195613	n/a	n/a	0.00038264445769	0.000661725	n/a	n/a	4.378799756250001e-07	-0.00100311	n/a	1.0062296721e-06	n/a	0.000322346	n/a	n/a	1.03906943716e-07
5791.655399367685	-55.06909367531989	3032.6050782211573	33543272.265024863	12873.839469203303	-350.809837847326	123067.54233046714	165735742.6788168	5779.946956588636	-27.83048504864655	33407786.82097823	774.5358980429393	5878.949193638125	8416.322771593415	1.172261	41.150398	0.0709337	0.0332646	0.0393006831	-0.1820622744	0.0596353856	-0.0611844226	0.0374018873	-0.1712289754	0.0757247303	-0.0350236213	0.0147194536	-0.237836542	0.3326364315	-0.1624166158	0.1001832166	-0.0336452419	0.3140812864	-0.0027991813	0.0675610278	-0.0296555488	0.0348913566	-0.1025991713	0.0762181249	-0.0732816539	-0.092237408	0.05165634	-0.0724766617	0.075198308	0.1456954942	-0.1037065941	0.1207898061	-0.0851398175	0.0080495423	-0.0444130628	0.1113622042	-0.0314127953	0.0779524883	-0.060365087	0.0552101095	-0.1382376559	0.0621421155	-0.0117529437	0.128607037	-0.0067534645	-0.0527528906	-0.0465876612	0.0397232804	-0.016810766	-0.0983873301	-0.1122627217	0.0192164155	-0.1026521152	-0.0523374042	0.0950731977	0.0352189096	-0.0509239354	-0.0057781236	-0.0529229697	0.0312566056	0.0485772106	0.0897133477	-0.0597872299	-0.048191551	0.1044751897	0.1607448143	-0.1226868193	-0.0783453398	-0.0111725058	0.002088629	0.0635628438	0.0149225188	-0.0549095195	-0.1045467788	0.1226087834	-0.1346836418	0.1000332025	-0.0217720053	0.1555007865	-0.072125258	0.0344150268	-0.0358219782	0.098254039	-0.0171422887	0.0384815683	-0.1090564525	0.1520337743	-0.030011253	0.0284986495	-0.0905789974	0.087454813	-0.0345363705	-0.0220171514	-0.0725941139	0.0214663549	0.0277477531	-0.109745559	0.0587958763	0.0368321323	-0.0448860105	-0.11323874	0.0070960894	0.0935202844	-0.044504121	-0.0506923998	0.0548183802	0.0021906989	0.0109754816	-0.0339435739	-0.0469013215	-0.0508243513	0.1309709276	0.1693644419	-0.0382756594	-0.113069233	-0.0978134089	0.0711089315	0.1130814246	0.0995876577	0.1240256802	0.1239985182	0.1239532527	0.1238898902	0.1238084399	0.0	0.0996016	-0.0125033999999999	0.00992047872256	0.0001563350115599	-0.0308985	0.023621	0.0009547173022499	0.0005579516409999	0.0100628	-0.0094985	9.022150225e-05	0.00010125994384	0.000359686	-0.000302039	9.122755752100002e-08	1.29374018596e-07	-0.0008712789999999	0.000131831	7.591270958408258e-07	1.7379412561026362e-08	0.00025	-7.234599999999999e-05	5.233943715999998e-09	6.25e-08
5787.286774510239	-4.368624857445866	19.08488314509391	33492688.21042113	12851.708164156576	-22.131305046726997	489.7946630712837	165166402.7366488	5769.591438464732	-10.355518123903494	33288185.36680554	107.23675561449372	5867.1814413680695	8483.475301924875	1.061338	37.256622	0.0310138	0.0151046	0.0750440658	0.0140976279	-0.0229421544	-0.1056159674	0.119234429	-0.0711582138	-0.0532834777	-0.1127668928	-0.0117355712	-0.0551097745	0.2974339805	0.0276269845	-0.0488349343	-0.0185722848	0.0273052376	-0.058928806	-0.0856442903	0.0802507127	-0.0898048748	0.0899136165	0.0848570906	0.1103607076	-0.0322838679	0.1205825864	-0.0386977481	0.0728129025	0.0299717785	-0.0334033073	-0.0867528196	0.1219101671	-0.1189605089	0.0684816607	-0.092663573	0.124443728	-0.0096563498	-0.0617093801	0.0861167781	-0.1273668752	-0.2123679454	0.009258355	0.0274529307	-0.0289894777	0.0553668062	0.1029297343	0.0626468905	-0.0646305512	-0.0081296082	-0.1560409039	-0.0068274168	0.0086611226	-0.0427618324	-0.2283087519	-0.0217636535	0.0582467777	0.0305422152	-0.2001903729	-0.1449698815	0.0540421518	0.0453571323	0.0212001082	-0.0034868409	0.0297992343	-0.0243650786	-0.0288603286	-0.0023044457	-0.1284327753	-0.0177784568	0.0938544002	0.0803125989	0.0377161975	-0.1688823329	0.0512822411	-0.0501676287	-0.0580136565	-0.0216740595	-0.1358558879	0.0557822529	-0.039506702	-0.0336969203	-0.0635625193	0.0118848486	0.110060838	-0.01751601	0.0266457059	0.0257033785	0.2266226741	0.0740713725	-0.1295137956	-0.0061020084	0.0248238159	-0.0739126997	0.0017142246	-0.0797549502	-0.2206525348	0.0209244744	0.0021102033	0.2018988501	0.0158414992	0.0578373547	-0.1247229557	-0.040910868	0.0775528395	0.1928013628	0.1140901338	-0.0247556451	-0.0718111238	-0.0127445956	-0.0851900167	0.0157801492	-0.0476600943	-0.0062951608	0.035064198	-0.1539725784	0.0149207034	0.0984297948	-0.0355461922	0.1239532527	0.1237089139	0.1233020394	0.1227331636	0.1220030341	0.0	0.105393	0.0057914	0.011107684449	3.354031396000003e-05	-0.0423899	-0.0114914	0.00179690362201	0.00013205227396	0.0124483	0.0023855	5.690610250000002e-06	0.00015496017289	0.000474584	0.000114898	1.3201550404e-08	2.2522997305600002e-07	-0.000946698	-7.541900000010004e-05	8.962371032040001e-07	5.688025561015089e-09	0.000286593	3.659300000000002e-05	1.3390476490000012e-09	8.213554764900003e-08
5757.671738666281	-29.61503584395814	877.0503480389254	33150783.8502364	12742.893896536678	-108.8142676198986	11840.544837654914	162381344.8583917	5765.40281939002	-4.188619074711824	33239869.6698304	17.544529753039733	5863.184341707301	8346.52154764571	1.100589	38.634468	0.04354875	0.0186065	-0.0062765192	0.0885620462	-0.0158511597	0.1310418544	-0.0030484147	-0.0327651307	-0.1118606849	0.0463391461	-0.07647535	0.094480408	-0.0289377825	-0.1527706519	0.0369503456	0.1003754296	0.1059064109	0.0744209243	-0.1303439887	0.02918405	0.2583907653	0.0217257275	-0.0659260241	-0.0349177904	-0.0052380539	-0.0335182379	-0.1663168871	0.0609957281	-0.0203066436	-0.0007995307	-0.0705737248	0.0034267803	0.0668359296	-0.1207511687	0.0494548683	0.2195079047	-0.0677233868	-0.1000834187	0.1346040869	-0.0126253264	-0.0503673284	-0.0823551463	-0.1174775233	0.1746958205	-0.0109855058	0.0384686122	-0.1098210447	-0.0413886273	0.1060551127	0.1390042819	-0.006790616	0.0670736019	0.044676184	0.0362253589	0.1131998447	0.1340671928	-0.0606934589	0.0380247067	-0.0092031236	-0.0485277977	0.0591702448	0.004466736	0.0792565224	-0.0191145783	-0.0722676991	0.0781226385	0.0687429714	0.0072973985	0.044850088	0.0553175634	-0.0097098572	0.0096479403	0.0162374769	0.1592282358	0.0152438164	-0.0148309452	0.0509021163	0.0726995485	0.0996388859	0.0736398804	0.0817283261	-0.0560662516	0.1310603852	0.1920904115	-0.0884335345	-0.0710691915	-0.0390226254	0.051670668	-0.0073756024	-0.2296060238	0.0221579881	0.041826174	-0.0225656519	-0.0482740539	0.0094816166	0.1815508805	-0.1353481066	0.0201509446	-0.0574282401	0.0092480719	-0.1388031999	-0.0073601275	0.0146991853	0.1150397196	-0.0160579555	-0.0292352802	0.0384727218	-0.0870710172	0.0114904528	0.0728987665	-0.048449114	-0.0994181477	-0.0551255444	0.062542494	-0.0047641006	-0.0354785562	0.0406530551	-0.0429336713	0.1238084399	0.1231303817	0.1220030341	0.1204305106	0.1184185493	0.0	0.0991594	-0.0062336	0.0098325866083599	3.885776896000007e-05	-0.0350418	0.0073481	0.0012279277472399	5.3994573610000046e-05	0.0244727	0.0120244	0.0001445861953599	0.00059891304529	0.000693897	0.0002193129999999	4.8098191968999984e-08	4.814930466089999e-07	-0.00105458	-0.000107882	1.1121389764e-06	1.1638525924000002e-08	0.000254935	-3.1658e-05	1.002228964e-09	6.499185422500001e-08
5755.3364342618925	-2.335304404388808	5.453646661157763	33123897.4715424	12662.3995474371	-80.49434909957745	6479.340236964645	160336362.2989353	5758.576333199178	-6.826486190841933	33161201.385281693	46.60091371375561	5855.773052752961	8263.107633273685	1.038378	36.450649	0.0661814	0.0305669	-0.0670087614	0.0197051639	0.1321606861	0.0119320886	-0.0207763372	0.0180633693	0.087424496	0.0419572308	0.0997889478	0.1278971558	-0.0786788569	-0.0441538003	-0.0282117517	0.0022360792	0.1350811994	0.2887103141	-0.0289407637	0.0038586923	0.0096710558	0.1217642493	0.1108030546	0.0514360017	0.0891887271	-0.021059436	0.0286359879	-0.0796416659	-0.0270148208	0.0171627306	0.0700121358	-0.0440371536	0.1451159823	0.0483802143	0.1450433281	-0.0109213242	-0.0875424063	0.037928038	0.0642657107	-0.0026819644	0.1676037349	0.1341117045	0.0041296416	-0.046706146	0.0439428781	-0.0459634576	0.1153370356	0.1645909559	-0.1367600934	-0.0584724497	-0.1261521617	0.0097841053	0.0839123358	0.0956328548	-0.0052400323	-0.0237754942	0.0416876906	-0.0399514062	-0.0252988276	0.0792877933	0.0857573375	0.058069023	0.1328992036	-0.0847611	-0.1246975006	-0.0312071719	0.0456297969	0.0055954707	0.012743653	0.0247883731	-0.0366754552	0.0569069711	0.0687387288	-0.0579183065	0.0669185274	0.0530367458	0.0039549525	0.1033393879	-0.0216193132	0.026177346	0.1275615721	0.1546294542	0.0037908755	0.050060329	0.0818400635	0.0477899752	-0.0601778011	-0.070754406	0.0428686878	0.213930808	-0.0330284432	0.0085750034	0.0646328774	-0.0493530129	-0.009342404	-0.0025602114	0.1644255942	0.1517164017	-0.0859214013	0.0935091867	0.0474124524	0.0651773509	-0.0623791627	-0.0363579185	0.094547437	0.0790246435	-0.0258526839	-0.1425153732	0.0796492007	0.0649963752	-0.0898071967	-0.0981428391	0.0650524631	0.009180701	-0.033624859	0.0582668369	-0.0454795167	-0.1159315373	0.1235913266	0.1222642728	0.1200630614	0.1170034304	0.1131072554	0.0	0.0804627	-0.0186966999999999	0.0064742460912899	0.0003495665908899	-0.0250736	0.0099681999999999	0.00062868541696	9.936501123999992e-05	0.0244458	-2.689999999999984e-05	7.236099999999915e-10	0.00059759713764	0.00044555	-0.0002483469999999	6.167623240899998e-08	1.9851480250000005e-07	-0.000928943	0.000125637	8.62935097249e-07	1.5784655769000015e-08	0.000630743	0.000375808	1.4123165286399998e-07	3.9783673204900003e-07
5759.538606356121	4.202172094228445	17.658250309512272	33172284.958106607	12679.86971876228	17.470171325179763	305.2068861311332	160779096.08478463	5758.465599591455	-0.1107336077229774	33159926.06167818	0.0122619318793462	5854.2821158137685	8312.861355178986	1.063789	37.342674	0.0855234399999999	0.044499	-0.0303121369	0.0782232058	-0.0208693862	-0.0941866872	0.0110984496	0.0985997664	-0.0239415893	-0.1356558684	0.0315069741	0.1210648501	-0.0555513008	0.0319065474	-0.1018227192	0.0902028738	-0.1163668307	0.0254436943	0.0789049055	-0.1039349162	-0.1647835606	-0.0965859464	-0.0810234362	0.1044464306	0.0455538438	-0.0088022565	0.0874178841	-0.1340832286	-0.0225637652	-0.0343753949	-0.034346182	0.1064631534	0.0394749414	0.0977910166	-0.1226768894	0.0579729561	-0.045025523	0.1068692407	-0.1222644834	0.1278368111	-0.1048985195	-0.1137343245	-0.0858600337	0.0450380616	0.0032006627	0.0506126942	0.0922087645	0.1738202047	-0.0128397167	-0.0642864985	-0.09604084	-0.028456281	0.0159353902	0.0593608951	0.0551102462	-0.0037631748	-0.0221971459	-0.0401296485	-0.0282002769	0.0659139364	-0.2018450232	-0.0832831301	0.0291371298	0.0968577749	-0.075047038	0.1603207037	-0.0133037062	0.1375395179	-0.0253739032	-0.051475188	-0.0982312108	0.0794036531	-0.007904552	-0.0989190018	0.0598058596	-0.032846184	-0.1430855086	-0.1410742248	-0.0182542704	-0.0535580534	0.1055811261	-0.0647962927	0.05182259	-0.0761559358	0.1255337016	-0.1096308472	0.0685279864	0.0027156126	-0.0363848875	-0.0375044777	0.0210656995	-0.0334814015	0.0763640351	-0.160952387	0.091882747	0.0026272916	0.1072880183	0.1024231797	0.0323602514	0.091547308	-0.034781578	0.0415527081	-0.0305696963	0.0037871869	0.0072634445	0.0973578897	-0.0690042803	0.1494744111	-0.1449325323	0.0541713827	0.0532941514	-0.0819507634	-0.0034289097	0.0053287631	0.1644783891	-0.1584172629	-0.098554103	-0.1090079309	0.1233020394	0.1211126101	0.1174923133	0.1124839207	0.106146603	0.0	0.0890554999999999	0.0085927999999999	0.0079308820802499	7.383621183999829e-05	-0.0519354	-0.0268617999999999	0.00269728577316	0.0007215562992399	0.00434176	-0.02010404	0.0004041724243216	1.88508798976e-05	0.000472668	2.7117999999999966e-05	7.353859239999981e-10	2.2341503822400003e-07	-0.000466141	0.000462802	2.17287431881e-07	2.14185691204e-07	0.000521367	-0.000109376	1.1963109376000001e-08	2.71823548689e-07
5759.857556997068	0.3189506409471505	0.1017295113605981	33175959.07689623	12705.033787438226	25.1640686759456	633.2303523277066	161417883.5399469	5778.281860143821	19.816260552365748	33388541.25526714	392.6841822792469	5877.826768645356	8330.717502391633	1.037117	36.406403	0.05599754	0.0254352	0.066515706	0.1025819553	0.0386966215	0.1012418003	-0.0509514653	0.0652436199	-0.0796410149	0.1174956383	-0.0236776375	0.0858443882	-0.0848077441	-0.0398768261	0.0631893754	0.1911667985	0.020988382	0.0584521839	0.1239011817	0.0731157837	0.0861244167	-0.0029306008	0.0936743845	0.0894520595	-0.1384961997	0.009420135	-0.2317484507	-0.1126322913	0.0400904208	0.0694431101	0.1395292393	0.0528315116	0.0024822271	-0.049399482	-0.1356440468	0.0341894639	-0.0022541758	-0.0661020102	-0.2399517288	0.1078529102	-0.0138035426	0.0749845184	0.033423854	-0.0619772088	-0.1103451621	0.1062515188	0.1329994124	-0.0560917708	0.049032331	0.0396955731	0.1227195723	0.0619531904	0.0225057779	-0.019736427	0.0384288516	0.0559757255	0.1088077933	-0.0072269735	0.010975465	0.1406111916	0.0195423632	-0.0457623472	-0.1479544857	-0.0155553938	-0.0243767044	0.1373050088	0.0797285917	-0.1281734141	0.139114502	-0.066803379	0.0847834549	-0.1410239449	-0.069483595	0.1870178907	0.1658670204	0.0671733691	-0.0250766061	-0.028250737	-0.1866992399	-0.021077417	0.0302440325	-0.1413649795	0.0158048996	-0.0834848312	-0.0287910915	-0.1360553305	0.2255455087	-0.0355095691	0.051336599	0.1099197083	-0.0353051902	0.0867615351	-0.0402021269	-0.0710567556	-0.1320210876	0.0002011988	0.0004177449	-0.1544839741	0.0022657455	0.0846564937	-0.042498187	-0.055877452	-0.1308107605	0.0200691895	-0.0754368722	0.0743769677	-0.0417001095	0.0133804514	-0.0718609383	-0.1315803875	0.0338752297	-0.0279616089	-0.0816915894	0.1337044386	-0.0129200561	0.0098008647	0.0056640737	0.1186178906	0.1229407472	0.1196780832	0.1143042958	0.1069141789	0.0976380941	0.0	0.0920212	0.0029657	0.00846790124944	8.795376490000586e-06	-0.0401013	0.0118341	0.0016081142616899	0.00014004592281	0.020604	0.01626224	0.0002644604498176	0.000424524816	0.000704113	0.000231445	5.356678802500002e-08	4.957751167690001e-07	-0.000715853	-0.000249712	5.124455176090001e-07	6.235608294400002e-08	0.00053892	1.7553000000000013e-05	3.0810780900000047e-10	2.9043476640000005e-07
5758.5007594456165	-1.3567975514515638	1.8408995956249588	33160330.99653574	12659.49592344346	-45.53786399476667	2073.6970572058663	160262837.03568155	5755.60337655707	-22.6784835867511	33126970.228235148	514.313617794539	5853.507795040283	8314.199858399323	1.015059	35.632084	0.04216215	0.0213243	-0.0644237338	0.0378905593	0.1151079709	-0.0012214721	0.057367829	0.0306789202	0.052270574	0.0074151935	0.0787973217	0.0855860817	-0.0320482906	-0.033116249	-0.0267453879	0.112606696	-0.0651038704	0.1536108993	0.0223320524	0.0009805299	-0.0065970363	-0.0701360716	-0.0448618391	-0.1063102167	0.0912307128	-0.0084341721	0.1380910977	-0.1333780418	-0.0366741302	-0.0927407608	0.0392750437	-0.1246337819	0.0327055401	0.0422197291	0.0346422605	-0.0748162747	0.0675685981	0.0407115864	0.0178502369	0.0400836488	-0.0116091472	0.003222556	0.1914332364	0.0506984108	-0.070612525	-0.016596014	0.0299730051	-0.1075379965	-0.1181064886	-0.0874277302	0.0012481397	-0.1248654626	-0.2049227915	0.044051174	-0.1373585497	0.0448469929	0.0849292768	0.0718241685	-0.037100045	-0.0465529426	0.077203171	0.0067721502	0.0091729064	0.0160014786	-0.0287765673	-0.0145632778	0.0544262058	-0.0610070713	0.0008582522	0.0079716519	-0.0235087182	0.0635911074	0.0485421338	-0.1662580176	0.0431782983	0.0089417697	-0.1245354152	0.10600867	-0.0123339425	-0.0425404931	0.0051053084	0.0611069831	-0.0089333939	-0.0880218145	-0.0170050638	0.0017909188	-0.0432752532	0.0043640747	-0.0738215935	0.1031638594	-0.0477360756	-0.0160678769	-0.1920081382	0.0096998601	0.0154643794	-0.0943314922	0.0442591247	0.0406437323	-0.0401849465	-0.2375243658	0.1688250598	0.0039751412	-0.1224072661	-0.0344502745	-0.0720734546	-0.0771612364	0.0369643428	-0.0053713038	0.0761534434	-0.0334370219	0.0303812288	-0.0417382673	-0.0292587592	0.0115075691	-0.0895208515	-0.0102300702	-0.0197755622	-0.0370958422	0.1225076612	0.1179640426	0.1105157577	0.1003462082	0.0877058019	0.0	0.0926854	0.0006642	0.00859058337316	4.411616400000049e-07	-0.0340432	0.0060580999999999	0.00115893946624	3.670057560999996e-05	0.0159125	-0.0046915	2.201017225000001e-05	0.00025320765625	0.000408534	-0.000295579	8.736694524100001e-08	1.66900029156e-07	-0.000466141	0.000249712	2.17287431881e-07	6.235608294400002e-08	0.000469244	-6.967600000000002e-05	4.854744976000002e-09	2.2018993153600002e-07
5762.350417491831	3.8496580462142447	14.819867072782076	33204682.333968274	12718.341223322908	58.84529987944916	3462.769317902299	161756203.47287485	5758.275667381688	2.672290824618358	33157738.66156003	7.141138251339463	5856.102391246137	8335.71356027838	1.055771	37.061226	0.02775426	0.0137838	0.0404980877	0.1186360439	-0.0701971297	-0.0338537286	-0.0639347924	0.0861915294	-0.1511777542	-0.0668400633	0.0615014426	0.0656975337	-0.0516576162	-0.0066248284	0.0355052102	-0.0073098477	-0.014284918	-0.1078023438	0.1503770988	-0.0541569857	0.127436501	0.0086377865	-0.1224292874	0.1503212522	-0.0496209204	-0.1290884476	0.0761863265	0.0491728565	0.1363077398	-0.028841669	-0.0007659227	0.0619587997	-0.0176237971	0.1196139106	0.0132984655	0.070062312	0.090059212	-0.0239635398	0.0834075139	0.0431611638	-0.1655455607	-0.0219592734	0.0847063953	-0.0142228456	0.062262449	0.0905033363	0.0387813556	-0.1081966127	0.0434114269	0.0563654875	0.1239088545	0.004014314	-0.104698477	0.0888167447	0.106589489	-0.2039235973	-0.1182110667	0.0306041712	0.082332557	-0.037793225	-0.0293240912	-0.0786618306	-0.0425619782	0.0629707649	0.199937234	-0.1111126024	-0.1273446326	0.0953205513	-0.1352614755	0.0026330023	-0.0644958186	-0.0154288317	0.0427329754	0.0325339573	-0.1668331441	0.006619024	-0.0980459284	-0.1693578028	-0.0306091847	-0.0790525715	0.0670003874	0.0475755043	0.0429347771	-0.0437023044	-0.0631820643	-0.0555753599	-0.0363687949	0.1772360154	0.03655829	-0.0598021495	0.0928755499	0.0602967572	-0.0761983031	0.032801473	-0.0405084797	-0.0337195396	-0.0126713148	-0.1006592054	-0.0923589079	-0.1569362143	-0.1430957801	0.0153606099	0.1552287661	-0.1293269468	-0.0317674681	-0.0060732213	0.057810557	0.0758316061	-0.081537333	-0.0149107018	0.0773656007	0.2156535178	0.0204657071	-0.2362117836	0.0571621708	-0.0266670739	-0.0474102303	0.0546686274	0.1220030341	0.1159744915	0.106146603	0.092841332	0.0764945617	0.0	0.0935555	0.0008700999999999	0.00875263158025	7.570740099999976e-07	-0.0323989	0.0016443	0.00104968872121	2.7037224900000043e-06	0.00849949	-0.0074130099999999	5.495271726009999e-05	7.22413302601e-05	0.000383749	-2.4784999999999987e-05	6.142962249999994e-10	1.47263295001e-07	-0.000604859	-0.000138718	3.6585440988100004e-07	1.924268352400001e-08	0.00027621	-0.000193034	3.7262125156000007e-08	7.62919641e-08
5762.893524982958	0.5431074911275573	0.2949657469188697	33210941.780290507	12721.212562407654	2.8713390847460687	8.244588139590391	161829249.0579583	5765.375376713324	7.099709331635495	33239553.2344123	50.405872593712125	5864.394027326467	8377.132333358568	1.021909	35.87254	0.0802340119999999	0.0441687	0.0237340199	0.0532940364	0.0824394436	0.0404568138	0.0546984342	0.0282169355	-0.0183660005	0.0941618611	0.0230396522	0.0028907409	0.0084849182	0.028368699	-0.1050028144	-0.0038118162	-0.0635693921	0.047479707	-0.0023708224	0.044322942	-0.0340008062	0.0392229541	-0.191058736	0.0364219602	-0.1163466046	-0.0600919352	0.1037462821	0.0362627204	-0.0278357219	0.1758753655	-0.1492678278	-0.001425916	0.0760507356	-0.0584168869	0.1074907573	0.0241436564	0.0389218743	-0.008917233	-0.0466360708	0.0260348072	0.1597504995	-0.0013601823	-0.0249901286	-0.2128311893	-0.1039072538	-0.0367636793	0.0090018743	0.0119839639	0.0444700992	-0.0186537105	-0.0984819947	0.0212356403	-0.0062498238	0.0278473229	-0.1249794679	-0.085010478	-0.0262422603	0.0482768547	-0.0533486815	0.0100410405	0.0107302989	0.0786642462	-0.0478836133	0.0932596589	0.1320558074	0.0954926288	-0.0440182563	0.095076489	-0.0976284327	-0.0973887288	0.1295581808	-0.1382257235	0.0529093933	-0.0766922545	-0.0208146146	0.0201924969	0.1316698609	-0.1050406945	0.1401194345	0.0514272565	0.04678741	0.0497837559	0.0658998187	-0.0435373516	-0.0550131471	0.0076295442	0.040694292	-0.0791915654	-0.1053979257	0.1562316193	-0.0877004887	0.1135752659	0.1755334092	0.0448407507	-0.0174711713	-0.0049714303	-0.0778634446	0.0412650423	-0.0313573294	0.0188517877	0.1453592505	-0.0268024338	0.0631957237	-0.0481410582	-0.0378298505	0.0572781804	0.0239962311	0.0215339109	0.0567223074	0.0234655242	0.0181133258	0.1199728526	-0.0394361004	-0.0162317899	0.1542541192	-0.1323774169	0.0230712605	0.1073662698	0.1214271607	0.1137140766	0.1012197857	0.0844696213	0.0641678585	0.0	0.0939372	0.0003816999999999	0.00882419754384	1.45694889999999e-07	-0.00482443	0.02757447	2.3275124824900003e-05	0.0007603513957809	0.000264728	-0.008234762	6.781130519664399e-05	7.0080913984e-08	-7.789959999999998e-05	-0.0004616486	2.1311942988196e-07	6.068347680159997e-09	-0.000547656	5.720300000000003e-05	2.99927094336e-07	3.2721832090000034e-09	0.00063822	0.00036201	1.3105124010000002e-07	4.073247684e-07
