global_signal	global_signal_derivative1	global_signal_derivative1_power2	global_signal_power2	csf	csf_derivative1	csf_derivative1_power2	csf_power2	white_matter	white_matter_derivative1	white_matter_power2	white_matter_derivative1_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	t_comp_cor_04	t_comp_cor_05	t_comp_cor_06	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	c_comp_cor_05	c_comp_cor_06	c_comp_cor_07	c_comp_cor_08	c_comp_cor_09	c_comp_cor_10	c_comp_cor_11	c_comp_cor_12	c_comp_cor_13	c_comp_cor_14	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	w_comp_cor_19	w_comp_cor_20	w_comp_cor_21	w_comp_cor_22	w_comp_cor_23	w_comp_cor_24	w_comp_cor_25	w_comp_cor_26	w_comp_cor_27	w_comp_cor_28	w_comp_cor_29	w_comp_cor_30	w_comp_cor_31	w_comp_cor_32	w_comp_cor_33	w_comp_cor_34	w_comp_cor_35	w_comp_cor_36	w_comp_cor_37	w_comp_cor_38	w_comp_cor_39	w_comp_cor_40	w_comp_cor_41	w_comp_cor_42	w_comp_cor_43	w_comp_cor_44	w_comp_cor_45	w_comp_cor_46	w_comp_cor_47	w_comp_cor_48	w_comp_cor_49	w_comp_cor_50	w_comp_cor_51	w_comp_cor_52	w_comp_cor_53	w_comp_cor_54	w_comp_cor_55	w_comp_cor_56	w_comp_cor_57	w_comp_cor_58	w_comp_cor_59	w_comp_cor_60	w_comp_cor_61	w_comp_cor_62	w_comp_cor_63	w_comp_cor_64	w_comp_cor_65	w_comp_cor_66	w_comp_cor_67	w_comp_cor_68	w_comp_cor_69	w_comp_cor_70	w_comp_cor_71	w_comp_cor_72	w_comp_cor_73	w_comp_cor_74	w_comp_cor_75	w_comp_cor_76	w_comp_cor_77	w_comp_cor_78	w_comp_cor_79	w_comp_cor_80	w_comp_cor_81	w_comp_cor_82	w_comp_cor_83	w_comp_cor_84	w_comp_cor_85	w_comp_cor_86	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	a_comp_cor_32	a_comp_cor_33	a_comp_cor_34	a_comp_cor_35	a_comp_cor_36	a_comp_cor_37	a_comp_cor_38	a_comp_cor_39	a_comp_cor_40	a_comp_cor_41	a_comp_cor_42	a_comp_cor_43	a_comp_cor_44	a_comp_cor_45	a_comp_cor_46	a_comp_cor_47	a_comp_cor_48	a_comp_cor_49	a_comp_cor_50	a_comp_cor_51	a_comp_cor_52	a_comp_cor_53	a_comp_cor_54	a_comp_cor_55	a_comp_cor_56	a_comp_cor_57	a_comp_cor_58	a_comp_cor_59	a_comp_cor_60	a_comp_cor_61	a_comp_cor_62	a_comp_cor_63	a_comp_cor_64	a_comp_cor_65	a_comp_cor_66	a_comp_cor_67	a_comp_cor_68	a_comp_cor_69	a_comp_cor_70	a_comp_cor_71	a_comp_cor_72	a_comp_cor_73	a_comp_cor_74	a_comp_cor_75	a_comp_cor_76	a_comp_cor_77	a_comp_cor_78	a_comp_cor_79	a_comp_cor_80	a_comp_cor_81	a_comp_cor_82	a_comp_cor_83	a_comp_cor_84	a_comp_cor_85	a_comp_cor_86	cosine00	cosine01	cosine02	cosine03	cosine04	trans_x	trans_x_derivative1	trans_x_power2	trans_x_derivative1_power2	trans_y	trans_y_derivative1	trans_y_power2	trans_y_derivative1_power2	trans_z	trans_z_derivative1	trans_z_derivative1_power2	trans_z_power2	rot_x	rot_x_derivative1	rot_x_derivative1_power2	rot_x_power2	rot_y	rot_y_derivative1	rot_y_power2	rot_y_derivative1_power2	rot_z	rot_z_derivative1	rot_z_derivative1_power2	rot_z_power2
4546.84355047203	n/a	n/a	20673786.272469096	10719.63118724727	n/a	n/a	114910492.79060432	4825.201622896635	n/a	23282570.70160432	n/a	4911.546043097074	8427.315814056374	n/a	n/a	n/a	n/a	0.1013353177	-0.0304701578	0.0294221067	-0.0003219413	0.0458485041	-0.0114846133	0.0457951948	-0.1545873868	-0.0279021695	-0.0972578212	0.0259695999	-0.0547908142	-0.1980821708	0.0042764776	0.3673848555	0.1077555036	0.1227829615	0.0740542772	-0.1486471601	-0.2172221425	-0.1161087727	0.0981524793	-0.0134556486	0.0489071159	0.0286510539	-0.0112339665	0.065481417	-0.0317993407	0.0650521196	-0.0094423671	0.0603623681	-0.0358434541	0.0112272358	-0.0384431895	0.0667609577	0.0364605469	-0.0255209212	0.0440292372	-0.1101468063	0.058602434	-0.077439115	0.0285471788	-0.040810429	0.047790611	-0.0241636224	0.088110451	-0.0454496993	0.0199865813	-0.0284336026	0.0239810526	-0.1019004399	0.0648606445	-0.0004852283	0.0024420765	-0.0030191882	0.0215551799	-0.0514220625	0.0810844122	-0.0479277368	0.0458111228	-0.0092508058	-0.0057950562	0.022493524	0.0371281407	-0.0862432398	0.0077891925	-0.0621128976	0.0018069147	0.0399204734	-0.0088595711	-0.0409824841	0.0228911168	0.0107688836	-0.0175391974	0.0984844687	0.0051975582	-0.0293692217	0.0972331033	0.0244394183	-0.0169119282	-0.0088100997	-0.0711574123	0.0689688265	-0.0548502236	-0.0386378805	0.0263382537	0.0004432526	-0.0051384144	-0.005004212	-0.0278827733	0.0734918155	-0.0217212492	-0.0133282598	-0.0519027526	0.0251435195	0.0294651055	0.0543509906	-0.0010135432	-0.0874551234	0.1037006825	0.0512071114	-0.0521867432	-0.1098566018	0.0723307582	0.107935242	-0.0010091126	-0.0896447515	0.0477467302	0.0064314936	0.0007023709	-0.0003880849	0.1156152343	-0.0082416714	0.0410577088	-0.0097284914	0.0371089769	-0.0565339225	0.0516895313	-0.0367257044	0.0665735913	-0.0547434856	0.0498155715	-0.0371134648	0.0532013143	-0.1034954974	0.0052289034	-0.0378671178	0.0383812435	-0.1070926825	0.0611253288	-0.0565107208	0.0256782418	-0.0894231214	0.0334169017	-0.0542541306	0.0492861606	-0.0386268498	0.0982906767	-0.0187699328	0.0694478381	-0.0214317854	0.0268487795	-0.0267537338	0.0012316843	-0.0848695717	0.0146410584	-0.0115871746	0.0182438637	0.0194366004	-0.0536988404	0.0576221257	-0.0120520805	-0.0959141933	0.0392817856	-0.0219768855	0.004465761	0.0522431255	-0.0423632876	-0.0126752763	0.0295618237	0.1178034136	-0.0367213383	0.0351536489	0.0068781341	-0.0233562391	-0.0988336862	0.0243050589	0.0453329707	-0.0583120148	0.0192443746	0.0161176708	0.0225653805	-0.0508794897	-0.0102744252	0.0231476313	0.0302565202	-0.0208291395	-0.0009120431	-0.0703193888	0.0700654193	-0.063741677	-0.0776200876	0.0271054625	0.0141891835	0.0169180769	0.0718883157	-0.1571881156	-0.0299881982	0.0297747387	0.1354091008	-0.0565310309	-0.0689969407	0.020098166	0.011161125	-0.04340112	-0.0034863179	0.0854343618	0.0854301501	0.0854231306	0.0854133037	0.0854006697	-0.0709137	n/a	0.00502875284769	n/a	-0.0284143	n/a	0.00080737244449	n/a	0.298382	n/a	n/a	0.0890318179239999	0.0010881	n/a	n/a	1.18396161e-06	-0.00107142	n/a	1.1479408164e-06	n/a	0.000424718	n/a	n/a	1.8038537952400003e-07
4536.834026982036	-10.009523489993626	100.19056049673418	20582862.98838204	10592.497929405328	-127.1332578419424	16162.865249505809	112201012.38445616	4812.7008036358175	-12.50081926081748	23162089.02531684	156.27048219162526	4898.625604980174	8386.506397107372	1.114546	35.884903	0.1828782	0.0932584	-0.0425637338	0.0665247488	0.0099365566	-0.030354972	-0.0520264976	-0.0285949543	0.0637808826	0.0216349325	-0.120656092	-0.0212864282	-0.0125202425	-0.0371502625	-0.1455983025	-0.0313485984	0.2015653333	0.0670921891	0.1143876698	-0.0956801139	-0.0784195896	-0.1250500389	0.0386666712	0.0389091565	-0.0469711641	0.0722084018	0.1415333317	0.0007071277	0.0010217289	-0.0225885215	0.0544513188	-0.0464445103	-0.0172372473	-0.0693729573	-0.1035498006	0.0417966387	0.0659215824	0.0703202214	-0.0112448354	-0.0021554512	-0.032745087	0.0241787165	-0.0248148992	0.0808932545	0.005417418	-0.0050433578	0.0581013788	0.0550697932	0.0716243956	0.1480031573	-0.1008992171	-0.0420826082	-0.0174050684	0.0287042812	-0.0050863738	0.0222107237	-0.0212790109	-0.1192284287	0.0049486337	-0.0361106522	-0.0475612699	0.0169460096	-0.0417216136	-0.0331947754	0.1350258612	0.0688724828	0.0188674866	-0.0503494617	0.0914168845	0.1607649329	0.1341034894	0.0205443163	-0.0339632684	0.0338088153	-0.0500151377	-0.0680227192	-0.0554389666	0.0518795041	-0.0019783643	-0.0041188935	-0.0560439139	-0.0064735148	-0.0252646441	-0.0484392202	0.1127535259	-0.0295839701	-0.0222226373	0.0288322042	-0.1430924546	0.0174182293	-0.103993596	-0.1038870874	0.0830297436	-0.040546829	0.0983648766	-0.0046480337	0.0074628048	0.0307850266	0.0007630446	0.0714956564	-0.062227437	-0.0624950931	-0.1491867775	0.0126703086	-0.0011190227	0.0762410615	0.0226243731	-0.0165756766	-0.0030641348	-0.0054086524	-0.0092851492	0.0045730926	-0.0228130433	0.0947068756	0.1147554069	0.0452831755	0.0324474326	-0.009975796	-0.1037630422	0.0755796044	0.05482036	0.0231916966	0.0864988512	0.111078229	-0.0535589883	0.0381865258	-0.0335822375	0.001803857	0.008322188	-0.0304140003	-0.0929423381	0.0432300182	0.0088905059	0.1044386374	-0.0150589815	-0.105588188	-0.0391134084	0.0713518563	0.0344582875	0.0972766543	0.0422483265	-0.0477095144	0.0216858561	-0.060019487	0.0270991253	-0.0835773347	-0.0186418067	-0.0432084502	-0.0061010847	0.0486135568	-0.0676093185	-0.1010237626	0.0007507329	0.0988550648	-0.0151439354	0.0016714905	0.1241472826	0.1880732464	0.0358739007	-0.1036056596	-0.0173542292	-0.0631618105	-0.0072012948	0.0436460305	-0.0344823253	0.0691660718	0.0016277039	0.0039774388	0.047901685	0.1106381471	-0.1001784916	0.0143273239	0.0837304003	0.0324929383	-0.0659894637	-0.0291597935	-0.0587370117	0.0637167934	-0.153646972	-0.0851247595	-0.0725019675	0.0814761077	0.0428836424	-0.030737961	-0.0152305263	-0.0588784094	-0.0025214698	0.0803055124	-0.0622520991	0.0759981626	-0.0715424875	-0.0675199722	0.0671982479	0.0278025638	-0.0159297594	-0.0127751757	-0.0570612816	-0.0082208831	0.0854231306	0.0853852289	0.0853220719	0.0852336782	0.085120074	-0.0671392	0.0037745	0.0045076721766399	1.424685025e-05	-0.0135593	0.014855	0.00018385461649	0.000220671025	0.248776	-0.0496059999999999	0.0024607552359999	0.061889498176	0.000426446	-0.000661654	4.37786015716e-07	1.8185619091600002e-07	-0.00260457	-0.00153315	6.7837848849e-06	2.3505489225e-06	0.000522768	9.804999999999996e-05	9.613802499999994e-09	2.73286381824e-07
4536.618143873284	-0.2158831087526778	0.0466055166447205	20580904.18332028	10501.442115361966	-91.05581404336226	8291.161271099369	110280286.502298	4822.548515474759	9.847711838941905	23256974.184107807	96.97742846283656	4906.4566212585705	8280.599949254347	1.093942	35.221527	0.1980708	0.0986738	0.0208909256	-0.0410243124	0.0097838296	0.0736774198	-0.0581137021	-0.0661567861	0.0357387812	0.0062530699	-0.0062269632	-0.0687330103	-0.0270847267	0.036740829	-0.1003149632	-0.056911669	0.1125169929	0.1602739669	0.080558644	0.0332755022	-0.0810927563	-0.0591127157	-0.1002344617	0.037661361	0.0010385456	0.0616488357	0.1304353177	0.0196031146	-0.0296099643	0.048671899	0.025810939	-0.0128356059	-0.0205874985	0.0807353839	0.026702659	0.0612799835	0.0255330574	0.0040933893	-0.017173443	-0.0259587678	0.0251547617	0.0281397259	-0.0181536023	-0.0403180436	0.1150080099	-0.152624677	0.038390916	0.0167161696	0.0685466475	0.0138934628	-0.0683388253	0.0146198173	-0.0499460365	-0.0418911915	0.0677751983	0.0629978438	-0.0135523368	-0.1412930879	-0.0461083196	0.0276998603	0.0470921954	-0.1074289347	0.0241662153	0.0913514884	0.0499559637	-0.0233894411	0.0528130371	0.0791337599	0.0663280021	0.0252472844	-0.0125393655	0.0569850448	0.0299906531	0.0253307729	-0.0345914982	0.0628829628	-0.1765672239	0.0807268652	-0.0679332733	0.027896858	-0.0343606497	0.0474702409	-0.0240841921	-0.0398264649	0.0489535052	0.0318886911	-0.0189696392	-0.0237433265	0.0247751853	0.1124735427	-0.0128015409	0.0886115811	-0.090145253	0.0208704526	0.0869427192	0.0494375988	0.077357333	0.0697578582	-0.1648910985	0.0136652779	0.0246878347	-0.0720659754	0.0345391738	0.1476791179	0.043223732	-0.02521589	-0.0171811857	-0.1216036869	0.0068895834	0.0096923952	-0.0239771514	-0.0059261876	0.0489372613	0.056622683	0.1271414515	0.0021385003	0.0386281092	-0.0085930594	-0.0698360718	-0.0214454309	0.0241628209	-0.0891485684	-0.0313151101	-0.0170594702	0.0270812022	0.0538506501	0.0052178686	0.0282541254	-0.0060601216	-0.0366123503	-0.0154153707	-0.1742250215	0.0646238654	0.0637833639	0.0307606093	0.0291489647	-0.0172602875	0.0780384908	0.0005218074	0.0441129047	0.082818067	-0.0983793319	0.0285028248	-0.0575581928	0.0484598489	-0.0671214835	-0.0360179781	0.0661272535	-0.0234948093	-0.1112274331	0.069223302	-0.0064306709	-0.1159923412	0.0589288156	-0.0221048687	-0.0489872762	0.050961302	0.0303079002	0.0260190179	0.0176558174	-0.0086371988	-0.08328944	-0.155565654	-0.0394398996	-0.0957803229	0.0703605972	0.0199176436	-0.042192863	0.1109759491	0.0336259703	-0.0343069954	0.0359660074	0.0376777974	0.0098356688	-0.0352886741	0.0322545459	-0.0458383111	-0.1411533883	0.0498522295	-0.0823143277	0.047907562	0.0035988973	-0.0424247113	0.0395299586	0.025069069	-0.1248614846	-0.0955034756	-0.0325601739	0.1188194084	-0.0652219053	-0.1024568671	-0.0421267696	0.051358084	-0.0576235581	-0.1410751788	-0.0350453513	-0.0090515237	0.0214637748	0.0854006697	0.0852954103	0.085120074	0.084874805	0.0845598046	-0.057741	0.0093981999999999	0.003334023081	8.832616323999991e-05	-0.0316927	-0.0181333999999999	0.0010044272332899	0.0003288201955599	0.287719	0.038943	0.001516557249	0.082782222961	0.00184944	0.001422994	2.024911924036e-06	3.4204283136e-06	-0.00145213	0.00115244	2.1086815369e-06	1.3281179536e-06	0.000579258	5.649000000000008e-05	3.1911201000000083e-09	3.355398305640001e-07
4553.948565511328	17.330421638043845	300.3435141523783	20738447.53732268	10573.763834124236	72.3217187622704	5230.431004728934	111804481.61983368	4829.127005558894	6.578490084134501	23320467.63581821	43.27653178705595	4911.67774335184	8345.308874264098	1.084437	34.915501	0.11454292	0.0597407	-0.0457165273	0.0454264543	-0.0915566059	0.0179511566	0.0118947038	-0.0254553587	0.0817706125	-0.0503835793	-0.1078474513	-0.0466264203	-0.0783867302	-0.0357773649	-0.013902248	-0.0125792568	0.1003394541	0.061564151	-0.0561498772	0.118124137	0.0293419392	-0.0404120816	0.0260222375	-0.026137898	0.0418892929	0.0662225285	0.0557271254	0.0038294743	0.083585814	0.0003092177	-0.0555894604	0.0031715901	0.031293609	0.0433136538	0.0255307853	-0.0145838531	-0.072889503	0.0762789501	-0.0169859163	-0.0814646621	-0.0750228325	-0.0300343082	-0.0993588117	0.0657624858	-0.0901601017	0.0135103048	-0.0125062453	0.0821597529	-0.0781041528	0.0090555105	0.0409413634	-0.0581549607	-0.0348712042	0.015359227	-0.1000884976	-0.0428547119	0.0641003194	0.0012941329	0.0295279409	0.0506530478	0.0861918422	-0.0826986982	-0.0625033054	0.0648281278	0.0768366598	0.0101784712	0.0700937813	0.0052970854	-0.0429394602	0.0022515156	0.0013791607	-0.0691071243	0.0281728591	-0.0965841731	-0.0027710114	-0.0027172795	-0.0207584704	0.0266968161	0.0464327077	0.1373817563	-0.0095955437	0.0104492482	-0.0308942002	-0.026799488	-0.1544092012	0.0142538287	0.0328763539	-0.0978106015	0.057584613	-0.0001378892	0.0487837818	0.0130660715	0.0083490634	-0.0022829645	0.0090594822	0.0272725222	0.0144409952	-0.0571411034	-0.0111272228	-0.0444065964	0.0206281882	0.0025998512	-0.0604030036	-0.1278841568	-0.0070871334	-0.0115458036	0.1194506494	0.0167752934	0.1173080464	0.020439553	0.0601497399	-0.0164079686	0.0692152534	0.0656722631	0.0641411693	0.0156945891	0.0293716469	0.0189516774	0.0714913675	0.0187965563	-0.050516963	-0.051350849	0.003671931	-0.0556085351	-0.092899408	0.0196572806	0.0344062652	0.0199237094	-0.0741823321	0.0785473143	-0.0653320853	0.1112817455	0.0118797029	0.0269946721	-0.1011993103	-0.0170556909	-0.0717723945	-0.0775226718	0.0111554991	0.0513045195	-0.0154763023	0.0774041034	0.0483445634	0.0275204649	0.0828680049	0.0438551099	0.025659541	0.032275179	-0.1223307853	-0.0180953154	0.0247388879	-0.0270064369	-0.0840905183	0.0526467605	0.0276085477	0.007250651	-0.0109349098	-0.0077008017	-0.1073305294	0.0250947145	0.013260763	0.0640137617	-0.0302059135	0.0223450994	0.0119405001	0.060867346	-0.0862540551	-0.072165104	0.038518274	-0.100904063	0.0272470689	-0.0106306105	-0.1393745039	-0.0395848356	0.053708811	0.0146203992	-0.0524784787	0.0180675735	0.056820097	-0.0175545759	0.0131940344	0.0070094225	0.0358730308	-0.0196295276	0.0619048617	-0.0325312952	-0.0226177635	-0.0419203655	-0.0559464239	0.0925075708	0.0452885009	-0.0342892879	-0.0794339874	-0.055256708	0.0751526074	-0.0440047793	0.1208126826	-0.0375333384	0.085366982	0.0851607413	0.0848173759	0.0843374387	0.0837217023	-0.0657099	-0.0079689	0.00431779095801	6.350336721000002e-05	-0.00956398	0.0221287199999999	9.14697134404e-05	0.0004896802488383	0.257741	-0.029978	0.000898680484	0.066430423081	0.000887065	-0.0009623749999999	9.261656406249998e-07	7.868843142250001e-07	-0.00145213	0.0	2.1086815369e-06	0.0	0.000452287	-0.000126971	1.6121634841000008e-08	2.04563530369e-07
4551.422497329936	-2.5260681813915653	6.38102045703889	20715446.74920107	10514.159299304138	-59.60453482009871	3552.700571120359	110547545.77114367	4824.832264122596	-4.294741436297954	23279006.37691837	18.444804004654618	4909.489615120177	8364.61914170231	1.07839	34.720802	0.20260292	0.105566	0.018823892	-0.0619982031	0.0387650384	-0.0266913252	0.0628377227	-0.003005899	0.0161099067	-0.0056502192	0.0289634047	-0.0799756675	0.0225954363	-0.1526230525	-0.0547936096	0.0067244985	-0.0328478448	0.1224747782	-0.005393933	0.0241298539	-0.0651343929	0.0216015399	-0.0087854535	-0.0427901716	0.0632625315	-0.017360135	0.0511729344	0.0260149029	0.0501952982	-0.075759729	0.0088803911	0.1107861142	0.0056230376	-0.0267604153	-0.0744240675	-0.0156480913	0.0057237259	-0.0078334413	-0.0381991641	0.0974765411	0.0314569105	-0.0113147052	0.02712028	-0.0060595501	0.1087721366	0.0479422478	0.0098908606	-0.1464123934	0.0760250174	-0.0293037924	0.0756255329	-0.0109921768	0.1985658537	0.0103280881	-0.0796010819	-0.013069349	0.0186865328	0.0471131189	-0.0554391995	-0.1006001408	0.0283983214	0.0644671483	-0.063319216	-0.0086110681	-0.0603957485	0.0703504106	0.06898292	0.0008560697	0.0678185519	-0.1694030245	0.0153042348	0.0112527738	-0.0214288155	0.0891700146	-0.0828082369	-0.058973051	0.0665532228	-0.0633624363	0.0632032171	-0.0211608334	0.0285815392	-0.0393776466	-0.041002978	0.0031230194	0.0936282507	-0.040543829	0.0376305975	0.0854564999	-0.1097923403	0.1024748	0.0749309374	0.0855767312	-0.0587972576	-0.017423137	0.0542239804	-0.028732769	0.0114215306	0.0745749717	-0.0387529507	-0.0509336027	-0.0285385031	-0.0626999227	-0.0121712328	0.0214697318	0.049575663	0.1013905823	-0.0391742609	0.0248582279	0.1638586971	-0.0245084388	0.0235982636	-0.0889258032	-0.0004452225	0.0656929444	0.0554039448	0.0585263563	-0.0904490545	-0.0316316147	0.0445370953	-0.0163377086	-0.05522501	0.0270239964	0.0293925055	0.0673945572	0.0077488848	-0.0202421683	-0.029377091	-0.0614644136	0.0285338181	0.0003217377	0.0052632213	-0.0459247588	-0.0630412773	-0.0703265642	0.1695660072	-0.0640398328	0.1016071475	-0.086293755	0.0232951476	-0.1301548165	-0.0670780075	-0.0423620167	0.080453556	-0.0190726204	-0.0012953769	0.0641040589	-0.0057326766	-0.1209490502	0.1044058781	0.0812506441	0.065371352	0.0494144825	-0.0297443698	0.0982964611	0.0993699945	-0.0651239218	-0.0975457001	0.0127559657	0.1239010253	0.00227967	0.0660017397	-0.0565122027	0.070186782	0.0252668896	0.0530081666	-0.0132811337	-0.0144728999	0.0306291898	-0.0981995355	-0.0171742803	-0.0434400998	0.0874830512	0.0461094119	0.0681489064	-0.1399916575	-0.1209855406	-0.0275345092	-0.0788361094	0.0581627574	-0.0487427203	0.0215440548	0.0301354357	-0.0054239326	0.0327408806	0.0116480942	0.0127362708	-0.0848686748	-0.0186569002	0.0339583931	0.0121286901	-0.0448410871	-0.0042280553	0.1168717221	0.0549174227	-0.0025663994	-0.0662293838	0.132703827	0.0077385669	0.0853220719	0.0849812929	0.0844143358	0.0836227095	0.0826085209	-0.0657767	-6.679999999999187e-05	0.0043265742628899	4.462239999998913e-09	-0.0506527	-0.04108872	0.00256569601729	0.0016882829112384	0.293536	0.035795	0.001281282025	0.086163383296	0.00222196	0.0013348949999999	1.7819446610249997e-06	4.937106241599999e-06	-0.0026259	-0.00117377	6.89535081e-06	1.3777360129e-06	0.00045667	4.383000000000002e-06	1.9210689000000017e-11	2.085474889e-07
4546.146271148723	-5.276226181213133	27.83856271531892	20667445.91867944	10553.963739289711	39.80443998557348	1584.393442565121	111386150.61024208	4823.340216947116	-1.4920471754803657	23264610.848419446	2.226204773858937	4907.253673440797	8397.388075622179	1.101878	35.477047	0.1939881	0.100592	0.0125226701	0.0759208348	-0.0427538577	-0.0341874046	-0.0785033658	0.0837727194	-0.0073657273	-0.0203162738	-0.0865756826	0.0003196775	-0.0152967647	-0.1006452447	0.0632025499	-0.0772709547	0.0642630212	0.095116269	0.0334580693	-0.0049931912	0.0452215039	-0.0437646637	0.0447081329	0.0108553462	0.0526339085	0.0269690993	-0.055125408	0.0849416587	0.1022215537	0.0778734876	-0.1036465737	-0.0121663495	-0.0288879259	-0.0628040624	-0.1048904149	0.0148771082	0.0436348161	-0.0121192884	-0.0155606857	-0.1378155025	-0.0828740967	0.0798179764	0.0078254309	-0.0345494605	0.0465125943	0.0379590283	-0.0469260572	-0.0709062044	-0.0289009391	0.0434655901	0.039027982	0.0278461531	-0.0811779969	0.0654796382	-0.055231958	-0.0057629854	-0.0698025996	0.0105401607	-0.0363510242	0.0689631043	0.0376919206	0.0760274768	-0.1143997647	0.0236084181	0.0001048098	0.0360271857	-0.0288671261	-0.035161709	0.0485967811	-0.0686453976	-0.0291104928	-0.0333689266	0.1098676625	0.0043492415	0.0136702669	-0.0729373623	-0.0673384377	0.1685147048	-0.0445596591	-0.0266783552	-0.0290889139	0.0481565192	-0.0142676354	0.0448403324	-0.0957280946	0.0561776194	0.016443843	-0.0607283598	-0.1869524037	-0.0964398395	0.0001517069	0.0004301042	0.0788880225	-0.0152684167	-0.072434613	-0.0901553338	0.0314814709	0.0483212462	0.061211133	-0.0464497025	0.075661892	0.0351682026	0.1216339016	0.0661547586	0.047094637	0.0317455554	-0.0385264543	0.0120526396	-0.043593406	-0.0189645219	-0.0756445071	-0.0535212944	0.029273337	0.0166931135	-0.0305311589	0.0844179958	0.1219191516	0.0118000041	0.1192377021	-0.0190583777	0.0168242301	0.0412410653	0.0979364605	0.0583686201	0.0360259562	0.0837903986	0.0602057306	0.1069084288	-0.0500911827	-0.0054290467	-0.0280153377	-0.0052774264	-0.0769219537	-0.0368248677	-0.0381994454	0.000935244	0.0544444019	-0.0049884518	-0.1101527011	0.1026907133	-0.0225232211	0.0659116021	0.0390304886	-0.0675277928	-0.0270431315	0.026713612	-0.053824468	-0.0148327937	-0.0612328282	0.0753357705	0.0824136773	-0.0668968008	0.0302437768	-0.0163270055	0.0360580456	-0.0576066279	-0.0435711071	-0.0381129288	-0.0217386168	0.0552726785	-0.0224219727	-0.066549694	0.0004464098	0.1396695807	-0.1443953199	0.0964853502	0.0184111323	0.0559348683	0.0942424334	-0.0302186264	0.0424212956	0.1215109298	-0.0609592023	0.0428857996	0.0818980705	-0.1063196223	0.0360418553	0.0529674671	-0.0611769436	0.0671984744	-0.0750555161	-0.0072441606	-0.0497566852	-0.0342668004	-0.081551278	0.1194465632	-0.0071948464	-0.0493458513	0.0794253283	-0.0879917403	0.0015563263	0.0039267499	0.0460623516	-0.0137938571	0.0548261217	0.0120239078	-0.0206240609	0.0790974012	0.0852659454	0.0847571594	0.0839114303	0.0827321204	0.0812239177	-0.0645354	0.0012412999999999	0.00416481785316	1.5408256899999671e-06	-0.006828	0.0438247	4.6621584e-05	0.00192060433009	0.264001	-0.029535	0.000872316225	0.069696528001	0.00157819	-0.0006437699999999	4.144398128999999e-07	2.4906836761e-06	-0.00116571	0.00146019	1.3588798041e-06	2.1321548361000005e-06	0.0007404519999999	0.0002837819999999	8.053222352394325e-08	5.482691643038519e-07
