TrialNumber,Trialn,TrialType,Partner,Feedback,ITI,ISI,ran,order,studyStart,InitFixOnset,InitFixOffset,decision_onset,resp,resp_onset,rt,ISI_onset,isi_for_trial,ISI_offset,outcome_val,outcome_onset,outcome_offset,trialDuration,ITIonset,ITIoffset,final_fix_offset
1,1,2,1,2,1,2.550000e+00,1.0,0.0,2.6002526e-06,31.510601,35.510773,35.515762,2.0,36.249386,0.7336226,36.349796,4.2163773,40.56823,5.0,40.568375,41.575054,6.0592914,41.575245,42.57719,--
2,2,3,1,3,2,1.700000e+00,1.0,1.0,--,--,--,42.578842,2.0,42.999237,0.4203942,43.09959,3.6796057,46.781204,8.0,46.78132,47.78833,5.209487,47.788475,49.790356,--
3,3,1,1,1,1,8.500000e-01,1.0,2.0,--,--,--,49.791897,2.0,50.115303,0.3234068,50.215656,2.9265933,53.144585,4.0,53.1447,54.15094,4.359042,54.151085,55.15326,--
4,4,1,1,1,1,8.500000e-01,1.0,3.0,--,--,--,55.154785,7.0,55.68266,0.5278758,55.783005,2.722124,58.50829,7.0,58.508404,59.513058,4.358273,59.513203,60.515205,--
5,5,3,1,3,2,2.550000e+00,1.0,4.0,--,--,--,60.516747,7.0,61.04927,0.5325239,61.149605,4.417476,65.569275,1.0,65.56939,66.57408,6.057332,66.57423,68.57566,--
6,6,3,1,3,2,1.700000e+00,1.0,5.0,--,--,--,68.5772,2.0,68.89857,0.3213604,68.99891,3.7786396,72.77816,9.0,72.778275,73.78236,5.2051516,73.7825,75.784134,--
7,7,4,2,1,3,2.550000e+00,1.0,6.0,--,--,--,75.97619,7.0,76.39913,0.4229438,76.499466,4.527056,81.02913,6.0,81.02924,82.03512,6.05893,82.03526,85.03672,--
8,8,2,1,2,3,1.700000e+00,1.0,7.0,--,--,--,85.040726,7.0,85.465675,0.4249532,85.56602,3.6750467,89.24419,5.0,89.2443,90.2489,5.2081804,90.249054,93.251045,--
9,9,2,1,2,3,2.550000e+00,1.0,8.0,--,--,--,93.25273,2.0,93.682526,0.4297933,93.78288,4.520207,98.30661,5.0,98.306725,99.3102,6.057472,99.31034,102.31209,--
10,10,4,2,1,3,1.700000e+00,1.0,9.0,--,--,--,102.50209,7.0,103.54904,1.0469527,103.64939,3.0530474,106.704575,9.0,106.70469,107.70917,5.207082,107.70931,110.71071,--
