global_signal	global_signal_derivative1	global_signal_derivative1_power2	global_signal_power2	csf	csf_derivative1	csf_derivative1_power2	csf_power2	white_matter	white_matter_derivative1	white_matter_power2	white_matter_derivative1_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	t_comp_cor_04	t_comp_cor_05	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	c_comp_cor_05	c_comp_cor_06	c_comp_cor_07	c_comp_cor_08	c_comp_cor_09	c_comp_cor_10	c_comp_cor_11	c_comp_cor_12	c_comp_cor_13	c_comp_cor_14	c_comp_cor_15	c_comp_cor_16	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	w_comp_cor_19	w_comp_cor_20	w_comp_cor_21	w_comp_cor_22	w_comp_cor_23	w_comp_cor_24	w_comp_cor_25	w_comp_cor_26	w_comp_cor_27	w_comp_cor_28	w_comp_cor_29	w_comp_cor_30	w_comp_cor_31	w_comp_cor_32	w_comp_cor_33	w_comp_cor_34	w_comp_cor_35	w_comp_cor_36	w_comp_cor_37	w_comp_cor_38	w_comp_cor_39	w_comp_cor_40	w_comp_cor_41	w_comp_cor_42	w_comp_cor_43	w_comp_cor_44	w_comp_cor_45	w_comp_cor_46	w_comp_cor_47	w_comp_cor_48	w_comp_cor_49	w_comp_cor_50	w_comp_cor_51	w_comp_cor_52	w_comp_cor_53	w_comp_cor_54	w_comp_cor_55	w_comp_cor_56	w_comp_cor_57	w_comp_cor_58	w_comp_cor_59	w_comp_cor_60	w_comp_cor_61	w_comp_cor_62	w_comp_cor_63	w_comp_cor_64	w_comp_cor_65	w_comp_cor_66	w_comp_cor_67	w_comp_cor_68	w_comp_cor_69	w_comp_cor_70	w_comp_cor_71	w_comp_cor_72	w_comp_cor_73	w_comp_cor_74	w_comp_cor_75	w_comp_cor_76	w_comp_cor_77	w_comp_cor_78	w_comp_cor_79	w_comp_cor_80	w_comp_cor_81	w_comp_cor_82	w_comp_cor_83	w_comp_cor_84	w_comp_cor_85	w_comp_cor_86	w_comp_cor_87	w_comp_cor_88	w_comp_cor_89	w_comp_cor_90	w_comp_cor_91	w_comp_cor_92	w_comp_cor_93	w_comp_cor_94	w_comp_cor_95	w_comp_cor_96	w_comp_cor_97	w_comp_cor_98	w_comp_cor_99	w_comp_cor_100	w_comp_cor_101	w_comp_cor_102	w_comp_cor_103	w_comp_cor_104	w_comp_cor_105	w_comp_cor_106	w_comp_cor_107	w_comp_cor_108	w_comp_cor_109	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	a_comp_cor_32	a_comp_cor_33	a_comp_cor_34	a_comp_cor_35	a_comp_cor_36	a_comp_cor_37	a_comp_cor_38	a_comp_cor_39	a_comp_cor_40	a_comp_cor_41	a_comp_cor_42	a_comp_cor_43	a_comp_cor_44	a_comp_cor_45	a_comp_cor_46	a_comp_cor_47	a_comp_cor_48	a_comp_cor_49	a_comp_cor_50	a_comp_cor_51	a_comp_cor_52	a_comp_cor_53	a_comp_cor_54	a_comp_cor_55	a_comp_cor_56	a_comp_cor_57	a_comp_cor_58	a_comp_cor_59	a_comp_cor_60	a_comp_cor_61	a_comp_cor_62	a_comp_cor_63	a_comp_cor_64	a_comp_cor_65	a_comp_cor_66	a_comp_cor_67	a_comp_cor_68	a_comp_cor_69	a_comp_cor_70	a_comp_cor_71	a_comp_cor_72	a_comp_cor_73	a_comp_cor_74	a_comp_cor_75	a_comp_cor_76	a_comp_cor_77	a_comp_cor_78	a_comp_cor_79	a_comp_cor_80	a_comp_cor_81	a_comp_cor_82	a_comp_cor_83	a_comp_cor_84	a_comp_cor_85	a_comp_cor_86	a_comp_cor_87	a_comp_cor_88	a_comp_cor_89	a_comp_cor_90	a_comp_cor_91	a_comp_cor_92	a_comp_cor_93	a_comp_cor_94	a_comp_cor_95	a_comp_cor_96	a_comp_cor_97	a_comp_cor_98	a_comp_cor_99	a_comp_cor_100	a_comp_cor_101	a_comp_cor_102	a_comp_cor_103	a_comp_cor_104	a_comp_cor_105	a_comp_cor_106	a_comp_cor_107	a_comp_cor_108	a_comp_cor_109	cosine00	cosine01	cosine02	cosine03	cosine04	trans_x	trans_x_derivative1	trans_x_derivative1_power2	trans_x_power2	trans_y	trans_y_derivative1	trans_y_power2	trans_y_derivative1_power2	trans_z	trans_z_derivative1	trans_z_derivative1_power2	trans_z_power2	rot_x	rot_x_derivative1	rot_x_derivative1_power2	rot_x_power2	rot_y	rot_y_derivative1	rot_y_derivative1_power2	rot_y_power2	rot_z	rot_z_derivative1	rot_z_derivative1_power2	rot_z_power2	motion_outlier00	motion_outlier01	motion_outlier02	motion_outlier03	motion_outlier04	motion_outlier05	motion_outlier06	motion_outlier07	motion_outlier08	motion_outlier09	motion_outlier10	motion_outlier11	motion_outlier12	motion_outlier13	motion_outlier14	motion_outlier15
5371.7945492566005	n/a	n/a	28856176.67942292	13294.617685993964	n/a	n/a	176746859.41674352	5110.171187243049	n/a	26113849.56292903	n/a	5134.393035788318	8661.924476124981	n/a	n/a	n/a	n/a	-0.059010155	-0.0079544277	-0.0325380629	0.077514449	-0.0192640745	0.1012925697	0.3167723276	-0.0442839618	0.2732570174	0.3121857358	0.2083851278	0.0103635512	0.052882417	0.0713328688	0.0297255598	0.0220094719	-0.0046515194	0.0277009721	-0.0460937852	-0.003546872	-0.0098074557	-0.0746459961	0.0127615447	0.0803766153	0.0375213815	-0.0091791223	0.054552096	-0.0509515705	0.0392689737	0.0476758413	-0.0375399449	0.0645387148	-0.01441583	0.0509351051	-0.0717903866	0.0086906541	-0.0778167029	0.0140365557	-0.0310097494	0.012890499	-0.0121752369	0.0338739961	0.0170781927	-0.0992231215	0.0140723492	0.0041208196	-0.0244608533	0.0171526229	0.009185906	-0.0137481823	-0.0063242117	-0.0320313025	0.0391520572	0.0014635612	-0.0225343264	0.0205526555	-0.0391652444	0.0295475891	-0.0177107499	0.093332592	-0.0690758463	0.0990041762	-0.0030822333	0.08735034	-0.0120673799	0.0327205609	-0.0743719537	0.0617857174	-0.0730590434	0.0142273861	-0.0311326348	0.0804915445	-0.0422633857	0.0705176687	-0.030169296	0.0471321465	-0.0124043727	0.0342879232	-0.0716623445	0.0503955429	0.0702956429	-0.0400503492	0.020535264	-0.0275853693	-0.0769591317	0.0869368393	-0.0079725004	-0.03655826	0.0055241235	0.0314942291	-0.0211402455	-0.004196567	0.0390961044	0.0446453784	-0.113145091	0.0649441755	-0.0320522924	-0.1002260163	0.0623400301	0.0166353939	-0.0887046227	-0.0387773925	0.0339560204	-0.0179526414	-0.0151382076	0.0448492725	-0.0120637398	-0.0438645002	0.0186178351	0.0146516194	0.0356241607	-0.0838339759	-0.012867374	0.029314307	0.0106845169	-0.0253518129	-0.1025778566	0.0552753683	-0.0763900635	-0.022731597	0.0425481644	0.0598902251	-0.0856108751	-0.0671089296	0.0765877697	0.0889249412	-0.022714524	-0.0576932968	-0.0513757522	0.0151664133	0.0148795941	0.1013512434	-0.042938412	0.0899064648	0.0193002248	-0.0029853611	0.0371007305	-0.0712969009	0.0197249949	0.0558945415	-0.0475789094	0.0449544399	-0.0144824633	0.0466019778	-0.0670681667	0.0509872163	-0.0442532125	0.0060919226	-0.0097507302	0.0492660914	-0.0263124581	0.0094911871	0.0419770598	-0.085863011	0.0039029028	0.020691971	-0.0268807595	-0.0142745078	0.0396624462	-0.0348385175	-0.0047120293	-0.0118121441	0.0313999894	-0.0114766103	0.0077184009	-0.0272795755	0.0069631197	-0.0295884903	0.0358610152	-0.1065585521	0.0009863596	-0.1114818483	0.069256933	-0.0237327621	0.0388909701	-0.0065310305	0.0028459317	-0.0075338515	0.1199114561	-0.0367375501	0.1124000657	-0.0113901621	0.0133271778	-0.0559377164	0.0052769776	-0.0062798008	0.0306133677	-0.0836408947	0.0067970398	0.0977366411	-0.0227703989	0.0354635866	-0.0973480666	0.0328199724	-0.0483757527	-0.0370810885	0.0955316076	-0.0075935327	-0.0232460497	0.0014929322	0.0134999381	0.0431059992	-0.0416004976	0.0686247235	0.0270380016	-0.0468531638	0.1243434738	-0.1151523814	-0.0020851252	-0.0209655105	0.0717819783	-0.0218354922	0.0481279875	0.0108636326	0.0020861579	-0.0038669959	-0.0599717363	0.0221890027	0.0102987635	-0.0526879804	-0.039084116	0.0753550039	-0.0253632425	-0.0334765075	0.0495886973	0.0042372866	-0.0177554221	-0.1107576382	0.0578668638	-0.0303714796	-0.0115472437	-0.0718677841	0.0971733076	0.0472265594	-0.0024885147	-0.1359887017	0.0151057679	0.0514685571	0.0235956144	-0.0481026358	-0.0448306023	0.1021062114	0.0152464768	0.0720743971	0.0720725975	0.0720695981	0.072065399	0.0720600002	0.000509379	n/a	n/a	2.59466965641e-07	0.0557531	n/a	0.00310840815961	n/a	0.0448602	n/a	n/a	0.00201243754404	-5.80138e-05	n/a	n/a	3.36560099044e-09	-0.000225716	n/a	n/a	5.0947712656e-08	0.000252244	n/a	n/a	6.3627035536e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
5368.340706609601	-3.453842646999874	11.929029030235096	28819081.942241665	13102.152151011607	-192.46553498235696	37042.98215604488	171666390.9882581	5117.24884654164	7.077659298591243	26186235.757431746	50.093261146935085	5141.222282779494	8508.397314996104	1.144897	39.413235	0.043556736	0.0288934	0.0391392624	-0.0460320878	-0.0123045539	0.0084347934	0.0606171814	0.0123176396	0.1584450763	0.0441703706	0.1679940603	0.2824592937	0.106423285	-0.0780642636	0.0295628139	0.0348504371	0.0175889489	-0.0207710843	0.0327610222	0.018166967	-0.0309641127	-0.0698688468	0.0377185472	-0.01237161	0.0640330772	0.0108140398	-0.0256792774	0.0394622025	0.0061194443	0.0987617523	0.0478323348	0.0390203224	-0.0136968602	0.0187174038	-0.0325793732	-0.1254468569	0.0115417113	0.0059690496	-0.0199256669	0.0191722004	-0.1143008586	-0.0808190004	-0.0459040142	0.0423364534	0.090471569	-0.0345111004	-0.0392518068	-0.04615301	-0.011834596	0.1421376187	-0.0323104682	0.0161961586	0.047843155	-0.0083758606	0.0498459318	-0.0004416931	-0.013507232	0.0135329803	-0.0282832584	-0.0369195821	-0.0947136555	0.1027851319	0.0286891539	0.0662314581	-0.0001188478	-0.0193176109	-0.0864392303	0.0406523162	0.0104743197	0.071887074	-0.0217455126	0.0737478384	-0.0010001636	0.0024430695	-0.0556328066	0.006678083	0.0350721688	-0.0360722965	0.0216726755	0.0462705984	-0.0825500173	0.0327165748	-0.072375367	0.05722073	0.0827178247	-0.0095186553	0.0518613425	0.0709647054	-0.0045572359	0.0086700616	0.0168702322	-0.0153770755	-0.0407729122	0.1354224983	0.0044647666	0.059458231	0.0150975387	0.048108766	-0.0371254708	0.0269891727	0.0024035673	0.0526449195	-0.013939825	-0.0118581241	0.0490298367	-0.0208274196	0.0587577458	0.0094888869	-0.0051455969	-0.021647004	-0.0303609744	0.0218078618	-0.0091129467	-0.0700104064	-0.0310986417	-0.0270740557	-0.0027274873	0.0396678144	-0.1298879528	0.0356596011	-0.0726068045	0.0338981996	-0.01430745	0.0165983384	0.0689045943	0.029073081	0.0454902551	0.0850173883	-0.0765084353	0.0711427878	0.0170021511	0.0021511258	0.0182744846	-0.0190787121	0.058951907	0.0001178908	-0.0264651736	0.0200981191	-0.0166806985	0.0411284097	0.0976987126	0.0265846725	-0.0138077784	0.0013835399	-0.001452842	-0.0965415581	0.0326181574	0.0517449497	-0.0225580655	0.088138508	0.1606985468	0.0281434611	0.0102247914	0.0480692473	0.0629417418	-0.0311762622	0.0022800594	-0.0080360303	-0.0043151512	-0.1321865547	-0.0078287101	0.0046872411	0.032267294	-0.0033378073	0.0649348604	-0.0306453297	0.0565671183	-0.0021830463	-0.0897603506	0.0070862786	0.0711136809	-0.0980331793	-0.014910331	-0.0148725595	-0.0403547452	-0.0431279614	0.083598319	0.0139284134	-0.010242037	-0.0149307689	-0.0040269487	-0.063102685	0.1022420915	-0.0418056978	-0.0273471747	0.0569546361	0.0066471694	-0.0238294698	0.0447527503	-0.0666481049	-0.0596728095	0.0035937837	-0.0421011966	-0.0977925928	0.0370258098	0.0281985319	0.0668181855	0.0178950496	0.0721228496	0.0244927054	0.0086467581	0.0115086767	0.0433862794	0.0287220205	-0.0963012271	-0.0537402143	-0.0378070921	-0.077310495	-0.0142445755	-0.0075363335	-0.0652097918	0.0431287221	-0.001562858	0.0057074179	0.0285263198	-0.0145437217	0.0449277522	-0.034227872	0.0047087246	-0.0267203043	0.0039372882	0.0149978977	-0.0383514122	0.0197169208	-0.0671507486	0.0285754244	0.0042697167	-0.0323357678	0.0211602577	-0.1355995905	0.0564567029	-0.0374422416	0.025927676	0.0869881243	-0.0088785606	-0.0438565782	-0.0048565163	-0.0960919219	-0.0294318679	-0.0835481036	0.0325680703	0.0717003187	-0.0266417231	-0.0454269975	-0.0244281089	0.0720695981	0.072053402	0.0720264112	0.0719886298	0.0719400635	0.000438473	-7.090600000000003e-05	5.027660836000004e-09	1.92258571729e-07	0.0296812	-0.0260719	0.00088097363344	0.0006797439696099	0.0400919	-0.0047683	2.273668489000003e-05	0.00160736044561	-4.71112e-05	1.09026e-05	1.1886668676e-10	2.21946516544e-09	-0.0	0.000225716	5.0947712656e-08	0.0	0.000268538	1.629400000000003e-05	2.65494436000001e-10	7.211265744400001e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
5372.38719645815	4.046489848549754	16.374080094416215	28862544.188667465	12938.400210541758	-163.7519404698487	26814.698007640876	167402200.00814703	5112.373909433366	-4.874937108274025	26136366.989855	23.765011809627115	5135.629247321003	8424.69618953055	1.109969	38.210804	0.020208371	0.0112497	0.0753138599	0.0346219866	-0.0217868384	0.0296779628	0.0660082203	-0.0495395784	0.0607267488	0.0106138498	0.09328656	0.2258410002	0.1264406485	-0.0098810289	-0.1158209621	0.0513215382	-0.0889883833	-0.0095064315	0.0243782368	-0.0726051956	-0.0484857421	-0.0962103843	0.0301357392	0.0202920804	0.0786820822	0.0256192708	-0.0156553703	-0.0599527414	-0.018238501	0.0704053199	0.0219416226	0.0021814575	-0.0157238272	-0.0353659408	0.0229172529	-0.0445800257	0.0228490629	0.0493162576	0.0202265199	0.041637789	0.0419967299	0.0773223591	0.0402369677	-0.0865732608	-0.0406070296	-0.0067243257	-0.0796781271	-0.0638459487	0.124734808	0.0456577071	-0.097353701	0.0174163416	-0.0208071343	0.0426327314	-0.0072790159	-0.0121369584	-0.0111401013	-0.0320488657	-0.071252646	-0.0222755283	-0.07216401	-0.0025203848	-0.0280610466	-0.014759689	0.108425862	0.0404587749	0.0707786216	0.0387926918	-0.0662924001	-0.031710663	0.0059731458	-0.0440274205	-0.0130032278	-0.036547745	-0.0591485702	-0.0544830064	0.0562758122	-0.0293057988	-0.0821971471	0.0352069697	0.0662764721	0.002469282	0.0162773155	0.0470076213	0.0119489066	0.0467465508	-0.0481202155	0.0168528146	-0.026886388	-0.0960568922	-0.0114378143	0.0494998515	-0.0618451434	0.0581622696	0.0634974869	-0.0372609667	-0.0091850883	-0.036391452	0.0389876035	-0.0257673154	-0.0005253206	0.0130136087	-0.000760696	0.0259943806	-0.0992022122	-0.0194537157	0.1211345416	-0.0075946378	0.0238306871	-0.0155368054	0.0168435257	-0.0151307772	-0.043759325	0.1172575508	-0.052847111	-0.0101318382	0.0893186495	0.0140678958	-0.0028458674	-0.0275238993	0.1099018789	-0.0777157515	-0.0167556243	0.1019313788	-0.0061274038	0.0350094358	-0.0502814486	0.035351486	-0.0068866463	-0.0265752136	0.0433010363	0.0015806475	0.0015388889	-0.0341539795	0.0404035867	0.0130161628	-0.0472190966	-0.0718041178	-0.0083124269	0.0433692464	0.0437398614	0.0011207091	0.0027701851	-0.0283470314	0.0042486184	-0.0134924615	0.0591089776	-0.0116330027	-0.0014831908	0.0113040643	-0.0809390807	0.0239518208	0.0791131651	0.03601677	0.0123802823	0.0404889469	0.107948402	0.078428136	0.0741283387	-0.0598267211	-0.0833252729	0.0674620329	0.0530709287	0.0074318989	-0.0194466461	-0.0134568767	-0.0076369289	-0.0258349346	-0.0298745933	-0.0248488612	0.0797824273	-0.0037983971	0.0364456796	0.0018402604	0.0417270786	0.0812383947	-0.1102056366	0.0385019196	0.0836534068	0.0493114218	0.0243871503	-0.040806079	-0.0238949031	-0.0070630793	0.0450841178	0.043607065	-0.0525560507	-0.0575751032	0.0644022236	0.0314573229	0.0389801354	-0.0072841744	0.0774261277	-0.0493958254	-0.0052077267	-0.0060002646	-0.0644343524	-0.0247998893	0.044755674	-0.0526099155	-0.0092590102	0.0119956889	-0.0015949024	0.0868382568	-0.0689269595	-0.0526598368	0.0499947621	0.03199274	-0.0137624971	0.0113174566	0.0465075768	0.03863668	0.0283345569	-0.0360039077	-0.1340634553	-0.0435966846	0.0430041513	-0.0664310444	-0.0102667532	-0.0314877589	0.0542855854	0.0028778267	0.0675460741	-0.0982675128	0.0004580607	-0.0128844613	-0.0174244784	0.0289971814	0.0515219482	-0.0001146702	-0.107483576	-0.0928094828	-0.0034770666	0.0102363136	0.0474814473	0.0339335043	-0.0124023753	0.0191820383	0.0145769847	-0.0639416032	-0.0351926513	-0.0944543803	0.0067432263	-0.0742577721	0.0742012177	0.0720600002	0.0720150162	0.0719400635	0.0718351734	0.0717003896	0.000301038	-0.000137435	1.8888379225e-08	9.0623877444e-08	0.0235472	-0.006134	0.00055447062784	3.762595600000001e-05	0.0324658	-0.0076260999999999	5.815740120999995e-05	0.00105402816964	-5.61948e-06	4.149172e-05	1.7215628285583995e-09	3.1578555470399993e-11	-0.0	0.0	0.0	0.0	0.000183813	-8.472500000000001e-05	7.178325625000002e-09	3.3787218969e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
5364.527827822067	-7.859368636083673	61.76967535785573	28778158.81547734	12829.798076943918	-108.6021335978403	11794.423422003152	164603718.69515386	5117.821887244668	5.447977811301826	26192100.869560573	29.68046223243703	5140.478828840617	8439.106184738657	1.112294	38.290855	0.101138938	0.052971	0.0391933435	0.0264230681	0.0669452272	0.0963276762	-0.0129286391	0.0600984308	0.0311259734	-0.0088716387	0.0935193977	0.0532436655	0.1905635428	0.0041331075	-0.0264819764	0.088860906	0.0261176319	-0.0822715447	0.0167859513	-0.0282173376	0.0069134417	0.023350092	-0.0116468722	0.0257954055	-0.0965224439	-0.0232175684	0.0370712859	0.0277810771	-0.0401505608	-0.0135518775	0.0456754949	0.022660879	-0.0492335268	0.0252830219	0.0244712598	0.0005929499	-0.0100704782	-0.0409195792	-0.0529450343	0.0412741103	-0.0546811265	0.0374971937	0.0078830601	-0.0079398785	0.005363741	-0.0581712691	-0.0349906602	0.0143361386	-0.0048763545	-0.0529804426	-0.0901267756	0.0428140548	0.021136772	-0.0433593551	-0.0483190002	0.0175403654	0.0624960531	-0.0849915581	-0.0353296228	-0.1028033451	-0.0393969292	-0.0218217904	-0.1381639603	-0.0117027987	-0.0761654016	-0.0188628379	0.0248362826	-0.043283859	-0.0053571238	-0.0543176479	0.0196752783	-0.0129782229	0.0389136655	-0.0410341415	0.0006391336	0.0453315326	0.1021743933	-0.0032983389	-0.0066493312	-0.117119807	0.025763179	-0.0360894661	0.0810541521	-0.0743287733	0.1230799539	0.0940383298	0.0314307405	0.0350443793	0.0372157834	0.0292077035	-0.0188089096	-0.0851068699	-0.0511813176	0.0180303221	0.0176584735	0.1267369979	0.0138911862	-0.0661082371	-0.0322949369	-0.0626428565	-0.0119136063	-0.0024983626	0.0124359194	-0.0095847665	0.0720906261	-0.0365764912	0.0293913258	-0.0372147736	-0.1277783923	0.0590822426	0.0143502032	-0.0214023078	-0.0728999043	-0.054103518	0.0213224112	0.1189142808	0.0275248842	0.057881592	0.0859150484	0.0632623526	0.0481093905	-0.0075478327	-0.1054312312	-0.0634911119	-0.0903151788	0.0369695676	0.0003657275	0.112728638	-0.0889653848	-0.0757742328	-0.0293459545	0.0438164459	0.0019574078	0.0854975539	0.0263726092	-0.0100497134	0.0408876668	0.0061431649	-0.0660732998	-0.0178964573	0.0252260146	0.02614176	-0.0583858336	-0.0011614124	-0.0479631986	0.0018172085	-0.04409414	0.0042571383	0.0010968701	0.0386545791	0.0025184225	0.0648019892	0.0003926947	0.0180613492	0.0306056024	-0.0382104155	0.0262203711	0.0255434379	0.0436553824	0.045987356	-0.0273851854	0.0346548157	-0.0387281209	-0.0581167091	-0.0047448552	-0.025174623	-0.0745696029	-0.0308447621	-0.1370511774	-0.0153461554	0.0159424982	0.0486245663	0.0910697014	-0.0756187239	0.0163224203	-0.0612297863	-0.0278378393	-0.0375045919	-0.0246869798	0.0278700721	-0.0225126633	0.1079441928	-0.0717699483	-0.0787512141	0.0416978889	-0.022290066	-0.0142241134	-0.1050310558	-0.0831964153	0.0722239	0.0469773153	0.0032470744	0.0025741679	0.0071096034	-0.0042109042	0.1500172691	0.0284061652	0.0180422932	0.0126720961	0.08102813	-0.0182610566	0.0828575226	-0.0732890796	0.099198583	-0.0234358943	0.0381648853	-0.0775599695	-0.0313483181	0.083282962	0.0601948944	-0.0079213182	-0.016129974	-0.0042589535	-0.0167379236	0.05864017	0.0121411668	0.0131746783	-0.1242209416	0.0431826517	0.0678890256	-0.0243028179	0.0373108062	-0.056637675	-0.0772757551	0.0317039303	-0.0507040349	0.1348477176	-0.0544086494	-0.0836725425	0.0611332423	-0.0402843547	0.0282443343	0.0013457206	-0.0339003125	-0.1236168328	0.0505110186	-0.0290209591	-0.1432063953	0.0298898301	0.0070883098	0.0094473326	-0.0329886076	-0.0043836945	-0.0041917852	0.0621247559	0.0720456043	0.0719574502	0.0718106065	0.0716051931	0.0713413775	0.00416505	0.003864012	1.4930588736144e-05	1.73476415025e-05	0.0633144	0.0397672	0.00400871324736	0.00158143019584	0.0574884	0.0250226	0.00062613051076	0.00330491613456	-0.000366318	-0.00036069852	1.3010342233019044e-07	1.3418887712400005e-07	-0.000179708	-0.000179708	3.2294965264e-08	3.2294965264e-08	0.000293109	0.0001092959999999	1.1945615616e-08	8.5912885881e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
5352.6018410942825	-11.92598672778422	142.22915943128538	28650346.4692859	12820.939088519324	-8.858988424593917	78.48167590708901	164376479.11152273	5118.324673326792	0.5027860821246577	26197247.461585816	0.252793844378263	5141.8094693299445	8468.580775952416	1.136651	39.129341	0.0755709799999999	0.0494298	-0.0393957328	0.0458906402	-0.0286477345	-0.0018490973	0.0070860016	0.0708683992	0.0711133239	-0.031707182	0.0590615708	0.0178869599	0.0951726224	0.0138775843	-0.0263774388	-0.004102301	-0.0980482364	-0.0545211642	-0.0229160285	0.0207112258	-0.0531202713	-0.0246458868	0.051791912	-0.0728030231	-0.1086699857	-0.0070470982	-0.011721694	0.021201584	-0.0771045813	0.0214907006	0.0059607092	-0.0185800467	0.0443792741	-0.0348588978	0.0481402077	0.0102016343	-0.0865719467	0.0463706535	-0.0534420469	-0.0074190237	0.0678445831	0.141898811	-0.0090670679	0.0159661727	0.0074050172	0.0142049491	0.0057216569	-0.0407008715	-0.0067465698	0.015824763	0.0702692459	0.086908238	0.0442858197	-0.0612130095	-0.0427965538	0.0221405744	-0.042915044	0.0177762635	-0.0298698745	0.0736903218	-0.0320468912	-0.0422405232	-0.0021345917	-0.0295423387	0.0454364678	0.0303570653	0.043501905	0.0729958562	0.0181051268	0.0245336038	0.0773330813	-0.0465080998	-0.0295794922	-0.0142962207	0.0584916285	0.0556595301	-0.0175985059	0.0224581891	0.0410814062	-0.0420009239	0.0984938286	0.1187839142	-0.0740786887	-0.0135584207	-0.0230943959	-0.001172293	-0.0584166671	0.032276345	-0.0005093638	0.002460371	0.0858972478	0.0611819522	0.0249823245	-0.1088971359	0.0182249009	0.0385307182	0.0147249077	-0.0310257153	-0.0126247583	0.0204847903	0.0234710008	-0.1096999183	0.0457337028	-0.116709219	-0.0014736295	0.093053485	0.0023949278	-0.0517638639	-0.0079507629	0.099169538	-0.0116990793	0.0377447525	-0.0789890511	-0.0007310434	-0.0113092902	-0.053886268	-0.0068633959	0.0186490198	-0.0182930995	-0.0686575523	0.0360566712	0.0334371341	0.0006081199	-0.0171060875	-5.57434e-05	0.0385097278	-0.0454975218	0.0663868408	-0.0055407945	-0.0292042586	-0.0037095513	0.0273812097	-0.0474082844	0.011077576	-0.1046925791	-0.0120415604	-0.0165594954	0.0139245847	-0.0670909843	0.0365585493	0.0018045799	-0.0235354587	0.0508964246	-0.0155583085	-0.0373425456	0.01985855	0.0014794941	0.05229567	-0.0415164648	-0.0759288928	-0.1431963956	0.0445162441	-0.0560216165	-0.0099362179	0.0492166976	0.03847611	-0.0163426987	0.0111333961	0.0155845403	-0.0589058163	0.0476238618	0.0336045701	-0.0909213354	-0.0016934997	0.0198162111	-0.0513303568	0.006666245	-0.0023277281	0.0756108798	0.0157565864	0.081650227	0.0320285291	-0.0038906824	-0.0083102585	0.0182710929	0.0623611728	0.0072304881	-0.0059211119	0.1170192088	-0.017569511	-0.0637881687	0.0449497488	0.0192866701	0.0413766449	0.0182964338	-0.0777949619	0.0246371896	0.0470439992	-0.0448954861	-0.0631952758	0.1126661514	-0.1028569617	0.0063573017	-0.0200454345	-0.0459508337	-0.0088510747	-0.0459149232	0.0270950933	-0.0017675869	0.0095385659	0.046860704	-0.0103350523	0.0839607756	0.0448430004	0.0598953649	0.0767246197	-0.0154344529	0.0945825487	-0.0116331195	0.0221587775	-0.035341304	-0.1185177811	0.0166446686	0.0910154254	-0.0382755434	0.0692351421	0.0690956121	0.0278741224	0.0112682205	0.0176483496	-0.11124505	0.0495402811	-0.0475094789	-0.0574191606	0.0222806072	0.0258742538	-0.049599683	-0.0080187564	0.0462268625	-0.0022227172	-0.048853004	0.0392552279	0.0268954616	0.0117819333	-0.0074746096	0.0002489998	-0.0779396396	-0.042498727	0.0591126724	0.0586723322	-0.0004024841	-0.0362155452	0.026443507	0.001203213	-0.0284834812	0.0720264112	0.0718807194	0.071638118	0.0712989339	0.0708636247	0.00280832	-0.00135673	1.8407162929e-06	7.8866612224e-06	0.107836	0.0445215999999999	0.011628602896	0.0019821728665599	0.0399049	-0.0175835	0.00030917947225	0.00159240104401	-0.00026177	0.000104548	1.0930284304000011e-08	6.852353289999999e-08	-0.000215256	-3.554799999999999e-05	1.2636603039999992e-09	4.6335145536e-08	0.000191022	-0.000102087	1.0421755569e-08	3.6489404484e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
