TrialNumber,Trialn,Blockn,BlockType,Partner,Feedback,ITI,ran,order,studyStart,InitFixOnset,decision_onset,resp,resp_onset,rt,outcome_val,outcome_onset,outcome_offset,trialDuration,ITIonset,ITIoffset
1,1,1,2,1,1,0.750000,1.0,0.0,2.8000213e-06,0.0094938,4.014022,1.0,5.969589,1.9555671,6.0,6.5324745,7.540824,3.5268018,7.5410066,8.302672
2,2,1,2,1,3,0.750000,1.0,1.0,--,--,8.304298,6.0,9.103249,0.7989505,8.0,10.822911,11.831052,3.5267534,11.831198,12.58603
3,3,1,2,1,2,0.750000,1.0,2.0,--,--,12.587635,6.0,13.153162,0.5655264,5.0,15.104418,16.109968,3.5223331,16.110111,16.869432
4,4,1,2,1,3,0.750000,1.0,3.0,--,--,16.87109,1.0,17.903378,1.0322875,4.0,19.388378,20.39484,3.5237508,20.394989,21.152708
5,5,1,2,1,3,0.750000,1.0,4.0,--,--,21.154442,6.0,22.05286,0.8984179,6.0,23.671404,24.677197,3.5227547,24.677341,25.43642
6,6,1,2,1,3,0.750000,1.0,5.0,--,--,25.438076,1.0,26.102875,0.6647982,1.0,27.955307,28.96012,3.5220437,28.96026,29.719732
7,7,1,2,1,3,0.750000,1.0,6.0,--,--,29.72136,1.0,30.252665,0.5313055,1.0,32.239285,33.24412,3.5227625,33.244263,34.002823
8,8,1,2,1,3,10,1.0,7.0,--,--,34.00465,1.0,35.170017,1.1653669,1.0,36.522305,37.526676,3.5220249,37.526817,47.5364
9,9,2,3,2,1,0.750000,1.0,8.0,--,--,47.73194,6.0,49.436005,1.7040622,4.0,50.249355,51.25483,3.5228884,51.25498,52.0194
10,10,2,3,2,3,0.750000,1.0,9.0,--,--,52.21596,1.0,53.15287,0.936907,1.0,54.73308,55.738064,3.5220997,55.738213,56.502846
11,11,2,3,2,1,0.750000,1.0,10.0,--,--,56.69456,1.0,57.80285,1.1082873,7.0,59.211956,60.218037,3.5234754,60.21818,60.96956
12,12,2,3,2,1,0.750000,1.0,11.0,--,--,61.15718,6.0,62.086655,0.9294746,1.0,63.674183,64.679146,3.521962,64.67928,65.43616
13,13,2,3,2,3,0.750000,1.0,12.0,--,--,65.6265,6.0,66.335976,0.7094707,6.0,68.14432,69.150116,3.5236125,69.15026,69.90288
14,14,2,3,2,1,0.750000,1.0,13.0,--,--,70.094955,1.0,71.08665,0.9916899,8.0,72.6113,73.616684,3.521731,73.61684,74.36975
15,15,2,3,2,1,0.750000,1.0,14.0,--,--,74.562065,6.0,75.05309,0.4910288,3.0,77.078285,78.08261,3.520546,78.082756,78.83644
16,16,2,3,2,1,10,1.0,15.0,--,--,79.02623,1.0,79.50309,0.4768606,9.0,81.54417,82.5496,3.5233717,82.54976,92.55262
17,17,3,2,1,3,0.750000,1.0,16.0,--,--,92.55675,1.0,93.619965,1.063217,2.0,95.07301,96.0783,3.521551,96.078445,96.83638
18,18,3,2,1,3,0.750000,1.0,17.0,--,--,96.83808,6.0,97.453224,0.6151452,8.0,99.35431,100.35773,3.5196457,100.35787,101.12001
19,19,3,2,1,2,0.750000,1.0,18.0,--,--,101.12182,6.0,101.602554,0.4807351,5.0,103.6393,104.64452,3.5226994,104.644684,105.40289
20,20,3,2,1,3,0.750000,1.0,19.0,--,--,105.404785,1.0,106.06966,0.6648759,4.0,107.9216,108.92617,3.521384,108.92631,109.68592
21,21,3,2,1,3,0.750000,1.0,20.0,--,--,109.68755,6.0,110.30312,0.6155654,6.0,112.2044,113.20788,3.5203197,113.20802,113.96939
22,22,3,2,1,1,0.750000,1.0,21.0,--,--,113.97101,1.0,114.62001,0.6490024,6.0,116.48741,117.49304,3.522033,117.49319,118.25288
23,23,3,2,1,3,0.750000,1.0,22.0,--,--,118.254555,6.0,118.75306,0.4985017,6.0,120.771324,121.77705,3.5224905,121.77719,122.53618
24,24,3,2,1,3,12,1.0,23.0,--,--,122.538055,1.0,123.15305,0.6149996,3.0,125.05541,126.05981,3.5217466,126.059944,138.06972
25,25,4,4,2,3,0.750000,1.0,24.0,--,--,138.26076,1.0,139.00258,0.7418174,4.0,140.77834,141.78183,3.5210762,141.78198,142.5362
26,26,4,4,2,1,0.750000,1.0,25.0,--,--,142.72198,1.0,143.60309,0.8811053,7.0,145.23831,146.24405,3.5220733,146.2442,147.00294
27,27,4,4,2,3,0.750000,1.0,26.0,--,--,147.1937,6.0,147.83662,0.6429308,6.0,149.71034,150.7148,3.5211,150.71494,151.46974
28,28,4,4,2,3,0.750000,1.0,27.0,--,--,151.6617,6.0,152.36911,0.7074009,8.0,154.18045,155.1852,3.5234976,155.18535,155.93639
29,29,4,4,2,3,0.750000,1.0,28.0,--,--,156.12483,6.0,156.78612,0.6612848,8.0,158.64143,159.64607,3.521237,159.64621,160.40268
30,30,4,4,2,1,0.750000,1.0,29.0,--,--,160.59352,1.0,161.35226,0.7587446,7.0,163.1124,164.118,3.5244832,164.11815,164.86969
