global_signal	global_signal_derivative1	global_signal_power2	global_signal_derivative1_power2	csf	csf_derivative1	csf_derivative1_power2	csf_power2	white_matter	white_matter_derivative1	white_matter_power2	white_matter_derivative1_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	c_comp_cor_05	c_comp_cor_06	c_comp_cor_07	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	w_comp_cor_19	w_comp_cor_20	w_comp_cor_21	w_comp_cor_22	w_comp_cor_23	w_comp_cor_24	w_comp_cor_25	w_comp_cor_26	w_comp_cor_27	w_comp_cor_28	w_comp_cor_29	w_comp_cor_30	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	cosine00	cosine01	cosine02	cosine03	cosine04	non_steady_state_outlier00	trans_x	trans_x_derivative1	trans_x_power2	trans_x_derivative1_power2	trans_y	trans_y_derivative1	trans_y_derivative1_power2	trans_y_power2	trans_z	trans_z_derivative1	trans_z_derivative1_power2	trans_z_power2	rot_x	rot_x_derivative1	rot_x_derivative1_power2	rot_x_power2	rot_y	rot_y_derivative1	rot_y_power2	rot_y_derivative1_power2	rot_z	rot_z_derivative1	rot_z_derivative1_power2	rot_z_power2	motion_outlier00	motion_outlier01	motion_outlier02	motion_outlier03	motion_outlier04	motion_outlier05	motion_outlier06	motion_outlier07	motion_outlier08	motion_outlier09	motion_outlier10	motion_outlier11	motion_outlier12	motion_outlier13	motion_outlier14	motion_outlier15
6979.287304130545	n/a	48710451.27359781	n/a	14655.063702333691	n/a	n/a	214770892.11945847	5946.668078202127	n/a	35362861.23230817	n/a	8099.710220644497	11984.628822200262	n/a	n/a	n/a	n/a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0341843	n/a	0.00116856636649	n/a	0.0633309	n/a	n/a	0.0040108028948099	-0.0238752	n/a	n/a	0.00057002517504	-0.000360864	n/a	n/a	1.30222826496e-07	-0.000404443	n/a	1.6357414024899998e-07	n/a	-0.000425986	n/a	n/a	1.81464072196e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
6949.518923263985	-29.76838086655971	48295813.26480421	886.1564994165582	14764.495817241252	109.4321149075604	11975.3877731415	217990336.7373344	5936.656562477316	-10.011515724811034	35243891.140804976	100.2304471081386	8235.406917909693	12242.209731883762	1.730082	83.216049	0.03249925	0.0186794	-0.006068926	0.0614681713	-0.1989172798	-0.0265851523	0.0744312923	-0.0705432423	0.1889720707	-0.0136424413	0.1522431229	-0.0106579175	0.0626498061	-0.0397759403	-0.0313740271	0.0023615549	-0.0955765796	0.0902526668	-0.0543600418	0.0745409857	-0.0429979155	0.0646642997	-0.1264542958	0.087447078	-0.1319688384	0.1576882493	-0.0632083135	0.1111980543	0.157508919	-0.157819779	0.1479288445	0.0620694572	-0.1743078121	-0.1292877201	0.0612460141	0.0378158983	0.0008506707	-0.1278423793	-0.0487803374	0.0605122395	0.0103444577	-0.0874773979	-0.0165176327	-0.0726759563	-0.0904106335	-0.2392696496	-0.0139475678	0.056747625	-0.0098607284	-0.0536394998	0.0280981815	-0.1198357391	0.0725926226	-0.2723382569	0.0219436645	-0.0442598152	0.0348628715	-0.1018095976	0.1125247402	-0.0751227248	0.0353898006	0.0192173122	-0.1084571375	-0.0326763867	0.0956178162	0.0551277046	0.0644528952	-0.1766261691	0.0231941664	0.093566558	-0.0158541557	0.1466261977	0.1465634515	0.1464588945	0.1463125564	0.1461244791	0.0	0.0328951	-0.0012892	0.0010820876040099	1.6620366400000109e-06	0.0470064	-0.0163245	0.0002664893002499	0.0022096016409599	-0.0175894	0.0062857999999999	3.951128163999997e-05	0.00030938699236	-0.000316557	4.4307e-05	1.9631102489999994e-09	1.0020833424900001e-07	-0.000532131	-0.000127688	2.831634011610001e-07	1.6304225344000012e-08	-0.000425986	0.0	0.0	1.81464072196e-07	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
6915.106657122643	-34.41226614134212	47818700.07938189	1184.204060982561	14681.959309279357	-82.53650796189504	6812.275146543963	215559929.15933475	5924.548012054479	-12.108550422836744	35100269.14713868	146.61699334237986	8125.737648378016	12012.375914354368	1.28639	61.87468	0.1426035	0.114605	-0.1028865698	-0.125575978	0.1029584735	-0.0880411556	0.0117889351	0.0857101448	-0.0990689457	-0.1493544834	-0.1276127971	0.0679154293	-0.1442337121	-0.1751359242	0.0572983165	-0.0992135403	-0.0052016027	-0.0022968348	0.1286325238	-0.143230584	-0.0003495999	-0.0418498278	-0.0743138319	-0.1590639025	0.0939665046	0.0864636526	0.0002649017	0.0060746755	-0.1584431872	0.1587124716	-0.0745359416	0.1337137606	0.0337733534	0.0528892645	-0.0915935585	0.0295435067	0.0876457756	-0.1349622154	-0.0897038532	0.013315647	-0.1706995458	-0.0422139494	-0.1609958501	0.1895937134	0.1720145094	0.1168350557	0.064352402	0.040556793	0.0061919923	0.0544502967	-0.0073216143	0.0121119805	0.0791151572	0.0414016608	-0.0809569849	-0.207491773	0.0896798721	0.1289087339	0.0758316222	-0.0419314257	0.0016235625	-0.0932306715	-0.0124445166	-0.0468740347	-0.0877502018	-0.1364194829	-0.2086615372	0.0844972286	0.0630285912	-0.0421400967	-0.1016665369	0.1464588945	0.1458947161	0.1449560281	0.14364524	0.1419657166	0.0	0.0231725	-0.0097225999999999	0.0005369647562499	9.452895075999996e-05	0.0472428	0.0002364	5.588496000000221e-08	0.00223188215184	-0.134578	-0.1169886	0.01368633252996	0.018111238084	-0.000629675	-0.000313118	9.8042881924e-08	3.96490605625e-07	-0.000532131	0.0	2.831634011610001e-07	0.0	-0.000425986	0.0	0.0	1.81464072196e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
6924.645094791329	9.538437668686129	47950709.68881761	90.98179315941049	14712.229449220951	30.270139941594607	916.2813720837212	216449695.36652425	5927.944374500944	3.396362446464991	35140524.50717739	11.53527786775766	8164.906796267323	12025.240490002692	0.961079	46.227379	0.0591	0.0339912	0.0124875464	-0.1489056789	0.0419554834	-0.0197870385	0.0586370365	0.0761640789	-0.0744450041	-0.1194715914	0.0812967613	-0.0357281405	-0.0205565917	-0.0193602894	0.1363889494	0.0174778858	0.223099772	-0.1378893743	0.0387810186	0.0618814773	0.0998756663	-0.0365230654	0.0382892606	0.1262281149	-0.0125374696	-0.0872530956	0.0270220384	0.0329411798	-0.0718008989	-0.0923299737	0.2324228932	-0.1015487422	0.0176672042	0.0973680236	0.0564279874	0.194630508	0.0439111228	-0.0062468237	0.0196689198	0.1232569127	0.0894610733	0.256057332	0.0804051724	-0.0877409428	0.0493854806	0.0049900677	0.1150820503	0.0713674432	0.0086857531	-0.0626829313	-0.0797717655	-0.0420881894	-0.0147721978	-0.122979125	-0.0892946181	0.2541714067	-0.0496953716	-0.0849494203	-0.1040087415	0.0547350908	0.1528437557	0.0492428986	0.0853392185	0.1211447705	-0.1247017398	-0.0409845613	0.0400278035	0.0456915878	-0.0099417667	-0.1494793018	-0.0957624595	0.1461244791	0.1445602966	0.1419657166	0.1383592329	0.1337665517	0.0	0.014702	-0.0084704999999999	0.000216148804	7.174937024999998e-05	0.0757474	0.0285046	0.00081251222116	0.00573766860676	-0.138526	-0.003948	1.5586704000000056e-05	0.019189452676	-0.000364895	0.00026478	7.01084484e-08	1.33148361025e-07	-0.000532131	0.0	2.831634011610001e-07	0.0	-0.000524744	-9.875799999999996e-05	9.75314256399999e-09	2.75356265536e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
6906.776380602665	-17.868714188663944	47703559.97165085	319.29094675616017	14705.456509641352	-6.772939579599552	45.87271054890615	216250451.1569532	5930.1463391949765	2.20196469403254	35166635.60426758	4.848648513765818	8177.468556677428	12161.557843126786	1.093727	52.60767	0.04753205	0.0224885	-0.0157274743	0.0814979778	-0.0680022557	0.0094234752	-0.1073097049	0.0056872458	0.0360805535	-0.0585467344	-0.1065388088	-0.1407313336	-0.0169366354	0.0258599109	0.0083700107	-0.0955278849	-0.0267514727	-0.0434937365	0.0271723817	0.0608049245	0.1685787717	0.0935663811	-0.000737179	-0.0021279171	0.0454379427	-0.1241091725	0.040591548	0.0416747487	-0.0305782187	0.0212356942	-0.1311857042	0.0381055459	-0.0955169019	-0.1404692328	-0.0667153954	-0.1298289582	-0.2252378752	0.0654926356	-0.0596622274	-0.0556213327	0.0463032033	-0.0735977739	-0.0366681884	-0.0233220713	-0.01052424	0.0553930799	-0.0316916424	0.0720830444	-0.0580820268	0.0904768623	0.1360847596	-0.0278563289	-0.0694746851	-0.0360264626	0.0278954986	0.1083027765	0.1244719256	0.0761042721	-0.0138429634	-0.0398110129	0.0118872617	0.011795499	-0.0234839846	-0.0186483335	-0.043026487	-0.0529403026	0.02952559	0.0709375894	-0.1041560124	0.1928686912	0.1298741318	0.145623333	0.1425662815	0.1375186448	0.1305509005	0.121760336	0.0	0.0223169	0.0076149	0.00049804402561	5.7986702010000014e-05	0.0910548	0.0153073999999999	0.0002343164947599	0.00829097660304	-0.131098	0.007428	5.517518400000027e-05	0.017186685604	-0.000120018	0.000244877	5.9964745129e-08	1.4404320324000001e-08	-0.000532131	0.0	2.831634011610001e-07	0.0	-0.000425986	9.875799999999996e-05	9.75314256399999e-09	1.81464072196e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
6911.957941702663	5.181561099998362	47775162.58786652	26.848575433016237	14686.8762152339	-18.58029440745122	345.2273402675631	215704332.96160325	5911.62461776822	-18.52172142675681	34947305.62140325	343.05416461038243	8136.006298282499	12072.470018026606	1.065752	51.262112	0.05750364	0.0311647	-0.0336370932	-0.1056910017	0.0377439098	-0.0659950451	0.0506357005	0.108857571	-0.0753661996	0.0365305713	-0.0535374745	0.0443128658	-0.0667593346	-0.074320884	-0.0901097352	-0.1061381041	0.0431713245	-0.1031514192	-0.2258399479	0.0711951175	-0.1619623449	-0.1203853688	0.0911811623	-0.2117107619	-0.0341835542	-0.3058875207	0.0640950826	-0.1385785683	-0.0090340566	-0.001950366	-0.058787676	-0.0373792754	0.1565988448	0.0619540051	0.0630417826	0.017130239	-0.0098141578	-0.0898626818	-0.1461445798	0.0180924722	0.1138241883	-0.0257169751	0.1471856538	0.0062889135	0.0829256032	0.0503077111	0.0523583753	-0.0165547161	0.085385427	-0.0062251903	-0.0738910142	-0.1000701323	0.0246287972	0.2384324923	0.2186368424	-0.0323101125	-0.157567399	0.2008644416	-0.2272343913	0.0606440047	-0.0107917403	0.0516857066	-0.0940509585	0.1350838121	0.0772933429	0.0014190133	0.14946547	0.0564836183	-0.0695056647	-0.1358166541	-0.0597293185	0.1449560281	0.1399217693	0.1316604456	0.1203625908	0.1062887712	0.0	0.0274809	0.0051639999999999	0.00075519986481	2.6666895999999983e-05	0.0657622	-0.0252926	0.00063971561476	0.00432466694884	-0.140369	-0.009271	8.595144100000003e-05	0.019703456161	7.457479999999998e-05	0.0001945928	3.786635781184e-08	5.561400795039997e-09	-0.000693058	-0.0001609269999999	4.80329391364e-07	2.5897499328999985e-08	-0.000425987	-1.000000000015745e-09	1.0000000000314906e-18	1.8146492416900002e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
6890.118112169655	-21.83982953300801	47473727.599648334	476.97815403084905	14675.436072386352	-11.440142847548486	130.8768683723148	215368423.9146985	5925.23989467643	13.615276908210037	35108467.80946515	185.3757652872374	8177.206904793287	12091.852809817528	1.059699	50.970982	0.07213081	0.0359805	0.0494311098	0.0003020264	-0.0425542295	0.0112159691	0.0249398552	-0.0484274301	-0.0068769629	-0.0168337265	0.0142882841	-0.1636402135	0.0263529479	0.044138055	0.0556833182	-0.0739483637	-0.0719819594	0.0376815987	0.0739118317	-0.1760652497	-0.0780435572	-0.0750800933	0.1394861089	0.0469437294	-0.0656521226	-0.0432185775	0.0494816786	0.1173831787	0.1687424298	-0.0719557687	0.0766454501	0.075395286	0.0919898475	-0.0290772316	0.1402227135	-0.0165648932	0.021252311	-0.0059360221	0.1368176039	0.1090351277	0.0431659566	-0.0559055334	0.0440236698	0.0514050054	-0.0088097798	-0.0214505034	-0.0043281203	-0.0587550773	-0.0548036438	0.0101094419	0.1306732571	-0.0250775408	0.0263498857	0.0524845838	-0.0098000135	-0.0566572025	-0.1233739565	-0.1875465445	-0.0338079839	0.0335746657	0.0872915	0.1612053704	-0.1022056947	-0.0245498125	-0.0979899867	0.0171107096	0.0887409362	-0.1046226583	0.1747193694	-0.0565055728	0.0179720267	0.1441233256	0.1366388261	0.124451232	0.1079800393	0.0877921846	0.0	0.0337521	0.0062712	0.00113920425441	3.932794944000001e-05	0.0562815	-0.0094807	8.988367249000016e-05	0.00316760724225	-0.107758	0.0326109999999999	0.0010634773209999	0.011611786564	0.000439741	0.0003651662	1.3334635362244e-07	1.93372147081e-07	-0.000582866	0.0001101919999999	3.39732773956e-07	1.2142276863999987e-08	-0.000425987	0.0	0.0	1.8146492416900002e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
6896.712886825718	6.594774656062327	47564648.64330792	43.49105276424199	14654.769250392288	-20.666821994063863	427.117531334322	214762261.7822433	5923.567420241725	-1.6724744347047815	35088650.982149206	2.7971707347410795	8154.725668476716	12054.676829889802	0.972199	46.762253	0.0519867	0.0275887	-0.0447132809	-0.0179457858	0.008514502	-0.0596488284	-0.052415024	0.0710533703	0.002856186	0.078624612	-0.0785651177	-0.0620675625	0.0046439388	-0.0161940782	0.0238201291	0.0713039892	0.0640333245	0.0373744811	0.0311279044	-0.0357809498	0.1872064359	0.0291695403	-0.031784346	0.0649147048	-0.0441371065	0.0041837915	0.0056307196	0.0805761972	0.0430120019	0.0001995403	-0.1073458214	-0.1600705545	0.0860969966	-0.0327430068	-0.039100328	0.0558340432	-0.0256743076	-0.0313244812	0.0123582307	-0.2123761485	0.0526958826	-0.0568784258	-0.099160382	0.12098159	0.0415254862	0.0222526887	0.0048912985	0.0015857098	-0.0725870765	0.0282497306	0.0546383684	0.1150850541	-0.1062598747	-0.0749996278	-0.0355398433	0.0417469509	0.0168194653	0.0100310938	-0.0292929962	-0.0676658375	0.0649282691	-0.0281614176	0.1575754751	-0.017084795	0.0482427019	0.1198024373	0.069414001	0.0606139187	-0.0075890523	-0.0201979045	0.031741373	0.1431261759	0.1327324313	0.1159649805	0.0936289832	0.0667969964	0.0	0.0299462	-0.0038059	0.00089677489444	1.4484874810000008e-05	0.043694	-0.0125875	0.00015844515625	0.0019091656359999	-0.124264	-0.0165059999999999	0.0002724480359999	0.015441541696	0.000453018	1.3277000000000015e-05	1.7627872900000038e-10	2.0522530832400002e-07	-0.000532131	5.0735e-05	2.831634011610001e-07	2.5740402249999996e-09	-0.000743721	-0.000317734	1.00954894756e-07	5.53120925841e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
6872.746186044199	-23.96670078151874	47234640.137785085	574.402746350851	14655.732375085754	0.963124693465943	0.9276091751638668	214790491.45013672	5909.258726113349	-14.308694128375464	34919338.69214676	204.7387276594065	8175.913409728736	12196.586905649438	1.361293	65.477493	0.21820265	0.150206	0.1954537792	0.0401359078	-0.0124833766	0.1821657749	0.0716005223	0.0185814293	-0.0343060597	0.1167148695	-0.0489192073	-0.0274646633	-0.0599472742	0.0960250125	-0.0809000606	0.0799264516	-0.0592292757	0.0423205196	0.0283278656	-0.0349392542	0.0414272928	-0.0707614274	-0.0702227985	0.0828908181	-0.1624954579	0.1153274612	-0.0371356317	-0.0518052458	-0.0776435477	0.187665871	-0.1011652005	0.0896900439	-0.0245498222	0.0525042574	0.0001674625	0.0800420772	0.1315110491	0.015551811	0.147090965	0.1413037964	0.1014370008	0.0201953102	-0.1363664497	-0.0551093281	-0.1033140044	0.0807169945	0.0244081203	-0.0556074571	0.0755951755	-0.0843482086	0.002241355	0.1656749558	0.0417983493	-0.0149547944	0.0277618391	-0.0811618778	0.0168553006	-0.0808231874	0.0794846322	-0.0290444224	-0.1033418288	-0.259794023	-0.0100714457	-0.107267928	0.0376129759	-0.0297538734	0.0687052704	0.1516106875	0.0646649341	-0.0471038189	-0.0909678929	0.1419657166	0.1282204088	0.1062887712	0.0775710461	0.0439007383	0.0	0.038607	0.0086608	0.001490500449	7.500945664000005e-05	0.0240109	-0.0196830999999999	0.0003874244256099	0.00057652331881	-0.259148	-0.134884	0.018193693456	0.067157685904	0.00111764	0.000664622	4.417224028840001e-07	1.2491191696e-06	-0.000949764	-0.0004176329999999	9.02051655696e-07	1.7441732268899994e-07	-0.0007264809999999	1.7240000000100036e-05	2.9721760000344923e-10	5.277746433608546e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
6897.030568439115	24.284382394916065	47569030.66198358	589.7312283025093	14670.327916295735	14.595541209981093	213.02982321225636	215218521.171646	5919.070850119773	9.8121240064238	35035399.728737615	96.27777751743828	8130.863266753482	12008.846834843802	1.278803	61.50975	0.1752360499999999	0.125183	0.0367228995	-0.1337171297	0.1240423498	-0.0112069765	-0.0053448682	0.0796610909	-0.1147384213	0.0442804969	0.0656276278	-0.0324039709	-0.0200981015	0.0003103933	0.0154660316	-0.0764093754	0.0344591859	-0.0620517127	-0.1831888055	0.0268452435	0.1042657584	-0.0279673077	0.1137505347	0.002028301	0.1154418227	0.0219390669	-0.1019151713	0.0022328581	0.0108748003	-0.0643733113	0.023978215	-0.1206546925	0.0778405074	-0.0954375679	-0.2393999434	-0.1446373212	-0.1072960783	0.176835462	0.1276456179	0.0288864626	-0.0404445876	-0.0887592562	0.0857815106	-0.052716739	0.0681950955	0.1233846166	-0.0214930327	0.0299423612	-0.0541759372	0.014331056	-0.0037748918	-0.0626146367	-0.1524440723	0.1223984786	0.1138919733	0.1243493675	-0.1101708196	0.0547608206	0.0050012364	-0.01506898	-0.0322730948	0.0783894361	0.1300392253	0.043708305	-0.0710111932	0.214473012	-0.144298317	0.0308592751	0.0725655874	0.1510882104	0.1821250417	0.1406432718	0.123123346	0.0955218954	0.0600989683	0.0197550473	0.0	0.0199804	-0.0186266	0.0003992163841599	0.00034695022756	0.0477219	0.0237109999999999	0.0005622115209999	0.00227737973961	-0.139818	0.1193299999999999	0.0142396488999999	0.0195490731239999	0.000971087	-0.000146553	2.1477781809000002e-08	9.43009961569e-07	-0.000840521	0.0001092429999999	7.06475551441e-07	1.1934033048999994e-08	-0.000710908	1.557299999989999e-05	2.4251832899688506e-10	5.05390184464e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
