TrialNumber,Trialn,TrialType,Partner,Feedback,ITI,ISI,ran,order,studyStart,InitFixOnset,decision_onset,resp,resp_onset,rt,ISI_onset,isi_for_trial,ISI_offset,outcome_val,outcome_onset,outcome_offset,trialDuration,ITIonset,ITIoffset,final_fix_offset
1,1,6,2,3,4,8.500000e-01,1.0,0.0,2.4996698e-06,0.0095240995,4.192292,1.0,4.788657,0.5963651,6.708323,0.85,7.5598707,3.0,7.5600185,8.568067,4.3757744,8.568313,12.571899,--
2,2,2,1,2,1,2.550000e+00,1.0,1.0,--,--,12.578145,1.0,13.038572,0.4604271,15.095252,2.55,17.64686,5.0,17.646978,18.653446,6.0753007,18.65361,19.654982,--
3,3,1,1,1,1,8.500000e-01,1.0,2.0,--,--,19.656597,1.0,20.072319,0.4157213,22.173285,0.85,23.024712,9.0,23.02483,24.03139,4.3747916,24.031551,25.038855,--
4,4,2,1,2,1,8.500000e-01,1.0,3.0,--,--,25.040575,6.0,25.539434,0.4988596,27.557955,0.85,28.410872,5.0,28.41099,29.41564,4.375065,29.415796,30.421694,--
5,5,6,2,3,4,2.550000e+00,1.0,4.0,--,--,30.602163,1.0,31.405205,0.8030403,33.118244,2.55,35.669872,4.0,35.669987,36.67662,6.074455,36.676785,40.688347,--
6,6,6,2,3,4,1.700000e+00,1.0,5.0,--,--,40.868023,1.0,41.68884,0.820815,43.386257,1.7,45.08758,1.0,45.087696,46.092354,5.2243304,46.092514,50.105328,--
7,7,2,1,2,1,1.700000e+00,1.0,6.0,--,--,50.108032,6.0,50.538036,0.4300053,52.626167,1.7,54.327854,5.0,54.32797,55.33408,5.226049,55.33424,56.33845,--
8,8,3,1,3,2,1.700000e+00,1.0,7.0,--,--,56.34006,1.0,57.13852,0.7984579,58.856754,1.7,60.557926,2.0,60.55804,61.563904,5.2238417,61.564056,63.57201,--
9,9,6,2,3,4,1.700000e+00,1.0,8.0,--,--,63.75161,1.0,65.23925,1.4876407,66.26931,1.7,67.97084,1.0,67.970955,68.97503,5.2234187,68.97519,72.98833,--
10,10,4,2,1,3,8.500000e-01,1.0,9.0,--,--,73.166756,1.0,73.65515,0.4883921,75.683266,0.85,76.53486,7.0,76.53497,77.54,4.3732414,77.54015,80.55509,--
11,11,1,1,1,1,8.500000e-01,1.0,10.0,--,--,80.55796,1.0,81.42181,0.8638414,83.07433,0.85,83.92566,9.0,83.92577,84.929276,4.3713155,84.92944,85.93826,--
12,12,4,2,1,3,2.550000e+00,1.0,11.0,--,--,86.11798,6.0,87.02113,0.9031536,88.63553,2.55,91.186935,3.0,91.18706,92.192,6.0740204,92.19216,95.204956,--
13,13,3,1,3,2,1.700000e+00,1.0,12.0,--,--,95.20789,1.0,95.82178,0.6138793,97.72488,1.7,99.42589,1.0,99.426,100.43075,5.2228527,100.43091,102.43836,--
14,14,1,1,1,1,2.550000e+00,1.0,13.0,--,--,102.44,1.0,102.87119,0.4311851,104.95725,2.55,107.50889,9.0,107.509,108.513466,6.073462,108.51363,109.52168,--
15,15,1,1,1,1,8.500000e-01,1.0,14.0,--,--,109.52331,1.0,110.27183,0.7485178,112.04013,0.85,112.892296,8.0,112.89241,113.89797,4.3746667,113.898125,114.9052,--
16,16,5,2,2,2,1.700000e+00,1.0,15.0,--,--,115.09296,6.0,115.95444,0.8614785,117.610374,1.7,119.31187,5.0,119.31199,120.317,5.2240424,120.31717,122.32156,--
17,17,6,2,3,4,8.500000e-01,1.0,16.0,--,--,122.501595,1.0,123.32113,0.8195375,125.02026,0.85,125.87188,2.0,125.871994,126.876396,4.3748055,126.876564,130.88821,--
18,18,3,1,3,2,1.700000e+00,1.0,17.0,--,--,130.891,6.0,131.45541,0.5644178,133.40735,1.7,135.10887,9.0,135.10904,136.11305,5.222043,136.1132,138.12222,--
19,19,1,1,1,1,2.550000e+00,1.0,18.0,--,--,138.1239,1.0,138.65434,0.5304454,140.64226,2.55,143.19409,8.0,143.1942,144.19899,6.0750885,144.19914,145.20543,--
20,20,1,1,1,1,1.700000e+00,1.0,19.0,--,--,145.20712,6.0,145.57202,0.3649073,147.72435,1.7,149.42586,3.0,149.42598,150.42967,5.222553,150.42982,151.4383,--
21,21,3,1,3,2,8.500000e-01,1.0,20.0,--,--,151.43993,1.0,152.18842,0.7484916,153.95726,0.85,154.80992,4.0,154.81003,155.81471,4.374783,155.81487,157.82152,--
22,22,2,1,2,3,2.550000e+00,1.0,21.0,--,--,157.82312,1.0,160.28816,2.465044,160.33937,2.55,162.89087,5.0,162.89098,163.89597,6.072844,163.89613,166.9051,--
23,23,4,2,1,3,8.500000e-01,1.0,22.0,--,--,167.08566,6.0,167.57172,0.4860539,169.60202,0.85,170.45389,1.0,170.45401,171.45924,4.373581,171.4594,174.47148,--
24,24,3,1,3,2,2.550000e+00,1.0,23.0,--,--,174.47438,1.0,174.98831,0.5139326,176.9923,2.55,179.54362,1.0,179.54375,180.54904,6.0746675,180.5492,182.55542,--
25,25,3,1,3,2,1.700000e+00,1.0,24.0,--,--,182.55708,1.0,183.3722,0.8151026,185.07327,1.7,186.77487,2.0,186.77498,187.77869,5.2216005,187.77884,189.78883,--
26,26,4,2,1,3,1.700000e+00,1.0,25.0,--,--,189.97502,6.0,191.25499,1.2799731,192.49281,1.7,194.19489,3.0,194.19499,195.19997,5.2249517,195.20013,198.20471,--
27,27,4,2,1,3,8.500000e-01,1.0,26.0,--,--,198.38512,1.0,198.88907,0.5039548,200.90227,0.85,201.75357,9.0,201.7537,202.75737,4.372255,202.75754,205.77142,--
28,28,6,2,3,4,8.500000e-01,1.0,27.0,--,--,205.95198,6.0,206.43822,0.4862327,208.47028,0.85,209.32188,7.0,209.32199,210.32666,4.374678,210.32681,214.33813,--
29,29,4,2,1,3,1.700000e+00,1.0,28.0,--,--,214.51595,1.0,215.00482,0.4888795,217.03377,1.7,218.73529,7.0,218.73541,219.74045,5.2245116,219.7406,222.75482,--
30,30,3,1,3,2,8.500000e-01,1.0,29.0,--,--,222.75761,1.0,223.18803,0.4304293,225.27528,0.85,226.12656,1.0,226.12666,227.132,4.3743925,227.13216,229.138,--
31,31,4,2,1,3,8.500000e-01,1.0,30.0,--,--,229.3228,1.0,229.98753,0.6647313,231.84033,0.85,232.69162,9.0,232.69173,233.69638,4.3735886,233.69653,236.70467,--
32,32,4,2,1,3,2.550000e+00,1.0,31.0,--,--,236.88168,1.0,237.67226,0.7905762,239.39726,2.55,241.94858,7.0,241.9487,242.9524,6.070705,242.95256,245.95473,--
33,33,6,2,3,4,2.550000e+00,1.0,32.0,--,--,246.13393,6.0,246.85483,0.7208963,248.65228,2.55,251.2039,7.0,251.20403,252.20912,6.0751915,252.20927,256.22134,--
34,34,1,1,1,1,8.500000e-01,1.0,33.0,--,--,256.2241,1.0,257.05457,0.8304455,258.74243,0.85,259.5939,7.0,259.59402,260.5985,4.374391,260.59866,261.6047,--
35,35,6,2,3,4,2.550000e+00,1.0,34.0,--,--,261.7849,1.0,262.57156,0.7866412,264.30234,2.55,266.8549,2.0,266.855,267.86008,6.0751615,267.86023,271.87134,--
