TrialNumber,Trialn,TrialType,Partner,Feedback,ITI,ISI,ran,order,studyStart,InitFixOnset,decision_onset,resp,resp_onset,rt,ISI_onset,isi_for_trial,ISI_offset,outcome_val,outcome_onset,outcome_offset,trialDuration,ITIonset,ITIoffset,final_fix_offset
1,1,4,2,1,3,2.55E+00,1,0,2.55E-06,0.006018282,4.4208136,1,4.942502,0.5216882,6.934823,2.55,9.5056715,9,9.505861,10.538653,6.1178393,10.539119,13.553325,
2,2,6,2,3,4,1.70E+00,1,1,--,--,13.807389,1,14.124407,0.31701827,16.321564,1.7,18.036509,3,18.036688,19.054497,5.247108,19.054737,23.06702,
3,3,3,1,3,2,1.70E+00,1,2,--,--,23.078365,1,23.538296,0.45993122,25.592937,1.7,27.30073,3,27.300886,28.31761,5.239245,28.317856,30.331415,
4,4,4,2,1,3,1.70E+00,1,3,--,--,30.600037,1,31.634352,1.0343165,33.11501,1.7,34.831924,7,34.832077,35.8497,5.2496634,35.849937,38.86382,
5,5,6,2,3,4,8.50E-01,1,4,--,--,39.117393,6,39.884098,0.7667059,41.63129,0.85,42.496662,8,42.496838,43.51253,4.395137,43.51282,47.527576,
6,6,4,2,1,3,8.50E-01,1,5,--,--,47.78658,1,48.26313,0.47655246,50.301994,0.85,51.16048,7,51.16063,52.17692,4.3903456,52.177456,55.192104,
7,7,1,1,1,1,8.50E-01,1,6,--,--,55.205505,1,56.078407,0.872902,57.720284,0.85,58.575264,7,58.57541,59.59333,4.387823,59.593567,60.607384,
8,8,5,2,2,4,8.50E-01,1,7,--,--,60.900692,1,61.993664,1.0929736,63.415462,0.85,64.2745,5,64.27464,65.29082,4.3901267,65.29107,69.3056,
9,9,6,2,3,4,8.50E-01,1,8,--,--,69.55758,1,70.0755,0.5179202,72.071396,0.85,72.93808,3,72.93823,73.95595,4.3983703,73.956184,77.969604,
10,10,6,2,3,4,8.50E-01,1,9,--,--,78.218895,1,78.67247,0.4535796,80.73433,0.85,81.60264,2,81.60278,82.61899,4.4000974,82.61923,86.63361,
11,11,6,2,3,4,1.70E+00,1,10,--,--,86.88712,0,999,0,89.401695,1.7,91.11737,999,91.11759,92.13371,5.246587,92.13399,96.14753,
12,12,4,2,1,3,2.55E+00,1,11,--,--,96.40985,1,96.818565,0.408713,98.92305,2.55,101.481094,7,101.48128,102.49722,6.0873694,102.497475,105.51177,
13,13,4,2,1,3,8.50E-01,1,12,--,--,105.76634,6,106.33066,0.5643123,108.28092,0.85,109.14543,4,109.14558,110.16237,4.3960238,110.1626,113.17758,
14,14,1,1,1,1,8.50E-01,1,13,--,--,113.189316,6,113.64543,0.45611265,115.70423,0.85,116.55871,1,116.55885,117.5761,4.3867874,117.57639,118.592575,
15,15,1,1,1,1,1.70E+00,1,14,--,--,118.600044,6,119.59311,0.9930632,121.117,1.7,122.82394,2,122.82409,123.841736,5.2416916,123.84197,124.85677,
16,16,1,1,1,1,1.70E+00,1,15,--,--,124.8621,6,126.13993,1.2778366,127.37952,1.7,129.08961,2,129.08981,130.10706,5.2449636,130.1073,131.12164,
17,17,4,2,1,3,2.55E+00,1,16,--,--,131.39299,6,132.27455,0.88157326,133.90785,2.55,136.4721,2,136.47224,137.487,6.0940104,137.48723,140.50256,
18,18,3,1,3,2,2.55E+00,1,17,--,--,140.51305,1,141.15535,0.6423005,143.02722,2.55,145.5864,4,145.58653,146.60094,6.087893,146.60121,148.61755,
19,19,1,1,1,1,2.55E+00,1,18,--,--,148.6244,1,149.35117,0.72676307,151.14142,2.55,153.70033,9,153.70047,154.71687,6.0924764,154.71712,155.73267,
20,20,3,1,3,2,1.70E+00,1,19,--,--,155.74025,1,156.21878,0.47853288,158.25504,1.7,159.96571,1,159.96585,160.98276,5.2425113,160.983,162.99724,
21,21,2,1,2,1,8.50E-01,1,20,--,--,163.00491,0,999,0,165.5137,0.85,166.37994,999,166.38017,167.39632,4.391403,167.39655,168.4126,
22,22,4,2,1,3,1.70E+00,1,21,--,--,168.66566,1,169.09799,0.43231645,171.18053,1.7,172.89546,8,172.8956,173.91165,5.2459774,173.9119,176.9264,
23,23,2,1,2,3,2.55E+00,1,22,--,--,176.93643,1,177.36235,0.42593157,179.45049,2.55,182.00946,5,182.00961,183.0251,6.08867,183.02534,186.04045,
24,24,5,2,2,2,2.55E+00,1,23,--,--,186.2957,1,186.99048,0.69478106,188.81345,2.55,191.37436,5,191.3745,192.3897,6.094001,192.38994,194.39044,
25,25,6,2,3,4,1.70E+00,1,24,--,--,194.64717,6,195.24126,0.5940845,197.163,1.7,198.87206,6,198.8722,199.88866,5.2414975,199.88892,203.90273,
26,26,1,1,1,1,8.50E-01,1,25,--,--,203.91325,6,204.58665,0.6733991,206.43085,0.85,207.28485,3,207.28503,208.30223,4.388981,208.30247,209.31865,
27,27,4,2,1,3,8.50E-01,1,26,--,--,209.57288,6,210.18715,0.61426085,212.08798,0.85,212.95114,2,212.9513,213.96713,4.3942547,213.9674,216.9814,
28,28,4,2,1,3,1.70E+00,1,27,--,--,217.21825,1,217.58589,0.3676384,219.73344,1.7,221.44957,6,221.44972,222.46422,5.2459693,222.46445,225.48085,
29,29,6,2,3,4,2.55E+00,1,28,--,--,225.7331,6,226.24904,0.5159521,228.24753,2.55,230.81294,6,230.8131,231.8283,6.0952086,231.82872,235.84402,
30,30,4,2,1,3,2.55E+00,1,29,--,--,236.09695,6,236.84615,0.7491888,238.61162,2.55,241.1779,1,241.17805,242.19183,6.0948815,242.19206,245.19221,
31,31,5,2,2,4,2.55E+00,1,30,--,--,245.44775,6,246.14355,0.6957953,247.96265,2.55,250.524,5,250.52415,251.54092,6.09317,251.5412,255.55663,
32,32,2,1,2,3,1.70E+00,1,31,--,--,255.56828,1,256.07266,0.50437135,258.08554,1.7,259.80487,5,259.80502,260.82156,5.253292,260.8219,263.83664,
33,33,6,2,3,4,2.55E+00,1,32,--,--,264.09305,6,264.50705,0.41400087,266.6067,2.55,269.16943,9,269.1696,270.1859,6.0928636,270.18616,274.20114,
34,34,1,1,1,1,2.55E+00,1,33,--,--,274.21133,1,274.70148,0.49014136,276.7288,2.55,279.30054,9,279.3007,280.3163,6.104991,280.31662,281.33127,
35,35,4,2,1,3,8.50E-01,1,34,--,--,281.57776,6,282.25024,0.6724737,284.09262,0.85,284.94913,2,284.94925,285.96594,4.3881874,285.9662,288.98053,
36,36,3,1,3,2,2.55E+00,1,35,--,--,288.9905,6,289.6142,0.62368464,291.50638,2.55,294.06357,6,294.0637,295.0792,6.0886607,295.07944,297.09412,
37,37,3,1,3,2,8.50E-01,1,36,--,--,297.10132,1,297.62985,0.52852577,299.61636,0.85,300.47742,3,300.47757,301.4939,4.39257,301.49414,303.50928,
38,38,1,1,1,1,8.50E-01,1,37,--,--,303.51663,1,304.0292,0.5125754,306.0311,0.85,306.8918,7,306.892,307.90826,4.39165,307.90854,308.9247,
39,39,3,1,3,2,1.70E+00,1,38,--,--,308.9317,0,999,0,311.44196,1.7,313.1578,999,313.15796,314.17346,5.2417727,314.1737,316.1883,
40,40,6,2,3,4,8.50E-01,1,39,--,--,316.4401,0,999,0,318.94034,0.85,319.80597,999,319.80612,320.82208,4.3819723,320.82242,324.8259,
41,41,2,1,2,1,1.70E+00,1,40,--,--,324.8328,6,326.79886,1.9660877,327.3545,1.7,329.0697,5,329.06982,330.08673,5.253941,330.08704,331.10046,
42,42,3,1,3,2,8.50E-01,1,41,--,--,331.10474,1,332.45255,1.3478179,333.621,0.85,334.48508,2,334.48523,335.50235,4.3976154,335.5026,337.5167,
43,43,1,1,1,1,1.70E+00,1,42,--,--,337.52493,6,337.95,0.425068,340.04294,1.7,341.74957,2,341.74973,342.7659,5.240955,342.76614,343.78146,
44,44,6,2,3,4,1.70E+00,1,43,--,--,344.02438,1,344.31506,0.29068348,346.54147,1.7,348.24713,4,348.2473,349.26407,5.23969,349.2643,353.27963,
45,45,1,1,1,1,2.55E+00,1,44,--,--,353.29175,1,353.64883,0.3570678,355.806,2.55,358.3631,9,358.36328,359.37784,6.0860705,359.3781,360.39407,
46,46,3,1,3,2,2.55E+00,1,45,--,--,360.39874,0,999,0,362.91074,2.55,365.47705,999,365.47717,366.49377,6.0950565,366.49402,368.50833,
47,47,1,1,1,1,1.70E+00,1,46,--,--,368.51508,6,369.16278,0.6476791,371.02826,1.7,372.74008,2,372.74023,373.7581,5.2429986,373.75833,374.77374,
48,48,5,2,2,2,1.70E+00,1,47,--,--,375.0271,1,375.5102,0.48308408,377.54166,1.7,379.25656,5,379.25674,380.27286,5.2457595,380.2731,382.28754,
49,49,2,1,2,1,2.55E+00,1,48,--,--,382.2971,1,383.05478,0.7576868,384.81448,2.55,387.37177,5,387.37192,388.38815,6.0910525,388.3884,389.40344,
50,50,6,2,3,4,2.55E+00,1,49,--,--,389.6549,6,390.20645,0.5515614,392.17065,2.55,394.7352,6,394.73535,395.7534,6.0984764,395.75363,399.76685,
51,51,3,1,3,2,2.55E+00,1,50,--,--,399.7767,6,400.30356,0.52684194,402.29095,2.55,404.85175,7,404.8519,405.86774,6.091008,405.86798,407.88123,
52,52,5,2,2,2,8.50E-01,1,51,--,--,408.13254,1,408.848,0.71546274,410.6502,0.85,411.51465,5,411.5148,412.53036,4.397832,412.53082,414.5462,
53,53,3,1,3,2,1.70E+00,1,52,--,--,414.55585,1,415.09976,0.5439188,417.0707,1.7,418.77835,1,418.7785,419.79532,5.2394695,419.79556,421.81052,
54,54,3,1,3,2,8.50E-01,1,53,--,--,421.81738,6,422.4948,0.67742574,424.33527,0.85,425.19443,7,425.19458,426.21133,4.393958,426.21158,428.2257,
,,,,,,,,,,,,,,,,,,,,,,,,436.6471
,,,,,,,,,,,,,,,,,,,,,,,,409.6471
,,,,,,,,,,,,,,,,,,,,,,,,6.827451667
