TrialNumber,Trialn,TrialType,Partner,Feedback,ITI,ISI,ran,order,studyStart,InitFixOnset,decision_onset,resp,resp_onset,rt,ISI_onset,isi_for_trial,ISI_offset,outcome_val,outcome_onset,outcome_offset,trialDuration,ITIonset,ITIoffset
43,43,6,2,3,4,2.550000e+00,1.0,42.0,--,--,327.27808,0.0,999.0,0.0,329.78476,2.55,332.35156,999.0,332.35175,333.36746,6.0893645,333.36777,337.38254
44,44,4,2,1,3,1.700000e+00,1.0,43.0,--,--,337.64587,0.0,999.0,0.0,340.14798,1.7,341.86484,999.0,341.865,342.8816,5.2357254,342.88184,345.89655
45,45,3,1,3,2,1.700000e+00,1.0,44.0,--,--,345.90244,0.0,999.0,0.0,348.41507,1.7,350.13068,999.0,350.13086,351.1457,5.243271,351.14606,353.1618
46,46,6,2,3,4,8.500000e-01,1.0,45.0,--,--,353.42957,0.0,999.0,0.0,355.94406,0.85,356.81055,999.0,356.81073,357.8265,4.396941,357.8268,361.84207
47,47,3,1,3,2,2.550000e+00,1.0,46.0,--,--,361.85046,0.0,999.0,0.0,364.36035,2.55,366.92654,999.0,366.9267,367.9403,6.0898643,367.94055,369.95563
48,48,6,2,3,4,2.550000e+00,1.0,47.0,--,--,370.21027,0.0,999.0,0.0,372.72394,2.55,375.28934,999.0,375.2895,376.30496,6.094696,376.3052,380.32034
49,49,4,2,1,3,2.550000e+00,1.0,48.0,--,--,380.58124,0.0,999.0,0.0,383.08694,2.55,385.65344,999.0,385.6536,386.66867,6.087415,386.66913,389.68436
50,50,1,1,1,1,8.500000e-01,1.0,49.0,--,--,389.68906,0.0,999.0,0.0,392.2009,0.85,393.06723,999.0,393.06738,394.0838,4.3947496,394.08405,395.09872
51,51,1,1,1,1,2.550000e+00,1.0,50.0,--,--,395.104,0.0,999.0,0.0,397.61652,2.55,400.1823,999.0,400.18246,401.19864,6.094648,401.19888,402.21527
52,52,6,2,3,4,1.700000e+00,1.0,51.0,--,--,402.48077,0.0,999.0,0.0,404.99738,1.7,406.71317,999.0,406.71338,407.7303,5.2495236,407.7308,411.7465
53,53,3,1,3,2,8.500000e-01,1.0,52.0,--,--,411.75626,0.0,999.0,0.0,414.2656,0.85,415.12927,999.0,415.12943,416.14383,4.387561,416.14404,418.1602
54,54,6,2,3,4,2.550000e+00,1.0,53.0,--,--,418.44696,0.0,999.0,0.0,420.95953,2.55,423.5257,999.0,423.52585,424.54245,6.0954843,424.5427,428.5572
