TrialNumber,Trialn,TrialType,Partner,Feedback,ITI,ISI,ran,order,studyStart,InitFixOnset,InitFixOffset,decision_onset,resp,resp_onset,rt,ISI_onset,isi_for_trial,ISI_offset,outcome_val,outcome_onset,outcome_offset,trialDuration,ITIonset,ITIoffset,final_fix_offset
1,1,5,2,2,3,8.500000e-01,1.0,0.0,2.5999998e-06,27.23453,31.23405,31.404472,2.0,32.13325,0.7287772,32.233654,2.5212228,34.77132,5.0,34.771465,35.783127,4.3786554,35.78331,38.79932,--
2,2,1,1,1,1,1.700000e+00,1.0,1.0,--,--,--,38.805786,2.0,39.533253,0.7274662,39.633587,3.3725338,43.022358,4.0,43.02247,44.035446,5.2296596,44.035606,45.050106,--
3,3,3,1,3,4,8.500000e-01,1.0,2.0,--,--,--,45.051674,7.0,45.78322,0.7315476,45.883556,2.5184524,48.4185,4.0,48.418613,49.433765,4.3820944,49.433914,53.44932,--
4,4,3,1,3,1,1.700000e+00,1.0,3.0,--,--,--,53.450844,2.0,53.949898,0.4990544,54.05022,3.6009457,57.66733,9.0,57.667446,58.683468,5.2326226,58.683605,59.700512,--
5,5,4,2,1,4,2.550000e+00,1.0,4.0,--,--,--,59.868423,2.0,60.59986,0.7314354,60.700253,4.2185645,64.93532,3.0,64.93543,65.950165,6.0817404,65.950325,69.96736,--
6,6,6,2,3,1,1.700000e+00,1.0,5.0,--,--,--,70.13648,2.0,70.74984,0.6133632,70.85017,3.4866369,74.35431,9.0,74.35442,75.36643,5.2299523,75.36658,76.38299,--
7,7,4,2,1,3,2.550000e+00,1.0,6.0,--,--,--,76.55032,2.0,77.39985,0.8495254,77.50022,4.100475,81.61833,2.0,81.61845,82.633446,6.083117,82.63359,85.65029,--
8,8,3,1,3,3,1.700000e+00,1.0,7.0,--,--,--,85.653046,2.0,86.26648,0.6134308,86.36685,3.4865692,89.870125,9.0,89.87024,90.88345,5.2304034,90.88361,93.90057,--
9,9,5,2,2,4,1.700000e+00,1.0,8.0,--,--,--,94.0675,2.0,94.79979,0.7322914,94.900154,3.3677087,98.28434,5.0,98.284454,99.300385,5.232889,99.300545,103.31625,--
10,10,6,2,3,1,2.550000e+00,1.0,9.0,--,--,--,103.486015,2.0,104.44978,0.9637703,104.55012,3.9862297,108.55333,6.0,108.55344,109.566574,6.080559,109.56672,110.58322,--
11,11,5,2,2,1,2.550000e+00,1.0,10.0,--,--,--,110.75013,2.0,111.483086,0.7329592,111.58342,4.217041,115.81729,5.0,115.817406,116.833466,6.0833373,116.83362,117.850395,--
12,12,3,1,3,1,1.700000e+00,1.0,11.0,--,--,--,117.853165,2.0,118.69977,0.8466051,118.80011,3.2533948,122.07127,7.0,122.07139,123.08344,5.2302747,123.08358,124.10043,--
13,13,3,1,3,2,8.500000e-01,1.0,12.0,--,--,--,124.10209,2.0,124.94975,0.8476612,125.05007,2.4023387,127.47027,7.0,127.47038,128.48305,4.3809605,128.48322,130.50029,--
14,14,6,2,3,3,8.500000e-01,1.0,13.0,--,--,--,130.66891,2.0,131.63307,0.9641498,131.7334,2.2858503,134.0354,8.0,134.03552,135.0494,4.38047,135.04955,138.0663,--
15,15,4,2,1,2,2.550000e+00,1.0,14.0,--,--,--,138.2342,2.0,138.84972,0.6155047,138.9501,4.334495,143.30127,3.0,143.30138,144.3164,6.082207,144.31657,146.33339,--
16,16,1,1,1,2,2.550000e+00,1.0,15.0,--,--,--,146.3361,2.0,147.18301,0.8469083,147.28336,4.1030917,151.4033,3.0,151.40343,152.41646,6.0803475,152.4166,154.43292,--
