global_signal	global_signal_derivative1	global_signal_power2	global_signal_derivative1_power2	csf	csf_derivative1	csf_power2	csf_derivative1_power2	white_matter	white_matter_derivative1	white_matter_derivative1_power2	white_matter_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	c_comp_cor_05	c_comp_cor_06	c_comp_cor_07	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	w_comp_cor_19	w_comp_cor_20	w_comp_cor_21	w_comp_cor_22	w_comp_cor_23	w_comp_cor_24	w_comp_cor_25	w_comp_cor_26	w_comp_cor_27	w_comp_cor_28	w_comp_cor_29	w_comp_cor_30	w_comp_cor_31	w_comp_cor_32	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	cosine00	cosine01	cosine02	cosine03	cosine04	non_steady_state_outlier00	trans_x	trans_x_derivative1	trans_x_power2	trans_x_derivative1_power2	trans_y	trans_y_derivative1	trans_y_power2	trans_y_derivative1_power2	trans_z	trans_z_derivative1	trans_z_derivative1_power2	trans_z_power2	rot_x	rot_x_derivative1	rot_x_power2	rot_x_derivative1_power2	rot_y	rot_y_derivative1	rot_y_derivative1_power2	rot_y_power2	rot_z	rot_z_derivative1	rot_z_power2	rot_z_derivative1_power2	motion_outlier00	motion_outlier01	motion_outlier02	motion_outlier03	motion_outlier04	motion_outlier05	motion_outlier06	motion_outlier07	motion_outlier08
4006.451156716791	n/a	16051650.871157313	n/a	10295.3047939173	n/a	105993300.79965653	n/a	3738.822014043899	n/a	n/a	13978790.052699275	4005.4290586593024	7270.464447695485	n/a	n/a	n/a	n/a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	-0.0157532	n/a	0.0002481633102399	n/a	-0.059188	n/a	0.0035032193439999	n/a	0.321396	n/a	n/a	0.103295388816	-0.00241531	n/a	5.8337223961e-06	n/a	7.498759999999998e-05	n/a	n/a	5.623140153759997e-09	-0.000539137	n/a	2.90668704769e-07	n/a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4000.862403419095	-5.5887532976962575	16006899.971092416	31.234163422510797	10332.746909840129	37.44211592282954	106765658.70281072	1401.9120447786056	3746.221152576265	7.399138532366123	54.74725102114511	14034172.92400984	4011.998222941991	7295.950902918108	1.141148	40.018421	0.06638011	0.0298576	-0.0021116307	0.0208412769	-0.1397974315	-0.0129095175	0.1166154193	-0.0040071355	0.0635915463	-0.0877240642	0.144180908	-0.0562139653	0.2113432529	-0.0496243904	-0.0135652717	0.1433241804	-0.0852955264	0.1496483908	-0.0300840487	0.063236786	-0.0527420959	0.0742095245	-0.002515347	0.0035581309	-0.0746296334	0.0236382083	-0.0561987278	0.1335738423	-0.0712942534	-0.0109143185	0.0631884112	0.016131484	0.0518240814	-0.0541730601	-0.0386633218	0.1573178449	0.0307006608	-0.0227842995	-0.0387180824	0.1574352985	0.0114333829	0.0035309641	-0.1006513385	-0.0280969685	0.1384206453	0.0123673786	-0.0879321602	-0.1210113642	0.0484206883	-0.0833573621	0.1537787204	-0.0952950876	0.0248850094	-0.0502020331	0.0246972304	-0.0213366471	0.0542632283	-0.1103832726	0.0158402312	-0.1229276769	0.0272360916	0.0561164682	-0.041404072	0.031306048	0.0041950997	-0.1175763012	0.0151932458	0.0813901025	-0.1196457633	-0.0230025294	-0.0376941009	-0.0632289365	0.1105301865	0.0338571944	-0.0982821452	-0.0413078364	-0.1814084887	0.0950876374	0.1466261977	0.1465634515	0.1464588945	0.1463125564	0.1461244791	0.0	-0.00979338	0.0059598199999999	9.591029182440002e-05	3.551945443239997e-05	-0.0422364	0.0169515999999999	0.00178391348496	0.0002873567425599	0.314629	-0.006767	4.579228900000032e-05	0.0989914076409999	-0.002829	-0.00041369	8.003241e-06	1.711394161e-07	-7.66862e-05	-0.0001516737999999	2.300494160644e-08	5.8807732704400006e-09	-0.000370467	0.00016867	1.37245798089e-07	2.84495689e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4008.346237256328	7.4838338372333055	16066839.557726964	56.00776890331818	10361.988799608223	29.241889768094552	107370811.88320628	855.0881172093929	3739.30719749814	-6.913955078125127	47.80277482233224	13982418.317261392	4007.641087648585	7331.303854511427	1.103877	38.71138	0.11829418	0.0664112	-0.0056570754	0.1575780138	0.001649214	0.0042993154	0.1077894554	0.1595897405	-0.0420037479	-0.020008733	0.1206135196	0.0394085899	0.0011732686	0.0276121922	-0.0062212041	0.154334631	-0.0875207807	-0.0165189536	-0.0571644239	-0.0024644237	0.0333078777	0.043741629	0.0274396187	0.2135447311	-0.0031610129	-0.002024158	0.1385985253	0.1300845419	0.0599440932	0.1690476663	-0.1386616083	0.0500970018	-0.0708896178	-0.0135441753	-0.0001749565	-0.1461641816	0.0981570826	0.0244245441	-0.0451251877	0.0770859431	0.0890915229	-0.0463170986	-0.0406808494	-0.1163938326	0.093742167	0.1085386854	0.0030879519	-0.0776965008	-0.0253524765	-0.1216487538	0.1266916723	-0.0042115646	-0.0399702352	0.0180065886	-0.1663768178	0.0759291145	0.0339047714	-0.0258780248	-0.0243963381	-0.051381957	-0.1008570656	0.0386400013	-0.1017901453	-0.1719653761	0.063654096	0.1229640839	-0.1421539123	0.1410487154	0.1576716825	-0.080121972	0.0175027759	-0.128228044	0.0650589324	-0.0569071997	0.0887303278	-0.0295471425	-0.1287419756	0.0175551944	0.1464588945	0.1458947161	0.1449560281	0.14364524	0.1419657166	0.0	0.0301901	0.03998348	0.00091144213801	0.0015986786729104	-0.037216	0.0050204	0.001385030656	2.5204416160000013e-05	0.269802	-0.044827	0.002009459929	0.0727931192039999	-0.00281686	1.2139999999999894e-05	7.9347002596e-06	1.4737959999999743e-10	-0.000228957	-0.0001522708	2.3186396532640003e-08	5.2421307849000014e-08	3.43882e-05	0.0004048552	1.1825482992399998e-09	1.6390773296704e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3994.396828325309	-13.949408931019208	15955206.022135288	194.5860095247984	10399.09465588045	37.10585627222645	108141169.66196132	1376.844569695127	3740.047330729167	0.7401332310269026	0.5477971996703225	13987954.036094366	4011.351448203528	7309.720885478627	1.19233	41.813297	0.0299503249999999	0.0154115	-0.060314257	-0.0450090243	0.128303368	0.0673175963	0.0045377923	0.0939126173	0.0501092822	0.1774623023	0.0367327907	0.0672502869	-0.1396654227	-0.0623118864	-0.1057910022	-0.1307456051	-0.0510272932	0.1152941596	0.0182375175	0.0091487866	-0.0741825419	-0.0204864921	-0.1083690287	-0.0140800705	-0.0137017855	-0.0355201374	0.0116545996	-0.0546948633	0.0050249824	0.03955324	-0.0713582121	-0.0585913786	0.0966192931	-0.0638403789	-0.0169211029	0.0267022528	-0.0091003995	0.1034436894	-0.0537932621	0.0808296662	-0.1259540021	-0.12634696	-0.0557820127	0.0493513996	-0.008304508	0.1818933289	0.0048492418	-0.0063564206	-0.0891986188	0.1246528692	-0.0382029382	-0.1178952013	-0.0713212473	-0.0090214065	0.0873146718	-0.0429325418	-0.0340513197	-0.1222314229	-0.0712174998	0.0922381314	-0.0753934787	0.067272966	-0.006768795	-0.0517606501	0.081034891	-0.1074938842	0.0215850159	0.0083789665	-0.0112783294	0.0300586612	-0.1112417878	-0.0067499406	0.0295871885	-0.089693163	-0.0306798902	0.0466195407	0.0121014956	0.1036091975	0.1461244791	0.1445602966	0.1419657166	0.1383592329	0.1337665517	0.0	0.0271602	-0.0030299	0.0007376764640399	9.180294010000013e-06	-0.0412361	-0.0040200999999999	0.0017004159432099	1.616120400999999e-05	0.269819	1.6999999999989246e-05	2.8899999999963437e-10	0.0728022927609999	-0.0027115	0.00010536	7.352232249999999e-06	1.1100729600000021e-08	-0.0	0.000228957	5.2421307849000014e-08	0.0	-8.89613e-05	-0.0001233494999999	7.914112897689999e-09	1.5215099150249996e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3987.403292973311	-6.993535351997707	15899385.020814406	48.90953671964169	10329.968735089056	-69.12592079139358	106708254.0679174	4778.392925258019	3733.334900018601	-6.712430710565968	45.05672604414915	13937789.475696895	4005.724419861365	7306.294021624683	1.197073	41.979622	0.05408333	0.032641	-0.0187114548	-0.0505292271	-0.1779680715	0.0363902109	-0.0330648184	-0.0854575769	0.0405932584	-0.0596318245	0.0787129047	0.0334620582	-0.0747096317	0.0203133719	0.0480979169	-0.0224158484	-0.0974003004	0.0539544974	0.0541114795	0.0314898037	-0.0047898877	-0.0673838735	0.0196553238	0.0131671888	-0.1542385237	-0.110738958	0.1327333495	-0.134580078	-0.1412865029	0.1317280617	-0.0197179693	-0.0648693625	-0.1129144499	0.1719057047	-0.0607649912	0.0461881429	0.0187829546	-0.0859108192	-0.0205535183	-0.2667305726	0.0948314249	0.0179286298	0.0626240277	0.008293547	-0.006543658	0.0285524748	0.0253116025	0.0831523914	0.1248642591	0.0009310017	0.1032341941	-0.0248285024	0.0089702958	-0.106067165	0.1432644959	-0.0114995945	0.0346631326	-0.0328303272	-0.1585402946	0.0424655877	-0.1534875072	0.0511809242	0.1539888816	0.0025361025	-0.0267829575	0.191043	0.0728681944	0.0855902229	-0.0869344871	-0.0754372962	0.202125291	0.1192550959	-0.0718441289	0.0524100089	0.1451120446	0.018097144	0.0676995192	-0.023798689	0.145623333	0.1425662815	0.1375186448	0.1305509005	0.121760336	0.0	0.0301642	0.0030039999999999	0.0009098789616399	9.024016e-06	-0.0126715	0.0285645999999999	0.00016056691225	0.0008159363731599	0.283206	0.013387	0.000179211769	0.080205638436	-0.0027115	0.0	7.352232249999999e-06	0.0	-0.000140943	-0.000140943	1.9864929249e-08	1.9864929249e-08	-4.73497e-05	4.16116e-05	2.24199409009e-09	1.73152525456e-09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3984.172966624124	-3.2303263491871803	15873634.227978474	10.435008322252976	10316.329997146746	-13.6387379423104	106426664.61002976	186.0151726590173	3740.829785388765	7.494885370163956	56.17330671189771	13993807.483251752	4011.2169223069736	7282.955426231631	1.132207	39.704868	0.0389400726499999	0.0204075	-0.0067343363	0.1386954194	-0.0197877123	0.0251313044	0.0495984472	-0.040177355	-0.1435084999	-0.0421304882	-0.0340013986	0.0142936094	-0.0633063465	0.0133167915	0.0543496227	0.067785373	0.0599828723	0.0880972701	-0.1568649376	-0.0996680982	0.1570185448	0.0386331588	0.1097933564	0.1826899546	0.081325309	0.0830126416	-0.0110529676	-0.0982013358	-0.0387907689	0.0353049184	0.0744716129	-0.0495568063	-0.1017387457	-0.0702988348	0.2000365707	0.0829261144	-0.1567961062	-0.0615156251	0.0771721856	0.0217010958	-0.0316742262	0.068072794	0.0030837231	-0.0474995581	0.1221945631	-0.0872407005	0.0264745232	0.042673267	0.0361059775	-0.1390138862	0.0257824218	-0.090352562	0.01664988	0.1846611756	-0.1755790769	0.1299840823	0.0998859675	0.1397737053	0.0391836937	0.0419642524	-0.0915375785	0.0988853292	0.0162426041	0.0014457885	-0.0554731071	0.1100893827	0.0532359754	-0.1876746985	-0.0856439372	0.117496913	-0.0392365394	0.0980068632	0.0248995741	0.089440258	-0.0792792819	-0.0241365485	-0.0530474817	-0.0726571484	0.1449560281	0.1399217693	0.1316604456	0.1203625908	0.1062887712	0.0	0.0301168	-4.7399999999999526e-05	0.0009070216422399	2.246759999999955e-09	-0.0249342	-0.0122627	0.00062171432964	0.00015037381129	0.269828	-0.013378	0.000178970884	0.072807149584	-0.00262268	8.881999999999987e-05	6.8784503824e-06	7.888992399999976e-09	2.51253e-07	0.000141194253	1.9935817080228008e-08	6.3128070009e-14	-1.23245e-05	3.50252e-05	1.5189330025e-10	1.2267646350399996e-09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3989.106008045756	4.93304142163197	15912966.743426748	24.33489766753676	10356.69706997393	40.36707282718453	107261174.1992066	1629.5005686352197	3729.3882993861607	-11.441486002604051	130.90760194778443	13908337.0875984	4005.9672855764575	7312.985742647776	0.992685	34.812035	0.0631839873499999	0.0333775	-0.0163413099	0.1437317384	0.0705920425	0.0272604609	0.0777473306	0.0496950514	-0.1343699237	0.0196383497	-0.0372912323	-0.0339859146	-0.0919109982	0.0749097274	0.1075454262	-0.0291960629	-0.0528332797	-0.0186335568	-0.0312394936	0.0181294772	0.0304823215	-0.1372496827	0.1291721781	-0.1081718137	0.1410365799	0.0410176192	-0.1925575837	0.1691823161	0.0354569013	-0.139002835	0.0768359375	-0.0578058224	0.1457890069	0.1186072089	0.0920009573	0.0088589277	-0.0789689065	0.0198649333	0.0984803875	-0.1319158966	-0.1282108063	0.2653010084	0.0019558754	0.155456914	0.0259391443	-0.0643641718	0.0777312239	0.0926842847	0.0178694201	-0.0373251858	-0.0509312299	-0.0229201024	-0.0735339777	-0.040337685	0.0201762926	0.125647289	-0.0730213099	0.1928229061	0.1483089097	-0.1357734165	0.1380305424	0.0294013971	-0.0911691953	0.0856915214	-0.0248743177	-0.1593052734	0.2042037381	-0.1693874966	0.0791426108	0.0864161341	0.1049805559	0.0649637616	-0.0737109969	0.0909877131	-0.096921831	-0.0615893637	0.0267481687	0.199160886	0.1441233256	0.1366388261	0.124451232	0.1079800393	0.0877921846	0.0	0.0400946	0.0099778	0.00160757694916	9.955649284000005e-05	-0.0334581	-0.0085238999999999	0.0011194444556099	7.265687120999995e-05	0.261867	-0.0079609999999999	6.337752099999994e-05	0.068574325689	-0.0020652	0.00055748	4.26505104e-06	3.107839504e-07	8.93575e-05	8.9106247e-05	7.939923254425009e-09	7.98476280625e-09	-0.000100164	-8.783949999999999e-05	1.0032826896e-08	7.715777760249999e-09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3981.184536950476	-7.92147109528014	15849830.317253577	62.749704313358734	10375.97721728293	19.280147309000316	107660903.21357442	371.724080256752	3739.9077180989584	10.519418712797687	110.65817005515817	13986909.739896158	4015.151366977396	7330.020778495773	1.057023	37.06826	0.069568865	0.0365169	-0.0023847939	0.0638791617	0.1396588467	-0.0130448942	-0.0840103792	0.1514090046	-0.0892723153	0.0208763873	-0.0762635459	-0.0127944625	-0.042599405	0.041854017	-0.0882637017	-0.0009894995	0.0707900584	-0.0964127066	0.0806842211	0.1451124843	0.0193904889	0.0365975474	-0.1235063776	-0.0358050224	-0.0412832889	-0.0886520775	-0.1247306816	-0.1048603358	0.2478718735	-0.0015623506	-0.0600195326	-0.0178451404	0.1221107507	-0.0117771217	0.0242447062	-0.3102990073	0.0038762089	0.0110073536	0.0291857044	0.0897880821	0.0683972951	0.0686263206	0.1150460024	-0.0514913445	-0.0004499394	-0.1792810702	0.0494958088	-0.0237577458	-0.0968911323	-4.23476e-05	-0.0694277754	0.0657594459	0.0649371706	-0.114301175	-0.037693365	-0.0454058402	-0.1439316316	0.002593074	-0.0811742156	0.1972944253	0.1452789377	0.0066314498	-0.1262526706	-0.092209716	-0.0978043313	-0.0308042346	-0.0562792843	-0.0493171533	0.3065413728	0.0543319725	-0.0097242848	-0.0622565344	-0.0345797524	0.0611109832	-0.0278679165	0.0159780499	0.0979142569	-0.1144053644	0.1431261759	0.1327324313	0.1159649805	0.0936289832	0.0667969964	0.0	0.0301274	-0.0099672	0.0009076602307599	9.934507584000004e-05	-0.0237218	0.0097362999999999	0.00056272379524	9.479553768999994e-05	0.283787	0.0219199999999999	0.0004804863999999	0.080535061369	-0.00250516	-0.00043996	6.275826625600001e-06	1.935648016000001e-07	-2.89607e-05	-0.0001183182	1.399919645124e-08	8.3872214449e-10	-9.95349e-05	6.291000000000039e-07	9.90719631801e-09	3.9576681000000484e-13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3984.1358825734674	2.951345622991539	15873338.73080946	8.710440986351315	10351.703690201315	-24.27352708161561	107157769.28972752	589.2041169819265	3735.139089239211	-4.768628859747423	22.73982120201601	13951264.015962722	4003.6035444092217	7266.358202100992	1.119759	39.268314	0.07376789	0.0390645	0.034400157	-0.0967206391	0.0876662434	-0.0463138524	-0.0836549783	-0.083576251	-0.0031038027	0.1286820227	-0.1761164246	0.0123797928	-0.0266245831	0.027897265	0.1139329068	-0.0884073239	-0.0125943797	-0.018175811	-0.0039617537	-0.1133921327	-0.0408767729	0.07015867	-0.1634342651	-0.007779301	-0.0516262613	-0.1544007434	-0.0793096361	-0.0496420079	0.0446309171	-0.1934570063	0.0360836556	0.0049955006	0.034453473	0.0587248012	-0.1979444341	0.0810553419	0.0828845921	-0.1820760171	-0.1607154799	-0.1889923431	0.0347405935	-0.1742194525	-0.1621329881	0.0962900085	0.052915858	0.0313787214	-0.0563212665	0.0277952072	0.079135027	0.0041866261	-0.0962732111	0.0006328342	-0.1213742662	0.1419907039	0.0060899262	-0.1158708606	-0.1244999021	-0.101671434	-0.167684363	0.0221804072	0.146237841	-0.1851629259	0.0377482604	0.0197058787	-0.0375595763	-0.0805751794	0.0433205405	0.1167017797	-0.0688169427	-0.0806275929	0.2082998226	0.0449766273	0.0538086577	-0.0553708002	0.036396069	0.0745982207	0.0399375821	0.05233131	0.1419657166	0.1282204088	0.1062887712	0.0775710461	0.0439007383	0.0	0.0277308	-0.0023965999999999	0.00076899726864	5.743691559999994e-06	-0.0283622	-0.0046403999999999	0.00080441438884	2.153331216e-05	0.317415	0.0336279999999999	0.0011308423839999	0.100752282225	-0.00238362	0.00012154	5.6816443044e-06	1.4771971600000069e-08	0.000229256	0.0002582167	6.667586415888999e-08	5.2558313536e-08	-0.000381836	-0.0002823010999999	1.45798730896e-07	7.969391106120998e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3990.0174660168655	5.881583443398085	15920239.379119648	34.59302380165448	10368.537463759216	16.833773557900713	107506569.1373784	283.3759321986772	3741.3118191964286	6.172729957217598	38.10259512473157	13997414.12845889	4012.786362035755	7304.669862318941	1.030268	36.12999	0.05598445	0.0302757	0.0273471135	-0.1252532352	-0.0054642093	-0.0268819983	-0.026184756	-0.0499739416	0.1087359729	0.0016086671	-0.0358465758	-0.12920623	0.0069276791	-0.0489972064	-0.0069462455	-0.0265289492	0.037401923	0.008898746	0.0217118027	0.0254575472	-0.0660371492	0.0670773171	0.0590865345	-0.0933485031	0.1904341792	0.1447216829	0.0836131782	0.0169158709	-0.0579077601	-0.1096623711	0.0178108301	0.1318333361	-0.0092095191	0.1138187887	0.1305710083	0.0922251406	0.1210979842	0.051363259	-0.0232464469	-0.0885700076	-0.0647750288	-0.0779192114	0.0541388157	-0.1723110824	-0.109515788	-0.0491198823	-0.0560961393	-0.0152814349	-0.0140743401	0.0998004472	-0.047133483	0.0440151728	-0.0033664202	-0.0211524082	0.0400059861	-0.0446227831	0.0153867864	0.0287559807	0.2129080554	-0.042492639	-0.1238272908	-0.0833029348	-0.0316271937	0.2111844368	-0.0084380821	0.0088459024	0.0704286777	-0.0987980298	-0.0989989654	-0.0592717218	0.0850853478	-0.1267797323	-0.0003173768	-0.0089328123	0.1023107234	-0.0372702733	-0.0618249657	-0.2591943979	0.1406432718	0.123123346	0.0955218954	0.0600989683	0.0197550473	0.0	0.0300689	0.0023380999999999	0.0009041387472099	5.466711609999997e-06	-0.0415321	-0.0131699	0.00172491533041	0.00017344626601	0.290897	-0.0265179999999999	0.0007032043239999	0.084621064609	-0.00250516	-0.00012154	6.275826625600001e-06	1.4771971600000069e-08	0.000149892	-7.936400000000001e-05	6.298644496000001e-09	2.2467611664e-08	-0.000303571	7.8265e-05	9.2155352041e-08	6.125410225e-09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
