TrialNumber,Trialn,TrialType,Partner,Feedback,ITI,ISI,ran,order,studyStart,InitFixOnset,InitFixOffset,decision_onset,resp,resp_onset,rt,ISI_onset,isi_for_trial,ISI_offset,outcome_val,outcome_onset,outcome_offset,trialDuration,ITIonset,ITIoffset
1,1,4,2,1,4,2.550000e+00,1.0,0.0,2.4000183e-06,71.17095,75.17076,75.35659,2.0,76.19727,0.8406838,76.29775,4.1093163,80.409904,4.0,80.41006,81.4175,6.060918,81.417694,85.41895
2,2,2,1,2,2,8.500000e-01,1.0,1.0,--,--,--,85.42602,2.0,86.26364,0.8376228,86.36399,2.412377,88.77777,5.0,88.777885,89.784515,4.358495,89.78466,91.78666
3,3,4,2,1,1,2.550000e+00,1.0,2.0,--,--,--,91.96893,2.0,92.6971,0.7281662,92.797455,4.2218337,97.02078,1.0,97.02089,98.02654,6.0576115,98.0267,99.028175
4,4,1,1,1,1,8.500000e-01,1.0,3.0,--,--,--,99.03106,7.0,100.28089,1.2498355,100.38124,2.0001645,102.38276,9.0,102.38288,103.38889,4.357834,103.38904,104.39079
5,5,4,2,1,4,2.550000e+00,1.0,4.0,--,--,--,104.57075,7.0,105.61371,1.0429637,105.71407,3.9070363,109.623795,8.0,109.62391,110.62959,6.0588474,110.62978,114.63178
6,6,6,2,3,4,2.550000e+00,1.0,5.0,--,--,--,114.81259,7.0,116.78071,1.9681208,116.8811,2.9818792,119.86469,4.0,119.86481,120.87094,6.058356,120.87111,124.87279
7,7,1,1,1,4,2.550000e+00,1.0,6.0,--,--,--,124.87557,7.0,125.61372,0.7381517,125.71407,4.2118483,129.92784,9.0,129.92796,130.93259,6.05701,130.93274,134.93481
8,8,4,2,1,3,2.550000e+00,1.0,7.0,--,--,--,135.11647,2.0,135.84709,0.7306286,135.94743,4.2193713,140.16985,3.0,140.16997,141.17596,6.059496,141.17612,144.17784
9,9,1,1,1,1,8.500000e-01,1.0,8.0,--,--,--,144.18077,2.0,145.11328,0.9325179,145.21362,2.317482,147.53372,4.0,147.53384,148.538,4.3572206,148.53815,149.54082
10,10,5,2,2,3,1.700000e+00,1.0,9.0,--,--,--,149.721,2.0,150.66328,0.9422873,150.76364,3.1577127,153.92287,5.0,153.92299,154.92896,5.207961,154.92912,157.93088
11,11,5,2,2,2,2.550000e+00,1.0,10.0,--,--,--,158.11304,2.0,158.74681,0.6337817,158.84715,4.3162184,163.1659,5.0,163.166,164.17102,6.0579834,164.17117,166.17238
12,12,3,1,3,4,1.700000e+00,1.0,11.0,--,--,--,166.17548,2.0,166.69698,0.5214994,166.79733,3.5785005,170.37788,7.0,170.378,171.38399,5.208508,171.38412,175.38693
13,13,1,1,1,4,1.700000e+00,1.0,12.0,--,--,--,175.3886,2.0,175.91376,0.525172,176.01414,3.574828,179.5918,1.0,179.59192,180.59789,5.2092953,180.59805,184.60088
14,14,2,1,2,4,1.700000e+00,1.0,13.0,--,--,--,184.60252,0.0,187.0749,2.4723861,187.17525,1.6276138,188.80453,999.0,188.80467,189.81,5.2074795,189.81017,193.8119
15,15,3,1,3,3,8.500000e-01,1.0,14.0,--,--,--,193.81357,0.0,196.28555,2.4719808,196.38591,0.7780193,197.16588,999.0,197.166,198.17003,4.3564587,198.17018,201.17192
16,16,6,2,3,1,8.500000e-01,1.0,15.0,--,--,--,201.35677,0.0,203.82959,2.4728155,203.93,0.7771845,204.70992,999.0,204.71002,205.714,4.357226,205.71416,206.71677
17,17,1,1,1,3,1.700000e+00,1.0,16.0,--,--,--,206.71959,0.0,209.1887,2.469107,209.28905,1.6308931,210.92163,999.0,210.92174,211.92603,5.2064276,211.92618,214.92793
18,18,4,2,1,2,1.700000e+00,1.0,17.0,--,--,--,215.11073,0.0,217.58235,2.4716163,217.6827,1.6283838,219.31287,999.0,219.31302,220.31708,5.206344,220.31723,222.319
19,19,6,2,3,3,1.700000e+00,1.0,18.0,--,--,--,222.49496,--,--,--,--,--,--,--,--,--,--,--,--
20,20,6,2,3,3,8.500000e-01,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
21,21,3,1,3,1,2.550000e+00,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
22,22,5,2,2,3,8.500000e-01,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
23,23,6,2,3,3,1.700000e+00,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
24,24,4,2,1,2,2.550000e+00,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
25,25,5,2,2,2,1.700000e+00,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
26,26,6,2,3,2,1.700000e+00,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
27,27,3,1,3,1,8.500000e-01,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
28,28,5,2,2,3,2.550000e+00,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
