global_signal	global_signal_derivative1	global_signal_power2	global_signal_derivative1_power2	csf	csf_derivative1	csf_power2	csf_derivative1_power2	white_matter	white_matter_derivative1	white_matter_derivative1_power2	white_matter_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	c_comp_cor_05	c_comp_cor_06	c_comp_cor_07	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	w_comp_cor_19	w_comp_cor_20	w_comp_cor_21	w_comp_cor_22	w_comp_cor_23	w_comp_cor_24	w_comp_cor_25	w_comp_cor_26	w_comp_cor_27	w_comp_cor_28	w_comp_cor_29	w_comp_cor_30	w_comp_cor_31	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	cosine00	cosine01	cosine02	cosine03	cosine04	non_steady_state_outlier00	trans_x	trans_x_derivative1	trans_x_derivative1_power2	trans_x_power2	trans_y	trans_y_derivative1	trans_y_derivative1_power2	trans_y_power2	trans_z	trans_z_derivative1	trans_z_derivative1_power2	trans_z_power2	rot_x	rot_x_derivative1	rot_x_power2	rot_x_derivative1_power2	rot_y	rot_y_derivative1	rot_y_derivative1_power2	rot_y_power2	rot_z	rot_z_derivative1	rot_z_power2	rot_z_derivative1_power2	motion_outlier00	motion_outlier01	motion_outlier02	motion_outlier03	motion_outlier04	motion_outlier05	motion_outlier06
5368.559693690212	n/a	28821433.184715144	n/a	13472.9407898582	n/a	181520133.5270249	n/a	4572.490330430328	n/a	n/a	20907667.82187885	5745.4887037014	9171.081359092705	n/a	n/a	n/a	n/a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	-0.00277052	n/a	n/a	7.6757810704e-06	0.115013	n/a	n/a	0.013227990169	0.0184136	n/a	n/a	0.0003390606649599	0.0164537	n/a	0.00027072424369	n/a	0.00100483	n/a	n/a	1.0096833289e-06	0.00602498	n/a	3.63003840004e-05	n/a	0.0	0.0	0.0	0.0	0.0	0.0	0.0
5343.415039518234	-25.14465417197789	28552084.284549654	632.2536334283651	13491.40659072689	18.46580086869108	182018051.79630896	340.9858017221521	4547.174283966512	-25.31604646381584	640.9022085580824	20676793.96876636	5732.20123960545	9106.99425831513	1.085875	41.139072	0.11646892	0.0796616	-0.1251020042	0.2772202025	0.0179591249	0.0290382408	-0.0352011025	0.2972655571	0.2219913621	-0.1249954079	0.0662279631	-0.1112979195	0.096639466	-0.1391216389	-0.129959641	-0.2505612228	-0.1814430284	0.0710466715	-0.0590323585	0.0540082176	-0.0089454756	0.1301582199	-0.1061410983	0.0448042611	-0.0518314031	0.011121753	-0.097572533	0.0747511601	-0.0194191319	0.0452367923	0.0150120576	-0.0679408313	-0.0116400957	-0.053709446	0.0587828105	-0.0744172364	0.0212601091	0.011765305	0.0332451983	0.0825519541	-0.1506443808	0.1244047347	0.1134114537	-0.0308084659	-0.0314196866	-0.0474553644	-0.1574819609	0.2772008461	0.014380563	-0.024174219	0.0529064926	-0.1506225783	-0.1276336073	0.0182454144	-0.2138183734	0.0201663518	-0.1342327596	0.0471890419	-0.1055449935	0.020120478	-0.0574291776	0.0086869255	0.0730502686	-0.0414956178	0.0361704868	-0.0651351327	-0.0132466588	-0.0888842877	0.0394881272	0.0230089131	-0.0841592277	0.0981871718	0.0133269788	0.027131504	-0.2485856481	0.1466261977	0.1465634515	0.1464588945	0.1463125564	0.1461244791	0.0	-0.0024166	0.0003539199999999	1.2525936639999982e-07	5.8399555600000006e-06	0.128406	0.0133929999999999	0.0001793724489999	0.0164881008359999	0.0273289	0.0089153	7.948257409000002e-05	0.00074686877521	0.0150509	-0.0014028	0.00022652959081	1.9678478400000025e-06	0.000556056	-0.000448774	2.01398103076e-07	3.09198275136e-07	0.00600042	-2.455999999999986e-05	3.60050401764e-05	6.03193599999993e-10	0.0	0.0	0.0	0.0	0.0	0.0	0.0
5362.07248812416	18.65744860592622	28751821.367898025	348.10038848277827	13583.503139715169	92.0965489882783	184511557.54665184	8481.774335550344	4574.867528959839	27.69324499332652	766.9158182604042	20929412.9075311	5775.379474183641	9152.73482626226	1.275617	48.327553	0.10843515	0.049985	0.0395279852	0.3009587364	0.0300421122	-0.0497033171	-0.0754799037	0.2470024044	0.1287908155	0.1644598899	-0.236431847	-0.1297029911	0.0070256478	-0.1026593034	-0.0444471538	-0.282625558	0.1095732715	-0.0936206656	0.0859961236	0.0728347094	0.1061962081	-0.0452054178	-0.1957408704	0.1511170916	-0.0921049388	0.142091425	0.1126532521	-0.1358919691	0.1161331647	-0.0609732414	0.1018966584	0.0010891714	-0.1054181752	0.1891450572	0.070304076	0.1268944235	0.018876271	0.0640015436	0.036965821	-0.0351324505	-0.005709622	-0.0229342376	0.028256348	0.0370745822	-0.0154503843	0.0233731598	-0.1061284375	0.1941936844	0.1813883473	-0.1185856821	0.0629933745	-0.0230381234	-0.1658259687	-0.1299209415	0.0463659803	-0.0025685929	0.1449048936	-0.1097780714	-0.1880825105	-0.0173869429	0.0746608481	-0.1405180827	-0.1348647259	0.0209142715	0.0738561806	0.1660738973	-0.1315464132	-0.0573048509	0.0037514542	0.163910734	0.1214949675	-0.0147208442	0.0405324306	0.0151168641	0.0630591466	0.1464588945	0.1458947161	0.1449560281	0.14364524	0.1419657166	0.0	-0.0131293	-0.0107127	0.00011476194129	0.00017237851849	0.143548	0.015142	0.000229280164	0.020606028304	0.0491327	0.0218038	0.00047540569444	0.00241402220929	0.0145767	-0.0004742	0.00021248018289	2.2486564000000097e-07	0.000937969	0.000381913	1.45857539569e-07	8.79785844961e-07	0.005641	-0.00035942	3.1820881e-05	1.2918273640000005e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0
5367.039045025244	4.9665569010840045	28805108.110825486	24.66668745170515	13564.74152065784	-18.761619057328065	184002212.5222588	351.9983496522956	4560.990221314846	-13.87730764499247	192.57966747376645	20802631.79892965	5754.692859862936	9225.501886983053	1.135975	43.037121	0.1635530499999999	0.116263	-0.117555795	0.2884643577	0.0892813272	-0.0742156801	-0.021200004	0.282002886	0.1191693346	0.0035323317	-0.023584635	-0.0331212258	0.1490950693	-0.1062003973	-0.0252393751	-0.19943144	-0.0062212997	0.0894621464	-0.0079459197	0.11368412	0.1189352402	0.0343839273	0.0444139309	0.1363972311	-0.1277413052	0.0501207417	0.0698140758	0.1305847564	-0.1095808683	-0.2453108096	-0.1093479104	-0.0724139737	0.1700776616	-0.022963902	-0.0512501197	0.0461516106	-0.0905830094	-0.2092843547	-0.1135622348	-0.0378709488	0.0161646265	-0.0394230899	0.0371497624	-0.1211336303	0.1223620003	-0.3157382366	-0.1053064673	0.2273434529	0.0814389858	-0.0039143591	0.0568730832	-0.1766267088	-0.0173926583	-0.0230907823	-0.0617642052	0.1057439321	0.0123874943	0.0641409936	0.0173113368	0.0303127896	0.183245497	0.0063502335	0.1602988356	0.0893965507	0.0547411651	0.0511656544	-0.0707400001	0.158588887	-0.2165349422	-0.1990165013	0.0049202555	0.0151885168	-0.1482574007	-0.0508598475	0.0096554476	0.1461244791	0.1445602966	0.1419657166	0.1383592329	0.1337665517	0.0	-0.0157831	-0.0026538	7.042654440000007e-06	0.00024910624561	0.129392	-0.014156	0.000200392336	0.016742289664	0.0322955	-0.0168372	0.00028349130384	0.0010429993202499	0.0123516	-0.0022250999999999	0.00015256202256	4.951070009999995e-06	0.00102924	9.127100000000008e-05	8.330395441000016e-09	1.0593349776e-06	0.00535925	-0.0002817499999999	2.8721560562500005e-05	7.938306249999995e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0
5328.562688967129	-38.476356058115016	28393580.330252603	1480.429975510844	13505.808999136189	-58.93252152165224	182406876.72114804	3473.042092900004	4554.628514445373	-6.361706869472982	40.47131429309973	20744640.904598866	5743.232836205657	9067.89163413097	1.197901	45.383259	0.07071525	0.0419271	0.040890284	0.2909550728	-0.0304945464	-0.0424725196	-0.1229075077	0.2219304761	0.2108236225	0.0552759398	0.0017031681	-0.0757619043	-0.0909852469	-0.0662106491	-0.1014506966	-0.2136857637	-0.0117236731	0.0998520617	-0.0648887094	0.0834850645	-0.1178820753	0.1293548054	0.0874518416	0.1122472289	-0.0344331458	-0.0782755734	-0.0724089376	-0.0265713823	0.0608225858	-0.0666459952	0.1281493609	0.0175260645	0.0098925177	0.0127898996	0.0181366723	-0.1015923756	-0.0546084954	-0.0969773402	0.0490717137	0.0345773957	0.0418149858	0.0936269787	-0.0953878933	0.0454922847	0.0402358124	0.2838781556	-0.1791215014	0.0996473672	0.1052036011	-0.2032741271	-0.0064155447	-0.1051193939	-0.0219059752	0.0958123275	-0.1168860535	0.0715291951	-0.1264044177	0.0155446826	0.1061088417	-0.0361831544	-0.048762408	0.0054562422	-0.0274066321	-0.0990091569	-0.0393361721	0.076990842	0.0939964715	0.004398188	-0.0387147484	0.0202750287	-0.0622898025	-0.045320809	0.0545066246	0.091212995	0.1050995127	0.145623333	0.1425662815	0.1375186448	0.1305509005	0.121760336	0.0	-0.0127936	0.0029895	8.937110250000004e-06	0.00016367620096	0.119174	-0.010218	0.000104407524	0.014202442276	0.0274102	-0.0048852999999999	2.3866156089999983e-05	0.0007513190640399	0.0116206	-0.000731	0.00013503834436	5.343610000000011e-07	0.000752541	-0.000276699	7.656233660100002e-08	5.66317956681e-07	0.0053145	-4.475000000000052e-05	2.824391025e-05	2.002562500000046e-09	0.0	0.0	0.0	0.0	0.0	0.0	0.0
5383.590634798095	55.02794583096602	28983048.12308576	3028.0748223757305	13591.255758301702	85.44675916551387	184722233.0875692	7301.148651889328	4577.474940513104	22.846426067731045	521.9591840683006	20953276.831025448	5769.904355793579	9112.153976162072	1.98384	75.15902699999998	0.75541565	0.451484	-0.2769507643	0.0125291668	0.1231191358	-0.0122606066	0.1753689072	0.1205147341	-0.1550525509	-0.0662289983	0.1233419724	-0.0597178027	0.2386750241	0.4002937694	0.0810393966	-0.1594491576	0.2086980101	-0.1789995538	0.1404442561	-0.1137766018	0.1855939273	-0.1303676063	0.1054736181	-0.226714022	0.0526047124	-0.1884020175	-0.0431973078	0.0913541444	-0.0458370346	0.0707345702	-0.0413916042	0.1485058341	-0.1870813559	0.0324722948	-0.1162909659	-0.1052138281	0.0183449321	-0.0350138353	-0.1656566239	-0.1152641652	0.0177737168	0.0346588325	-0.030500401	0.1764015785	-0.1292437515	0.0244758233	0.0608646725	0.1429086373	0.0982628989	-0.0748070437	-0.0209700138	0.1942294126	0.0816200826	-0.2824603242	0.3911801732	-0.0420456912	-0.0859660304	0.3130065218	0.1573177288	0.068211605	-0.0596463451	0.143349875	-0.0857826803	-0.0422165497	-0.2053640948	-0.0188345517	0.1543924568	-0.1268269374	0.0884045034	-0.0313044639	0.0480538778	-0.0958506105	-0.0122601486	-0.0318693554	-0.0566155715	0.1449560281	0.1399217693	0.1316604456	0.1203625908	0.1062887712	0.0	-0.0577097	-0.0449161	0.00201745603921	0.00333040947409	0.261095	0.141921	0.020141570241	0.068170599025	0.323099	0.2956888	0.08743186644544	0.104392963801	0.00685382	-0.00476678	4.69748485924e-05	2.27221915684e-05	0.000953746	0.0002012049999999	4.0483452024999997e-08	9.09631432516e-07	0.00482469	-0.0004898099999999	2.3277633596100005e-05	2.399138360999994e-07	1.0	0.0	0.0	0.0	0.0	0.0	0.0
5390.602503839033	7.011869040937199	29058595.354395647	49.16630744725356	13712.747535238168	121.4917769364656	188039444.9651805	14760.251863179918	4599.69684095934	22.22190044623585	493.81285944241705	21157211.02873133	5772.211761323425	9100.363544144737	2.038459	77.22830999999998	1.2764995	0.560359	-0.3386108954	-0.1596035418	-0.1123049556	0.3698549747	0.5105740588	-0.0573672592	-0.5402848938	0.1619381069	0.2980789576	-0.2633088651	-0.1630704273	-0.1114944562	0.5264832764	0.0068616643	-0.2843690233	-0.126780926	-0.1288627326	0.0188746876	0.1097411036	-0.0063452805	-0.0118205667	-0.29785341	0.229667023	-0.0526394244	0.0660167522	-0.0092854518	-0.0174935752	0.2052811801	-0.1490042744	-0.0025093866	0.0171074869	0.1295417754	0.14660059	0.0364316255	-0.0952640027	-0.0644817114	-0.0110934665	-0.0853245595	0.0235029525	-0.0546654946	-0.09665263	-0.1763434022	0.0892693946	0.0471297598	0.5516985458	0.0717009743	-0.0362497625	0.2120797281	-0.6533920576	0.0371808708	0.0146453397	-0.0730669672	-0.0034799324	-0.0839282179	-0.0317761106	-0.1180138669	-0.0114113347	-0.0585896325	0.0008102214	0.0144042396	0.0400858265	-0.0194386052	-0.0288057477	0.1056809236	0.0066655814	-0.0007467489	-0.0466109002	-0.028385472	-0.0213493966	-0.0121051289	0.0114595339	-0.0209927671	0.0476251658	0.1441233256	0.1366388261	0.124451232	0.1079800393	0.0877921846	0.0	0.0406528	0.0983625	0.00967518140625	0.00165265014784	0.268243	0.0071479999999999	5.1093903999999824e-05	0.071954307049	0.705586	0.382487	0.146296305169	0.497851603396	0.0124866	0.00563278	0.00015591517956	3.17282105284e-05	-0.00387733	-0.004831076	2.3339295317776003e-05	1.50336879289e-05	-0.000481494	-0.005306184	2.3183647203600002e-07	2.8155588641856003e-05	0.0	1.0	0.0	0.0	0.0	0.0	0.0
5286.707940125386	-103.89456371364668	27949280.8441848	10794.080369248988	13484.27169187152	-228.4758433666484	181825583.0602076	52201.211002101256	4544.376961972202	-55.31987898713851	3060.2890111516485	20651361.972503696	5749.733188334882	8881.657933415336	2.843064	107.711311	1.54709715	0.7508479999999998	0.1658350575	-0.0985289099	0.0698586461	-0.1471940461	-0.1297595413	-0.1581811487	-0.1115194246	-0.1304501634	-0.360822218	0.0135624472	-0.2637370866	0.2131076737	-0.1059519851	0.1436429481	0.0268810194	0.1754746998	-0.0013906194	-0.0907148216	-0.1516279111	0.0714893229	0.0335868267	0.0015209337	0.0571835289	0.0722406193	0.0683930689	-0.0941300631	0.0793591069	-0.0599244627	-0.241014476	-0.1361112713	-0.0780861241	-0.1620528635	-0.1428210112	-0.1658590296	0.1361753191	0.3273992727	0.0076599633	-0.0884905727	0.0216872254	0.0252463976	-0.0848797772	0.0521665464	-0.001793269	-0.0443170133	-0.0819317796	-0.116310064	0.0867950759	0.0875562277	0.1277207346	-0.0010279813	0.1078203408	0.1706060619	0.0109048657	-0.1689211562	-0.0049419238	-0.1030964612	0.047003096	-0.198930127	-0.1312295745	0.1128563436	-0.0468638354	0.3263241501	-0.1663414358	-0.1745236802	0.0276475467	0.152263417	0.2077090143	0.0599080219	-0.0882424106	-0.1680358894	0.0180209409	-0.1539972255	0.0184500255	0.1431261759	0.1327324313	0.1159649805	0.0936289832	0.0667969964	0.0	0.0264392	-0.0142136	0.00020202642496	0.00069903129664	-0.0530047	-0.3212477	0.10320008475529	0.00280949822209	0.201778	-0.503808	0.253822500864	0.040714361284	0.00204808	-0.01043852	4.1946316864e-06	0.0001089626997903	-0.0010365	0.00284083	8.0703150889e-06	1.07433225e-06	0.000395713	0.000877207	1.5658877836900005e-07	7.694921208490001e-07	0.0	0.0	1.0	0.0	0.0	0.0	0.0
5275.8090965890215	-10.898843536364438	27834161.623651467	118.7847904301529	13374.061456419631	-110.21023545188837	178865519.8400892	12146.29599836067	4546.0021001570585	1.6251381848569508	2.641074119880145	20666135.094632387	5697.30247986747	8674.991235352129	1.338956	50.727211	0.1816573	0.131422	0.0737393756	-0.2065612923	-0.1114644189	-0.0599210545	-0.047836445	-0.1784562488	-0.0503115728	-0.3661978997	0.0893454361	0.125321197	-0.1494818333	0.0473009102	-0.0699027486	0.1665814859	0.064968844	0.1588533531	0.1507318373	-0.1655359659	-0.1056073794	-0.0887367894	0.0215557614	-0.0054764497	-0.0420262783	0.0403873392	0.0946643358	-0.1215788117	-0.0065364289	0.2092144872	-0.1627168969	-0.0620939475	0.2007980532	-0.0770533229	0.0160282856	0.188478304	-0.0780098775	-0.0330095381	0.138231242	0.0479144335	0.1051059615	0.0600389509	-0.0205528008	0.1856709109	-0.062098097	-0.1020425468	0.0171046904	-0.1061880525	-0.2189545892	0.0176314622	0.1592555191	0.0846837669	0.068278648	0.1023709021	0.0199110555	-0.2719870306	0.144110674	-0.1893728246	0.0818925849	-0.1385122698	-0.0022427648	-0.0853191707	0.00720835	-0.0536738251	0.0303285605	-0.1466165307	-0.1135244255	-0.0478965006	-0.0717057278	-0.2077560265	-4.44446e-05	-0.0652875598	0.1040414279	0.1534766223	-0.0313559148	0.1419657166	0.1282204088	0.1062887712	0.0775710461	0.0439007383	0.0	0.0264382	-1.000000000001e-06	1.0000000000020005e-12	0.0006989784192399	-0.0680498	-0.0150450999999999	0.0002263550340099	0.0046307752800399	0.178135	-0.023643	0.000558991449	0.0317320782249999	-0.00048079	-0.00252887	2.311590241e-07	6.3951834769e-06	-0.0010365	0.0	0.0	1.07433225e-06	6.5219e-05	-0.000330494	4.253517961e-09	1.0922628403600001e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0
5325.410604766531	49.60150817750946	28359998.109359827	2460.3096134835378	13442.137171077458	68.07571465782712	180691051.7260623	4634.302926173898	4555.192548802847	9.19044864578882	84.46434631088155	20749779.15666898	5695.08714593562	8822.30712234624	1.163522	44.080788	0.1346901649999999	0.067168	0.1852977954	-0.1758239811	-0.1810330002	0.0364971894	-0.1215871257	-0.1890258495	0.0279902756	-0.0341788782	0.1122899296	0.2513682668	-0.0928930493	-0.1081033227	-0.0540846326	0.1564178282	0.0065005782	-0.1066589966	0.1047072595	-0.0959328797	-0.0991689368	-0.1736816764	0.1674645565	0.0534858467	0.1441949872	-0.0075802912	0.0103956731	-0.1677170332	0.0892190513	0.0633790036	0.1384093492	0.1126986331	0.0832119841	-0.1045651298	0.1062482856	0.0033801963	-0.0937897001	0.0379170639	0.0741899031	0.1717731323	0.0941742083	-0.1505253075	0.3145662418	-0.1309234192	0.0440356696	-0.0845430597	-0.0058371004	-0.1446130413	-0.2650186616	-0.020760234	0.0670231634	0.1664969431	-0.0671140129	0.0214806972	-0.025501774	0.1018074797	0.1420577505	-0.1047458249	0.1812088587	0.0487282135	-0.0937067896	-0.213847274	-0.1088395044	-0.0891039508	0.0590588593	-0.0354109393	-0.0621121274	-0.0852633374	-0.0156033437	-0.0879831559	-0.0285981297	0.2257807702	0.000732303	-0.0379593138	0.1106046227	0.1406432718	0.123123346	0.0955218954	0.0600989683	0.0197550473	0.0	0.0197372	-0.0067009999999999	4.4903400999999984e-05	0.00038955706384	-0.0524724	0.0155773999999999	0.0002426553907599	0.00275335276176	0.124908	-0.0532269999999999	0.0028331135289999	0.015602008464	-0.0014921	-0.0010113099999999	2.22636241e-06	1.0227479160999998e-06	-0.000974345	6.215500000000004e-05	3.863244025000006e-09	9.49348179025e-07	-4.50113e-05	-0.0001102303	2.02601712769e-09	1.215071903809e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0
